,My Boy Gus,Conga Boy,Friendofthecourt,Golden Passage,Midnight Nightmare,Spheroid,Hip Four O Four,Powershot,Dealmeinbud
15-12-2022 10:48:49.425981,"(14.0, 19.5, 19.416666666666668)","(14.0, 21.0, 20.764705882352942)","(11.0, 16.0, 15.692307692307692)","(2.8, 3.55, 3.505)","(8.0, 10.5, 10.4)","(5.5, 7.2, 6.84)","(41.0, 90.0, 75.0)","(5.5, 7.2, 6.88)","(6.0, 7.0, 6.648)"
15-12-2022 10:48:50.531458,"(14.0, 19.5, 19.416666666666668)","(14.0, 21.0, 20.764705882352942)","(11.0, 16.0, 15.692307692307692)","(2.8, 3.55, 3.4375)","(8.0, 10.5, 10.481481481481481)","(5.5, 7.2, 6.84)","(41.0, 90.0, 75.0)","(5.5, 7.2, 6.88)","(6.0, 7.0, 6.648)"
15-12-2022 10:48:51.615178,"(14.0, 19.5, 19.416666666666668)","(14.0, 21.0, 20.764705882352942)","(11.0, 16.0, 15.692307692307692)","(2.8, 3.5, 3.4307692307692306)","(8.0, 11.0, 10.764705882352942)","(5.5, 7.2, 6.8315789473684205)","(41.0, 90.0, 75.0)","(5.5, 7.2, 6.88)","(6.0, 7.0, 6.648)"
15-12-2022 10:48:52.701946,"(14.0, 19.5, 19.416666666666668)","(14.0, 21.0, 20.764705882352942)","(11.0, 16.0, 15.692307692307692)","(2.8, 3.5, 3.3875)","(8.0, 11.0, 10.722222222222221)","(5.5, 7.2, 6.8315789473684205)","(41.0, 90.0, 75.0)","(5.5, 7.2, 6.88)","(6.0, 7.0, 6.648)"
15-12-2022 10:48:53.846051,"(14.0, 19.5, 19.452380952380953)","(14.0, 21.0, 20.764705882352942)","(11.0, 16.0, 15.692307692307692)","(2.8, 3.5, 3.3875)","(8.0, 11.0, 10.722222222222221)","(5.5, 7.2, 6.8545454545454545)","(41.0, 90.0, 76.66666666666667)","(5.5, 7.2, 6.896)","(6.0, 7.0, 6.648)"
15-12-2022 10:48:54.975744,"(14.0, 19.5, 19.456521739130434)","(14.0, 21.0, 20.77777777777778)","(11.0, 16.0, 15.714285714285714)","(2.8, 3.5, 3.415625)","(8.0, 11.0, 10.791666666666666)","(5.5, 7.2, 6.992592592592593)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.2, 7.0)","(6.0, 7.0, 6.69655172413793)"
15-12-2022 10:48:56.173399,"(14.0, 19.5, 19.456521739130434)","(14.0, 21.0, 20.77777777777778)","(11.0, 16.0, 15.714285714285714)","(2.8, 3.5, 3.415625)","(8.0, 11.0, 10.791666666666666)","(5.5, 7.2, 6.992592592592593)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.2, 7.046153846153846)","(6.0, 7.0, 6.69655172413793)"
15-12-2022 10:48:57.326784,"(14.0, 19.5, 19.456521739130434)","(14.0, 21.0, 20.77777777777778)","(11.0, 16.0, 15.714285714285714)","(2.8, 3.5, 3.415625)","(8.0, 11.0, 10.791666666666666)","(5.5, 7.2, 6.992592592592593)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.2, 7.046153846153846)","(6.0, 7.0, 6.69655172413793)"
15-12-2022 10:48:58.446758,"(14.0, 19.5, 19.456521739130434)","(14.0, 21.0, 20.77777777777778)","(11.0, 16.0, 15.714285714285714)","(2.8, 3.5, 3.415625)","(8.0, 11.0, 10.791666666666666)","(5.5, 7.2, 6.992592592592593)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.2, 7.033333333333333)","(6.0, 7.0, 6.69655172413793)"
15-12-2022 10:48:59.582704,"(14.0, 19.5, 19.456521739130434)","(14.0, 21.0, 20.77777777777778)","(11.0, 16.0, 15.714285714285714)","(2.8, 3.5, 3.415625)","(8.0, 11.0, 10.791666666666666)","(5.5, 7.2, 7.1466666666666665)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.2, 7.033333333333333)","(6.0, 7.0, 6.69655172413793)"
15-12-2022 10:49:00.848454,"(14.0, 19.5, 19.456521739130434)","(14.0, 21.0, 20.77777777777778)","(11.0, 16.0, 15.578947368421053)","(2.8, 3.5, 3.415625)","(8.0, 11.0, 10.75)","(5.5, 7.2, 7.1466666666666665)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.2, 7.033333333333333)","(6.0, 7.0, 6.69655172413793)"
15-12-2022 10:49:02.293424,"(14.0, 19.5, 19.46153846153846)","(14.0, 21.0, 20.77777777777778)","(11.0, 16.0, 15.785714285714286)","(2.8, 3.5, 3.415625)","(8.0, 11.0, 10.75)","(5.5, 7.2, 7.1466666666666665)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.2, 7.078787878787879)","(6.0, 7.0, 6.69655172413793)"
15-12-2022 10:49:03.498963,"(14.0, 19.5, 19.46153846153846)","(14.0, 21.0, 20.77777777777778)","(11.0, 16.0, 15.785714285714286)","(2.8, 3.5, 3.415625)","(8.0, 11.0, 10.75)","(5.5, 7.2, 7.19)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.2, 7.030769230769231)","(6.0, 7.0, 6.545454545454546)"
15-12-2022 10:49:04.716341,"(14.0, 19.5, 19.46153846153846)","(14.0, 21.0, 20.77777777777778)","(11.0, 16.0, 15.785714285714286)","(2.8, 3.5, 3.415625)","(8.0, 11.0, 10.75)","(5.5, 7.4, 7.2)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.2, 6.885714285714285)","(6.0, 6.8, 6.307142857142857)"
15-12-2022 10:49:06.026218,"(14.0, 19.5, 19.46153846153846)","(14.0, 21.0, 20.77777777777778)","(11.0, 16.0, 15.785714285714286)","(2.8, 3.5, 3.415625)","(8.0, 11.0, 10.75)","(5.5, 7.4, 7.133333333333334)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.2, 6.8545454545454545)","(6.0, 6.8, 6.307142857142857)"
15-12-2022 10:49:07.147003,"(14.0, 19.5, 19.46153846153846)","(14.0, 21.0, 20.77777777777778)","(11.0, 16.5, 16.166666666666668)","(2.8, 3.5, 3.415625)","(8.0, 11.0, 10.75)","(5.5, 7.4, 7.133333333333334)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.0, 6.8545454545454545)","(6.0, 6.8, 6.311111111111111)"
15-12-2022 10:49:08.241055,"(14.0, 19.5, 19.46153846153846)","(14.0, 21.0, 20.77777777777778)","(11.0, 16.5, 16.166666666666668)","(2.8, 3.5, 3.415625)","(8.0, 11.0, 10.75)","(5.5, 7.4, 7.133333333333334)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.0, 6.8545454545454545)","(6.0, 6.6, 6.311111111111111)"
15-12-2022 10:49:09.323249,"(14.0, 19.5, 19.46153846153846)","(14.0, 21.0, 20.77777777777778)","(11.0, 16.5, 16.166666666666668)","(2.8, 3.5, 3.415625)","(8.0, 11.0, 10.735294117647058)","(5.5, 7.4, 7.133333333333334)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.0, 6.8545454545454545)","(6.0, 6.6, 6.311111111111111)"
15-12-2022 10:49:10.485181,"(14.0, 19.5, 19.46153846153846)","(14.0, 21.0, 20.77777777777778)","(11.0, 16.5, 16.166666666666668)","(2.8, 3.5, 3.415625)","(8.0, 11.0, 10.735294117647058)","(5.5, 7.4, 7.133333333333334)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.0, 6.8545454545454545)","(6.0, 6.6, 6.311111111111111)"
15-12-2022 10:49:11.659576,"(14.0, 20.0, 19.758064516129032)","(14.0, 21.0, 20.77777777777778)","(11.0, 16.5, 16.166666666666668)","(2.8, 3.5, 3.415625)","(8.0, 11.0, 10.735294117647058)","(5.5, 7.4, 7.133333333333334)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.0, 6.8545454545454545)","(6.0, 6.6, 6.311111111111111)"
15-12-2022 10:49:12.857942,"(14.0, 20.0, 19.5)","(14.0, 21.0, 20.8)","(11.0, 16.5, 16.166666666666668)","(2.8, 3.45, 3.4000000000000004)","(8.0, 11.0, 10.735294117647058)","(5.5, 7.4, 7.133333333333334)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.2, 7.017391304347826)","(6.0, 6.8, 6.5)"
15-12-2022 10:49:13.998347,"(14.0, 20.0, 19.736842105263158)","(14.0, 21.0, 20.764705882352942)","(11.0, 16.5, 16.166666666666668)","(2.8, 3.45, 3.4000000000000004)","(8.0, 11.0, 10.735294117647058)","(5.5, 7.4, 7.133333333333334)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.2, 7.017391304347826)","(6.0, 6.6, 6.371428571428571)"
15-12-2022 10:49:15.148178,"(14.0, 20.0, 19.642857142857142)","(14.0, 21.0, 20.764705882352942)","(11.0, 16.5, 16.166666666666668)","(2.8, 3.5, 3.406896551724138)","(8.0, 11.0, 10.735294117647058)","(5.5, 7.4, 7.285714285714286)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.2, 6.620689655172414)","(6.0, 6.6, 6.2)"
15-12-2022 10:49:16.294067,"(14.0, 20.0, 19.642857142857142)","(14.0, 21.0, 20.764705882352942)","(11.0, 16.5, 16.27777777777778)","(2.8, 3.5, 3.4454545454545453)","(8.0, 11.0, 10.735294117647058)","(5.5, 7.4, 7.347368421052631)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.2, 6.699999999999999)","(6.0, 6.4, 6.194117647058824)"
15-12-2022 10:49:17.428655,"(14.0, 21.0, 20.714285714285715)","(14.0, 22.0, 21.36842105263158)","(11.0, 16.5, 16.27777777777778)","(2.8, 3.55, 3.495454545454545)","(8.0, 11.0, 10.735294117647058)","(5.5, 7.6, 7.230769230769231)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.0, 6.611764705882353)","(6.0, 6.4, 6.127272727272727)"
15-12-2022 10:49:18.548675,"(14.0, 21.0, 20.714285714285715)","(14.0, 22.0, 21.0)","(11.0, 16.5, 16.214285714285715)","(2.8, 3.55, 3.5184210526315787)","(8.0, 11.0, 10.8125)","(5.5, 7.6, 7.3538461538461535)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.0, 6.571428571428571)","(6.0, 6.4, 5.989473684210527)"
15-12-2022 10:49:19.681280,"(14.0, 21.0, 20.0)","(14.0, 22.0, 21.0)","(11.0, 16.5, 16.214285714285715)","(2.8, 3.55, 3.475)","(8.0, 11.0, 10.8125)","(5.5, 7.6, 7.447619047619048)","(41.0, 90.0, 79.0909090909091)","(5.5, 6.8, 6.68)","(6.0, 6.4, 5.989473684210527)"
15-12-2022 10:49:20.858749,"(14.0, 21.0, 20.0)","(14.0, 22.0, 21.0)","(11.0, 17.0, 16.333333333333332)","(2.8, 3.55, 3.475)","(8.0, 11.0, 10.8125)","(5.5, 7.6, 7.447619047619048)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.0, 6.68)","(6.0, 6.4, 5.989473684210527)"
15-12-2022 10:49:22.056796,"(14.0, 21.0, 20.0)","(14.0, 22.0, 21.0)","(11.0, 17.0, 16.333333333333332)","(2.8, 3.55, 3.475)","(8.0, 11.0, 10.8125)","(5.5, 7.6, 7.447619047619048)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.0, 6.68)","(6.0, 6.4, 5.989473684210527)"
15-12-2022 10:49:23.220767,"(14.0, 21.0, 20.0)","(14.0, 22.0, 21.0)","(11.0, 17.0, 16.333333333333332)","(2.8, 3.55, 3.475)","(8.0, 11.0, 10.8125)","(5.5, 7.6, 7.447619047619048)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.0, 6.64)","(6.0, 6.4, 6.075)"
15-12-2022 10:49:24.374488,"(14.0, 21.0, 20.7)","(14.0, 22.0, 21.41176470588235)","(11.0, 17.0, 16.625)","(2.8, 3.55, 3.475)","(8.0, 11.0, 10.8125)","(5.5, 7.6, 7.447619047619048)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.0, 6.644444444444444)","(6.0, 6.4, 6.075)"
15-12-2022 10:49:25.502465,"(14.0, 21.0, 20.818181818181817)","(14.0, 22.0, 21.41176470588235)","(11.0, 17.0, 16.625)","(2.8, 3.55, 3.475)","(8.0, 11.0, 10.833333333333334)","(5.5, 7.6, 7.3538461538461535)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.0, 6.644444444444444)","(6.0, 6.4, 6.791304347826087)"
15-12-2022 10:49:26.612887,"(14.0, 21.0, 20.529411764705884)","(14.0, 22.0, 21.41176470588235)","(11.0, 17.0, 16.625)","(2.8, 3.55, 3.5118644067796607)","(8.0, 11.0, 10.833333333333334)","(5.5, 7.6, 7.4222222222222225)","(41.0, 90.0, 79.0909090909091)","(5.5, 7.0, 6.5200000000000005)","(6.0, 7.0, 6.690322580645161)"
15-12-2022 10:49:27.778330,"(14.0, 21.0, 20.529411764705884)","(14.0, 22.0, 21.41176470588235)","(11.0, 17.0, 16.625)","(2.8, 3.55, 3.511764705882353)","(8.0, 11.0, 10.785714285714286)","(5.5, 7.6, 7.4222222222222225)","(41.0, 90.0, 80.71428571428571)","(5.5, 7.0, 6.5200000000000005)","(6.0, 7.0, 6.5)"
15-12-2022 10:49:28.960881,"(14.0, 21.0, 20.529411764705884)","(14.0, 22.0, 21.473684210526315)","(11.0, 17.0, 16.666666666666668)","(2.8, 3.55, 3.52)","(8.0, 11.0, 10.727272727272727)","(5.5, 7.6, 7.4222222222222225)","(41.0, 85.0, 80.71428571428571)","(5.5, 7.0, 6.5200000000000005)","(6.0, 6.6, 6.546153846153846)"
15-12-2022 10:49:30.117222,"(14.0, 21.0, 20.529411764705884)","(14.0, 22.0, 21.41176470588235)","(11.0, 17.0, 16.666666666666668)","(2.8, 3.55, 3.52)","(8.0, 11.0, 10.727272727272727)","(5.5, 7.6, 7.4222222222222225)","(41.0, 85.0, 75.625)","(5.5, 7.0, 6.492307692307692)","(6.0, 6.6, 6.546153846153846)"
15-12-2022 10:49:31.377917,"(14.0, 21.0, 20.529411764705884)","(14.0, 22.0, 21.41176470588235)","(11.0, 17.0, 16.666666666666668)","(2.8, 3.55, 3.52)","(8.0, 11.0, 10.727272727272727)","(5.5, 7.6, 7.4222222222222225)","(41.0, 85.0, 72.5)","(5.5, 7.0, 6.516129032258065)","(6.0, 6.6, 6.5588235294117645)"
15-12-2022 10:49:32.596391,"(14.0, 21.0, 20.529411764705884)","(14.0, 22.0, 21.41176470588235)","(11.0, 17.0, 16.666666666666668)","(2.8, 3.55, 3.526785714285714)","(8.0, 11.0, 10.727272727272727)","(5.5, 7.6, 7.4222222222222225)","(41.0, 85.0, 80.0)","(5.5, 7.0, 6.625)","(6.0, 6.6, 6.5588235294117645)"
15-12-2022 10:49:33.782669,"(14.0, 21.0, 20.529411764705884)","(14.0, 22.0, 21.428571428571427)","(11.0, 17.0, 16.666666666666668)","(2.8, 3.55, 3.526785714285714)","(8.0, 11.0, 10.7)","(5.5, 7.6, 7.4222222222222225)","(41.0, 85.0, 80.0)","(5.5, 7.0, 6.487804878048781)","(6.0, 6.6, 6.2727272727272725)"
15-12-2022 10:49:34.948593,"(14.0, 21.0, 20.11111111111111)","(14.0, 22.0, 21.428571428571427)","(12.0, 17.0, 16.666666666666668)","(2.8, 3.55, 3.5210227272727272)","(8.0, 11.0, 10.7)","(5.5, 7.6, 7.343999999999999)","(41.0, 85.0, 80.0)","(5.5, 7.0, 6.487804878048781)","(6.0, 6.6, 6.388235294117647)"
15-12-2022 10:49:36.145397,"(14.0, 21.0, 20.272727272727273)","(14.0, 22.0, 21.428571428571427)","(12.0, 17.0, 16.666666666666668)","(2.8, 3.55, 3.5228723404255318)","(8.0, 11.0, 10.7)","(5.5, 7.6, 7.018181818181818)","(41.0, 85.0, 78.33333333333333)","(5.5, 7.0, 6.487804878048781)","(6.0, 6.6, 6.388235294117647)"
15-12-2022 10:49:37.343390,"(14.0, 21.0, 20.272727272727273)","(14.0, 22.0, 21.428571428571427)","(12.0, 17.0, 16.666666666666668)","(2.8, 3.55, 3.5228723404255318)","(8.0, 11.0, 10.8)","(5.5, 7.6, 7.263157894736842)","(41.0, 85.0, 69.0)","(5.5, 7.0, 6.7)","(6.0, 6.6, 6.366666666666666)"
15-12-2022 10:49:38.459041,"(14.0, 21.0, 20.272727272727273)","(14.0, 22.0, 21.428571428571427)","(12.0, 17.0, 16.666666666666668)","(2.8, 3.55, 3.5228723404255318)","(8.0, 11.0, 10.8)","(5.5, 7.6, 7.12)","(41.0, 70.0, 69.0)","(5.5, 6.8, 6.7)","(6.0, 6.6, 6.366666666666666)"
15-12-2022 10:49:39.574910,"(14.0, 21.0, 20.272727272727273)","(14.0, 22.0, 21.846153846153847)","(12.0, 17.0, 16.666666666666668)","(2.8, 3.55, 3.5228723404255318)","(8.0, 11.0, 10.8)","(5.5, 7.6, 7.057142857142857)","(41.0, 70.0, 78.33333333333333)","(5.5, 6.8, 6.764705882352941)","(6.0, 6.6, 6.4125)"
15-12-2022 10:49:40.769701,"(14.0, 21.0, 20.6)","(14.0, 22.0, 21.846153846153847)","(12.0, 17.0, 16.666666666666668)","(2.8, 3.55, 3.5228723404255318)","(8.0, 11.0, 10.833333333333334)","(5.5, 7.4, 7.057142857142857)","(41.0, 95.0, 78.33333333333333)","(5.5, 6.8, 6.765714285714285)","(6.0, 6.6, 6.35)"
15-12-2022 10:49:41.909888,"(14.0, 21.0, 20.6)","(14.0, 22.0, 21.846153846153847)","(12.0, 17.0, 16.666666666666668)","(2.8, 3.55, 3.5228723404255318)","(8.0, 11.0, 10.833333333333334)","(5.5, 7.4, 7.171428571428572)","(41.0, 95.0, 78.33333333333333)","(5.5, 6.8, 6.721052631578948)","(6.0, 6.6, 6.35)"
15-12-2022 10:49:43.024116,"(14.0, 21.0, 20.6)","(14.0, 23.0, 22.6)","(12.0, 17.0, 16.666666666666668)","(2.8, 3.55, 3.519642857142857)","(8.0, 11.0, 10.804347826086957)","(5.5, 7.4, 7.181818181818182)","(41.0, 95.0, 84.28571428571428)","(5.5, 6.8, 6.584615384615385)","(6.0, 6.6, 6.35)"
15-12-2022 10:49:44.156354,"(14.0, 21.0, 20.6)","(14.0, 23.0, 22.6)","(12.0, 17.0, 16.666666666666668)","(2.8, 3.55, 3.519642857142857)","(8.0, 11.0, 10.804347826086957)","(5.5, 7.4, 7.181818181818182)","(41.0, 95.0, 84.28571428571428)","(5.5, 7.0, 6.584615384615385)","(6.0, 6.6, 6.35)"
15-12-2022 10:49:45.236171,"(14.0, 21.0, 20.6)","(14.0, 23.0, 22.6)","(12.0, 17.0, 16.666666666666668)","(2.8, 3.55, 3.519642857142857)","(8.0, 11.0, 10.804347826086957)","(5.5, 7.4, 7.181818181818182)","(41.0, 95.0, 84.28571428571428)","(5.5, 7.0, 6.584615384615385)","(6.0, 6.6, 6.35)"
15-12-2022 10:49:46.351290,"(14.0, 21.0, 20.6)","(14.0, 23.0, 22.6)","(12.0, 17.0, 16.666666666666668)","(2.8, 3.55, 3.519642857142857)","(8.0, 11.0, 10.804347826086957)","(5.5, 7.4, 7.181818181818182)","(41.0, 95.0, 84.28571428571428)","(5.5, 7.0, 6.46)","(6.0, 6.6, 6.433333333333333)"
15-12-2022 10:49:47.478435,"(14.0, 21.0, 20.6)","(14.0, 23.0, 22.6)","(12.0, 17.0, 16.454545454545453)","(2.8, 3.55, 3.519642857142857)","(8.0, 11.0, 10.678571428571429)","(5.5, 7.4, 7.181818181818182)","(41.0, 95.0, 84.28571428571428)","(5.5, 7.0, 6.5200000000000005)","(6.0, 6.6, 6.4363636363636365)"
15-12-2022 10:49:48.641429,"(14.0, 21.0, 20.6)","(14.0, 23.0, 22.6)","(12.0, 17.0, 16.454545454545453)","(2.8, 3.55, 3.519642857142857)","(8.0, 11.0, 10.678571428571429)","(5.5, 7.4, 7.181818181818182)","(41.0, 95.0, 84.28571428571428)","(5.5, 7.0, 6.466666666666667)","(6.0, 6.6, 6.505263157894737)"
15-12-2022 10:49:49.872721,"(14.0, 21.0, 20.6)","(14.0, 23.0, 22.6)","(12.0, 17.0, 15.8)","(2.9, 3.55, 3.519642857142857)","(8.0, 11.0, 10.678571428571429)","(5.5, 7.4, 7.1)","(41.0, 95.0, 84.28571428571428)","(5.5, 7.0, 6.466666666666667)","(6.0, 6.6, 6.505263157894737)"
15-12-2022 10:49:50.962058,"(14.0, 21.0, 20.6)","(14.0, 23.0, 22.6)","(12.0, 17.0, 16.076923076923077)","(2.9, 3.55, 3.5107692307692306)","(8.0, 11.0, 10.678571428571429)","(5.5, 7.4, 7.1)","(41.0, 95.0, 84.28571428571428)","(5.5, 7.0, 6.466666666666667)","(6.0, 6.6, 6.505263157894737)"
15-12-2022 10:49:52.123520,"(14.0, 21.0, 20.6)","(14.0, 23.0, 22.666666666666668)","(12.0, 17.0, 16.076923076923077)","(2.9, 3.55, 3.4986301369863013)","(8.0, 11.0, 10.678571428571429)","(5.5, 7.4, 7.428571428571428)","(41.0, 95.0, 84.28571428571428)","(5.5, 7.0, 6.466666666666667)","(6.0, 6.6, 6.505263157894737)"
15-12-2022 10:49:53.299459,"(14.0, 21.0, 20.6)","(14.0, 23.0, 22.714285714285715)","(11.0, 17.0, 16.076923076923077)","(2.9, 3.55, 3.4986301369863013)","(8.0, 11.0, 10.678571428571429)","(5.5, 7.6, 7.422222222222222)","(41.0, 95.0, 89.23076923076923)","(5.5, 6.8, 6.425)","(5.5, 6.6, 6.48)"
15-12-2022 10:49:54.485804,"(14.0, 21.0, 20.6)","(14.0, 23.0, 22.714285714285715)","(11.0, 17.0, 16.076923076923077)","(2.9, 3.55, 3.4948529411764704)","(8.0, 11.0, 10.678571428571429)","(5.5, 7.6, 7.422222222222222)","(41.0, 95.0, 89.23076923076923)","(5.5, 6.8, 6.425)","(5.5, 6.6, 6.48)"
15-12-2022 10:49:55.667320,"(14.0, 21.0, 20.6)","(14.0, 23.0, 22.714285714285715)","(11.0, 17.0, 16.076923076923077)","(2.9, 3.55, 3.4948529411764704)","(8.0, 11.0, 10.678571428571429)","(5.5, 7.6, 7.422222222222222)","(41.0, 95.0, 89.23076923076923)","(5.5, 6.8, 6.425)","(5.5, 6.6, 6.48)"
15-12-2022 10:49:56.854341,"(14.0, 21.0, 20.6)","(14.0, 23.0, 22.714285714285715)","(11.0, 17.0, 16.076923076923077)","(2.9, 3.55, 3.4837662337662336)","(8.0, 11.0, 10.76)","(5.5, 7.6, 7.347368421052631)","(41.0, 95.0, 89.23076923076923)","(5.5, 6.8, 6.404545454545454)","(5.5, 6.6, 6.48)"
15-12-2022 10:49:58.103859,"(14.0, 21.0, 19.90909090909091)","(14.0, 23.0, 22.714285714285715)","(11.0, 17.0, 16.076923076923077)","(2.9, 3.55, 3.4878048780487805)","(8.0, 11.0, 10.76)","(5.5, 7.6, 7.50204081632653)","(41.0, 95.0, 88.75)","(5.5, 6.8, 6.404545454545454)","(5.5, 6.6, 6.45)"
