,Aston General,Gyarados,Sugar Freak,Myola Pocket,Quinnley Bale,Scott To Burn,Extremely
07-01-2023 20:30:58.871119,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:00.027984,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:01.177134,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:02.291264,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:03.495443,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:04.616116,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:05.709777,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 16.25)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:06.921284,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 16.25)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:08.206552,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 16.25)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:09.427792,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 16.25)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:10.781307,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 16.25)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:11.857159,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 16.25)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:12.984235,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 43.125)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:14.201134,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 43.125)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:15.519674,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:16.665120,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:17.881496,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:18.976162,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:20.045857,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:21.117123,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:22.204384,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:23.273666,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:24.343264,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:25.798850,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:26.980897,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:28.209331,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:29.654248,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.487500000000001)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:30.821030,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.487500000000001)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:32.120122,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:33.186200,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:34.292468,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:35.384882,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:36.487344,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:37.421024,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:38.482549,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:39.547091,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 43.125)","(10.0, 21.0, 16.5)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:40.646000,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:41.649946,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:42.645268,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 4.573529411764706)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:43.612192,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.5, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:44.688361,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:45.880661,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:46.964168,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:48.006503,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:48.980028,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:50.037194,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:51.106945,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:52.168911,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:53.254827,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:54.353893,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:55.446207,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:56.776666,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:57.998766,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:31:59.115977,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:00.181234,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:01.458286,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:02.555841,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:03.749669,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:05.011608,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:06.186559,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:07.186889,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:08.570734,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:09.901706,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:11.032591,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:12.252612,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:13.447900,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:14.488608,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:15.595825,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:16.773494,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:17.909585,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:18.955594,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:19.926372,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:21.058295,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:22.183489,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:23.307104,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:24.381114,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:25.424312,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:26.453048,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:27.523040,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:28.586955,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:29.613906,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:30.684353,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:31.757195,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:32.897812,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:32:33.967921,"(5.0, 9.6, 6.6)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.68)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
