,Jackie Rose,Burn Rate,Pacific Rock,Baggys Gold,Merinda,Exiled,Pancho Tommy,Kiwi Turtle
11-01-2023 20:56:11.515081,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:12.591109,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:13.656600,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:14.673255,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:15.673659,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:16.694665,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:17.702327,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:18.714401,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:19.730371,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:20.723217,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:21.730638,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:22.773412,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:23.836587,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:24.879020,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:25.918338,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:26.966244,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:28.001848,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:29.045640,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:30.081841,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:31.106565,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:32.111419,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:33.116454,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.5, 12.88888888888889)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:34.098264,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.5, 12.88888888888889)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:35.082523,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.5, 12.88888888888889)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:36.102247,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.5, 12.88888888888889)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:37.118240,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.5, 12.88888888888889)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:38.138406,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:39.173913,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:40.211311,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:41.243037,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:42.260684,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:43.334266,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:44.412718,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:45.541857,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:46.617398,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:47.691528,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:48.811422,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:49.932607,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:50.984302,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:52.086058,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:53.118671,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 16.880000000000003)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:54.170008,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 16.880000000000003)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:55.230905,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 16.880000000000003)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:56.305441,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 16.880000000000003)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:57.447519,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 16.880000000000003)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:58.513897,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:59.533412,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:00.616987,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:01.658080,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:02.752555,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:03.781280,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:04.822342,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.727272727272727)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:05.917022,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:06.970734,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:07.960479,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:09.027581,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:10.088962,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:11.164901,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:12.250492,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:13.273795,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:14.444702,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:15.539792,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:16.620628,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:17.686638,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:18.762691,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:19.764993,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:20.724904,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:21.681326,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:22.661666,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.5, 12.88888888888889)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:23.704432,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:24.711380,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:57:25.815151,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 18.0, 13.885714285714286)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
