,Fake Magic,Taspinaro,Right Hook,Madetobebroken,Labby Rock,Tennessee Beach,Tricky Mikki,Snowbird,Destiny Force
11-01-2023 13:33:13.478744,"(2.15, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(6.0, 8.6, 7.285714285714286)","(10.0, 19.5, 16.833333333333332)","(14.0, 28.0, 22.75)","(12.0, 23.0, 20.0)","(3.2, 3.55, 3.375)","(31.0, 60.0, 40.0)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:14.676981,"(2.15, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(6.0, 8.6, 7.285714285714286)","(10.0, 19.5, 16.833333333333332)","(14.0, 28.0, 22.75)","(12.0, 23.0, 17.666666666666668)","(3.2, 3.55, 3.375)","(31.0, 60.0, 38.333333333333336)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:15.928232,"(2.15, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(6.0, 8.6, 7.484848484848484)","(10.0, 19.5, 17.192307692307693)","(14.0, 28.0, 22.75)","(12.0, 23.0, 19.0)","(3.2, 3.55, 3.375)","(31.0, 55.0, 38.333333333333336)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:17.110991,"(2.15, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(6.0, 8.6, 7.605405405405405)","(10.0, 19.5, 17.192307692307693)","(14.0, 28.0, 22.75)","(12.0, 23.0, 18.5)","(3.2, 3.55, 3.327272727272727)","(31.0, 55.0, 38.333333333333336)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:18.309517,"(2.15, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(5.5, 8.6, 7.605405405405405)","(10.0, 19.5, 17.192307692307693)","(14.0, 28.0, 22.75)","(12.0, 22.0, 18.5)","(3.2, 3.55, 3.327272727272727)","(31.0, 55.0, 38.333333333333336)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:19.501541,"(2.15, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(5.5, 8.6, 7.605405405405405)","(10.0, 19.5, 17.192307692307693)","(14.0, 28.0, 22.75)","(12.0, 22.0, 18.5)","(3.2, 3.55, 3.327272727272727)","(31.0, 55.0, 38.333333333333336)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:20.694366,"(2.2, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(5.5, 8.6, 8.178947368421053)","(10.0, 19.5, 17.192307692307693)","(14.0, 28.0, 22.75)","(12.0, 22.0, 18.5)","(3.2, 3.55, 3.477272727272727)","(31.0, 55.0, 38.333333333333336)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:21.917433,"(2.2, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(5.5, 8.6, 8.76842105263158)","(10.0, 19.5, 17.192307692307693)","(14.0, 28.0, 22.75)","(12.0, 22.0, 18.5)","(3.2, 3.55, 3.477272727272727)","(31.0, 55.0, 38.333333333333336)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:23.083270,"(2.2, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(5.5, 9.4, 8.317647058823528)","(10.0, 19.5, 17.192307692307693)","(14.0, 28.0, 22.75)","(12.0, 22.0, 18.5)","(3.2, 3.55, 3.375)","(31.0, 55.0, 38.333333333333336)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:24.179759,"(2.2, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(5.5, 8.6, 8.317647058823528)","(10.0, 19.5, 17.192307692307693)","(14.0, 28.0, 22.75)","(12.0, 22.0, 18.5)","(3.2, 3.55, 3.375)","(31.0, 55.0, 38.333333333333336)","(61.0, 140.0, 110.0)"
