,Cesar Bessan,Hypocrite,Mac Kalhoun,Sunday Bowler,Haather,Pariah Conviction,Supertremendous,Divine Charm
07-01-2023 11:20:44.713113,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:45.802142,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:46.932554,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:48.136309,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:49.240694,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:50.287447,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:51.393139,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:52.486479,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:53.710932,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:54.884296,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:56.140689,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:57.225097,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:58.379042,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:59.492147,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:21:00.648715,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:21:01.701114,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:21:02.807236,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:21:03.888838,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:21:05.099391,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:21:06.346163,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.040000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:21:07.544711,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.0, 10.040000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:21:08.665990,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.0, 10.040000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:21:09.720379,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.0, 10.040000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:21:10.818821,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.0, 10.040000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
