,Modulating,Zambora Lola,Kingsbrae Monica,Cherry Chunker,Burn The Edge,Tranquil Lindy,Nangar Candy,Esthers Rose
12-01-2023 10:49:17.685430,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:18.874789,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:20.010780,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:21.212158,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:22.378777,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:23.548311,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:24.750963,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:25.902736,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:27.012997,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:28.139514,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:29.206830,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:30.331301,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:31.456954,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:32.610685,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:33.786700,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:35.006908,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:36.145301,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.22727272727273)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:37.218736,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:38.294416,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:39.427895,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:40.546716,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:41.727024,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:42.904179,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:44.093761,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:45.197775,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:46.286222,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:47.302467,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:48.398646,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:49.472059,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:50.590818,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:51.766409,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:52.931509,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:54.090728,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:55.253252,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:56.420726,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:57.566321,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:58.777353,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:59.959601,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:01.060401,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:02.211823,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:03.364892,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:04.493401,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:05.578006,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:06.578606,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:07.691719,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:08.810913,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:50:10.013404,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 33.45454545454545)","(16.0, 46.0, 32.36363636363636)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
