,Levings,Brockton Bomber,Kingsbrae Beach,Flyaway Matty,Zeal Surprise,His Keen,Monkey Paw,Durwood
08-12-2022 13:59:26.781865,"(1.8, 2.26, 2.1135714285714284)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 23.357142857142858)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:28.003988,"(1.8, 2.26, 2.1135714285714284)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 23.357142857142858)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:29.273567,"(1.8, 2.26, 2.1135714285714284)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 23.357142857142858)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:30.468870,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 23.357142857142858)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:31.694229,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 23.357142857142858)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:33.126002,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 23.357142857142858)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:34.403501,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:35.619505,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:36.851519,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:38.297783,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:39.640476,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:40.929954,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:42.227057,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:43.462846,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:44.677904,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:45.758980,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:46.954394,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:48.251565,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:49.517637,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:50.878338,"(1.8, 2.24, 2.12)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:52.258869,"(1.8, 2.22, 2.087857142857143)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:53.549838,"(1.8, 2.22, 2.087857142857143)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:54.866817,"(1.8, 2.22, 2.087857142857143)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:56.100696,"(1.8, 2.22, 2.087857142857143)","(21.0, 100.0, 63.0)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:57.353302,"(1.8, 2.22, 2.087857142857143)","(21.0, 100.0, 63.0)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:58.641981,"(1.8, 2.22, 2.087857142857143)","(21.0, 100.0, 63.0)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:59.802249,"(1.8, 2.22, 2.087857142857143)","(21.0, 100.0, 63.0)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:01.088833,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 63.0)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:02.282981,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 63.0)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:03.678480,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 63.0)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:05.044128,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 62.0)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:06.410320,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 62.0)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:07.706582,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:09.006433,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:10.200735,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:11.390560,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:12.561092,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:13.893518,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:15.218755,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:16.521548,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:17.999908,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:19.511491,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:20.930508,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:22.269116,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:23.771735,"(1.8, 2.2, 2.0923076923076924)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:25.237231,"(1.8, 2.2, 2.0621428571428573)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:26.600549,"(1.8, 2.18, 2.0621428571428573)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:27.845046,"(1.8, 2.18, 2.0621428571428573)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:29.104407,"(1.8, 2.18, 2.0621428571428573)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:30.582990,"(1.8, 2.18, 2.0621428571428573)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:31.949928,"(1.8, 2.18, 2.0621428571428573)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:33.338779,"(1.8, 2.18, 2.0621428571428573)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:34.719152,"(1.8, 2.18, 2.0621428571428573)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:36.057794,"(1.8, 2.16, 2.0646153846153847)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:37.461621,"(1.8, 2.16, 2.0646153846153847)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:38.801057,"(1.8, 2.16, 2.0646153846153847)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:40.186953,"(1.8, 2.16, 2.0646153846153847)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 14:00:41.559082,"(1.8, 2.16, 2.0646153846153847)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
