,Bold Hunter,Kick On Command,Highground,Denims,Kaboom,Magic Palace,Gypsy Rozay,Motherlode
10-01-2023 15:21:32.111825,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 29.0, 27.0)","(11.0, 17.5, 16.0)","(81.0, 180.0, 135.0)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:33.183283,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 29.0, 27.0)","(11.0, 17.5, 16.0)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 107.14285714285714)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:34.319300,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 29.0, 27.0)","(11.0, 17.5, 16.0)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 107.14285714285714)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:35.466687,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 29.0, 27.0)","(11.0, 17.5, 16.0)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:36.589456,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 29.0, 27.0)","(11.0, 17.5, 16.0)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:37.605437,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.97875)","(2.4, 3.3, 3.1999999999999997)","(14.0, 29.0, 27.0)","(11.0, 17.5, 16.0)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:38.674895,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.97875)","(2.4, 3.3, 3.1999999999999997)","(14.0, 29.0, 27.0)","(11.0, 17.5, 16.0)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:39.809911,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.97875)","(2.4, 3.3, 3.1999999999999997)","(14.0, 29.0, 27.0)","(11.0, 17.5, 16.0)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:40.873428,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.97875)","(2.4, 3.3, 3.1999999999999997)","(14.0, 29.0, 27.0)","(11.0, 17.5, 16.0)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:41.894710,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.97875)","(2.4, 3.3, 3.1999999999999997)","(14.0, 29.0, 27.0)","(11.0, 17.5, 16.0)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:42.943675,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.97875)","(2.4, 3.3, 3.1999999999999997)","(14.0, 29.0, 26.714285714285715)","(11.0, 17.5, 16.0)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:44.033122,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 26.714285714285715)","(11.0, 17.5, 16.0)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:45.043568,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 27.333333333333332)","(11.0, 17.5, 16.0)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:46.067543,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 32.285714285714285)","(11.0, 17.5, 16.0)","(81.0, 180.0, 142.0)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:47.179338,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 32.285714285714285)","(11.0, 17.5, 16.0)","(81.0, 180.0, 142.0)","(31.0, 130.0, 103.33333333333334)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:48.293792,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 32.285714285714285)","(11.0, 17.5, 16.0)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:49.352849,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 32.285714285714285)","(11.0, 17.5, 16.0)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:50.445906,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 32.285714285714285)","(11.0, 17.5, 16.0)","(81.0, 180.0, 142.0)","(31.0, 130.0, 103.33333333333334)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:51.516819,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 32.285714285714285)","(11.0, 17.5, 16.0)","(81.0, 180.0, 142.0)","(31.0, 130.0, 103.33333333333334)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:52.671615,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 32.285714285714285)","(11.0, 17.5, 16.0)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:53.803950,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 32.285714285714285)","(11.0, 17.5, 16.0)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:54.948346,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 31.666666666666668)","(11.0, 17.5, 14.5)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 106.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:56.023120,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 31.666666666666668)","(11.0, 17.5, 14.5)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 106.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:57.165807,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 31.666666666666668)","(11.0, 17.5, 14.5)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:58.295536,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.987)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 31.666666666666668)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:59.460839,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.013333333333333)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 31.666666666666668)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:00.532565,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.013333333333333)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 31.666666666666668)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:01.671691,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.013333333333333)","(2.4, 3.3, 3.1999999999999997)","(14.0, 36.0, 31.666666666666668)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:02.750525,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.015483870967742)","(2.4, 3.3, 3.1999999999999997)","(14.0, 34.0, 30.666666666666668)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 126.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:03.884188,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.015483870967742)","(2.4, 3.3, 3.1999999999999997)","(14.0, 34.0, 30.666666666666668)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 141.42857142857144)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:05.038720,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.015483870967742)","(2.4, 3.3, 3.1999999999999997)","(14.0, 34.0, 30.666666666666668)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 141.42857142857144)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:06.129150,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.015483870967742)","(2.4, 3.3, 3.1999999999999997)","(14.0, 34.0, 30.666666666666668)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 141.42857142857144)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:07.173672,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.015483870967742)","(2.4, 3.3, 3.1999999999999997)","(14.0, 34.0, 30.666666666666668)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 141.42857142857144)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:08.296062,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.015483870967742)","(2.4, 3.3, 3.1999999999999997)","(14.0, 34.0, 30.666666666666668)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 141.42857142857144)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:09.399104,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.015483870967742)","(2.4, 3.3, 3.1999999999999997)","(14.0, 34.0, 30.666666666666668)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 141.42857142857144)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:10.390281,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.015483870967742)","(2.4, 3.3, 3.1999999999999997)","(14.0, 34.0, 30.666666666666668)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 141.42857142857144)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:11.419582,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.015483870967742)","(2.4, 3.3, 3.1999999999999997)","(14.0, 34.0, 29.333333333333332)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 141.42857142857144)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:12.514384,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.015483870967742)","(2.4, 3.3, 3.1999999999999997)","(14.0, 32.0, 26.666666666666668)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 141.42857142857144)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:13.590283,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.015483870967742)","(2.4, 3.3, 3.1999999999999997)","(14.0, 32.0, 29.333333333333332)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 141.42857142857144)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:14.649577,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.015483870967742)","(2.4, 3.3, 3.1999999999999997)","(14.0, 32.0, 27.0)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 141.42857142857144)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:15.702953,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.015483870967742)","(2.4, 3.3, 3.1999999999999997)","(14.0, 30.0, 26.4)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 141.42857142857144)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:16.801455,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.0156923076923077)","(2.4, 3.3, 3.1999999999999997)","(14.0, 30.0, 26.4)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 150.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:17.888681,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.0156923076923077)","(2.4, 3.3, 3.1999999999999997)","(14.0, 30.0, 26.4)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 150.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:18.995871,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.0156923076923077)","(2.4, 3.3, 3.1999999999999997)","(14.0, 30.0, 26.4)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 150.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:20.066478,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.0156923076923077)","(2.4, 3.3, 3.1999999999999997)","(14.0, 30.0, 26.4)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 150.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:21.178142,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.0156923076923077)","(2.4, 3.3, 3.1999999999999997)","(14.0, 30.0, 26.4)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 150.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:22.273150,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.0156923076923077)","(2.4, 3.3, 3.1999999999999997)","(14.0, 30.0, 26.4)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 150.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:23.367213,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.0156923076923077)","(2.4, 3.3, 3.1999999999999997)","(14.0, 30.0, 26.4)","(11.0, 17.5, 15.166666666666666)","(81.0, 180.0, 150.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:24.489281,"(8.0, 16.0, 13.5)","(1.95, 2.02, 2.0025)","(2.4, 3.3, 3.1999999999999997)","(14.0, 30.0, 26.4)","(11.0, 15.0, 14.375)","(81.0, 180.0, 150.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:25.505800,"(8.0, 16.0, 13.136363636363637)","(1.95, 2.04, 2.0175)","(2.4, 3.3, 3.2285714285714286)","(14.0, 30.0, 26.4)","(11.0, 15.0, 14.375)","(81.0, 180.0, 150.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:26.581965,"(8.0, 16.0, 13.136363636363637)","(1.95, 2.04, 2.0025)","(2.4, 3.3, 3.2333333333333334)","(14.0, 30.0, 26.4)","(11.0, 15.0, 14.375)","(81.0, 180.0, 150.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:27.772760,"(8.0, 16.0, 13.136363636363637)","(1.95, 2.04, 2.0025)","(2.4, 3.3, 3.2333333333333334)","(14.0, 30.0, 26.4)","(11.0, 15.0, 14.727272727272727)","(81.0, 180.0, 150.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:28.892188,"(8.0, 15.5, 13.5)","(1.95, 2.04, 1.9885714285714287)","(2.4, 3.3, 3.2333333333333334)","(14.0, 30.0, 29.4)","(11.0, 15.0, 14.727272727272727)","(81.0, 180.0, 150.0)","(31.0, 130.0, 106.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:29.959783,"(8.0, 15.5, 13.5)","(1.95, 2.04, 2.0)","(2.4, 3.3, 3.2333333333333334)","(14.0, 30.0, 29.4)","(11.0, 15.0, 14.727272727272727)","(81.0, 180.0, 150.0)","(31.0, 130.0, 106.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:31.045874,"(8.0, 15.5, 13.5)","(1.95, 2.04, 2.0)","(2.4, 3.3, 3.2333333333333334)","(14.0, 30.0, 29.4)","(11.0, 15.0, 14.727272727272727)","(81.0, 180.0, 135.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:32.152387,"(8.0, 15.5, 13.5)","(1.95, 2.04, 2.033271028037383)","(2.4, 3.3, 3.2384615384615385)","(14.0, 30.0, 29.363636363636363)","(11.0, 15.0, 14.727272727272727)","(81.0, 180.0, 135.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:33.258416,"(8.0, 15.5, 13.5)","(1.95, 2.04, 2.033271028037383)","(2.4, 3.3, 3.2384615384615385)","(14.0, 30.0, 26.88888888888889)","(11.0, 15.0, 14.727272727272727)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:34.320744,"(8.0, 15.5, 15.166666666666666)","(1.95, 2.04, 1.9915384615384615)","(2.4, 3.3, 3.2384615384615385)","(14.0, 30.0, 28.666666666666668)","(11.0, 15.0, 14.727272727272727)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:35.349533,"(8.0, 15.5, 15.166666666666666)","(1.95, 2.04, 2.000625)","(2.4, 3.3, 3.2384615384615385)","(14.0, 30.0, 29.5)","(11.0, 15.0, 14.727272727272727)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:36.469211,"(8.0, 15.5, 15.0)","(1.95, 2.04, 1.9945)","(2.4, 3.3, 3.2384615384615385)","(14.0, 30.0, 29.5)","(11.0, 15.0, 14.727272727272727)","(81.0, 180.0, 152.85714285714286)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:37.521468,"(8.0, 15.5, 15.071428571428571)","(1.95, 2.04, 1.9986363636363635)","(2.4, 3.3, 3.2384615384615385)","(14.0, 30.0, 29.5)","(11.0, 15.0, 14.727272727272727)","(81.0, 180.0, 142.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:38.586713,"(8.0, 15.5, 13.4375)","(1.95, 2.04, 2.011578947368421)","(2.4, 3.3, 3.25)","(14.0, 30.0, 29.57142857142857)","(11.0, 15.0, 16.5)","(81.0, 180.0, 120.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:39.644450,"(8.0, 15.5, 13.4375)","(1.95, 2.04, 2.011578947368421)","(2.4, 3.3, 3.25)","(14.0, 30.0, 29.57142857142857)","(11.0, 19.5, 15.75)","(81.0, 180.0, 144.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:40.697152,"(8.0, 15.5, 13.4375)","(1.95, 2.04, 2.011578947368421)","(2.4, 3.3, 3.25)","(14.0, 30.0, 29.57142857142857)","(11.0, 19.5, 15.75)","(81.0, 180.0, 144.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 112.5)"
10-01-2023 15:22:41.804469,"(8.0, 15.5, 13.4375)","(1.95, 2.04, 2.006086956521739)","(2.4, 3.3, 3.25)","(14.0, 30.0, 29.57142857142857)","(11.0, 19.5, 16.333333333333332)","(81.0, 180.0, 120.0)","(31.0, 130.0, 74.0)","(81.0, 150.0, 100.0)"
