,Maxima,Diamond Neena,Clarks A Lark,Nighthawk Jink,Homebush Sparkle,Homebush Bentley,Know Gloating,Sozins Royal
05-01-2023 13:45:18.062869,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:19.364137,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:20.602418,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:21.645776,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:22.725781,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:23.807252,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:24.998614,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:26.149562,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:27.210869,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:28.314752,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:29.465088,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:30.650438,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:31.776744,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:32.950523,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:34.101684,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:35.225651,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:36.402188,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:37.474513,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:38.604349,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:39.598498,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:40.664709,"(2.3, 3.65, 3.1634285714285713)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:41.856312,"(2.3, 3.65, 3.1634285714285713)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:42.912629,"(2.3, 3.65, 3.1634285714285713)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:43.931328,"(2.3, 3.65, 3.1634285714285713)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:44.959702,"(2.3, 3.65, 3.1634285714285713)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:45.979038,"(2.3, 3.65, 3.1634285714285713)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:47.064274,"(2.3, 3.65, 3.1634285714285713)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:48.085226,"(2.3, 3.65, 3.1634285714285713)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:49.122220,"(2.3, 3.65, 3.1634285714285713)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:50.170037,"(2.3, 3.65, 3.1634285714285713)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:51.286357,"(2.3, 3.65, 3.1634285714285713)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:52.360820,"(2.3, 3.65, 2.995)","(3.3, 6.8, 5.161538461538461)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:53.368055,"(2.3, 3.65, 2.995)","(3.3, 6.8, 5.161538461538461)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:54.557426,"(2.3, 3.65, 2.995)","(3.3, 6.8, 5.161538461538461)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:55.670692,"(2.3, 3.65, 2.995)","(3.3, 6.8, 5.161538461538461)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:56.700227,"(2.3, 3.65, 2.995)","(3.3, 6.8, 5.161538461538461)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:57.758992,"(2.3, 3.65, 2.995)","(3.3, 6.8, 5.161538461538461)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:58.726781,"(2.3, 3.65, 2.995)","(3.3, 6.8, 5.161538461538461)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:59.722121,"(2.3, 3.65, 2.995)","(3.3, 6.8, 5.161538461538461)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:00.707018,"(2.3, 3.65, 2.995)","(3.3, 6.8, 5.161538461538461)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:01.694454,"(2.3, 3.65, 2.995)","(3.3, 6.8, 5.161538461538461)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:02.702473,"(2.3, 3.65, 2.995)","(3.3, 6.8, 5.161538461538461)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:03.777261,"(2.3, 3.65, 2.995)","(3.3, 6.8, 5.161538461538461)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:04.812981,"(2.3, 3.65, 2.995)","(3.3, 6.8, 5.161538461538461)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:05.904647,"(2.3, 3.65, 2.995)","(3.3, 6.4, 4.946153846153846)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:07.056517,"(2.3, 3.65, 2.995)","(3.3, 6.4, 4.946153846153846)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:08.268536,"(2.3, 3.65, 2.995)","(3.3, 6.4, 4.946153846153846)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:09.442283,"(2.3, 3.65, 2.995)","(3.3, 6.4, 4.946153846153846)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:10.530038,"(2.3, 3.65, 2.995)","(3.3, 6.4, 4.946153846153846)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:11.693021,"(2.3, 3.65, 2.995)","(3.3, 6.4, 4.925)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:12.758564,"(2.3, 3.65, 2.995)","(3.3, 6.6, 4.925)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:14.044496,"(2.3, 3.65, 2.995)","(3.3, 6.6, 4.925)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:15.249379,"(2.3, 3.65, 2.995)","(3.3, 6.6, 4.925)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:16.282622,"(2.3, 3.65, 2.995)","(3.3, 6.6, 4.925)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:17.346331,"(2.3, 3.65, 2.995)","(3.3, 6.6, 4.925)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:18.479549,"(2.3, 3.65, 2.995)","(3.3, 6.6, 4.925)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:19.519401,"(2.3, 3.65, 2.995)","(3.3, 6.6, 4.675)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:20.567452,"(2.3, 3.65, 2.995)","(3.3, 6.4, 4.709090909090909)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:21.663665,"(2.3, 3.65, 2.995)","(3.3, 6.4, 4.709090909090909)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:22.749384,"(2.3, 3.65, 2.995)","(3.3, 6.4, 4.709090909090909)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:23.964234,"(2.3, 3.65, 2.995)","(3.3, 6.4, 4.709090909090909)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:25.158468,"(2.3, 3.65, 2.995)","(3.3, 6.4, 4.709090909090909)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:26.297026,"(2.3, 3.65, 2.995)","(3.3, 6.4, 4.709090909090909)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:46:27.610243,"(2.3, 3.65, 2.995)","(3.3, 6.4, 4.709090909090909)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
