,Our Cheeky Devil,Just As Well Nz,El Boston,Lord Verde Nz,Modern Bliss,Balenciago,Gottahaveahobbie,Our Madiba Nz,Duffy Hollow Nz
11-01-2023 18:43:16.833847,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:17.931739,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:19.053697,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:20.242929,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:21.447332,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:22.678167,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:23.867233,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:24.987580,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:26.225367,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:27.422593,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:28.679864,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:29.891812,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:31.079849,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:32.323462,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:33.562931,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:34.825784,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:36.152700,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:37.433759,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:38.740043,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:39.947802,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:41.111016,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:42.328070,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:43.598591,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:44.940206,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:46.199075,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
