,Pepper Spray,Barossa,Midnight Mojo,The Black Strat,Pure Rocket,Forgotten Vows,The Green Crusader,Exxel
10-01-2023 08:05:50.233665,"(3.2, 4.4, 4.045833333333333)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:51.341720,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(18.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:52.414041,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(18.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:53.421575,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(18.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:54.472501,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(18.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:55.529996,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(18.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 16.42857142857143)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 9.1875)"
10-01-2023 08:05:56.565526,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 2.9125)","(18.0, 230.0, 215.56666666666666)","(6.5, 11.5, 7.966666666666667)","(12.0, 30.0, 16.42857142857143)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 9.1875)"
10-01-2023 08:05:57.642105,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 2.9125)","(18.0, 230.0, 215.56666666666666)","(6.5, 11.5, 8.85)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:58.688407,"(3.2, 4.4, 4.29375)","(2.5, 3.05, 2.907142857142857)","(18.0, 230.0, 215.56666666666666)","(6.5, 11.5, 8.85)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:59.718641,"(3.2, 4.4, 4.29375)","(2.5, 3.05, 2.907142857142857)","(18.0, 230.0, 215.56666666666666)","(6.5, 11.5, 8.85)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
