,Tri For Us,Big Screen,Megazone,Bold Success,Downforce,Hardly Ever,Sentimental Hero,Knot Secret,Hear Me Sing,Sketta
07-01-2023 17:24:01.650469,"(12.0, 18.5, 17.0)","(9.0, 14.5, 13.884615384615385)","(18.0, 24.0, 23.379310344827587)","(71.0, 100.0, 92.0)","(21.0, 40.0, 33.26315789473684)","(2.4, 2.88, 2.8302439024390242)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.4, 5.324)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:03.043750,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.214285714285714)","(18.0, 24.0, 23.379310344827587)","(71.0, 100.0, 92.0)","(21.0, 40.0, 33.26315789473684)","(2.4, 2.88, 2.8302439024390242)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.4, 5.433333333333334)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:04.384692,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.214285714285714)","(18.0, 24.0, 23.379310344827587)","(71.0, 100.0, 92.0)","(21.0, 40.0, 32.42857142857143)","(2.4, 2.88, 2.8302439024390242)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.5, 5.446666666666667)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:05.694646,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.214285714285714)","(18.0, 24.0, 23.379310344827587)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.42857142857143)","(2.4, 2.88, 2.8704)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.5, 5.46140350877193)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:07.016888,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.318181818181818)","(18.0, 24.0, 23.379310344827587)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.42857142857143)","(2.4, 2.88, 2.8704)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.5, 5.46140350877193)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:08.327269,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.318181818181818)","(18.0, 24.0, 23.379310344827587)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.42857142857143)","(2.4, 2.88, 2.858181818181818)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.5, 5.433333333333334)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:09.610167,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.318181818181818)","(18.0, 24.0, 22.941176470588236)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.42857142857143)","(2.4, 2.88, 2.858181818181818)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.5, 5.446341463414634)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:10.798894,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.25)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.42857142857143)","(2.4, 2.88, 2.8512)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.5, 5.446341463414634)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:12.027882,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.25)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.42857142857143)","(2.4, 2.88, 2.8512)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.5, 5.446341463414634)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:13.264073,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.25)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.42857142857143)","(2.4, 2.88, 2.8512)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.5, 5.446341463414634)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:14.599059,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.25)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.42857142857143)","(2.4, 2.88, 2.8512)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.5, 5.506923076923077)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:16.084364,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.25)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.42857142857143)","(2.4, 2.88, 2.8585185185185185)","(3.9, 4.5, 4.36764705882353)","(4.8, 5.6, 5.49)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:17.494102,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.25)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.42857142857143)","(2.4, 2.9, 2.847857142857143)","(3.9, 4.4, 4.36764705882353)","(4.8, 5.6, 5.49)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:18.886587,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.25)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.42857142857143)","(2.4, 2.88, 2.842285714285714)","(3.9, 4.4, 4.36764705882353)","(4.8, 5.6, 5.4895927601809955)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:20.094164,"(12.0, 18.5, 17.1)","(9.0, 14.5, 14.25)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.666666666666664)","(2.4, 2.88, 2.870503597122302)","(3.9, 4.4, 4.36764705882353)","(4.8, 5.6, 5.4895927601809955)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:21.269240,"(12.0, 18.5, 17.1)","(9.0, 14.5, 14.25)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.666666666666664)","(2.4, 2.88, 2.870503597122302)","(3.9, 4.4, 4.36764705882353)","(4.8, 5.6, 5.54126213592233)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:22.504623,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.25)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.666666666666664)","(2.4, 2.88, 2.870503597122302)","(3.9, 4.4, 4.36764705882353)","(4.8, 5.6, 5.54126213592233)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:23.752887,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.25)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.666666666666664)","(2.4, 2.88, 2.870503597122302)","(3.9, 4.4, 4.36764705882353)","(4.8, 5.6, 5.54126213592233)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:24.930481,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.25)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.666666666666664)","(2.4, 2.88, 2.870503597122302)","(3.9, 4.4, 4.36764705882353)","(4.8, 5.6, 5.54126213592233)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:26.129222,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.25)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.666666666666664)","(2.4, 2.88, 2.870503597122302)","(3.9, 4.4, 4.36764705882353)","(4.8, 5.6, 5.54126213592233)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:27.305614,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.25)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.666666666666664)","(2.4, 2.88, 2.870503597122302)","(3.9, 4.4, 4.36764705882353)","(4.8, 5.6, 5.54126213592233)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:28.522145,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.357142857142858)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.666666666666664)","(2.4, 2.88, 2.870503597122302)","(3.9, 4.4, 4.373493975903615)","(4.8, 5.6, 5.54126213592233)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:29.714851,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.357142857142858)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.774193548387096)","(2.4, 2.88, 2.870503597122302)","(3.9, 4.4, 4.373493975903615)","(4.8, 5.6, 5.54126213592233)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:30.874135,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.357142857142858)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.774193548387096)","(2.4, 2.88, 2.870503597122302)","(3.9, 4.4, 4.4107142857142865)","(4.8, 5.6, 5.508333333333333)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:32.029910,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.357142857142858)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.774193548387096)","(2.4, 2.88, 2.870503597122302)","(3.9, 4.5, 4.440740740740741)","(4.8, 5.6, 5.524074074074074)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:33.210143,"(12.0, 18.5, 17.0)","(9.0, 14.5, 14.357142857142858)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 36.0, 32.774193548387096)","(2.4, 2.88, 2.870503597122302)","(3.9, 4.5, 4.402777777777779)","(4.8, 5.6, 5.519402985074627)","(31.0, 55.0, 45.333333333333336)","(41.0, 80.0, 79.54545454545455)"
07-01-2023 17:24:34.493701,"(12.0, 18.5, 17.692307692307693)","(9.0, 15.0, 14.549180327868852)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 34.0, 32.1)","(2.4, 2.86, 2.8441509433962264)","(3.9, 4.5, 4.402777777777779)","(4.8, 5.6, 5.478651685393259)","(31.0, 48.0, 45.333333333333336)","(41.0, 80.0, 78.03030303030303)"
07-01-2023 17:24:35.693882,"(12.0, 18.5, 17.692307692307693)","(9.0, 15.0, 14.549180327868852)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 34.0, 32.1)","(2.4, 2.86, 2.8441509433962264)","(3.9, 4.5, 4.402777777777779)","(4.8, 5.6, 5.478651685393259)","(31.0, 48.0, 45.333333333333336)","(41.0, 85.0, 78.03030303030303)"
07-01-2023 17:24:36.842241,"(12.0, 18.5, 17.692307692307693)","(9.0, 15.0, 14.549180327868852)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 34.0, 32.1)","(2.4, 2.86, 2.8441509433962264)","(3.9, 4.5, 4.402777777777779)","(4.8, 5.6, 5.478651685393259)","(31.0, 48.0, 45.333333333333336)","(41.0, 85.0, 78.03030303030303)"
07-01-2023 17:24:37.986735,"(12.0, 18.5, 17.692307692307693)","(9.0, 15.0, 14.549180327868852)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 34.0, 32.05128205128205)","(2.4, 2.86, 2.83)","(3.9, 4.5, 4.402777777777779)","(4.8, 5.6, 5.461538461538462)","(31.0, 48.0, 45.333333333333336)","(41.0, 85.0, 78.03030303030303)"
07-01-2023 17:24:39.136781,"(12.0, 18.5, 17.692307692307693)","(9.0, 15.0, 14.549180327868852)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 34.0, 32.05128205128205)","(2.4, 2.86, 2.83)","(3.9, 4.5, 4.402777777777779)","(4.8, 5.6, 5.461538461538462)","(31.0, 48.0, 45.333333333333336)","(41.0, 85.0, 78.03030303030303)"
07-01-2023 17:24:40.302727,"(12.0, 18.5, 17.692307692307693)","(9.0, 15.0, 14.549180327868852)","(18.0, 24.0, 23.181818181818183)","(71.0, 100.0, 92.0)","(21.0, 34.0, 30.545454545454547)","(2.4, 2.86, 2.83)","(3.9, 4.5, 4.40948275862069)","(4.8, 5.6, 5.519402985074627)","(31.0, 48.0, 45.333333333333336)","(41.0, 85.0, 78.03030303030303)"
07-01-2023 17:24:41.544629,"(12.0, 18.5, 17.692307692307693)","(9.0, 15.0, 14.549180327868852)","(18.0, 24.0, 22.88888888888889)","(71.0, 100.0, 92.0)","(21.0, 34.0, 30.545454545454547)","(2.4, 2.82, 2.8289999999999997)","(3.9, 4.5, 4.40948275862069)","(4.8, 5.6, 5.50948905109489)","(31.0, 48.0, 42.75)","(41.0, 85.0, 76.78571428571429)"
07-01-2023 17:24:42.772070,"(12.0, 18.5, 17.692307692307693)","(9.0, 15.0, 14.517543859649123)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 92.0)","(21.0, 34.0, 30.545454545454547)","(2.4, 2.84, 2.8246808510638295)","(3.9, 4.5, 4.406557377049181)","(4.8, 5.7, 5.50948905109489)","(31.0, 48.0, 42.75)","(41.0, 85.0, 76.78571428571429)"
07-01-2023 17:24:44.008551,"(12.0, 18.5, 17.692307692307693)","(9.0, 15.0, 14.517543859649123)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 92.0)","(21.0, 34.0, 32.05128205128205)","(2.4, 2.84, 2.8246808510638295)","(3.9, 4.5, 4.406557377049181)","(4.8, 5.7, 5.50948905109489)","(31.0, 48.0, 42.75)","(41.0, 85.0, 76.78571428571429)"
07-01-2023 17:24:45.176679,"(12.0, 18.5, 17.692307692307693)","(9.0, 15.0, 14.517543859649123)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 92.0)","(21.0, 34.0, 32.05128205128205)","(2.4, 2.84, 2.8246808510638295)","(3.9, 4.5, 4.369714285714285)","(4.8, 5.7, 5.509318996415771)","(31.0, 48.0, 42.75)","(41.0, 85.0, 76.78571428571429)"
07-01-2023 17:24:46.433410,"(12.0, 18.5, 17.692307692307693)","(9.0, 15.0, 14.517543859649123)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 92.0)","(21.0, 34.0, 32.05128205128205)","(2.4, 2.84, 2.8246808510638295)","(3.9, 4.5, 4.391044776119403)","(4.8, 5.7, 5.509318996415771)","(31.0, 48.0, 42.75)","(41.0, 85.0, 76.78571428571429)"
07-01-2023 17:24:47.684625,"(12.0, 18.5, 17.692307692307693)","(9.0, 15.0, 14.517543859649123)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 92.0)","(21.0, 34.0, 32.05128205128205)","(2.4, 2.84, 2.8285714285714283)","(3.9, 4.4, 4.391044776119403)","(4.8, 5.7, 5.509318996415771)","(31.0, 48.0, 40.25)","(41.0, 85.0, 78.57142857142857)"
07-01-2023 17:24:48.897558,"(12.0, 18.5, 17.916666666666668)","(9.0, 15.0, 14.517543859649123)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 95.0)","(21.0, 34.0, 32.05128205128205)","(2.4, 2.84, 2.8285714285714283)","(3.9, 4.4, 4.393846153846154)","(4.8, 5.7, 5.509318996415771)","(31.0, 44.0, 40.25)","(41.0, 80.0, 78.57142857142857)"
07-01-2023 17:24:50.090609,"(12.0, 18.5, 17.916666666666668)","(9.0, 15.0, 14.525862068965518)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 95.0)","(21.0, 34.0, 32.05128205128205)","(2.4, 2.84, 2.8285714285714283)","(3.9, 4.4, 4.396825396825397)","(4.8, 5.7, 5.509318996415771)","(31.0, 44.0, 40.25)","(41.0, 80.0, 78.57142857142857)"
07-01-2023 17:24:51.267243,"(12.0, 19.0, 17.875)","(9.0, 15.0, 14.517543859649123)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 95.0)","(21.0, 34.0, 32.05128205128205)","(2.4, 2.84, 2.8285714285714283)","(3.9, 4.4, 4.396825396825397)","(4.8, 5.7, 5.509318996415771)","(31.0, 44.0, 40.25)","(41.0, 80.0, 78.57142857142857)"
07-01-2023 17:24:52.479824,"(12.0, 19.0, 17.875)","(9.0, 15.0, 14.517543859649123)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 95.0)","(21.0, 34.0, 32.1)","(2.4, 2.84, 2.828292682926829)","(3.9, 4.4, 4.409803921568628)","(4.8, 5.7, 5.509318996415771)","(31.0, 44.0, 40.25)","(41.0, 80.0, 78.57142857142857)"
07-01-2023 17:24:53.645325,"(12.0, 19.0, 17.821428571428573)","(9.0, 15.0, 14.517543859649123)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 95.0)","(21.0, 34.0, 32.1)","(2.4, 2.84, 2.828292682926829)","(3.9, 4.5, 4.409803921568628)","(4.8, 5.7, 5.509318996415771)","(31.0, 44.0, 40.25)","(41.0, 80.0, 78.57142857142857)"
07-01-2023 17:24:54.781740,"(12.0, 19.0, 17.821428571428573)","(9.0, 15.0, 14.517543859649123)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 95.0)","(21.0, 34.0, 32.1)","(2.4, 2.84, 2.828292682926829)","(3.9, 4.5, 4.409803921568628)","(4.8, 5.7, 5.509318996415771)","(31.0, 44.0, 40.25)","(41.0, 80.0, 78.57142857142857)"
07-01-2023 17:24:55.984480,"(12.0, 19.0, 17.821428571428573)","(9.0, 15.0, 14.517543859649123)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 95.0)","(21.0, 34.0, 32.1)","(2.4, 2.84, 2.828292682926829)","(3.9, 4.5, 4.409803921568628)","(4.8, 5.7, 5.509318996415771)","(31.0, 44.0, 40.25)","(41.0, 80.0, 78.57142857142857)"
07-01-2023 17:24:57.180428,"(12.0, 19.0, 17.821428571428573)","(9.0, 15.0, 14.517543859649123)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 95.0)","(21.0, 34.0, 32.1)","(2.4, 2.84, 2.828292682926829)","(3.9, 4.5, 4.379738562091503)","(4.8, 5.7, 5.509318996415771)","(31.0, 44.0, 40.25)","(41.0, 80.0, 78.57142857142857)"
07-01-2023 17:24:58.413140,"(12.0, 19.0, 17.95)","(9.0, 15.0, 14.517543859649123)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 95.0)","(21.0, 34.0, 32.1)","(2.4, 2.84, 2.828292682926829)","(3.9, 4.5, 4.379738562091503)","(4.8, 5.7, 5.509318996415771)","(31.0, 44.0, 39.714285714285715)","(41.0, 80.0, 78.57142857142857)"
07-01-2023 17:24:59.635375,"(12.0, 19.0, 17.95)","(9.0, 15.0, 14.508928571428571)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 95.0)","(21.0, 34.0, 32.1)","(2.4, 2.84, 2.828292682926829)","(3.9, 4.5, 4.379738562091503)","(4.8, 5.7, 5.509318996415771)","(31.0, 42.0, 39.714285714285715)","(41.0, 80.0, 78.57142857142857)"
07-01-2023 17:25:00.797316,"(12.0, 19.0, 17.95)","(9.0, 15.0, 14.508928571428571)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 95.0)","(21.0, 34.0, 32.1)","(2.4, 2.84, 2.828292682926829)","(3.9, 4.5, 4.379738562091503)","(4.8, 5.7, 5.509318996415771)","(31.0, 42.0, 39.714285714285715)","(41.0, 80.0, 78.57142857142857)"
07-01-2023 17:25:01.932481,"(12.0, 19.0, 17.95)","(9.0, 15.0, 14.508928571428571)","(18.0, 24.0, 22.46153846153846)","(71.0, 100.0, 93.33333333333333)","(21.0, 34.0, 32.27272727272727)","(2.4, 2.84, 2.828292682926829)","(3.9, 4.5, 4.379738562091503)","(4.8, 5.7, 5.509318996415771)","(31.0, 42.0, 39.714285714285715)","(41.0, 80.0, 78.57142857142857)"
07-01-2023 17:25:03.129248,"(12.0, 19.0, 17.95)","(9.0, 15.0, 14.508928571428571)","(18.0, 24.0, 23.210526315789473)","(71.0, 100.0, 93.33333333333333)","(21.0, 34.0, 32.27272727272727)","(2.4, 2.84, 2.828292682926829)","(3.9, 4.5, 4.379738562091503)","(4.8, 5.7, 5.509318996415771)","(31.0, 42.0, 39.714285714285715)","(41.0, 80.0, 78.57142857142857)"
07-01-2023 17:25:04.345341,"(12.0, 19.0, 17.95)","(9.0, 15.0, 14.508928571428571)","(18.0, 24.0, 23.210526315789473)","(71.0, 100.0, 93.33333333333333)","(21.0, 34.0, 32.27272727272727)","(2.4, 2.84, 2.828292682926829)","(3.9, 4.5, 4.375675675675676)","(4.8, 5.7, 5.55)","(31.0, 42.0, 39.714285714285715)","(41.0, 80.0, 78.57142857142857)"
07-01-2023 17:25:05.551029,"(12.0, 19.0, 17.95)","(9.0, 15.0, 14.61)","(18.0, 24.0, 23.210526315789473)","(71.0, 100.0, 95.0)","(21.0, 34.0, 32.38297872340426)","(2.4, 2.84, 2.818260869565217)","(3.9, 4.5, 4.389820359281437)","(4.8, 5.6, 5.55)","(31.0, 42.0, 39.6)","(41.0, 80.0, 78.88888888888889)"
07-01-2023 17:25:06.757703,"(12.0, 19.0, 18.833333333333332)","(9.0, 15.0, 14.663793103448276)","(18.0, 24.0, 22.727272727272727)","(71.0, 100.0, 95.0)","(21.0, 34.0, 32.38297872340426)","(2.4, 2.82, 2.8335999999999997)","(3.9, 4.5, 4.374829931972789)","(4.8, 5.6, 5.55)","(31.0, 42.0, 39.714285714285715)","(41.0, 80.0, 78.88888888888889)"
07-01-2023 17:25:07.911006,"(12.0, 19.0, 18.833333333333332)","(9.0, 15.0, 14.663793103448276)","(18.0, 24.0, 22.727272727272727)","(71.0, 100.0, 95.0)","(21.0, 34.0, 32.38297872340426)","(2.4, 2.84, 2.817627118644068)","(3.9, 4.5, 4.390163934426229)","(4.8, 5.6, 5.55)","(31.0, 42.0, 39.714285714285715)","(41.0, 80.0, 78.88888888888889)"
07-01-2023 17:25:09.124038,"(12.0, 20.0, 18.76923076923077)","(9.0, 15.0, 14.639705882352942)","(18.0, 24.0, 22.727272727272727)","(71.0, 100.0, 95.0)","(21.0, 34.0, 32.391304347826086)","(2.4, 2.82, 2.816)","(3.9, 4.5, 4.416250000000001)","(4.8, 5.6, 5.558974358974359)","(31.0, 42.0, 39.714285714285715)","(41.0, 80.0, 78.88888888888889)"
07-01-2023 17:25:10.293286,"(12.0, 20.0, 18.76923076923077)","(9.0, 15.0, 14.6484375)","(18.0, 24.0, 22.727272727272727)","(71.0, 100.0, 95.0)","(21.0, 34.0, 32.391304347826086)","(2.4, 2.82, 2.816)","(3.9, 4.5, 4.416250000000001)","(4.8, 5.6, 5.558974358974359)","(31.0, 42.0, 39.714285714285715)","(41.0, 80.0, 78.88888888888889)"
