,Earstagrin,Forever More,Tiza New Day,Extortion,Sarge,Lucky Zara,Mista Moose,Frozen Jewel,Questro Queen Nz
07-12-2022 17:44:48.053523,"(81.0, 410.0, 290.0)","(15.0, 26.0, 24.083333333333336)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.5)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 7.2333333333333325)","(6.0, 99999, 99990)"
07-12-2022 17:44:49.199824,"(81.0, 410.0, 336.1538461538462)","(15.0, 26.0, 24.083333333333336)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.5)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 7.2333333333333325)","(6.0, 99999, 99990)"
07-12-2022 17:44:50.535243,"(81.0, 410.0, 336.1538461538462)","(15.0, 26.0, 24.083333333333336)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.6)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 7.2333333333333325)","(6.0, 99999, 99990)"
07-12-2022 17:44:51.763698,"(81.0, 410.0, 321.3636363636364)","(15.0, 26.0, 23.333333333333332)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.6)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:52.940649,"(81.0, 410.0, 321.3636363636364)","(15.0, 26.0, 23.333333333333332)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.6)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:54.251682,"(81.0, 410.0, 321.3636363636364)","(15.0, 26.0, 23.333333333333332)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.5)","(7.5, 13.0, 11.6)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:55.569662,"(81.0, 410.0, 321.3636363636364)","(15.0, 26.0, 23.333333333333332)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.5)","(7.5, 13.0, 11.6)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:57.017581,"(81.0, 410.0, 336.1538461538462)","(15.0, 26.0, 24.083333333333336)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.6)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:58.378643,"(81.0, 410.0, 321.3636363636364)","(15.0, 26.0, 23.333333333333332)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.86)","(7.5, 13.0, 11.6)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:59.592399,"(81.0, 410.0, 290.0)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.6)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:00.791874,"(81.0, 410.0, 290.0)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.6)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:01.917385,"(81.0, 410.0, 290.0)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.6)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:03.090233,"(81.0, 410.0, 321.3636363636364)","(15.0, 26.0, 23.6)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.86)","(7.5, 13.0, 11.6)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:04.218342,"(81.0, 410.0, 321.3636363636364)","(15.0, 26.0, 23.6)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.86)","(7.5, 13.0, 11.6)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:05.341053,"(81.0, 410.0, 290.0)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.6)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:06.411414,"(81.0, 410.0, 290.0)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.6)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:07.485260,"(81.0, 410.0, 290.0)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.6)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:08.584415,"(81.0, 410.0, 290.0)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.6)","(31.0, 130.0, 85.45454545454545)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:09.670861,"(81.0, 410.0, 290.0)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.6)","(31.0, 130.0, 85.45454545454545)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:10.775497,"(81.0, 410.0, 290.0)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.6)","(31.0, 130.0, 85.45454545454545)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:11.934397,"(81.0, 410.0, 290.0)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.6)","(31.0, 130.0, 82.0)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:13.052013,"(81.0, 410.0, 321.3636363636364)","(15.0, 26.0, 23.6)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.5)","(7.5, 13.0, 10.0)","(31.0, 130.0, 82.0)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:14.220308,"(81.0, 410.0, 321.3636363636364)","(15.0, 26.0, 23.6)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.5)","(7.5, 13.0, 10.0)","(31.0, 130.0, 82.0)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:15.296910,"(81.0, 410.0, 321.3636363636364)","(15.0, 26.0, 23.6)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.5)","(7.5, 13.0, 11.8)","(31.0, 130.0, 82.0)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:16.476998,"(81.0, 410.0, 252.5)","(15.0, 26.0, 23.6)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.958333333333334)","(7.5, 13.0, 11.8)","(31.0, 130.0, 85.45454545454545)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:17.585245,"(81.0, 410.0, 252.5)","(15.0, 26.0, 23.6)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.958333333333334)","(7.5, 13.0, 11.8)","(31.0, 130.0, 85.45454545454545)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:18.775306,"(81.0, 410.0, 252.5)","(15.0, 26.0, 23.6)","(3.7, 7.2, 5.3125)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.8)","(31.0, 130.0, 85.45454545454545)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:19.994738,"(81.0, 410.0, 321.3636363636364)","(15.0, 26.0, 23.6)","(3.7, 6.8, 5.8)","(3.4, 6.4, 5.5)","(7.5, 13.0, 11.8)","(31.0, 130.0, 85.45454545454545)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:21.172748,"(81.0, 410.0, 293.75)","(15.0, 26.0, 23.6)","(3.7, 7.8, 6.925)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.8)","(31.0, 130.0, 85.45454545454545)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:22.385555,"(81.0, 410.0, 293.75)","(15.0, 26.0, 23.6)","(3.7, 8.2, 5.6875)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.8)","(31.0, 130.0, 68.75)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:23.571875,"(81.0, 410.0, 293.75)","(15.0, 26.0, 23.6)","(3.7, 8.0, 5.6875)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.8)","(31.0, 120.0, 90.5)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:24.738176,"(81.0, 410.0, 328.75)","(15.0, 26.0, 23.6)","(3.7, 8.0, 5.6875)","(3.4, 6.4, 5.5)","(7.5, 13.0, 11.8)","(31.0, 110.0, 90.5)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:25.897945,"(81.0, 410.0, 328.75)","(15.0, 26.0, 23.6)","(3.7, 7.8, 6.3999999999999995)","(3.4, 6.4, 5.5)","(7.5, 13.0, 11.8)","(31.0, 110.0, 90.5)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:27.109215,"(81.0, 410.0, 328.75)","(15.0, 26.0, 23.6)","(3.7, 7.8, 6.3999999999999995)","(3.4, 6.4, 5.5)","(7.5, 13.0, 11.8)","(31.0, 110.0, 90.5)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:28.368901,"(81.0, 410.0, 330.0)","(15.0, 26.0, 23.6)","(3.7, 7.8, 5.5375)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.8)","(31.0, 110.0, 88.28571428571429)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:29.638094,"(81.0, 410.0, 330.0)","(15.0, 26.0, 23.6)","(3.7, 7.6, 5.5375)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.8)","(31.0, 110.0, 97.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:31.119337,"(81.0, 410.0, 330.0)","(15.0, 26.0, 23.6)","(3.7, 7.4, 5.628571428571428)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.8)","(31.0, 110.0, 88.28571428571429)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:32.488189,"(81.0, 410.0, 330.0)","(15.0, 26.0, 23.6)","(3.7, 7.4, 5.628571428571428)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.8)","(31.0, 110.0, 88.28571428571429)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:33.864409,"(81.0, 410.0, 272.8571428571429)","(15.0, 26.0, 23.6)","(3.7, 8.4, 5.3875)","(3.4, 6.4, 5.5)","(7.5, 13.0, 11.8)","(31.0, 110.0, 90.5)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:35.300035,"(81.0, 410.0, 337.30769230769226)","(15.0, 26.0, 23.6)","(3.7, 7.2, 5.3875)","(3.4, 6.4, 5.958333333333334)","(7.5, 13.0, 11.8)","(31.0, 110.0, 97.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:37.095288,"(81.0, 410.0, 277.1428571428571)","(15.0, 26.0, 23.6)","(3.7, 7.2, 5.3875)","(3.4, 6.4, 5.958333333333334)","(8.0, 13.0, 11.8)","(31.0, 110.0, 97.33333333333333)","(7.5, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:38.700305,"(81.0, 410.0, 277.1428571428571)","(15.0, 26.0, 24.666666666666664)","(3.7, 7.2, 5.92)","(3.4, 6.4, 5.5)","(8.0, 13.0, 11.8)","(31.0, 110.0, 90.5)","(7.5, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:40.194988,"(81.0, 410.0, 293.75)","(15.0, 30.0, 24.666666666666664)","(3.7, 7.0, 5.6875)","(3.4, 6.4, 5.642857142857143)","(8.0, 13.0, 11.8)","(31.0, 110.0, 88.28571428571429)","(7.5, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:45:41.628115,"(81.0, 410.0, 297.5)","(15.0, 30.0, 24.666666666666664)","(3.7, 8.0, 6.3999999999999995)","(3.4, 6.4, 5.958333333333334)","(8.0, 13.0, 9.166666666666666)","(31.0, 110.0, 97.33333333333333)","(7.5, 15.5, 10.5)","(5.0, 7.6, 7.175)","(6.0, 99999, 99990)"
07-12-2022 17:45:43.208140,"(91.0, 410.0, 340.7692307692308)","(15.0, 30.0, 24.666666666666664)","(3.7, 7.8, 6.3999999999999995)","(3.4, 6.4, 5.642857142857143)","(8.0, 10.5, 9.166666666666666)","(31.0, 110.0, 88.28571428571429)","(7.5, 15.5, 10.5)","(5.0, 7.8, 6.457142857142857)","(6.0, 99999, 99990)"
07-12-2022 17:45:44.717607,"(91.0, 410.0, 297.5)","(15.0, 30.0, 24.666666666666664)","(3.7, 7.8, 6.3999999999999995)","(3.4, 6.4, 5.5)","(8.0, 10.5, 11.0)","(31.0, 110.0, 90.5)","(7.5, 15.5, 13.625)","(5.0, 8.0, 6.457142857142857)","(6.0, 99999, 99990)"
07-12-2022 17:45:46.153746,"(91.0, 410.0, 328.75)","(15.0, 30.0, 24.666666666666664)","(3.7, 7.8, 6.3999999999999995)","(3.4, 6.4, 5.5)","(8.0, 13.0, 11.0)","(31.0, 110.0, 90.5)","(7.5, 15.5, 13.625)","(5.0, 8.0, 6.457142857142857)","(6.0, 99999, 99990)"
