,Lizzie Lou,Winlock Tilly,Magic Avenue,Another Fay,Optimus Bruce,Pinned,My Luck Many,Tralee Wolf
11-01-2023 13:42:55.965267,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.779999999999999)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:42:57.034690,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.779999999999999)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:42:58.192193,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.779999999999999)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:42:59.358474,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.779999999999999)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:00.523419,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.55)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:01.642646,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.6)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:02.659971,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.6)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:03.690581,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.6)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:04.844949,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.6)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:05.956130,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.6)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:07.025919,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.6)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:08.298615,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.6)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:09.441076,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.6)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:10.516823,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.6)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:11.598712,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.6)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:12.633830,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.6)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:13.737941,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.6)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:15.073760,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.6)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:16.169770,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.6)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:17.321015,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.68235294117647)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:18.545821,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.68235294117647)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 31.88888888888889)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:19.758803,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.68235294117647)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:20.918394,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.68235294117647)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:21.995602,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.68235294117647)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:23.163521,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.699999999999999)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:24.365861,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.699999999999999)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:25.561568,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.699999999999999)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:26.684429,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.699999999999999)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:27.749568,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.699999999999999)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:28.854971,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.699999999999999)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:30.068655,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.699999999999999)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:31.193297,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.699999999999999)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:32.312835,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.699999999999999)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:33.481332,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.876190476190476)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:34.753727,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.876190476190476)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:35.919546,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.876190476190476)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:37.121589,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.876190476190476)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:38.160152,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.876190476190476)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:39.351526,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.7294117647058815)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:40.579235,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.7294117647058815)","(61.0, 560.0, 281.5625)","(18.0, 48.0, 28.666666666666664)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:41.787316,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.7294117647058815)","(61.0, 560.0, 192.5)","(18.0, 48.0, 31.88888888888889)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 25.333333333333336)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:43.104734,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 8.6, 7.3375)","(61.0, 560.0, 192.5)","(18.0, 48.0, 31.88888888888889)","(1.6, 2.28, 1.7177777777777778)","(11.0, 27.0, 22.46153846153846)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:44.333512,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 9.4, 6.333333333333333)","(61.0, 560.0, 192.5)","(18.0, 48.0, 31.88888888888889)","(1.6, 1.99, 1.7325)","(11.0, 29.0, 22.46153846153846)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:45.746951,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 6.333333333333333)","(61.0, 560.0, 192.5)","(18.0, 48.0, 31.88888888888889)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 22.46153846153846)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:47.189891,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 6.333333333333333)","(61.0, 560.0, 192.5)","(18.0, 48.0, 31.88888888888889)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 22.46153846153846)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:48.407590,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 6.333333333333333)","(61.0, 560.0, 192.5)","(18.0, 48.0, 37.22222222222222)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 22.46153846153846)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:49.594668,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 6.333333333333333)","(61.0, 560.0, 192.5)","(18.0, 60.0, 37.22222222222222)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 22.46153846153846)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:50.769578,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 6.333333333333333)","(61.0, 560.0, 192.5)","(18.0, 60.0, 37.22222222222222)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 22.46153846153846)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:51.899459,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 6.333333333333333)","(61.0, 560.0, 192.5)","(18.0, 60.0, 37.22222222222222)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 22.46153846153846)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:53.027422,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 7.962962962962963)","(61.0, 560.0, 192.5)","(18.0, 60.0, 37.22222222222222)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 22.46153846153846)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:54.140975,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 7.962962962962963)","(61.0, 560.0, 192.5)","(18.0, 60.0, 32.666666666666664)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 22.46153846153846)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:55.252870,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 7.962962962962963)","(61.0, 560.0, 192.5)","(18.0, 60.0, 32.666666666666664)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 22.46153846153846)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:56.396100,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 7.962962962962963)","(61.0, 560.0, 192.5)","(18.0, 60.0, 32.666666666666664)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 22.46153846153846)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:57.577012,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 7.962962962962963)","(61.0, 560.0, 192.5)","(18.0, 60.0, 32.666666666666664)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 22.46153846153846)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:58.729282,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 7.962962962962963)","(61.0, 560.0, 192.5)","(18.0, 60.0, 32.666666666666664)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 22.46153846153846)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:43:59.805792,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 7.962962962962963)","(61.0, 560.0, 192.5)","(18.0, 60.0, 32.666666666666664)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 22.46153846153846)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:44:00.986148,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 7.754166666666666)","(61.0, 560.0, 192.5)","(18.0, 60.0, 32.666666666666664)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 22.46153846153846)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:44:02.198256,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 7.754166666666666)","(61.0, 560.0, 192.5)","(18.0, 60.0, 32.666666666666664)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 19.833333333333332)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:44:03.378866,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 7.221052631578948)","(61.0, 560.0, 192.5)","(18.0, 60.0, 32.666666666666664)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 19.833333333333332)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:44:04.681011,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 7.221052631578948)","(61.0, 560.0, 192.5)","(18.0, 60.0, 32.666666666666664)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 19.833333333333332)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:44:05.909953,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 10.0, 8.3)","(61.0, 560.0, 192.5)","(18.0, 60.0, 32.666666666666664)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 19.833333333333332)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:44:07.043338,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 9.8, 8.3)","(61.0, 560.0, 192.5)","(18.0, 60.0, 32.666666666666664)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 19.0)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:44:08.147014,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 9.8, 8.3)","(61.0, 560.0, 192.5)","(18.0, 60.0, 32.666666666666664)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 19.3125)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:44:09.268965,"(9.0, 16.5, 16.131147540983605)","(7.0, 13.0, 9.436363636363637)","(4.2, 9.8, 8.3)","(61.0, 560.0, 192.5)","(18.0, 60.0, 27.6)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 19.3125)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:44:10.476896,"(9.0, 16.5, 13.7625)","(7.0, 13.0, 9.436363636363637)","(4.2, 9.8, 8.3)","(61.0, 560.0, 192.5)","(18.0, 60.0, 27.6)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 19.3125)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:44:11.666899,"(9.0, 16.5, 13.457142857142857)","(7.0, 13.0, 9.436363636363637)","(4.2, 9.8, 8.3)","(61.0, 560.0, 192.5)","(18.0, 60.0, 27.6)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 19.3125)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:44:12.788213,"(9.0, 16.5, 13.457142857142857)","(7.0, 13.0, 9.436363636363637)","(4.2, 9.8, 8.3)","(61.0, 560.0, 192.5)","(18.0, 60.0, 27.6)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 21.954545454545453)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:44:13.913556,"(9.0, 16.5, 13.457142857142857)","(7.0, 13.0, 9.436363636363637)","(4.2, 9.8, 8.3)","(61.0, 560.0, 192.5)","(18.0, 60.0, 27.6)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 19.9375)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:44:15.035235,"(9.0, 16.5, 13.457142857142857)","(7.0, 13.5, 9.618181818181819)","(4.2, 9.8, 8.3)","(61.0, 560.0, 192.5)","(18.0, 60.0, 27.6)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 19.9375)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:44:16.388123,"(9.0, 16.5, 13.457142857142857)","(7.0, 13.5, 9.618181818181819)","(4.2, 9.8, 8.3)","(61.0, 560.0, 192.5)","(18.0, 60.0, 27.6)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 19.9375)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:44:17.747945,"(9.0, 16.5, 13.457142857142857)","(7.0, 13.5, 9.618181818181819)","(4.2, 9.8, 8.3)","(61.0, 560.0, 192.5)","(18.0, 60.0, 27.6)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 22.409090909090907)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:44:19.018005,"(9.0, 16.5, 13.457142857142857)","(7.0, 13.5, 9.618181818181819)","(4.2, 9.8, 8.3)","(61.0, 560.0, 192.5)","(18.0, 60.0, 27.6)","(1.6, 1.98, 1.7325)","(11.0, 29.0, 20.25)","(21.0, 65.0, 53.41379310344828)"
