,Vitesse,Flat Bill,Samaronti,Helms Deep,Mine To Hold,Diggers Diamond,Longtail,Contraflow
15-12-2022 12:23:32.418053,"(3.5, 4.2, 4.091666666666667)","(12.0, 18.5, 14.75)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.666666666666664)","(31.0, 240.0, 165.0909090909091)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
15-12-2022 12:23:33.663567,"(3.5, 4.2, 4.091666666666667)","(12.0, 18.5, 14.75)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.666666666666664)","(31.0, 240.0, 165.0909090909091)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
15-12-2022 12:23:34.817838,"(3.5, 4.2, 4.091666666666667)","(12.0, 18.5, 14.75)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.666666666666664)","(31.0, 240.0, 165.0909090909091)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
15-12-2022 12:23:36.088184,"(3.5, 4.2, 4.081818181818182)","(12.0, 18.5, 14.75)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.666666666666664)","(31.0, 240.0, 165.0909090909091)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
15-12-2022 12:23:37.084923,"(3.5, 4.2, 4.081818181818182)","(12.0, 18.5, 14.75)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.666666666666664)","(31.0, 240.0, 193.33333333333331)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
15-12-2022 12:23:38.192133,"(3.5, 4.2, 4.081818181818182)","(12.0, 18.5, 18.38888888888889)","(4.0, 5.9, 5.625)","(8.0, 13.0, 10.264705882352942)","(9.0, 24.0, 23.666666666666664)","(31.0, 240.0, 193.33333333333331)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
15-12-2022 12:23:39.336126,"(3.5, 4.2, 4.081818181818182)","(12.0, 18.5, 18.38888888888889)","(4.0, 5.9, 5.625)","(8.0, 12.5, 11.5)","(9.0, 24.0, 23.666666666666664)","(31.0, 240.0, 193.33333333333331)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
15-12-2022 12:23:40.481073,"(3.5, 4.2, 4.081818181818182)","(12.0, 18.5, 17.75)","(4.0, 5.9, 5.625)","(8.0, 12.5, 11.5)","(9.0, 24.0, 23.666666666666664)","(31.0, 240.0, 193.33333333333331)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
15-12-2022 12:23:41.576051,"(3.5, 4.2, 4.081818181818182)","(12.0, 19.0, 18.0)","(4.0, 5.9, 5.625)","(8.0, 12.5, 11.5)","(9.0, 24.0, 23.666666666666664)","(31.0, 240.0, 193.33333333333331)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
15-12-2022 12:23:42.598761,"(3.5, 4.2, 4.081818181818182)","(12.0, 19.0, 18.0)","(4.0, 5.9, 5.625)","(8.0, 12.5, 11.5)","(9.0, 24.0, 23.666666666666664)","(31.0, 240.0, 193.33333333333331)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.575)"
15-12-2022 12:23:43.680967,"(3.5, 4.1, 3.9999999999999996)","(12.0, 18.5, 17.75)","(4.0, 5.9, 5.625)","(8.0, 12.5, 11.5)","(9.0, 24.0, 23.666666666666664)","(31.0, 240.0, 193.33333333333331)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.575)"
15-12-2022 12:23:44.828833,"(3.5, 4.1, 3.9999999999999996)","(12.0, 18.5, 17.75)","(4.0, 5.9, 5.625)","(8.0, 12.5, 11.5)","(9.0, 24.0, 23.666666666666664)","(31.0, 240.0, 193.33333333333331)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.575)"
15-12-2022 12:23:45.923690,"(3.3, 4.1, 3.9999999999999996)","(12.0, 18.5, 17.75)","(4.0, 5.9, 5.625)","(8.0, 12.5, 11.5)","(11.0, 24.0, 23.666666666666664)","(41.0, 240.0, 193.33333333333331)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.575)"
15-12-2022 12:23:46.962062,"(3.3, 4.1, 3.9999999999999996)","(12.0, 18.5, 17.75)","(4.0, 5.9, 5.625)","(8.0, 12.5, 11.5)","(11.0, 24.0, 23.666666666666664)","(41.0, 240.0, 214.54545454545453)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.575)"
15-12-2022 12:23:48.008067,"(3.3, 4.1, 3.9999999999999996)","(12.0, 18.5, 18.166666666666668)","(4.0, 5.9, 5.625)","(8.0, 12.5, 11.5)","(11.0, 24.0, 21.2)","(41.0, 240.0, 214.54545454545453)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
15-12-2022 12:23:49.120718,"(3.3, 4.1, 3.9)","(12.0, 18.5, 18.071428571428573)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.5)","(11.0, 24.0, 21.2)","(41.0, 240.0, 214.54545454545453)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
15-12-2022 12:23:50.351490,"(3.3, 4.1, 3.9)","(12.0, 18.5, 18.071428571428573)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.5)","(11.0, 24.0, 22.10666666666667)","(41.0, 240.0, 214.54545454545453)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
15-12-2022 12:23:51.335163,"(3.3, 4.1, 4.045454545454545)","(12.0, 18.5, 18.071428571428573)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.5)","(11.0, 24.0, 22.10666666666667)","(41.0, 240.0, 214.54545454545453)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
15-12-2022 12:23:52.407638,"(3.3, 4.1, 3.9999999999999996)","(12.0, 18.5, 18.071428571428573)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.5)","(11.0, 24.0, 22.10666666666667)","(41.0, 240.0, 214.54545454545453)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
15-12-2022 12:23:53.420981,"(3.3, 4.1, 3.9999999999999996)","(12.0, 18.5, 18.071428571428573)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.5)","(11.0, 24.0, 21.3375)","(41.0, 240.0, 214.54545454545453)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
15-12-2022 12:23:54.593621,"(3.3, 4.1, 3.9999999999999996)","(13.0, 18.5, 18.071428571428573)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.5)","(11.0, 24.0, 20.055555555555557)","(41.0, 240.0, 214.54545454545453)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
15-12-2022 12:23:55.706678,"(3.3, 4.1, 3.9999999999999996)","(13.0, 18.5, 18.071428571428573)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.5)","(11.0, 24.0, 20.055555555555557)","(41.0, 240.0, 76.8)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.3)"
15-12-2022 12:23:56.888507,"(3.3, 4.0, 3.94375)","(13.0, 75.0, 41.66666666666667)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.5)","(11.0, 24.0, 22.58)","(41.0, 240.0, 205.0)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.3)"
15-12-2022 12:23:58.107472,"(3.3, 4.0, 3.94375)","(13.0, 65.0, 57.0)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.5)","(11.0, 24.0, 22.58)","(41.0, 240.0, 205.0)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.3)"
15-12-2022 12:23:59.228983,"(3.5, 4.0, 3.94375)","(13.0, 70.0, 54.857142857142854)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.5)","(9.0, 24.0, 22.58)","(31.0, 240.0, 205.0)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:00.347588,"(3.5, 4.0, 3.94375)","(13.0, 70.0, 54.857142857142854)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.5)","(9.0, 24.0, 22.58)","(31.0, 240.0, 205.0)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:01.374928,"(3.5, 4.0, 3.94375)","(13.0, 65.0, 51.285714285714285)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.5)","(9.0, 24.0, 22.58)","(31.0, 240.0, 205.0)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:02.438426,"(3.5, 4.0, 3.94375)","(13.0, 65.0, 51.285714285714285)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.5)","(9.0, 24.0, 17.25)","(31.0, 240.0, 205.0)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:03.442312,"(3.5, 4.0, 3.94)","(13.0, 65.0, 51.285714285714285)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.333333333333334)","(9.0, 24.0, 17.25)","(31.0, 240.0, 205.0)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:04.464652,"(3.5, 4.0, 3.94)","(13.0, 65.0, 51.285714285714285)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.5)","(9.0, 24.0, 15.0)","(31.0, 240.0, 205.0)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.75)"
15-12-2022 12:24:05.520854,"(3.5, 4.0, 3.94)","(13.0, 65.0, 51.285714285714285)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.5)","(9.0, 24.0, 15.0)","(31.0, 240.0, 205.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.75)"
15-12-2022 12:24:06.585060,"(3.5, 4.0, 3.94)","(13.0, 65.0, 51.285714285714285)","(4.0, 5.9, 5.625)","(8.0, 14.0, 11.5)","(9.0, 24.0, 15.0)","(31.0, 240.0, 205.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.75)"
15-12-2022 12:24:07.712914,"(3.5, 4.0, 3.94)","(13.0, 65.0, 51.285714285714285)","(4.0, 5.9, 5.625)","(8.0, 13.0, 10.264705882352942)","(9.0, 24.0, 21.0)","(31.0, 240.0, 205.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:08.776793,"(3.5, 3.95, 3.896666666666667)","(13.0, 60.0, 47.714285714285715)","(4.0, 5.9, 5.625)","(8.0, 13.0, 10.264705882352942)","(9.0, 24.0, 21.0)","(31.0, 240.0, 205.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:10.147802,"(3.5, 3.95, 3.896666666666667)","(13.0, 60.0, 44.142857142857146)","(4.0, 5.9, 5.625)","(8.0, 13.0, 11.5)","(9.0, 23.0, 22.235294117647058)","(31.0, 240.0, 205.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:11.202468,"(3.5, 3.95, 3.896666666666667)","(13.0, 55.0, 44.142857142857146)","(4.0, 5.9, 5.625)","(8.0, 12.5, 11.5)","(9.0, 24.0, 22.235294117647058)","(31.0, 240.0, 205.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:12.270463,"(3.5, 3.95, 3.896666666666667)","(13.0, 55.0, 44.142857142857146)","(4.0, 5.9, 5.625)","(8.0, 12.5, 11.5)","(9.0, 24.0, 20.4375)","(31.0, 240.0, 205.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:13.284222,"(3.5, 3.95, 3.896666666666667)","(13.0, 55.0, 44.142857142857146)","(4.0, 5.9, 5.625)","(8.0, 12.5, 11.5)","(9.0, 24.0, 20.4375)","(31.0, 240.0, 205.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:14.632046,"(3.5, 4.3, 4.159375)","(13.0, 55.0, 44.142857142857146)","(4.0, 5.9, 5.625)","(8.0, 12.5, 11.5)","(9.0, 24.0, 20.4375)","(31.0, 240.0, 205.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:15.770767,"(3.5, 4.3, 4.246428571428571)","(13.0, 55.0, 44.142857142857146)","(4.0, 5.9, 5.625)","(8.0, 12.5, 11.5)","(9.0, 24.0, 20.4375)","(31.0, 240.0, 205.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:16.830332,"(3.3, 4.3, 4.246428571428571)","(13.0, 55.0, 41.66666666666667)","(4.0, 5.9, 5.625)","(8.0, 12.5, 11.5)","(10.0, 24.0, 20.4375)","(41.0, 240.0, 76.8)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:17.898922,"(3.3, 4.3, 4.246428571428571)","(13.0, 55.0, 44.142857142857146)","(4.0, 5.9, 5.66)","(8.0, 12.5, 11.5)","(10.0, 24.0, 20.4375)","(41.0, 240.0, 200.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:18.987143,"(3.3, 4.3, 4.246428571428571)","(13.0, 55.0, 44.142857142857146)","(4.0, 5.9, 5.716666666666667)","(8.0, 12.5, 11.5)","(10.0, 24.0, 19.77777777777778)","(41.0, 240.0, 200.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:20.080364,"(3.3, 4.5, 4.373333333333333)","(13.0, 50.0, 40.57142857142857)","(4.0, 5.9, 5.716666666666667)","(8.0, 12.5, 11.5)","(10.0, 24.0, 17.25)","(41.0, 240.0, 200.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:21.245369,"(3.3, 4.5, 4.32)","(13.0, 50.0, 40.57142857142857)","(4.0, 5.9, 5.716666666666667)","(8.0, 12.5, 11.5)","(10.0, 24.0, 17.25)","(41.0, 240.0, 200.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:22.292566,"(3.3, 5.3, 4.96)","(13.0, 50.0, 40.57142857142857)","(4.0, 5.9, 5.716666666666667)","(8.0, 12.5, 11.5)","(10.0, 24.0, 17.25)","(41.0, 240.0, 200.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:23.285865,"(3.3, 5.3, 4.96)","(13.0, 50.0, 40.57142857142857)","(4.0, 5.9, 5.716666666666667)","(8.0, 12.5, 10.9375)","(10.0, 24.0, 17.25)","(41.0, 240.0, 200.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:24.282570,"(3.3, 5.3, 4.846666666666667)","(13.0, 50.0, 40.57142857142857)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 17.25)","(41.0, 240.0, 200.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:25.348591,"(3.3, 5.3, 4.846666666666667)","(13.0, 50.0, 40.57142857142857)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 17.25)","(41.0, 240.0, 200.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:26.410568,"(3.5, 5.3, 4.846666666666667)","(13.0, 50.0, 40.57142857142857)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 17.25)","(31.0, 240.0, 200.0)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:27.443479,"(3.5, 5.3, 4.45)","(13.0, 50.0, 40.57142857142857)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 17.25)","(31.0, 240.0, 215.6521739130435)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:28.545674,"(3.5, 5.2, 4.666666666666667)","(13.0, 50.0, 40.57142857142857)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 17.25)","(31.0, 240.0, 215.6521739130435)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:29.669344,"(3.5, 5.2, 4.666666666666667)","(13.0, 50.0, 40.57142857142857)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 17.25)","(31.0, 240.0, 215.6521739130435)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:30.734829,"(3.5, 5.2, 5.022222222222222)","(13.0, 50.0, 40.57142857142857)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 17.25)","(31.0, 240.0, 215.6521739130435)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:31.765451,"(3.5, 5.2, 5.022222222222222)","(13.0, 50.0, 40.57142857142857)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 19.333333333333332)","(31.0, 240.0, 215.6521739130435)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:32.746892,"(3.5, 5.2, 5.022222222222222)","(13.0, 50.0, 40.57142857142857)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 19.333333333333332)","(31.0, 240.0, 215.6521739130435)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:33.792762,"(3.5, 5.2, 5.022222222222222)","(13.0, 48.0, 39.142857142857146)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 19.333333333333332)","(31.0, 240.0, 215.6521739130435)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:34.833651,"(3.5, 5.2, 5.022222222222222)","(13.0, 48.0, 39.142857142857146)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 19.333333333333332)","(31.0, 240.0, 215.6521739130435)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:35.815492,"(3.4, 5.2, 4.666666666666667)","(13.0, 48.0, 39.142857142857146)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 19.333333333333332)","(41.0, 240.0, 215.6521739130435)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:36.883530,"(3.4, 5.2, 4.666666666666667)","(13.0, 48.0, 39.142857142857146)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 19.333333333333332)","(41.0, 240.0, 215.6521739130435)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:38.076011,"(3.4, 5.2, 5.022222222222222)","(13.0, 48.0, 26.333333333333336)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 19.333333333333332)","(41.0, 240.0, 76.8)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:39.078550,"(3.4, 5.2, 4.514285714285714)","(13.0, 48.0, 39.142857142857146)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 15.95)","(41.0, 240.0, 189.0909090909091)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:40.100110,"(3.4, 5.1, 4.933333333333334)","(13.0, 48.0, 39.142857142857146)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 15.95)","(41.0, 240.0, 189.0909090909091)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:41.063111,"(3.4, 5.1, 4.933333333333334)","(13.0, 48.0, 39.142857142857146)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 18.633333333333333)","(41.0, 240.0, 189.0909090909091)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:42.083890,"(3.4, 5.1, 4.933333333333334)","(13.0, 48.0, 39.142857142857146)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 18.633333333333333)","(31.0, 240.0, 189.0909090909091)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:43.129810,"(3.4, 5.1, 4.933333333333334)","(13.0, 46.0, 37.714285714285715)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 15.75)","(31.0, 240.0, 189.0909090909091)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
15-12-2022 12:24:44.202049,"(3.4, 5.1, 4.933333333333334)","(13.0, 46.0, 37.714285714285715)","(4.0, 5.9, 5.716666666666667)","(8.0, 14.0, 11.5)","(10.0, 24.0, 15.444444444444445)","(31.0, 240.0, 189.0909090909091)","(5.5, 6.6, 5.9)","(3.5, 5.2, 4.3)"
