,Copy Cat,Solar Circles,Victa Makayla,Aston Chaffy,Gemtree Mercury
16-12-2022 13:56:41.818998,"(3.2, 5.8, 5.1)","(4.6, 5.9, 5.824074074074074)","(10.0, 14.0, 12.7)","(3.2, 6.6, 5.0)","(3.9, 5.4, 4.607142857142858)"
16-12-2022 13:56:42.601920,"(3.2, 5.8, 5.566666666666666)","(4.6, 5.9, 5.824074074074074)","(10.0, 14.0, 12.7)","(3.2, 6.6, 5.0)","(3.9, 5.7, 4.607142857142858)"
16-12-2022 13:56:43.407753,"(3.2, 5.8, 5.583333333333333)","(4.6, 7.0, 6.883333333333333)","(10.0, 14.0, 12.7)","(3.2, 6.6, 5.0)","(3.9, 5.7, 3.7649999999999997)"
16-12-2022 13:56:44.186370,"(3.2, 5.8, 5.583333333333333)","(4.6, 7.0, 6.883333333333333)","(10.0, 14.0, 12.7)","(3.2, 6.6, 5.0)","(3.9, 5.6, 3.96)"
16-12-2022 13:56:45.059455,"(3.2, 5.8, 5.583333333333333)","(4.6, 6.8, 6.690740740740741)","(10.0, 14.0, 12.7)","(3.2, 6.4, 5.08)","(3.9, 5.6, 4.711111111111111)"
16-12-2022 13:56:45.913762,"(3.4, 5.8, 5.583333333333333)","(4.0, 5.9, 5.824074074074074)","(9.0, 14.0, 12.7)","(3.4, 6.4, 5.02)","(3.7, 5.6, 5.018181818181818)"
16-12-2022 13:56:46.793068,"(3.4, 5.8, 5.566666666666666)","(4.0, 6.2, 6.112962962962963)","(9.0, 14.0, 12.7)","(3.4, 6.4, 5.02)","(3.7, 5.6, 5.018181818181818)"
16-12-2022 13:56:47.714631,"(3.4, 5.8, 5.566666666666666)","(4.0, 6.2, 6.112962962962963)","(9.0, 14.0, 12.7)","(3.4, 6.4, 4.611111111111111)","(3.7, 5.6, 5.018181818181818)"
16-12-2022 13:56:48.574617,"(3.4, 5.8, 5.583333333333333)","(4.0, 5.9, 5.566666666666667)","(9.0, 14.0, 12.7)","(3.4, 6.2, 4.3625)","(3.7, 5.6, 5.018181818181818)"
16-12-2022 13:56:49.444141,"(3.4, 5.8, 5.6)","(4.0, 5.8, 5.483333333333333)","(9.0, 14.0, 12.7)","(3.4, 6.2, 4.2749999999999995)","(3.7, 5.6, 5.018181818181818)"
16-12-2022 13:56:50.365078,"(3.4, 5.8, 5.6)","(4.0, 5.6, 5.316666666666666)","(9.0, 14.0, 12.7)","(3.4, 6.0, 4.311111111111111)","(3.7, 5.6, 4.933333333333333)"
16-12-2022 13:56:51.224075,"(3.4, 5.8, 5.6)","(4.0, 5.6, 5.316666666666666)","(9.0, 14.0, 12.7)","(3.4, 6.0, 4.311111111111111)","(3.7, 5.6, 4.933333333333333)"
16-12-2022 13:56:52.096256,"(3.4, 5.8, 5.6)","(4.0, 5.6, 5.316666666666666)","(9.0, 14.0, 12.7)","(3.4, 6.0, 4.311111111111111)","(3.7, 5.2, 4.523076923076923)"
16-12-2022 13:56:52.950061,"(3.4, 5.8, 5.6)","(4.0, 5.6, 5.535185185185185)","(9.0, 14.0, 12.7)","(3.4, 6.0, 4.4799999999999995)","(3.7, 5.2, 4.523076923076923)"
16-12-2022 13:56:53.920995,"(3.4, 5.8, 5.616666666666666)","(4.0, 6.6, 5.4)","(9.0, 14.0, 12.7)","(3.4, 5.9, 4.55)","(3.7, 5.2, 4.2153846153846155)"
16-12-2022 13:56:54.792456,"(3.4, 5.8, 5.616666666666666)","(4.0, 6.6, 5.25)","(9.0, 14.0, 12.7)","(3.4, 5.9, 4.55)","(3.7, 5.2, 4.2153846153846155)"
16-12-2022 13:56:55.675318,"(3.4, 5.8, 5.616666666666666)","(4.0, 6.6, 4.94375)","(9.0, 14.0, 12.7)","(3.4, 5.9, 4.55)","(3.7, 5.2, 4.2153846153846155)"
16-12-2022 13:56:56.588613,"(3.4, 5.8, 5.25)","(4.0, 6.6, 4.94375)","(9.0, 14.0, 12.7)","(3.4, 5.9, 4.55)","(3.7, 5.2, 4.3307692307692305)"
16-12-2022 13:56:57.430430,"(3.4, 5.5, 4.946153846153846)","(4.0, 6.6, 5.085714285714285)","(9.0, 14.0, 12.7)","(3.4, 5.9, 4.55)","(3.7, 5.5, 4.3307692307692305)"
16-12-2022 13:56:58.249518,"(3.4, 5.5, 4.946153846153846)","(4.0, 6.6, 5.085714285714285)","(9.0, 14.0, 12.7)","(3.4, 5.9, 4.55)","(3.7, 5.1, 4.433333333333334)"
16-12-2022 13:56:59.047372,"(3.4, 5.6, 5.046153846153846)","(4.0, 6.6, 5.444444444444445)","(9.0, 14.0, 12.7)","(3.4, 5.9, 4.55)","(3.7, 5.1, 3.86)"
16-12-2022 13:56:59.877042,"(3.4, 5.8, 5.0928571428571425)","(4.0, 6.6, 5.3)","(9.0, 14.0, 12.7)","(3.4, 5.9, 4.55)","(3.7, 5.1, 4.433333333333334)"
16-12-2022 13:57:00.719605,"(3.4, 5.8, 5.0928571428571425)","(4.0, 6.6, 5.3)","(9.0, 14.0, 12.7)","(3.4, 5.8, 4.4399999999999995)","(3.7, 5.1, 4.433333333333334)"
16-12-2022 13:57:01.517884,"(3.4, 5.8, 5.0928571428571425)","(4.0, 6.6, 5.3)","(9.0, 14.0, 12.7)","(3.4, 5.7, 4.42)","(3.7, 5.1, 4.433333333333334)"
16-12-2022 13:57:02.409093,"(3.4, 5.8, 5.6)","(4.0, 6.6, 5.444444444444445)","(9.0, 14.0, 12.7)","(3.4, 5.7, 4.42)","(3.7, 5.1, 4.433333333333334)"
16-12-2022 13:57:03.276991,"(3.4, 5.8, 5.6)","(4.0, 6.6, 5.4)","(9.0, 14.0, 12.7)","(3.4, 5.7, 4.42)","(3.7, 5.1, 4.433333333333334)"
16-12-2022 13:57:04.165071,"(3.4, 5.8, 5.616666666666666)","(4.0, 6.6, 5.4)","(9.0, 14.0, 12.7)","(3.4, 5.7, 4.42)","(3.7, 5.1, 4.433333333333334)"
16-12-2022 13:57:05.030842,"(3.4, 5.8, 5.616666666666666)","(4.0, 6.6, 4.975)","(9.0, 14.0, 12.7)","(3.4, 5.7, 4.42)","(3.7, 5.1, 4.433333333333334)"
16-12-2022 13:57:05.917974,"(3.4, 5.8, 5.616666666666666)","(4.0, 6.6, 4.975)","(9.0, 14.0, 12.7)","(3.4, 5.6, 4.3999999999999995)","(3.7, 5.1, 4.433333333333334)"
16-12-2022 13:57:06.804600,"(3.4, 5.8, 5.616666666666666)","(4.0, 6.6, 4.975)","(9.0, 14.0, 12.7)","(3.4, 5.6, 4.3999999999999995)","(3.7, 5.1, 4.433333333333334)"
16-12-2022 13:57:07.611089,"(3.4, 5.8, 4.9)","(4.0, 6.6, 5.114285714285714)","(9.0, 14.0, 12.7)","(3.4, 5.6, 4.3999999999999995)","(3.7, 5.1, 4.433333333333334)"
16-12-2022 13:57:08.525846,"(3.6, 5.8, 4.9)","(4.4, 6.6, 5.4)","(9.0, 14.0, 12.7)","(3.1, 5.6, 4.3999999999999995)","(3.7, 5.1, 3.86)"
16-12-2022 13:57:09.372638,"(3.6, 5.8, 5.516666666666667)","(4.4, 6.6, 5.4222222222222225)","(9.0, 14.0, 12.7)","(3.1, 5.6, 4.3999999999999995)","(3.7, 5.1, 3.86)"
16-12-2022 13:57:10.229778,"(3.6, 5.8, 5.516666666666667)","(4.4, 6.6, 5.4222222222222225)","(9.0, 14.0, 12.7)","(3.1, 5.6, 4.3999999999999995)","(3.7, 5.1, 3.86)"
16-12-2022 13:57:11.081274,"(3.6, 5.8, 5.516666666666667)","(4.4, 6.2, 4.227586206896552)","(9.0, 14.0, 12.7)","(3.1, 5.5, 4.38)","(3.7, 5.1, 4.433333333333334)"
16-12-2022 13:57:11.974929,"(4.2, 5.8, 5.516666666666667)","(3.9, 6.2, 4.227586206896552)","(8.5, 14.0, 12.7)","(3.2, 5.5, 4.38)","(3.6, 5.1, 4.016666666666667)"
16-12-2022 13:57:12.874932,"(4.2, 5.8, 4.9)","(3.9, 6.2, 4.227586206896552)","(8.5, 14.0, 12.7)","(3.2, 5.4, 4.13421052631579)","(3.6, 5.1, 4.433333333333334)"
16-12-2022 13:57:13.830345,"(4.2, 5.8, 4.9)","(3.9, 6.2, 3.985185185185185)","(8.5, 14.0, 12.7)","(3.2, 5.4, 4.233333333333333)","(3.6, 5.1, 3.86)"
16-12-2022 13:57:14.791587,"(4.2, 5.8, 4.707142857142857)","(3.9, 6.2, 4.312903225806452)","(8.5, 14.0, 12.7)","(3.2, 5.3, 4.22)","(3.6, 5.1, 4.433333333333334)"
16-12-2022 13:57:15.700115,"(3.9, 5.8, 5.157142857142857)","(3.9, 6.2, 4.227586206896552)","(8.5, 14.0, 13.166666666666668)","(3.3, 5.2, 4.21)","(3.6, 5.1, 4.176923076923077)"
16-12-2022 13:57:16.653788,"(3.9, 5.8, 5.3)","(3.9, 6.2, 4.280882352941177)","(8.5, 14.0, 11.5)","(3.3, 5.2, 4.178571428571428)","(3.6, 5.1, 4.176923076923077)"
16-12-2022 13:57:17.528060,"(3.9, 5.8, 5.3)","(3.9, 6.2, 4.280882352941177)","(8.5, 14.0, 11.5)","(3.3, 5.2, 4.178571428571428)","(3.6, 5.1, 4.176923076923077)"
16-12-2022 13:57:18.400474,"(3.9, 5.8, 5.3)","(3.9, 5.9, 4.122222222222222)","(8.5, 14.0, 11.5)","(3.3, 5.2, 4.178571428571428)","(3.6, 5.1, 4.176923076923077)"
16-12-2022 13:57:19.286911,"(3.9, 5.8, 5.1647058823529415)","(3.9, 5.9, 4.066666666666666)","(8.5, 14.0, 11.5)","(3.3, 5.1, 4.3)","(3.6, 5.1, 3.722222222222222)"
16-12-2022 13:57:20.089458,"(3.9, 5.8, 5.1647058823529415)","(3.9, 5.8, 4.977777777777778)","(8.5, 14.0, 11.5)","(3.3, 5.1, 4.21111111111111)","(3.6, 5.1, 3.722222222222222)"
16-12-2022 13:57:20.965805,"(3.9, 5.8, 5.1647058823529415)","(3.9, 5.8, 4.661538461538462)","(8.5, 14.0, 12.076923076923077)","(3.3, 5.1, 4.21111111111111)","(3.6, 5.1, 4.176923076923077)"
16-12-2022 13:57:21.849917,"(3.9, 5.7, 5.207692307692308)","(3.9, 5.8, 4.661538461538462)","(8.5, 14.0, 12.076923076923077)","(3.4, 5.1, 4.21111111111111)","(3.6, 5.1, 4.176923076923077)"
16-12-2022 13:57:22.772934,"(3.9, 5.7, 5.207692307692308)","(3.9, 5.8, 4.661538461538462)","(8.5, 14.0, 12.076923076923077)","(3.4, 5.1, 4.21111111111111)","(3.6, 5.1, 4.176923076923077)"
16-12-2022 13:57:23.642881,"(3.9, 5.7, 5.1461538461538465)","(3.9, 5.8, 3.8444444444444446)","(8.5, 14.0, 12.166666666666666)","(3.4, 5.0, 4.25)","(3.6, 5.1, 3.7666666666666666)"
16-12-2022 13:57:24.544200,"(4.2, 5.7, 5.300000000000001)","(3.8, 5.8, 4.446153846153846)","(8.5, 14.0, 12.166666666666666)","(3.4, 5.0, 4.199999999999999)","(3.5, 5.1, 3.722222222222222)"
16-12-2022 13:57:25.403920,"(4.2, 5.7, 5.300000000000001)","(3.8, 5.8, 4.236363636363636)","(8.5, 14.0, 12.166666666666666)","(3.4, 5.0, 4.199999999999999)","(3.5, 5.1, 3.722222222222222)"
16-12-2022 13:57:26.219409,"(4.2, 5.7, 5.300000000000001)","(3.8, 5.8, 4.446153846153846)","(8.5, 14.0, 12.166666666666666)","(3.4, 5.0, 4.199999999999999)","(3.5, 5.1, 4.176923076923077)"
16-12-2022 13:57:27.208933,"(4.2, 5.7, 5.300000000000001)","(3.8, 5.7, 4.41875)","(8.5, 14.0, 12.615384615384617)","(3.4, 5.0, 4.199999999999999)","(3.5, 5.0, 4.138461538461539)"
16-12-2022 13:57:28.120289,"(4.2, 5.7, 5.300000000000001)","(3.6, 5.7, 4.209090909090909)","(8.5, 14.0, 12.615384615384617)","(3.4, 5.0, 4.199999999999999)","(3.5, 5.0, 4.3)"
16-12-2022 13:57:28.983977,"(4.2, 5.7, 4.366666666666666)","(3.6, 5.7, 5.088888888888889)","(8.5, 14.5, 12.333333333333332)","(3.4, 4.9, 4.26)","(3.5, 5.0, 4.3)"
16-12-2022 13:57:29.803001,"(4.2, 5.7, 4.95)","(3.6, 5.7, 4.873076923076923)","(8.5, 14.5, 12.333333333333332)","(3.4, 4.9, 4.26)","(3.5, 5.0, 4.756944444444445)"
16-12-2022 13:57:30.664129,"(4.2, 5.7, 4.95)","(3.7, 5.7, 4.983333333333333)","(8.5, 14.5, 12.333333333333332)","(3.4, 4.9, 4.26)","(3.4, 5.0, 3.5999999999999996)"
16-12-2022 13:57:31.458796,"(4.2, 5.7, 4.95)","(3.7, 6.0, 5.777272727272727)","(8.5, 14.5, 12.333333333333332)","(3.4, 4.9, 4.26)","(3.4, 5.2, 3.5999999999999996)"
16-12-2022 13:57:32.249322,"(4.2, 5.7, 4.95)","(3.7, 6.0, 5.777272727272727)","(8.5, 14.5, 13.2)","(3.4, 4.9, 4.26)","(3.4, 5.2, 3.5999999999999996)"
16-12-2022 13:57:33.103441,"(4.2, 5.6, 4.175)","(3.7, 6.0, 5.591666666666667)","(8.5, 14.5, 13.2)","(3.4, 4.9, 4.26)","(3.4, 5.1, 3.933333333333333)"
16-12-2022 13:57:33.900879,"(4.2, 5.6, 4.175)","(3.7, 6.0, 5.591666666666667)","(8.5, 14.5, 13.2)","(3.4, 4.9, 4.26)","(3.4, 5.1, 3.933333333333333)"
16-12-2022 13:57:34.796278,"(4.2, 5.5, 5.128571428571429)","(3.8, 6.0, 5.6)","(8.5, 14.5, 13.2)","(3.4, 4.9, 4.26)","(3.4, 5.1, 4.276470588235294)"
16-12-2022 13:57:35.841022,"(4.2, 5.5, 5.128571428571429)","(3.8, 6.0, 5.76)","(8.5, 14.5, 13.2)","(3.4, 5.0, 4.25)","(3.4, 5.1, 4.053846153846154)"
16-12-2022 13:57:36.745229,"(4.2, 5.5, 5.128571428571429)","(3.8, 6.0, 5.4125)","(8.5, 14.5, 13.2)","(3.4, 5.0, 4.25)","(3.4, 5.1, 4.053846153846154)"
16-12-2022 13:57:37.628412,"(4.2, 5.5, 5.128571428571429)","(3.8, 6.0, 5.4125)","(8.5, 14.5, 13.2)","(3.4, 4.9, 4.26)","(3.4, 5.1, 3.9)"
16-12-2022 13:57:38.507527,"(4.2, 5.5, 5.0375)","(3.8, 6.0, 5.4125)","(8.5, 14.0, 11.2)","(3.4, 4.9, 4.26)","(3.4, 5.1, 3.7875)"
16-12-2022 13:57:39.479478,"(4.2, 5.5, 5.0375)","(3.8, 6.0, 5.804166666666667)","(8.5, 14.0, 11.6)","(3.4, 4.9, 4.26)","(3.4, 5.1, 4.18)"
16-12-2022 13:57:40.386052,"(4.2, 5.5, 4.985714285714286)","(3.8, 6.0, 5.4375)","(8.5, 14.0, 12.6)","(3.4, 4.9, 4.26)","(3.4, 4.9, 3.8)"
16-12-2022 13:57:41.321159,"(4.2, 5.5, 4.985714285714286)","(3.8, 6.0, 5.4375)","(8.5, 15.0, 13.35)","(3.4, 4.9, 4.26)","(3.4, 4.9, 3.834375)"
16-12-2022 13:57:42.229976,"(4.2, 5.5, 4.985714285714286)","(3.8, 6.0, 5.4375)","(8.5, 14.0, 12.6)","(3.4, 4.9, 4.26)","(3.4, 4.9, 3.834375)"
16-12-2022 13:57:43.111261,"(4.2, 5.5, 4.916666666666667)","(3.8, 6.0, 5.5600000000000005)","(8.5, 12.5, 10.570588235294117)","(3.4, 5.1, 4.433333333333333)","(3.4, 4.9, 3.8)"
16-12-2022 13:57:44.009642,"(4.2, 5.5, 5.181818181818182)","(3.8, 6.0, 4.566666666666666)","(8.5, 14.0, 12.276923076923076)","(3.4, 4.9, 4.26)","(3.4, 4.9, 3.8)"
16-12-2022 13:57:45.050471,"(4.2, 5.5, 5.014285714285714)","(3.8, 5.9, 4.6692307692307695)","(8.5, 14.0, 11.85)","(3.4, 4.9, 4.26)","(3.4, 4.9, 3.8)"
16-12-2022 13:57:46.040890,"(4.2, 5.5, 5.014285714285714)","(3.8, 5.9, 4.481818181818182)","(8.5, 13.0, 11.85)","(3.4, 4.9, 4.26)","(3.4, 4.9, 3.903125)"
16-12-2022 13:57:46.957953,"(3.9, 5.5, 5.014285714285714)","(3.8, 5.9, 4.481818181818182)","(8.5, 13.0, 11.85)","(3.6, 4.9, 4.26)","(3.4, 4.9, 3.8125)"
16-12-2022 13:57:47.995451,"(3.9, 5.5, 4.572727272727272)","(3.8, 5.9, 4.367857142857143)","(8.5, 13.0, 12.6)","(3.6, 4.9, 4.26)","(3.4, 4.9, 3.8125)"
16-12-2022 13:57:49.072084,"(3.9, 5.5, 4.545454545454545)","(3.8, 5.9, 4.506666666666667)","(8.5, 14.0, 12.6)","(3.6, 4.9, 4.188888888888888)","(3.4, 4.9, 4.098275862068966)"
16-12-2022 13:57:50.061505,"(3.9, 5.4, 4.364705882352942)","(3.8, 5.9, 4.506666666666667)","(8.5, 14.0, 12.6)","(3.6, 4.9, 4.188888888888888)","(3.4, 4.9, 3.7157894736842105)"
16-12-2022 13:57:50.998916,"(3.9, 5.3, 4.8538461538461535)","(3.9, 5.9, 4.6625)","(8.5, 14.0, 12.6)","(3.5, 4.9, 4.188888888888888)","(3.5, 4.9, 3.8125)"
16-12-2022 13:57:51.938041,"(3.9, 5.3, 4.846875)","(3.9, 5.9, 4.6625)","(8.5, 14.0, 12.6)","(3.5, 4.9, 4.188888888888888)","(3.5, 4.9, 3.8125)"
16-12-2022 13:57:52.785695,"(3.9, 5.3, 4.689473684210526)","(3.9, 5.9, 4.6625)","(8.5, 14.0, 12.6)","(3.5, 4.9, 4.188888888888888)","(3.5, 4.9, 3.8125)"
16-12-2022 13:57:53.660986,"(3.9, 5.3, 4.4714285714285715)","(3.9, 5.9, 3.9749999999999996)","(8.5, 14.0, 12.6)","(3.5, 4.9, 4.188888888888888)","(3.5, 4.9, 3.8125)"
16-12-2022 13:57:54.528035,"(3.9, 5.3, 4.640909090909091)","(3.9, 5.9, 3.9444444444444446)","(8.5, 14.0, 12.276923076923076)","(3.5, 4.9, 4.26)","(3.5, 4.9, 3.8733333333333335)"
16-12-2022 13:57:55.354214,"(3.9, 5.3, 4.6)","(3.9, 5.9, 4.576923076923077)","(8.5, 14.0, 12.276923076923076)","(3.5, 4.9, 4.26)","(3.5, 4.9, 3.8733333333333335)"
16-12-2022 13:57:56.209462,"(3.9, 5.3, 4.6)","(3.9, 5.8, 4.345454545454546)","(8.5, 14.0, 12.266666666666667)","(3.5, 4.9, 4.26)","(3.5, 4.8, 4.030769230769231)"
16-12-2022 13:57:57.312605,"(3.9, 5.3, 4.438461538461539)","(3.9, 5.8, 4.8)","(8.5, 14.0, 12.266666666666667)","(3.5, 4.9, 4.188888888888888)","(3.5, 4.8, 4.030769230769231)"
16-12-2022 13:57:58.285304,"(3.9, 5.3, 4.438461538461539)","(3.9, 5.8, 4.8)","(8.5, 14.0, 13.422222222222222)","(3.5, 4.9, 4.188888888888888)","(3.5, 4.8, 4.33125)"
16-12-2022 13:57:59.323907,"(3.9, 5.3, 4.011111111111111)","(3.9, 5.8, 5.254545454545454)","(8.5, 14.0, 13.422222222222222)","(3.5, 4.9, 4.188888888888888)","(3.5, 4.8, 4.33125)"
16-12-2022 13:58:00.500791,"(3.9, 5.3, 4.011111111111111)","(3.8, 5.8, 5.254545454545454)","(8.5, 14.0, 12.125)","(3.5, 4.9, 4.26)","(3.5, 4.8, 4.6125)"
16-12-2022 13:58:01.579095,"(3.9, 5.3, 4.438461538461539)","(3.8, 5.8, 4.85)","(8.5, 14.0, 12.75)","(3.5, 4.9, 4.188888888888888)","(3.5, 4.8, 4.25625)"
16-12-2022 13:58:02.678183,"(3.9, 5.3, 4.438461538461539)","(3.8, 5.8, 4.85)","(8.5, 14.0, 12.75)","(3.5, 4.9, 4.188888888888888)","(3.5, 4.8, 4.064705882352941)"
16-12-2022 13:58:03.699340,"(3.9, 5.3, 4.366666666666666)","(3.8, 5.8, 4.85)","(8.5, 14.0, 12.75)","(3.5, 4.9, 4.188888888888888)","(3.5, 4.7, 4.011764705882353)"
16-12-2022 13:58:05.012000,"(3.9, 5.3, 4.438461538461539)","(3.8, 5.8, 5.05)","(8.5, 14.0, 12.75)","(3.5, 4.9, 4.26)","(3.5, 4.6, 4.1454545454545455)"
16-12-2022 13:58:06.011552,"(4.0, 5.3, 4.438461538461539)","(3.8, 5.8, 5.05)","(8.0, 14.0, 11.423076923076923)","(3.3, 4.9, 4.26)","(3.5, 4.6, 4.023076923076923)"
16-12-2022 13:58:06.923330,"(4.0, 5.3, 4.438461538461539)","(3.8, 5.8, 4.825)","(8.0, 12.5, 11.423076923076923)","(3.5, 4.9, 4.26)","(3.5, 4.6, 4.023076923076923)"
16-12-2022 13:58:07.991430,"(4.0, 5.3, 4.438461538461539)","(3.8, 5.8, 4.825)","(8.0, 12.5, 10.75)","(3.5, 4.9, 4.26)","(3.5, 4.6, 3.7529411764705882)"
16-12-2022 13:58:09.021137,"(4.0, 5.3, 4.438461538461539)","(3.8, 5.8, 5.268181818181818)","(8.0, 12.5, 10.75)","(3.5, 4.9, 4.26)","(3.5, 4.6, 4.1499999999999995)"
16-12-2022 13:58:10.013435,"(4.0, 5.3, 5.081132075471698)","(3.8, 5.8, 5.268181818181818)","(8.0, 12.5, 11.285714285714285)","(3.5, 4.9, 4.26)","(3.5, 4.6, 3.625)"
16-12-2022 13:58:10.984612,"(4.0, 5.2, 4.58421052631579)","(3.8, 5.8, 5.0875)","(8.0, 13.0, 11.285714285714285)","(3.5, 4.9, 4.26)","(3.5, 4.6, 4.3617647058823525)"
16-12-2022 13:58:11.840603,"(4.0, 5.2, 4.717142857142857)","(3.8, 5.8, 4.875)","(8.0, 13.0, 11.285714285714285)","(3.5, 4.9, 4.26)","(3.5, 4.6, 4.498749999999999)"
16-12-2022 13:58:12.770388,"(4.0, 5.2, 4.039285714285715)","(3.8, 5.8, 4.875)","(8.0, 14.5, 11.60909090909091)","(3.5, 5.0, 4.239999999999999)","(3.5, 4.6, 3.625)"
16-12-2022 13:58:13.762685,"(4.0, 5.2, 4.2972222222222225)","(3.8, 5.8, 4.875)","(8.0, 14.5, 12.314285714285715)","(3.5, 4.8, 4.239999999999999)","(3.5, 4.6, 3.625)"
16-12-2022 13:58:14.703960,"(4.0, 5.2, 4.88)","(3.8, 5.8, 4.225)","(8.0, 14.5, 12.314285714285715)","(3.5, 4.8, 4.239999999999999)","(3.5, 4.6, 4.3843749999999995)"
16-12-2022 13:58:15.565612,"(4.0, 5.2, 4.711111111111111)","(3.8, 5.8, 5.0285714285714285)","(8.0, 14.5, 11.440000000000001)","(3.4, 4.8, 4.239999999999999)","(3.5, 4.6, 4.3843749999999995)"
