,Goldstar Larson,Homebush Archie,Trousseau,Off Grid,Young Romeo,Made The Cut,Diamond Harmony
05-01-2023 13:24:05.131299,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:06.040421,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:07.070316,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:08.011731,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:09.000692,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:09.946615,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:10.859421,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:11.793559,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:12.677964,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:13.663896,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:14.678112,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:15.703329,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:16.690937,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:17.636879,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:18.541914,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:19.424462,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:20.337932,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:21.367891,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:22.444741,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:23.406067,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:24.406436,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:25.402867,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:26.433952,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:27.386435,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:28.385172,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:29.337394,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:30.358586,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:31.264180,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:32.262902,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:33.309284,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:34.374995,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:35.462339,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:36.467498,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:37.446597,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:38.412981,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:39.342586,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:40.238604,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:41.164646,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:42.134869,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:43.116654,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:44.125826,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:45.211218,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:46.173913,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:47.173594,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:48.500383,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:49.606132,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:50.613632,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:51.566886,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:52.612631,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:53.983109,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:55.118438,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:56.204365,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:57.304199,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:58.419613,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:59.524768,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:25:00.576345,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:25:01.581741,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:25:02.589765,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:25:03.593093,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:25:04.665620,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:25:05.688294,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:25:06.758916,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:25:07.773650,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:25:08.718592,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:25:09.798374,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:25:10.769126,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.952000000000002)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:25:11.758295,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 9.02962962962963)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:25:12.811386,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 9.02962962962963)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:25:13.903920,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 9.02962962962963)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:25:14.894356,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 9.02962962962963)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:25:15.961297,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 9.02962962962963)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
