,Exit Parking,Gemma Brann,Invest Wisely,Magpie Miss,Back Moo Moo,Cash Ability,Kulu Zac
10-01-2023 18:34:04.105694,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 60.0, 40.266666666666666)"
10-01-2023 18:34:05.147313,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 60.0, 40.266666666666666)"
10-01-2023 18:34:06.182899,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 60.0, 40.266666666666666)"
10-01-2023 18:34:07.229736,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 60.0, 44.583333333333336)"
10-01-2023 18:34:08.213434,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 60.0, 36.875)"
10-01-2023 18:34:09.208529,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 60.0, 40.625)"
10-01-2023 18:34:10.228223,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:11.293256,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:12.434986,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:13.490823,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:14.483605,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:15.442802,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:16.427928,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:17.385929,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:18.374585,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:19.283117,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:20.278906,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:21.250412,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:22.240501,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:23.324002,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:24.343253,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:25.386784,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:26.405300,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:27.433015,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:28.456287,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.1)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:29.465852,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:30.482493,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:31.413197,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:32.395098,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:33.356332,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:34.390014,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:35.391003,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:36.435774,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 9.861538461538462)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 40.625)"
10-01-2023 18:34:37.381355,"(31.0, 240.0, 137.0)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:38.368978,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:39.396446,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:40.458468,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:41.495171,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:42.512222,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:43.491262,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:44.455371,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:45.472696,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:46.443134,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.185714285714286)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:47.423176,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:48.427663,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:49.384497,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:50.393186,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:51.430296,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:52.484117,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:53.490774,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:54.545186,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:55.560163,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:56.529317,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:57.637050,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:58.637182,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 70.0, 44.93333333333334)"
10-01-2023 18:34:59.652954,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 70.0, 42.599999999999994)"
10-01-2023 18:35:00.654657,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:35:01.619170,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:35:02.630297,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:35:03.641739,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:35:04.677504,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:35:05.670767,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:35:06.647335,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:35:07.610974,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:35:08.620733,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:35:09.652046,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:35:10.641819,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:35:11.593647,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:35:12.573680,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:35:13.586837,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:35:14.636843,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1052173913043477)","(21.0, 65.0, 42.599999999999994)"
