,Fascinate Donald,Farmor Rowdy,Wishing,Ambrosia Tux,Cosmic Billy,Bodacious Star
08-01-2023 19:01:20.703288,"(1.55, 2.06, 1.8457142857142859)","(14.0, 38.0, 20.75)","(16.0, 65.0, 59.0)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:01:21.784818,"(1.55, 2.06, 1.8457142857142859)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 59.0)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:01:22.823894,"(1.55, 2.06, 1.9511627906976745)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 59.0)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.8, 5.927272727272728)"
08-01-2023 19:01:23.791426,"(1.55, 2.06, 1.9511627906976745)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 59.0)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.4, 7.277777777777778)"
08-01-2023 19:01:24.816642,"(1.55, 1.87, 1.860344827586207)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 59.0)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.6, 7.277777777777778)"
08-01-2023 19:01:25.821775,"(1.55, 1.87, 1.860344827586207)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 59.0)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.6, 7.277777777777778)"
08-01-2023 19:01:26.838239,"(1.55, 1.87, 1.860344827586207)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.6, 7.277777777777778)"
08-01-2023 19:01:27.847118,"(1.55, 1.87, 1.8566666666666667)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.6, 7.277777777777778)"
08-01-2023 19:01:28.851767,"(1.55, 1.87, 1.8533333333333335)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.6, 7.277777777777778)"
08-01-2023 19:01:29.864681,"(1.55, 1.87, 1.8533333333333335)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.6, 7.277777777777778)"
08-01-2023 19:01:30.817939,"(1.55, 1.87, 1.8566666666666667)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.6, 7.277777777777778)"
08-01-2023 19:01:31.756519,"(1.55, 1.87, 1.8566666666666667)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.6, 7.277777777777778)"
08-01-2023 19:01:32.783927,"(1.55, 1.87, 1.8566666666666667)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.6, 5.908333333333333)"
08-01-2023 19:01:33.704945,"(1.55, 1.87, 1.8566666666666667)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.6, 5.908333333333333)"
08-01-2023 19:01:34.643103,"(1.55, 1.87, 1.8623076923076924)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.6, 5.908333333333333)"
08-01-2023 19:01:35.673226,"(1.55, 1.87, 1.8623076923076924)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.6, 5.908333333333333)"
08-01-2023 19:01:36.717633,"(1.55, 1.87, 1.8623076923076924)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.6, 5.991666666666667)"
08-01-2023 19:01:37.711074,"(1.55, 2.02, 1.9666666666666668)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:01:38.785057,"(1.55, 2.02, 1.9666666666666668)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:01:39.901935,"(1.55, 2.02, 1.9666666666666668)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.8, 5.754545454545455)"
08-01-2023 19:01:40.861049,"(1.55, 2.02, 1.9666666666666668)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.6, 5.666666666666667)"
08-01-2023 19:01:42.037482,"(1.55, 2.02, 1.9666666666666668)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 15.785714285714285)","(4.6, 7.6, 5.390476190476191)"
08-01-2023 19:01:43.150250,"(1.55, 2.04, 1.9813333333333334)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.2)","(4.6, 7.6, 5.390476190476191)"
08-01-2023 19:01:44.250908,"(1.55, 2.04, 1.9300000000000002)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 15.257142857142856)","(4.6, 7.6, 5.390476190476191)"
08-01-2023 19:01:45.198032,"(1.55, 2.04, 1.9300000000000002)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 17.12)","(4.6, 7.6, 5.390476190476191)"
08-01-2023 19:01:46.194270,"(1.55, 2.04, 1.981818181818182)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.0, 17.12)","(4.6, 7.6, 7.116666666666666)"
08-01-2023 19:01:47.101176,"(1.55, 2.02, 1.9571428571428573)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.0, 17.12)","(4.6, 7.6, 7.116666666666666)"
08-01-2023 19:01:48.015095,"(1.55, 2.02, 1.9571428571428573)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.0, 17.12)","(4.6, 7.6, 7.116666666666666)"
08-01-2023 19:01:48.948538,"(1.55, 2.02, 1.9571428571428573)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.0, 17.12)","(4.6, 7.6, 7.116666666666666)"
08-01-2023 19:01:49.900346,"(1.55, 2.02, 1.9571428571428573)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.0, 17.12)","(4.6, 7.6, 5.908333333333333)"
08-01-2023 19:01:50.859261,"(1.55, 2.02, 1.9571428571428573)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.0, 17.12)","(4.6, 7.6, 5.908333333333333)"
08-01-2023 19:01:51.864124,"(1.55, 1.87, 1.8469230769230771)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 10.8)","(9.0, 19.0, 17.12)","(4.6, 7.6, 5.908333333333333)"
08-01-2023 19:01:52.789939,"(1.55, 1.87, 1.8469230769230771)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.12)","(4.6, 7.6, 5.908333333333333)"
08-01-2023 19:01:53.699832,"(1.55, 1.87, 1.8469230769230771)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.12)","(4.6, 7.6, 5.908333333333333)"
08-01-2023 19:01:54.667646,"(1.55, 1.87, 1.8392307692307692)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.12)","(4.6, 7.6, 5.991666666666667)"
08-01-2023 19:01:55.675825,"(1.55, 2.0, 1.9161904761904762)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.12)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:01:56.632776,"(1.55, 2.0, 1.9161904761904762)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.12)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:01:57.550581,"(1.55, 1.99, 1.91)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.12)","(4.6, 7.8, 5.754545454545455)"
08-01-2023 19:01:58.561587,"(1.55, 1.99, 1.9439393939393939)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.12)","(4.6, 7.6, 5.991666666666667)"
08-01-2023 19:01:59.483016,"(1.55, 1.99, 1.9439393939393939)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.12)","(4.6, 7.8, 5.991666666666667)"
08-01-2023 19:02:00.354027,"(1.55, 1.99, 1.9439393939393939)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.12)","(4.6, 7.8, 5.991666666666667)"
08-01-2023 19:02:01.292328,"(1.55, 1.99, 1.9439393939393939)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.12)","(4.6, 7.8, 5.991666666666667)"
08-01-2023 19:02:02.258507,"(1.55, 1.99, 1.9439393939393939)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.12)","(4.6, 7.8, 5.991666666666667)"
08-01-2023 19:02:03.137562,"(1.55, 1.99, 1.9439393939393939)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.12)","(4.6, 7.8, 5.991666666666667)"
08-01-2023 19:02:04.036663,"(1.55, 1.99, 1.9439393939393939)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 13.538461538461538)","(4.6, 7.8, 5.991666666666667)"
08-01-2023 19:02:04.974434,"(1.55, 1.99, 1.9439393939393939)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 16.0, 13.538461538461538)","(4.6, 7.8, 5.991666666666667)"
08-01-2023 19:02:05.895200,"(1.55, 1.99, 1.9439393939393939)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 16.0, 13.538461538461538)","(4.6, 7.8, 5.991666666666667)"
08-01-2023 19:02:06.770051,"(1.55, 1.99, 1.8590909090909091)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 16.0, 13.538461538461538)","(4.6, 7.8, 7.283333333333333)"
08-01-2023 19:02:07.764332,"(1.55, 1.99, 1.8590909090909091)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 16.0, 13.538461538461538)","(4.6, 7.4, 6.95)"
08-01-2023 19:02:08.738291,"(1.55, 1.99, 1.8590909090909091)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 16.0, 16.436363636363637)","(4.6, 7.4, 6.95)"
08-01-2023 19:02:09.641066,"(1.55, 1.99, 1.8590909090909091)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 15.4)","(4.6, 7.4, 6.95)"
08-01-2023 19:02:10.530456,"(1.55, 1.99, 1.9439393939393939)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 15.4)","(4.6, 7.4, 6.95)"
08-01-2023 19:02:11.481637,"(1.55, 1.99, 1.9439393939393939)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 16.166666666666668)","(4.6, 7.4, 6.95)"
08-01-2023 19:02:12.403130,"(1.55, 1.99, 1.9439393939393939)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 16.166666666666668)","(4.6, 7.4, 7.455555555555556)"
08-01-2023 19:02:13.288349,"(1.55, 1.99, 1.8590909090909091)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 16.166666666666668)","(4.6, 7.8, 7.455555555555556)"
08-01-2023 19:02:14.196866,"(1.55, 1.99, 1.8590909090909091)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 13.666666666666666)","(4.6, 7.8, 7.455555555555556)"
08-01-2023 19:02:15.174888,"(1.55, 1.99, 1.8590909090909091)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 14.5)","(4.6, 7.8, 7.455555555555556)"
08-01-2023 19:02:16.096867,"(1.55, 1.99, 1.9439393939393939)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 14.5)","(4.6, 7.8, 7.455555555555556)"
08-01-2023 19:02:16.969056,"(1.55, 1.99, 1.9439393939393939)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 14.5)","(4.6, 7.8, 7.455555555555556)"
08-01-2023 19:02:17.858681,"(1.55, 1.86, 1.85)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 14.5)","(4.6, 7.8, 7.455555555555556)"
08-01-2023 19:02:18.729359,"(1.55, 1.86, 1.840769230769231)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 14.5)","(4.6, 7.8, 7.455555555555556)"
08-01-2023 19:02:19.677471,"(1.55, 1.86, 1.840769230769231)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.333333333333336)","(4.6, 7.8, 7.455555555555556)"
08-01-2023 19:02:20.540530,"(1.55, 1.86, 1.840769230769231)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.333333333333336)","(4.6, 7.8, 7.455555555555556)"
08-01-2023 19:02:21.449639,"(1.55, 1.86, 1.840769230769231)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.444444444444443)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:02:22.343432,"(1.55, 1.86, 1.837777777777778)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.444444444444443)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:02:23.240366,"(1.55, 1.86, 1.837777777777778)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.444444444444443)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:02:24.155189,"(1.55, 1.86, 1.837777777777778)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.444444444444443)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:02:24.997590,"(1.55, 1.98, 1.885)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.444444444444443)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:02:25.928581,"(1.55, 1.99, 1.9439393939393939)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.444444444444443)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:02:26.921621,"(1.55, 1.99, 1.9439393939393939)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.444444444444443)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:02:27.885879,"(1.55, 2.0, 1.9515151515151514)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.444444444444443)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:02:28.809463,"(1.55, 2.1, 1.9153846153846155)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.444444444444443)","(4.6, 7.8, 5.880952380952381)"
08-01-2023 19:02:29.744446,"(1.55, 2.08, 1.9300000000000002)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.444444444444443)","(4.6, 7.8, 5.2153846153846155)"
08-01-2023 19:02:30.672173,"(1.55, 2.06, 1.9100000000000001)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.727272727272727)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:31.583829,"(1.55, 2.06, 1.9625000000000001)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.727272727272727)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:32.444707,"(1.55, 2.06, 1.9625000000000001)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 19.0, 17.25)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:33.419806,"(1.55, 2.06, 1.9625000000000001)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 18.5, 16.875)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:34.376497,"(1.55, 2.06, 1.9326530612244899)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 18.5, 16.875)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:35.282080,"(1.55, 2.06, 1.9326530612244899)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 18.5, 16.875)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:36.171848,"(1.55, 2.06, 1.9326530612244899)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 18.5, 16.875)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:37.048452,"(1.55, 2.06, 1.8377777777777777)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 18.5, 16.875)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:37.981915,"(1.55, 2.06, 1.8377777777777777)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 18.5, 16.875)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:38.855117,"(1.55, 2.06, 1.8377777777777777)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 18.5, 16.875)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:39.767956,"(1.55, 2.06, 1.8575)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 18.5, 16.875)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:40.700604,"(1.55, 2.06, 1.9140350877192982)","(14.0, 40.0, 17.77777777777778)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 18.5, 16.875)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:41.677029,"(1.55, 1.86, 1.846875)","(14.0, 40.0, 23.0)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 18.5, 16.875)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:42.597500,"(1.55, 1.86, 1.846875)","(14.0, 40.0, 18.22222222222222)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 18.5, 16.875)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:43.468373,"(1.55, 2.06, 1.8933333333333333)","(14.0, 40.0, 18.22222222222222)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 18.5, 16.875)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:44.405684,"(1.55, 2.06, 1.8933333333333333)","(14.0, 40.0, 18.22222222222222)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 18.5, 16.875)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:45.276380,"(1.55, 2.06, 1.8933333333333333)","(14.0, 40.0, 18.22222222222222)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 18.5, 16.875)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:46.123548,"(1.55, 2.06, 1.9585365853658536)","(14.0, 40.0, 18.22222222222222)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 18.5, 16.875)","(4.6, 5.4, 5.2153846153846155)"
08-01-2023 19:02:47.033949,"(1.55, 2.06, 1.9585365853658536)","(14.0, 40.0, 18.22222222222222)","(16.0, 65.0, 57.083333333333336)","(6.0, 15.0, 11.266666666666666)","(9.0, 18.5, 16.875)","(4.6, 5.4, 5.2153846153846155)"
