,Titanium Power,Constant Flight,Snippy Fox,Much Much Better,Niffler,Munitions,Pizarro,Noble Soldier,Van Giz
07-01-2023 16:36:22.026419,"(8.5, 9.8, 9.655555555555555)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.692307692307692)","(11.0, 15.5, 15.3125)","(10.0, 11.0, 10.596153846153847)","(16.0, 19.0, 18.181818181818183)","(2.1, 2.4, 2.3406896551724135)","(9.0, 13.0, 12.666666666666666)","(8.5, 11.5, 11.25)"
07-01-2023 16:36:23.763705,"(8.5, 9.8, 9.655555555555555)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.692307692307692)","(11.0, 15.5, 15.3125)","(10.0, 11.0, 10.511627906976745)","(16.0, 19.0, 18.181818181818183)","(2.1, 2.4, 2.362743682310469)","(9.0, 13.0, 12.666666666666666)","(8.5, 11.5, 11.285714285714286)"
07-01-2023 16:36:25.339972,"(8.5, 9.8, 9.655555555555555)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.692307692307692)","(11.0, 15.5, 15.3125)","(10.0, 11.0, 10.553191489361701)","(16.0, 19.0, 18.181818181818183)","(2.1, 2.4, 2.3714285714285714)","(9.0, 13.0, 12.666666666666666)","(8.5, 11.5, 11.266666666666667)"
07-01-2023 16:36:27.074203,"(8.5, 9.8, 9.655555555555555)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.692307692307692)","(11.0, 15.5, 15.3125)","(10.0, 11.0, 10.553191489361701)","(16.0, 19.0, 18.181818181818183)","(2.1, 2.42, 2.3904347826086956)","(9.0, 13.0, 12.666666666666666)","(8.5, 12.0, 11.45)"
07-01-2023 16:36:28.867686,"(8.5, 9.8, 9.540000000000001)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.692307692307692)","(11.0, 15.5, 15.3125)","(10.0, 11.0, 10.553191489361701)","(16.0, 19.0, 18.181818181818183)","(2.1, 2.42, 2.3996)","(9.0, 13.0, 12.5)","(8.5, 12.0, 11.45)"
07-01-2023 16:36:30.959377,"(8.5, 9.8, 9.90294117647059)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.515625)","(11.0, 15.5, 15.265625)","(10.0, 11.0, 10.553191489361701)","(16.0, 19.0, 18.181818181818183)","(2.1, 2.52, 2.4546666666666668)","(9.0, 13.0, 12.5)","(8.5, 12.0, 11.45)"
07-01-2023 16:36:32.833785,"(8.5, 10.5, 9.85)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.515625)","(11.0, 15.5, 15.3125)","(10.0, 11.0, 10.511627906976745)","(16.0, 19.0, 18.181818181818183)","(2.1, 2.52, 2.45)","(9.0, 13.0, 12.7)","(8.5, 12.0, 11.38888888888889)"
07-01-2023 16:36:34.594957,"(8.5, 10.0, 9.82)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.515625)","(11.0, 15.5, 15.265625)","(10.0, 11.0, 10.511627906976745)","(16.0, 19.0, 18.181818181818183)","(2.1, 2.5, 2.4906976744186045)","(9.0, 13.0, 12.7)","(8.5, 12.0, 11.38888888888889)"
07-01-2023 16:36:36.033717,"(8.5, 10.0, 9.775)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.515625)","(11.0, 15.5, 15.3125)","(10.0, 11.0, 10.511627906976745)","(16.0, 19.0, 18.181818181818183)","(2.1, 2.5, 2.3926315789473684)","(9.0, 13.0, 12.666666666666666)","(8.5, 12.0, 11.45)"
07-01-2023 16:36:37.583539,"(8.5, 10.0, 9.89090909090909)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.439024390243903)","(11.0, 15.5, 15.285714285714286)","(10.0, 11.0, 10.491228070175438)","(16.0, 19.0, 18.181818181818183)","(2.1, 2.42, 2.3944262295081966)","(9.0, 13.0, 12.285714285714286)","(8.5, 12.0, 11.56578947368421)"
07-01-2023 16:36:38.973576,"(8.5, 10.0, 9.89090909090909)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.439024390243903)","(11.0, 15.5, 15.285714285714286)","(10.0, 11.0, 10.491228070175438)","(16.0, 19.0, 18.181818181818183)","(2.1, 2.42, 2.3944262295081966)","(9.0, 13.0, 12.285714285714286)","(8.5, 12.0, 11.56578947368421)"
07-01-2023 16:36:40.404309,"(8.5, 10.0, 9.89090909090909)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.439024390243903)","(11.0, 15.5, 15.285714285714286)","(10.0, 11.0, 10.491228070175438)","(16.0, 19.0, 18.181818181818183)","(2.1, 2.42, 2.395)","(9.0, 13.0, 12.285714285714286)","(8.5, 12.0, 11.56578947368421)"
07-01-2023 16:36:41.747428,"(8.5, 10.0, 9.914285714285715)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.363636363636363)","(11.0, 15.5, 15.285714285714286)","(10.0, 11.0, 10.491228070175438)","(16.0, 19.0, 18.181818181818183)","(2.1, 2.4, 2.395)","(9.0, 13.0, 12.285714285714286)","(8.5, 12.0, 11.56578947368421)"
07-01-2023 16:36:43.611676,"(8.5, 10.0, 9.89090909090909)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.285714285714286)","(10.0, 11.0, 10.491228070175438)","(16.0, 19.0, 18.181818181818183)","(2.1, 2.4, 2.395)","(9.0, 13.0, 12.285714285714286)","(8.5, 12.0, 11.56578947368421)"
07-01-2023 16:36:45.343683,"(8.5, 10.0, 9.89090909090909)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.285714285714286)","(10.0, 11.0, 10.491228070175438)","(16.0, 19.0, 18.4375)","(2.1, 2.4, 2.39375)","(9.0, 13.0, 12.285714285714286)","(8.5, 12.0, 11.214285714285714)"
07-01-2023 16:36:46.910669,"(8.5, 10.5, 9.873684210526317)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.285714285714286)","(10.0, 11.0, 10.491228070175438)","(16.0, 19.0, 18.4375)","(2.1, 2.4, 2.3909090909090907)","(9.0, 13.0, 12.285714285714286)","(8.5, 12.0, 11.214285714285714)"
07-01-2023 16:36:48.349580,"(8.5, 10.5, 9.873684210526317)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.285714285714286)","(10.0, 11.0, 10.491228070175438)","(16.0, 19.0, 18.4375)","(2.1, 2.4, 2.3909090909090907)","(9.0, 13.0, 12.285714285714286)","(8.5, 12.0, 11.214285714285714)"
07-01-2023 16:36:49.823313,"(8.5, 10.5, 9.873684210526317)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.285714285714286)","(10.0, 11.0, 10.491228070175438)","(16.0, 19.0, 18.4375)","(2.1, 2.4, 2.3909090909090907)","(9.0, 13.0, 12.285714285714286)","(8.5, 12.0, 11.214285714285714)"
07-01-2023 16:36:51.562119,"(8.5, 10.5, 9.873684210526317)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.285714285714286)","(10.0, 11.0, 10.491228070175438)","(16.0, 19.0, 18.4375)","(2.1, 2.4, 2.3909090909090907)","(9.0, 13.0, 12.285714285714286)","(8.5, 12.0, 11.214285714285714)"
07-01-2023 16:36:52.943178,"(8.5, 10.5, 9.873684210526317)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.159090909090908)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.333333333333332)","(2.1, 2.4, 2.3909090909090907)","(9.0, 13.0, 12.285714285714286)","(8.5, 12.0, 11.214285714285714)"
07-01-2023 16:36:54.276541,"(8.5, 10.5, 9.873684210526317)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.159090909090908)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.333333333333332)","(2.1, 2.4, 2.3909090909090907)","(9.0, 13.0, 12.285714285714286)","(8.5, 12.0, 11.214285714285714)"
07-01-2023 16:36:55.526182,"(8.5, 10.5, 9.873684210526317)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.159090909090908)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.4375)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.285714285714286)","(8.5, 12.0, 11.214285714285714)"
07-01-2023 16:36:56.721720,"(8.5, 10.5, 9.873684210526317)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.159090909090908)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.4375)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.333333333333334)","(8.5, 12.0, 11.214285714285714)"
07-01-2023 16:36:57.945111,"(8.5, 10.5, 9.873684210526317)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.159090909090908)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.4375)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.333333333333334)","(8.5, 12.0, 11.214285714285714)"
07-01-2023 16:36:59.223056,"(8.5, 10.5, 9.873684210526317)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.159090909090908)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.4375)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.333333333333334)","(8.5, 12.0, 11.214285714285714)"
07-01-2023 16:37:00.583970,"(8.5, 10.5, 9.873684210526317)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.083333333333334)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.454545454545453)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.214285714285714)"
07-01-2023 16:37:01.877480,"(8.5, 10.5, 9.873684210526317)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.083333333333334)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.454545454545453)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.214285714285714)"
07-01-2023 16:37:03.222074,"(8.5, 10.5, 9.873684210526317)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.083333333333334)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.75)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:04.359949,"(8.5, 10.5, 9.873684210526317)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.058823529411764)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.75)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:05.535700,"(8.5, 10.5, 9.865116279069769)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.058823529411764)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.75)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:06.695876,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.058823529411764)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.75)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:07.925175,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.058823529411764)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:09.112624,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.058823529411764)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:10.303023,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.058823529411764)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:11.589197,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.058823529411764)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:12.832597,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.045454545454545)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:13.946655,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.045454545454545)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:15.052793,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.045454545454545)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:16.142566,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.058823529411764)","(10.0, 11.0, 10.442307692307692)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:17.403455,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.058823529411764)","(10.0, 11.0, 10.433962264150944)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.3823529411764706)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:18.664728,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.058823529411764)","(10.0, 11.0, 10.433962264150944)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.395833333333333)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:19.867568,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.058823529411764)","(10.0, 11.0, 10.433962264150944)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.395833333333333)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:21.063480,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.058823529411764)","(10.0, 11.0, 10.433962264150944)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.395833333333333)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:22.260919,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.058823529411764)","(10.0, 11.0, 10.433962264150944)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.395833333333333)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:23.461246,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.5, 15.0)","(10.0, 11.0, 10.433962264150944)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.395833333333333)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:24.605786,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.0, 14.6328125)","(10.0, 11.0, 10.433962264150944)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.395833333333333)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:25.723614,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.0, 14.6328125)","(10.0, 11.0, 10.433962264150944)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.395833333333333)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:26.823262,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.0, 14.6328125)","(10.0, 11.0, 10.433962264150944)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.395833333333333)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:27.937411,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.0, 14.6328125)","(10.0, 11.0, 10.433962264150944)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.395833333333333)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:29.077241,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.0, 14.6328125)","(10.0, 11.0, 10.433962264150944)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.395833333333333)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:30.293230,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.0, 14.6328125)","(10.0, 11.0, 10.433962264150944)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.395833333333333)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:31.566295,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.0, 14.6328125)","(10.0, 11.0, 10.433962264150944)","(16.0, 19.0, 18.666666666666668)","(2.1, 2.4, 2.3405882352941174)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:32.737740,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.0, 14.6328125)","(10.0, 11.0, 10.433962264150944)","(16.0, 19.0, 19.125)","(2.1, 2.36, 2.32760736196319)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:33.813492,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.0, 14.669014084507042)","(10.0, 11.0, 10.433962264150944)","(16.0, 20.0, 19.125)","(2.1, 2.36, 2.32760736196319)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:34.992059,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.0, 14.669014084507042)","(10.0, 11.0, 10.433962264150944)","(16.0, 20.0, 18.894736842105264)","(2.1, 2.36, 2.32760736196319)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:36.256270,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.363636363636363)","(11.0, 15.0, 14.669014084507042)","(10.0, 11.0, 10.365079365079366)","(16.0, 20.0, 18.894736842105264)","(2.1, 2.36, 2.324324324324324)","(9.0, 13.0, 12.411764705882353)","(8.5, 12.0, 11.083333333333334)"
07-01-2023 16:37:37.434116,"(8.5, 10.5, 9.858333333333334)","(41.0, 80.0, 78.125)","(9.0, 13.0, 12.072289156626507)","(11.0, 15.0, 14.669014084507042)","(10.0, 11.0, 10.82089552238806)","(16.0, 20.0, 18.640845070422536)","(2.1, 2.36, 2.32463768115942)","(9.0, 13.0, 12.042857142857143)","(8.5, 12.0, 11.97191011235955)"
07-01-2023 16:37:38.652388,"(8.5, 10.5, 10.185714285714285)","(41.0, 80.0, 77.05882352941177)","(9.0, 12.5, 12.03896103896104)","(11.0, 15.0, 14.669014084507042)","(10.0, 11.0, 10.82089552238806)","(16.0, 19.5, 18.211267605633804)","(2.1, 2.36, 2.32463768115942)","(9.0, 12.5, 12.042857142857143)","(8.5, 12.0, 13.153846153846153)"
07-01-2023 16:37:39.945477,"(8.5, 10.5, 10.185714285714285)","(41.0, 80.0, 77.05882352941177)","(9.0, 12.5, 12.03896103896104)","(11.0, 15.0, 14.669014084507042)","(10.0, 11.0, 10.82089552238806)","(16.0, 19.5, 18.211267605633804)","(2.1, 2.36, 2.32463768115942)","(9.0, 12.5, 12.042857142857143)","(8.5, 14.5, 13.4)"
07-01-2023 16:37:41.138342,"(8.5, 10.5, 10.185714285714285)","(41.0, 80.0, 77.05882352941177)","(9.0, 12.5, 12.03896103896104)","(11.0, 15.0, 14.669014084507042)","(10.0, 11.0, 10.82089552238806)","(16.0, 19.5, 18.211267605633804)","(2.1, 2.36, 2.32463768115942)","(9.0, 12.5, 12.042857142857143)","(8.5, 14.0, 13.4)"
07-01-2023 16:37:42.319268,"(8.5, 10.5, 10.185714285714285)","(41.0, 80.0, 77.05882352941177)","(9.0, 12.5, 12.04109589041096)","(11.0, 15.0, 14.669014084507042)","(10.0, 11.0, 10.82089552238806)","(16.0, 19.5, 18.211267605633804)","(2.1, 2.36, 2.32463768115942)","(9.0, 12.5, 12.042857142857143)","(8.5, 14.0, 13.2)"
07-01-2023 16:37:43.592204,"(8.5, 10.5, 10.185714285714285)","(41.0, 80.0, 77.05882352941177)","(9.0, 12.5, 12.08641975308642)","(11.0, 15.0, 14.669014084507042)","(10.0, 11.0, 10.82089552238806)","(16.0, 19.5, 18.211267605633804)","(2.1, 2.36, 2.32463768115942)","(9.0, 12.5, 12.04054054054054)","(8.5, 14.0, 12.4)"
