,Kingscroft,Elegantly Wasted,Craigs Cruisin,Borneo Brave,Diesel Flyer,Black Elegance,Lornas Creek
11-01-2023 13:56:17.645801,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 410.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 217.0)","(31.0, 330.0, 67.2)"
11-01-2023 13:56:18.797197,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 410.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 217.0)","(31.0, 330.0, 67.2)"
11-01-2023 13:56:20.173465,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 410.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 217.0)","(31.0, 330.0, 67.2)"
11-01-2023 13:56:21.435763,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 410.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 217.0)","(31.0, 330.0, 67.2)"
11-01-2023 13:56:22.813857,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 410.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 84.54545454545455)"
11-01-2023 13:56:24.071192,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:25.183135,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:26.263755,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:27.388837,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:28.471646,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:29.441756,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:30.458133,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:31.534056,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:32.542077,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:33.649901,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:34.759528,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:35.814935,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:36.915620,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:38.048068,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:38.995257,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:39.959663,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:40.982475,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 48.2)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:41.904577,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.5)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 80.4)","(31.0, 330.0, 63.6)"
11-01-2023 13:56:42.898042,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 80.4)","(31.0, 330.0, 65.4)"
11-01-2023 13:56:44.197569,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 80.4)","(31.0, 330.0, 65.4)"
11-01-2023 13:56:45.241740,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 80.4)","(31.0, 330.0, 65.4)"
11-01-2023 13:56:46.232765,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 80.4)","(31.0, 330.0, 65.4)"
11-01-2023 13:56:47.331316,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 80.4)","(31.0, 330.0, 65.4)"
11-01-2023 13:56:48.622174,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 80.4)","(31.0, 330.0, 65.4)"
11-01-2023 13:56:49.753223,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 80.4)","(31.0, 330.0, 65.4)"
11-01-2023 13:56:50.723326,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 80.4)","(31.0, 330.0, 65.4)"
11-01-2023 13:56:51.724720,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 80.4)","(31.0, 330.0, 65.4)"
11-01-2023 13:56:52.693780,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 80.4)","(31.0, 330.0, 65.4)"
11-01-2023 13:56:53.797222,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.22222222222223)","(31.0, 330.0, 65.4)"
11-01-2023 13:56:54.744042,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.22222222222223)","(31.0, 330.0, 65.4)"
11-01-2023 13:56:55.656633,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 80.4)","(31.0, 330.0, 65.4)"
11-01-2023 13:56:56.603315,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 80.4)","(31.0, 330.0, 65.4)"
11-01-2023 13:56:57.529309,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 208.94117647058823)","(31.0, 330.0, 65.4)"
11-01-2023 13:56:58.477532,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 208.94117647058823)","(31.0, 330.0, 65.4)"
11-01-2023 13:56:59.476191,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 208.94117647058823)","(31.0, 330.0, 65.4)"
11-01-2023 13:57:00.462468,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 208.94117647058823)","(31.0, 330.0, 65.4)"
11-01-2023 13:57:01.758069,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 208.94117647058823)","(31.0, 330.0, 65.4)"
11-01-2023 13:57:02.772159,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 53.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 63.6)"
11-01-2023 13:57:04.057404,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 45.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 63.6)"
11-01-2023 13:57:05.060993,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 45.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 63.6)"
11-01-2023 13:57:06.020282,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 45.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 63.6)"
11-01-2023 13:57:06.988356,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 45.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 63.6)"
11-01-2023 13:57:07.976569,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 45.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 63.6)"
11-01-2023 13:57:08.908268,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 45.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 63.6)"
11-01-2023 13:57:10.239584,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 45.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 139.71428571428572)"
11-01-2023 13:57:11.351961,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 45.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 65.4)"
11-01-2023 13:57:12.497323,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 45.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 65.4)"
11-01-2023 13:57:13.555406,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 45.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 65.4)"
11-01-2023 13:57:14.647656,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 45.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 65.4)"
11-01-2023 13:57:15.660780,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 45.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 65.4)"
11-01-2023 13:57:16.609542,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 45.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 65.4)"
11-01-2023 13:57:17.637611,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 45.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 69.0)"
11-01-2023 13:57:18.770686,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 45.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 69.0)"
11-01-2023 13:57:19.848717,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 45.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 69.0)"
11-01-2023 13:57:20.812341,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.66666666666667)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 69.0)"
11-01-2023 13:57:21.826489,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 59.285714285714285)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 69.0)"
11-01-2023 13:57:22.864359,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 52.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 69.0)"
11-01-2023 13:57:23.860752,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 52.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 69.0)"
11-01-2023 13:57:24.831940,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 52.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 69.0)"
11-01-2023 13:57:25.943737,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 52.0)","(101.0, 730.0, 400.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 18.85)","(41.0, 390.0, 84.0)","(31.0, 330.0, 69.0)"
