,Hello Tiger,Blue Blazer,Sante Fe Trail,Swift Choice,Dough To Go,Raining Vodka
10-01-2023 19:29:24.656544,"(4.8, 9.6, 8.895)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:25.782437,"(4.8, 9.6, 8.895)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:26.848580,"(4.8, 9.6, 8.895)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:27.861568,"(4.8, 9.6, 8.895)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:28.910014,"(4.8, 9.6, 8.895)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:30.068183,"(4.8, 9.6, 8.895)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:31.188768,"(4.8, 9.6, 8.895)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:32.242596,"(4.8, 9.6, 8.895)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:33.329114,"(4.8, 9.6, 8.895)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:34.558986,"(4.8, 9.6, 8.895)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:35.883733,"(4.8, 9.6, 6.8999999999999995)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:37.102204,"(4.8, 9.6, 6.8999999999999995)","(3.8, 6.2, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.8, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.9, 5.3)"
10-01-2023 19:29:38.313256,"(4.8, 9.6, 7.963636363636363)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:39.522029,"(4.8, 9.6, 7.963636363636363)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:40.689722,"(4.8, 9.6, 7.963636363636363)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:41.850644,"(4.8, 9.6, 7.963636363636363)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:42.910317,"(4.8, 9.6, 7.963636363636363)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:44.041176,"(4.8, 9.6, 7.963636363636363)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:45.204195,"(4.8, 9.6, 7.963636363636363)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:46.286936,"(4.8, 9.6, 7.963636363636363)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:47.425474,"(4.8, 9.6, 7.963636363636363)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:48.505432,"(4.8, 9.6, 8.7)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:49.627340,"(4.8, 9.6, 8.7)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:50.735956,"(4.8, 9.6, 8.7)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:52.024873,"(4.8, 9.6, 8.7)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:53.176830,"(4.8, 9.6, 8.7)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:54.341605,"(4.8, 9.6, 8.7)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:55.457773,"(4.8, 9.6, 8.7)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:56.767809,"(4.8, 9.6, 8.7)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:57.845109,"(4.8, 9.6, 8.7)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:29:59.280379,"(4.8, 9.6, 8.7)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:00.495100,"(4.8, 9.6, 8.7)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:01.547102,"(4.8, 9.6, 8.7)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:02.652181,"(4.8, 9.6, 8.7)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:03.760031,"(4.8, 9.6, 9.26153846153846)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:04.901688,"(4.8, 9.6, 8.166666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:06.087812,"(4.8, 9.6, 8.166666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:07.216152,"(4.8, 9.6, 7.25)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:08.219090,"(4.8, 9.6, 7.25)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:09.367515,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:10.535319,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:11.694684,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:12.903249,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:14.409984,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:15.588933,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:16.803377,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:17.943977,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:19.002554,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:20.077048,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:21.190051,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:22.203063,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:23.309241,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:24.482592,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:25.628264,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:26.697233,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:27.737781,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:28.912487,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:29.929867,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:30.937941,"(4.8, 9.6, 8.066666666666666)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:31.971005,"(4.8, 9.6, 9.253846153846153)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:32.852556,"(4.8, 9.6, 8.133333333333333)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:33.763795,"(4.8, 9.6, 9.253846153846153)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:34.677334,"(4.8, 9.6, 9.253846153846153)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:35.617199,"(4.8, 9.6, 8.719999999999999)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:36.583768,"(4.8, 9.6, 8.719999999999999)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:37.537734,"(4.8, 9.6, 8.719999999999999)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:38.544979,"(4.8, 9.6, 8.719999999999999)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:39.442110,"(4.8, 9.6, 8.719999999999999)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:40.331935,"(4.8, 9.6, 8.719999999999999)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:41.207056,"(4.8, 9.2, 7.485714285714286)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:42.168493,"(4.8, 9.2, 7.485714285714286)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:43.064100,"(4.8, 9.2, 7.485714285714286)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:44.030418,"(4.8, 9.2, 7.485714285714286)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:44.958462,"(4.8, 9.2, 7.485714285714286)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:45.804519,"(4.8, 9.2, 7.485714285714286)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.866666666666667)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:46.716095,"(4.8, 9.2, 7.485714285714286)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 14.0, 9.68)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:47.591938,"(4.8, 9.2, 7.485714285714286)","(3.8, 6.0, 5.86875)","(4.8, 8.0, 5.5)","(4.6, 6.6, 6.3625)","(7.5, 12.5, 9.68)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:48.462231,"(4.8, 9.2, 7.485714285714286)","(3.8, 6.0, 5.86875)","(4.8, 7.8, 7.1)","(4.6, 6.6, 6.3625)","(7.5, 12.5, 9.68)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:49.407966,"(4.8, 9.2, 7.485714285714286)","(3.8, 6.0, 5.86875)","(4.8, 7.8, 7.1)","(4.6, 6.6, 6.3625)","(7.5, 12.5, 9.68)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:50.366105,"(4.8, 9.2, 7.485714285714286)","(3.8, 6.0, 5.86875)","(4.8, 7.8, 7.1)","(4.6, 6.6, 6.3625)","(7.5, 12.5, 9.68)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:51.292520,"(4.8, 9.2, 7.485714285714286)","(3.8, 6.0, 5.86875)","(4.8, 7.8, 7.1)","(4.6, 6.6, 6.3625)","(7.5, 12.5, 9.68)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:52.300486,"(4.8, 9.2, 7.199999999999999)","(3.8, 6.0, 5.86875)","(4.8, 7.8, 7.1)","(4.6, 6.6, 6.3625)","(7.5, 12.5, 9.68)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:53.168654,"(4.8, 9.2, 7.199999999999999)","(3.8, 6.0, 5.86875)","(4.8, 7.8, 7.1)","(4.6, 6.6, 6.3625)","(7.5, 12.5, 9.68)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:54.074619,"(4.8, 9.2, 7.199999999999999)","(3.8, 6.0, 5.86875)","(4.8, 7.8, 7.1)","(4.6, 6.6, 6.3625)","(7.5, 12.5, 9.68)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:54.934191,"(4.8, 9.2, 7.199999999999999)","(3.8, 6.0, 5.86875)","(4.8, 7.8, 7.1)","(4.6, 6.6, 6.3625)","(7.5, 12.5, 9.68)","(4.2, 5.8, 5.3)"
10-01-2023 19:30:55.777287,"(4.8, 9.2, 7.199999999999999)","(3.8, 6.0, 5.86875)","(4.8, 8.4, 5.443478260869565)","(4.6, 6.6, 6.3625)","(7.5, 12.5, 9.68)","(4.2, 5.8, 5.3)"
