,Hot Return,Lost Cause,Bow Down,Yarramundi Bee,Springvale Bray,Like A Tiger,Faster Than Slow,Sophia Palms
14-12-2022 12:56:36.741505,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:38.093429,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:39.271942,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:40.509297,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:42.064985,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:43.455250,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:44.948641,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:46.430907,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:47.698887,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:48.892677,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:50.126069,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:51.388982,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:52.562699,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:53.822024,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:55.009043,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:56.195447,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:57.363129,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:58.593765,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:59.726410,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:00.995493,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:02.227872,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:03.484790,"(21.0, 95.0, 57.5)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:04.675819,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:05.927364,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:07.165300,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:08.430269,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:09.588628,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:10.760416,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:12.340278,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:13.693159,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:15.022553,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:16.539387,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:17.806157,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:19.095288,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:20.213166,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:21.736828,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:23.095875,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:24.476346,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:25.806375,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:27.418530,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:28.720654,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 5.5, 3.607142857142857)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:30.022403,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.607142857142857)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:31.230873,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.607142857142857)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:32.461480,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.607142857142857)","(5.5, 99999, 99990)","(17.0, 60.0, 35.14285714285714)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:33.713930,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.607142857142857)","(5.5, 99999, 99990)","(17.0, 55.0, 37.5)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:34.889706,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.607142857142857)","(5.5, 99999, 99990)","(17.0, 55.0, 36.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:36.025803,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.607142857142857)","(5.5, 99999, 99990)","(17.0, 55.0, 36.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:37.095073,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 4.287878787878788)","(5.5, 99999, 99990)","(17.0, 55.0, 31.615384615384613)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:38.201129,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 4.287878787878788)","(5.5, 99999, 99990)","(17.0, 55.0, 31.615384615384613)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:39.429907,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 31.615384615384613)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:40.654875,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:41.709942,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:42.769598,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:43.841534,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:44.929965,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:46.058699,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:47.453397,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:48.720472,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:50.163620,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:51.459098,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:52.529497,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:53.681027,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:54.733418,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:55.807183,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:56.848474,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:57.874195,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:58.910816,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:57:59.986712,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:58:01.021455,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.387272727272727)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:58:02.120073,"(21.0, 95.0, 48.75)","(10.0, 19.0, 16.421052631578945)","(15.0, 42.0, 27.27777777777778)","(3.0, 4.9, 3.6227272727272726)","(3.2, 4.5, 3.75)","(5.5, 99999, 99990)","(17.0, 55.0, 33.0)","(4.6, 7.2, 5.033333333333333)"
