,Caveman,Paradiso Havana,Maniac Moo,Invictus Sharon,Fire Up Jazz,Lifes A Riot,Deeming Rate,Seriously Fly
09-01-2023 18:29:54.641250,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 60.625)"
09-01-2023 18:29:56.014573,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 60.625)"
09-01-2023 18:29:57.305852,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 60.625)"
09-01-2023 18:29:58.664552,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 60.625)"
09-01-2023 18:29:59.991143,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 60.625)"
09-01-2023 18:30:01.282156,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 60.625)"
09-01-2023 18:30:02.580129,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:03.895836,"(41.0, 95.0, 61.875)","(18.0, 70.0, 39.714285714285715)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.0)","(2.4, 3.7, 2.7933333333333334)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:05.213737,"(41.0, 95.0, 61.875)","(18.0, 70.0, 39.714285714285715)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.533333333333333)","(2.4, 3.65, 3.0033333333333334)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:06.492438,"(41.0, 95.0, 61.875)","(18.0, 70.0, 39.714285714285715)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.65, 2.9475000000000002)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:07.778271,"(41.0, 95.0, 61.875)","(18.0, 70.0, 39.714285714285715)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.9475000000000002)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:09.069047,"(41.0, 95.0, 61.875)","(18.0, 70.0, 39.714285714285715)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.9475000000000002)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:10.389759,"(41.0, 95.0, 61.875)","(18.0, 70.0, 39.714285714285715)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:11.699981,"(41.0, 95.0, 61.875)","(18.0, 70.0, 39.714285714285715)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:13.046972,"(41.0, 95.0, 61.875)","(18.0, 70.0, 39.714285714285715)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:14.295841,"(41.0, 95.0, 61.875)","(18.0, 70.0, 39.714285714285715)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:15.573757,"(41.0, 95.0, 61.875)","(18.0, 70.0, 39.714285714285715)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:16.892676,"(41.0, 95.0, 61.875)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:18.189429,"(41.0, 95.0, 61.875)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:19.477543,"(41.0, 95.0, 61.875)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:20.764900,"(41.0, 95.0, 61.875)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:22.229357,"(41.0, 95.0, 61.875)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:23.641324,"(41.0, 95.0, 61.875)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:25.039310,"(41.0, 95.0, 61.875)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:26.663381,"(41.0, 95.0, 61.875)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:28.180677,"(41.0, 95.0, 61.875)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 120.0, 65.71428571428572)"
09-01-2023 18:30:29.723015,"(41.0, 95.0, 61.875)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 120.0, 61.42857142857143)"
09-01-2023 18:30:31.037225,"(41.0, 95.0, 61.875)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 61.42857142857143)"
09-01-2023 18:30:32.353100,"(41.0, 95.0, 61.875)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 61.42857142857143)"
09-01-2023 18:30:33.683496,"(41.0, 95.0, 61.875)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 61.42857142857143)"
09-01-2023 18:30:35.056552,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 61.42857142857143)"
09-01-2023 18:30:36.315244,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 61.42857142857143)"
09-01-2023 18:30:37.548512,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:30:38.743456,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:30:39.970529,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:30:41.183211,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:30:42.360349,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:30:43.534978,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:30:44.761189,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:30:45.898811,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:30:47.059787,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:30:48.226582,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:30:49.346826,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:30:50.588038,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:30:51.747063,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:30:52.920860,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:30:54.114128,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 54.375)"
09-01-2023 18:30:55.365304,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 100.0, 54.375)"
09-01-2023 18:30:56.579641,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 100.0, 54.375)"
09-01-2023 18:30:57.866281,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 100.0, 58.125)"
09-01-2023 18:30:59.088904,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:00.326162,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:01.567534,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:02.749978,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:04.053940,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:05.249142,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:06.421417,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:07.673361,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:08.855943,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:10.059744,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:11.250564,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:12.362664,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:13.554077,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:14.744425,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:15.931941,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:17.155574,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:18.378230,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:19.617357,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:20.822587,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 49.63636363636364)"
09-01-2023 18:31:22.066382,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 54.375)"
09-01-2023 18:31:23.334166,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 100.0, 54.375)"
09-01-2023 18:31:24.627349,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 100.0, 54.375)"
09-01-2023 18:31:25.792039,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 100.0, 58.125)"
09-01-2023 18:31:27.020286,"(41.0, 95.0, 69.5)","(18.0, 70.0, 34.66666666666667)","(31.0, 85.0, 50.53846153846153)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 13.666666666666666)","(2.4, 3.75, 2.8512)","(31.0, 260.0, 123.2)","(26.0, 110.0, 58.125)"
