,Lady Adele,Middle Child,Miss Illuminate,Pants On Fire,Sockastar,Bella Tesoro,Cannoli,Harper Rae,Hear Me Out,Lady Shalaa,Thida,Two Gets You Five
10-01-2023 13:13:24.004210,"(101.0, 210.0, 166.66666666666666)","(14.0, 17.5, 17.0)","(8.0, 9.6, 9.485714285714286)","(31.0, 55.0, 52.22222222222222)","(21.0, 40.0, 32.6)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3875)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.0, 15.447368421052632)","(4.8, 7.0, 6.6)","(101.0, 170.0, 165.0)"
10-01-2023 13:13:25.651360,"(101.0, 200.0, 166.66666666666666)","(14.0, 17.5, 17.0)","(8.0, 9.6, 9.485714285714286)","(31.0, 55.0, 52.22222222222222)","(21.0, 38.0, 32.6)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3875)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.0, 15.357142857142858)","(4.8, 7.0, 6.626666666666667)","(101.0, 170.0, 165.0)"
10-01-2023 13:13:27.341194,"(101.0, 200.0, 166.66666666666666)","(14.0, 17.5, 17.0)","(8.0, 9.6, 9.485714285714286)","(31.0, 55.0, 48.8)","(21.0, 38.0, 32.6)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3875)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.0, 15.3)","(4.8, 7.0, 6.733333333333333)","(101.0, 170.0, 165.0)"
10-01-2023 13:13:29.019094,"(101.0, 200.0, 166.66666666666666)","(14.0, 17.5, 17.0)","(8.0, 9.6, 9.485714285714286)","(31.0, 50.0, 48.8)","(21.0, 38.0, 32.6)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3875)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 15.5, 15.3)","(4.8, 7.0, 6.7)","(101.0, 170.0, 165.0)"
10-01-2023 13:13:30.663180,"(101.0, 200.0, 166.66666666666666)","(14.0, 17.5, 17.0)","(8.0, 9.6, 9.485714285714286)","(31.0, 50.0, 48.8)","(21.0, 38.0, 32.6)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3875)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 15.5, 15.733333333333333)","(4.8, 7.2, 6.6)","(101.0, 170.0, 165.0)"
10-01-2023 13:13:32.367945,"(101.0, 200.0, 166.66666666666666)","(14.0, 17.5, 17.0)","(8.0, 9.6, 9.485714285714286)","(31.0, 50.0, 47.0)","(21.0, 38.0, 32.6)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3875)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.0, 15.846153846153847)","(4.8, 7.0, 6.466666666666667)","(101.0, 170.0, 153.33333333333334)"
10-01-2023 13:13:33.933291,"(101.0, 200.0, 166.66666666666666)","(14.0, 17.5, 17.0)","(8.0, 9.6, 9.485714285714286)","(31.0, 50.0, 47.0)","(21.0, 38.0, 32.6)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3904761904761904)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.0, 15.846153846153847)","(4.8, 7.0, 6.466666666666667)","(101.0, 170.0, 153.33333333333331)"
10-01-2023 13:13:35.521053,"(101.0, 200.0, 166.66666666666666)","(14.0, 17.5, 16.47222222222222)","(8.0, 9.6, 9.485714285714286)","(31.0, 50.0, 44.0)","(21.0, 38.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.45)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.0, 16.227272727272727)","(4.8, 7.0, 6.466666666666667)","(101.0, 170.0, 153.33333333333331)"
10-01-2023 13:13:37.165482,"(101.0, 200.0, 160.0)","(14.0, 16.5, 16.9)","(8.0, 9.6, 9.485714285714286)","(31.0, 50.0, 47.333333333333336)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.4384615384615382)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.5, 16.227272727272727)","(4.8, 7.0, 6.466666666666667)","(101.0, 170.0, 153.33333333333331)"
10-01-2023 13:13:38.739087,"(101.0, 200.0, 160.0)","(14.0, 17.5, 16.75)","(8.0, 9.6, 9.485714285714286)","(31.0, 50.0, 47.333333333333336)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.4384615384615382)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.5, 16.227272727272727)","(4.8, 7.0, 6.466666666666667)","(101.0, 170.0, 153.33333333333331)"
10-01-2023 13:13:40.279688,"(101.0, 200.0, 160.0)","(14.0, 17.5, 16.75)","(8.0, 9.6, 9.485714285714286)","(31.0, 50.0, 47.333333333333336)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.4384615384615382)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.466666666666667)","(101.0, 170.0, 153.33333333333331)"
10-01-2023 13:13:41.850286,"(101.0, 200.0, 160.0)","(14.0, 17.5, 17.0)","(8.0, 9.6, 9.485714285714286)","(31.0, 50.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.4384615384615382)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.36)","(101.0, 170.0, 153.33333333333331)"
10-01-2023 13:13:43.437434,"(101.0, 200.0, 160.0)","(14.0, 17.5, 16.75)","(8.0, 9.6, 9.485714285714286)","(31.0, 55.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.4384615384615382)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.36)","(101.0, 170.0, 153.33333333333331)"
10-01-2023 13:13:45.113248,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.77777777777778)","(8.0, 9.6, 9.485714285714286)","(31.0, 55.0, 43.857142857142854)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.45)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.36)","(101.0, 170.0, 153.33333333333331)"
10-01-2023 13:13:46.701313,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.77777777777778)","(8.0, 9.6, 9.366666666666665)","(31.0, 55.0, 43.857142857142854)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.45)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.36)","(101.0, 170.0, 153.33333333333331)"
10-01-2023 13:13:48.230446,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.77777777777778)","(8.0, 9.6, 9.366666666666665)","(31.0, 55.0, 43.857142857142854)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.546153846153846)","(101.0, 170.0, 153.33333333333331)"
10-01-2023 13:13:49.716167,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.77777777777778)","(8.0, 9.6, 9.366666666666665)","(31.0, 55.0, 43.857142857142854)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.546153846153846)","(101.0, 170.0, 153.33333333333331)"
10-01-2023 13:13:51.205034,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.77777777777778)","(8.0, 9.6, 9.366666666666665)","(31.0, 55.0, 43.857142857142854)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.546153846153846)","(101.0, 170.0, 153.33333333333331)"
10-01-2023 13:13:52.662621,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.77777777777778)","(8.0, 9.6, 9.366666666666665)","(31.0, 55.0, 43.857142857142854)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.546153846153846)","(101.0, 170.0, 153.33333333333331)"
10-01-2023 13:13:54.204656,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.77777777777778)","(8.0, 9.6, 9.366666666666665)","(31.0, 55.0, 43.857142857142854)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.546153846153846)","(101.0, 170.0, 153.33333333333331)"
10-01-2023 13:13:55.730734,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.366666666666665)","(31.0, 55.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.546153846153846)","(101.0, 170.0, 140.0)"
10-01-2023 13:13:57.303711,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.366666666666665)","(31.0, 55.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.5, 16.115384615384617)","(4.8, 6.8, 6.546153846153846)","(101.0, 170.0, 140.0)"
10-01-2023 13:13:58.786749,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 34.0, 31.666666666666668)","(13.0, 16.5, 16.115384615384617)","(4.8, 6.8, 6.546153846153846)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:00.295374,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.4615384615384617)","(4.0, 4.8, 4.615767634854771)","(11.0, 34.0, 31.666666666666668)","(13.0, 16.5, 16.115384615384617)","(4.8, 6.8, 6.568421052631579)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:01.838459,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 34.0, 31.5)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:03.431999,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 36.0, 34.714285714285715)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:04.895065,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 36.0, 29.727272727272727)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:06.419888,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 300.0, 240.0)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 29.727272727272727)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:07.823336,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 45.0)","(21.0, 36.0, 31.8)","(101.0, 300.0, 246.66666666666669)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 29.727272727272727)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:09.380648,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 60.0, 45.0)","(21.0, 36.0, 31.8)","(101.0, 280.0, 246.66666666666669)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 29.727272727272727)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:10.987257,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 60.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 280.0, 246.66666666666669)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 29.727272727272727)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:12.446871,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 280.0, 246.66666666666669)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 29.727272727272727)","(13.0, 16.5, 16.227272727272727)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:13.921603,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 280.0, 246.66666666666669)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 29.727272727272727)","(13.0, 16.5, 16.3)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:15.380484,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 280.0, 246.66666666666669)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 29.727272727272727)","(13.0, 16.5, 16.3)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:16.826178,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 280.0, 246.66666666666669)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 29.727272727272727)","(13.0, 16.5, 16.3)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:18.371817,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 280.0, 246.66666666666669)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 29.727272727272727)","(13.0, 16.5, 16.3)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:19.863491,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 45.25)","(21.0, 36.0, 31.8)","(101.0, 280.0, 246.66666666666669)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 29.727272727272727)","(13.0, 16.5, 16.3)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:21.471881,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 43.44444444444444)","(21.0, 36.0, 31.8)","(101.0, 280.0, 246.66666666666669)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 29.727272727272727)","(13.0, 16.5, 16.3)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:22.943961,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 43.44444444444444)","(21.0, 36.0, 31.8)","(101.0, 280.0, 266.6666666666667)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 30.18181818181818)","(13.0, 16.5, 16.3)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:24.448771,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 43.44444444444444)","(21.0, 36.0, 31.8)","(101.0, 310.0, 266.6666666666667)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 30.18181818181818)","(13.0, 16.5, 16.3)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:26.054258,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 44.166666666666664)","(21.0, 36.0, 31.8)","(101.0, 310.0, 266.6666666666667)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 30.18181818181818)","(13.0, 16.5, 16.3)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:27.641177,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 44.166666666666664)","(21.0, 36.0, 31.8)","(101.0, 310.0, 266.6666666666667)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 30.18181818181818)","(13.0, 16.5, 16.3)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:29.285624,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.7)","(8.0, 9.6, 9.325)","(31.0, 55.0, 44.166666666666664)","(21.0, 36.0, 31.8)","(101.0, 310.0, 266.6666666666667)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 30.18181818181818)","(13.0, 16.5, 16.205882352941178)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:31.045986,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.583333333333332)","(8.0, 9.6, 9.325)","(31.0, 55.0, 45.0)","(21.0, 36.0, 31.8)","(101.0, 310.0, 266.6666666666667)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 30.18181818181818)","(13.0, 16.5, 16.205882352941178)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:32.600943,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.583333333333332)","(8.0, 9.6, 9.325)","(31.0, 60.0, 45.0)","(21.0, 36.0, 31.8)","(101.0, 310.0, 266.6666666666667)","(2.7, 3.5, 3.45)","(4.0, 4.8, 4.615767634854771)","(11.0, 32.0, 30.18181818181818)","(13.0, 16.5, 16.205882352941178)","(4.8, 6.8, 6.58)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:34.209535,"(101.0, 200.0, 160.0)","(14.0, 17.0, 16.583333333333332)","(8.0, 9.6, 9.325)","(31.0, 60.0, 47.142857142857146)","(21.0, 36.0, 32.0)","(101.0, 310.0, 266.6666666666667)","(2.7, 3.5, 3.4036842105263156)","(4.0, 4.8, 4.722183098591549)","(11.0, 32.0, 31.0)","(13.0, 16.5, 15.714285714285714)","(4.8, 6.8, 6.556521739130435)","(101.0, 170.0, 140.0)"
10-01-2023 13:14:35.759031,"(101.0, 200.0, 160.0)","(14.0, 17.0, 17.38)","(8.0, 9.6, 9.142857142857144)","(31.0, 60.0, 47.142857142857146)","(21.0, 36.0, 31.5)","(101.0, 310.0, 266.6666666666667)","(2.7, 3.45, 3.307894736842105)","(4.0, 4.8, 4.715648854961832)","(11.0, 32.0, 31.0)","(13.0, 16.0, 16.105263157894736)","(4.8, 6.8, 6.608695652173913)","(101.0, 170.0, 140.0)"
