,Freddy Mac,Vested Interest,Shalily,Son Of Bielski,Red Stiletto,Langworthy,Five Ounce,Ruby Edition,Barossa Kiss,Keck,Sarwatte
10-01-2023 14:20:16.891791,"(3.9, 5.0, 4.957142857142857)","(3.3, 4.1, 3.9833333333333334)","(4.4, 7.2, 6.8533333333333335)","(10.0, 12.5, 12.3659793814433)","(12.0, 16.0, 15.8)","(14.0, 22.0, 20.181818181818183)","(6.0, 6.8, 6.759259259259259)","(51.0, 80.0, 70.0)","(61.0, 90.0, 67.5)","(31.0, 46.0, 44.666666666666664)","(101.0, 820.0, 743.0769230769231)"
10-01-2023 14:20:18.596641,"(3.9, 5.0, 4.957142857142857)","(3.3, 4.1, 3.9833333333333334)","(4.4, 7.2, 6.714285714285714)","(10.0, 12.5, 12.3659793814433)","(12.0, 16.0, 15.8)","(14.0, 22.0, 20.153846153846153)","(6.0, 6.8, 6.745762711864407)","(51.0, 80.0, 70.0)","(61.0, 90.0, 67.5)","(31.0, 46.0, 44.666666666666664)","(101.0, 820.0, 790.7692307692308)"
10-01-2023 14:20:20.312307,"(3.9, 5.0, 4.957142857142857)","(3.3, 4.1, 3.9833333333333334)","(4.4, 7.2, 6.7)","(10.0, 12.5, 12.3659793814433)","(12.0, 16.0, 15.8)","(14.0, 22.0, 20.153846153846153)","(6.0, 6.8, 6.726470588235294)","(51.0, 80.0, 70.0)","(61.0, 90.0, 67.5)","(31.0, 46.0, 44.666666666666664)","(101.0, 830.0, 790.7692307692308)"
10-01-2023 14:20:21.997508,"(3.9, 5.0, 4.957142857142857)","(3.3, 4.1, 4.002777777777777)","(4.4, 7.0, 6.7)","(10.0, 12.5, 12.3659793814433)","(12.0, 16.0, 15.8)","(14.0, 22.0, 20.153846153846153)","(6.0, 6.8, 6.726470588235294)","(51.0, 80.0, 70.0)","(61.0, 90.0, 77.14285714285714)","(31.0, 46.0, 44.666666666666664)","(101.0, 830.0, 705.0)"
10-01-2023 14:20:23.720307,"(4.0, 5.0, 4.957142857142857)","(3.4, 4.1, 3.9906249999999996)","(4.6, 7.0, 6.533333333333333)","(10.0, 12.5, 12.3659793814433)","(12.0, 16.0, 15.8)","(14.0, 22.0, 19.473684210526315)","(6.0, 6.8, 6.728358208955224)","(51.0, 80.0, 70.0)","(61.0, 90.0, 67.5)","(31.0, 46.0, 44.666666666666664)","(101.0, 830.0, 732.0)"
10-01-2023 14:20:25.540486,"(4.0, 5.0, 4.957142857142857)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.6000000000000005)","(10.0, 12.5, 12.3659793814433)","(12.0, 16.0, 15.8)","(14.0, 22.0, 19.333333333333332)","(6.0, 6.8, 6.768627450980392)","(51.0, 80.0, 70.0)","(61.0, 90.0, 67.5)","(31.0, 46.0, 44.666666666666664)","(101.0, 830.0, 590.0)"
10-01-2023 14:20:27.335586,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.6000000000000005)","(10.0, 12.5, 12.3659793814433)","(12.0, 16.0, 15.8)","(14.0, 21.0, 19.615384615384617)","(6.0, 6.8, 6.768627450980392)","(51.0, 80.0, 70.0)","(61.0, 90.0, 67.5)","(31.0, 46.0, 43.333333333333336)","(101.0, 830.0, 590.0)"
10-01-2023 14:20:29.047066,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.6000000000000005)","(10.0, 12.5, 12.3659793814433)","(12.0, 16.0, 15.8)","(14.0, 21.0, 19.88888888888889)","(6.0, 6.8, 6.768627450980392)","(51.0, 80.0, 70.0)","(61.0, 90.0, 67.5)","(31.0, 46.0, 43.333333333333336)","(101.0, 830.0, 590.0)"
10-01-2023 14:20:30.754956,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.6000000000000005)","(10.0, 12.5, 12.331683168316832)","(12.0, 16.0, 15.8)","(14.0, 21.0, 19.88888888888889)","(6.0, 6.8, 6.768627450980392)","(51.0, 80.0, 70.0)","(61.0, 90.0, 67.5)","(31.0, 46.0, 42.0)","(101.0, 830.0, 590.0)"
10-01-2023 14:20:32.501525,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.6000000000000005)","(10.0, 12.5, 12.331683168316832)","(12.0, 16.0, 15.8)","(14.0, 21.0, 19.666666666666668)","(6.0, 6.8, 6.768627450980392)","(51.0, 80.0, 70.0)","(61.0, 90.0, 67.5)","(31.0, 46.0, 40.857142857142854)","(101.0, 830.0, 590.0)"
10-01-2023 14:20:34.272807,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.6000000000000005)","(10.0, 12.5, 12.331683168316832)","(12.0, 16.0, 15.8)","(14.0, 21.0, 19.571428571428573)","(6.0, 6.8, 6.768627450980392)","(51.0, 80.0, 59.09090909090909)","(61.0, 90.0, 67.5)","(31.0, 46.0, 44.285714285714285)","(101.0, 830.0, 600.0)"
10-01-2023 14:20:36.048989,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.6000000000000005)","(10.0, 12.5, 12.331683168316832)","(12.0, 16.0, 15.8)","(14.0, 21.0, 19.333333333333332)","(6.0, 6.8, 6.787301587301587)","(51.0, 70.0, 59.09090909090909)","(61.0, 90.0, 67.5)","(31.0, 46.0, 44.285714285714285)","(101.0, 820.0, 640.0)"
10-01-2023 14:20:37.991526,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.6000000000000005)","(10.0, 12.5, 12.4609375)","(12.0, 16.0, 15.8)","(14.0, 21.0, 19.333333333333332)","(6.0, 6.8, 6.787301587301587)","(51.0, 70.0, 59.09090909090909)","(61.0, 90.0, 67.5)","(31.0, 46.0, 44.285714285714285)","(101.0, 820.0, 640.0)"
10-01-2023 14:20:39.747834,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.6000000000000005)","(10.0, 12.5, 12.21830985915493)","(12.0, 16.0, 15.8)","(14.0, 21.0, 19.333333333333332)","(6.0, 6.8, 6.787301587301587)","(51.0, 70.0, 66.25)","(61.0, 90.0, 67.5)","(31.0, 46.0, 44.285714285714285)","(101.0, 820.0, 670.0)"
10-01-2023 14:20:41.582953,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.6000000000000005)","(10.0, 13.0, 12.248322147651006)","(12.0, 16.0, 15.8)","(14.0, 21.0, 19.333333333333332)","(6.0, 6.8, 6.787301587301587)","(51.0, 70.0, 67.85714285714286)","(61.0, 90.0, 67.5)","(31.0, 46.0, 44.285714285714285)","(101.0, 820.0, 656.6666666666667)"
10-01-2023 14:20:43.257669,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.6000000000000005)","(10.0, 13.0, 12.248322147651006)","(12.0, 16.0, 15.8)","(14.0, 21.0, 19.333333333333332)","(6.0, 6.8, 6.787301587301587)","(51.0, 70.0, 67.85714285714286)","(61.0, 90.0, 67.5)","(31.0, 46.0, 44.285714285714285)","(101.0, 820.0, 500.0)"
10-01-2023 14:20:44.950175,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.575)","(10.0, 13.0, 12.248322147651006)","(12.0, 16.0, 15.8)","(14.0, 21.0, 19.333333333333332)","(6.0, 6.8, 6.787301587301587)","(51.0, 70.0, 67.85714285714286)","(61.0, 85.0, 68.33333333333333)","(31.0, 46.0, 44.285714285714285)","(101.0, 820.0, 663.3333333333333)"
10-01-2023 14:20:46.665860,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.575)","(10.0, 13.0, 12.248322147651006)","(12.0, 16.0, 15.8)","(14.0, 21.0, 19.333333333333332)","(6.0, 6.8, 6.787301587301587)","(51.0, 70.0, 69.28571428571429)","(61.0, 85.0, 68.33333333333333)","(31.0, 46.0, 44.285714285714285)","(101.0, 820.0, 513.3333333333334)"
10-01-2023 14:20:48.531717,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.575)","(10.0, 13.0, 12.248322147651006)","(12.0, 16.0, 15.8)","(14.0, 21.0, 19.333333333333332)","(6.0, 6.8, 6.787301587301587)","(51.0, 80.0, 83.0)","(61.0, 85.0, 68.33333333333333)","(31.0, 46.0, 44.285714285714285)","(101.0, 820.0, 640.0)"
10-01-2023 14:20:50.424863,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.575)","(10.0, 13.0, 12.248322147651006)","(12.0, 16.0, 15.8)","(14.0, 21.0, 19.333333333333332)","(6.0, 6.8, 6.787301587301587)","(51.0, 90.0, 65.0)","(61.0, 85.0, 68.33333333333333)","(31.0, 46.0, 44.285714285714285)","(101.0, 820.0, 748.5714285714286)"
10-01-2023 14:20:52.108811,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.575)","(10.0, 13.0, 12.248322147651006)","(12.0, 16.0, 15.666666666666666)","(14.0, 21.0, 19.333333333333332)","(6.0, 6.8, 6.787301587301587)","(51.0, 85.0, 71.66666666666667)","(61.0, 85.0, 68.33333333333333)","(31.0, 46.0, 44.285714285714285)","(101.0, 820.0, 500.0)"
10-01-2023 14:20:53.834542,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.6000000000000005)","(10.0, 13.0, 12.248322147651006)","(12.0, 16.0, 15.666666666666666)","(14.0, 21.0, 19.333333333333332)","(6.0, 6.8, 6.787301587301587)","(51.0, 80.0, 71.66666666666667)","(61.0, 85.0, 68.33333333333333)","(31.0, 46.0, 44.285714285714285)","(101.0, 830.0, 585.0)"
10-01-2023 14:20:55.575988,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.96)","(4.6, 7.0, 6.575)","(10.0, 13.0, 12.248322147651006)","(12.0, 16.0, 15.5)","(14.0, 21.0, 19.043478260869566)","(6.0, 6.8, 6.787301587301587)","(51.0, 80.0, 69.28571428571429)","(61.0, 85.0, 68.33333333333333)","(31.0, 46.0, 44.285714285714285)","(101.0, 830.0, 734.0)"
10-01-2023 14:20:57.364192,"(4.0, 5.0, 4.975)","(3.4, 4.1, 3.9499999999999997)","(4.6, 7.0, 6.6000000000000005)","(10.0, 13.0, 12.248322147651006)","(12.0, 16.0, 15.5)","(14.0, 21.0, 19.043478260869566)","(6.0, 6.8, 6.787301587301587)","(51.0, 80.0, 70.625)","(61.0, 85.0, 78.75)","(31.0, 46.0, 44.285714285714285)","(101.0, 830.0, 734.0)"
10-01-2023 14:20:59.137335,"(4.0, 5.0, 4.9)","(3.4, 4.1, 3.9285714285714284)","(4.6, 7.0, 6.5636363636363635)","(10.0, 13.0, 12.243986254295532)","(12.0, 16.0, 15.333333333333334)","(14.0, 21.0, 18.9375)","(6.0, 6.8, 6.786086956521739)","(51.0, 80.0, 72.5)","(61.0, 85.0, 78.75)","(31.0, 46.0, 44.285714285714285)","(101.0, 730.0, 654.0)"
10-01-2023 14:21:00.871888,"(4.0, 5.0, 5.105555555555555)","(3.4, 4.1, 3.869230769230769)","(4.6, 7.0, 6.7)","(10.0, 13.0, 12.251700680272108)","(12.0, 16.0, 15.5)","(14.0, 21.0, 18.954545454545453)","(6.0, 6.8, 6.779881656804734)","(51.0, 80.0, 71.25)","(61.0, 85.0, 73.63636363636364)","(31.0, 46.0, 44.285714285714285)","(101.0, 730.0, 654.0)"
10-01-2023 14:21:02.633550,"(4.0, 5.3, 5.166666666666667)","(3.4, 4.1, 3.957142857142857)","(4.6, 6.8, 6.7)","(10.0, 13.0, 12.266666666666667)","(12.0, 16.0, 15.5)","(14.0, 21.0, 18.391304347826086)","(6.0, 6.8, 6.779881656804734)","(51.0, 80.0, 71.25)","(61.0, 85.0, 73.63636363636364)","(31.0, 46.0, 42.0)","(101.0, 730.0, 550.0)"
10-01-2023 14:21:04.359120,"(4.0, 5.3, 5.2681818181818185)","(3.3, 4.1, 3.957142857142857)","(4.8, 6.8, 6.7)","(10.0, 13.0, 12.266666666666667)","(12.0, 16.0, 15.5)","(14.0, 21.0, 19.25)","(6.0, 6.8, 6.779881656804734)","(51.0, 80.0, 66.66666666666667)","(51.0, 85.0, 66.66666666666667)","(31.0, 46.0, 42.0)","(101.0, 730.0, 642.5)"
10-01-2023 14:21:06.157573,"(4.0, 5.8, 5.246153846153846)","(3.3, 4.1, 3.957142857142857)","(4.8, 6.8, 6.7)","(10.0, 13.0, 12.289473684210526)","(12.0, 16.0, 15.5)","(14.0, 20.0, 19.25)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 65.0)","(51.0, 80.0, 68.33333333333333)","(31.0, 46.0, 42.0)","(101.0, 820.0, 545.0)"
10-01-2023 14:21:07.900565,"(4.0, 5.8, 5.4)","(3.3, 4.1, 3.957142857142857)","(4.8, 6.8, 6.7)","(10.0, 12.5, 12.289473684210526)","(12.0, 16.0, 15.5)","(14.0, 20.0, 18.571428571428573)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 65.0)","(51.0, 85.0, 65.0)","(31.0, 46.0, 42.0)","(101.0, 820.0, 545.0)"
10-01-2023 14:21:09.617881,"(4.0, 5.5, 5.25)","(3.3, 4.1, 3.9846153846153842)","(4.8, 6.8, 6.7)","(10.0, 12.5, 12.289473684210526)","(12.0, 16.0, 15.5)","(14.0, 19.0, 18.571428571428573)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 61.15384615384615)","(51.0, 75.0, 65.0)","(31.0, 46.0, 42.0)","(101.0, 820.0, 547.7777777777778)"
10-01-2023 14:21:11.356657,"(4.0, 5.5, 5.25)","(3.3, 4.1, 3.9846153846153842)","(4.8, 6.8, 6.7)","(10.0, 12.5, 12.289473684210526)","(12.0, 16.0, 15.5)","(14.0, 19.0, 18.571428571428573)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 61.15384615384615)","(51.0, 75.0, 65.0)","(31.0, 46.0, 42.4)","(101.0, 820.0, 420.0)"
10-01-2023 14:21:13.063950,"(4.0, 5.5, 5.25)","(3.3, 4.1, 3.9846153846153842)","(4.8, 6.8, 6.7)","(10.0, 12.5, 12.318181818181818)","(12.0, 16.0, 15.5)","(14.0, 19.0, 18.4)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 61.15384615384615)","(51.0, 75.0, 65.0)","(31.0, 46.0, 42.4)","(101.0, 820.0, 420.0)"
10-01-2023 14:21:14.750787,"(4.0, 5.5, 5.2)","(3.3, 4.1, 3.904347826086956)","(4.8, 6.8, 6.7)","(10.0, 12.5, 12.318181818181818)","(12.0, 16.0, 15.5)","(14.0, 19.0, 17.903846153846153)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 66.42857142857143)","(51.0, 75.0, 64.16666666666667)","(31.0, 46.0, 42.4)","(101.0, 820.0, 585.0)"
10-01-2023 14:21:16.501579,"(4.0, 5.6, 5.2)","(3.3, 4.1, 3.904347826086956)","(4.8, 6.8, 6.7)","(10.0, 12.5, 12.318181818181818)","(12.0, 16.0, 15.5)","(14.0, 21.0, 18.484375)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 66.42857142857143)","(51.0, 85.0, 64.16666666666667)","(31.0, 46.0, 42.4)","(101.0, 820.0, 585.0)"
10-01-2023 14:21:18.251328,"(4.0, 5.6, 5.3)","(3.3, 4.1, 3.9076923076923076)","(4.8, 6.8, 6.371428571428572)","(10.0, 12.5, 12.321428571428571)","(12.0, 16.0, 15.5)","(14.0, 21.0, 19.166666666666668)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 71.0)","(51.0, 85.0, 72.5)","(31.0, 46.0, 42.4)","(101.0, 820.0, 526.25)"
10-01-2023 14:21:20.079849,"(4.0, 5.5, 5.3)","(3.3, 4.1, 3.9076923076923076)","(4.8, 6.8, 6.371428571428572)","(10.0, 12.5, 12.321428571428571)","(12.0, 16.0, 15.5)","(14.0, 19.5, 19.0)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 71.0)","(51.0, 80.0, 74.0)","(31.0, 46.0, 44.0)","(101.0, 820.0, 526.25)"
10-01-2023 14:21:21.879733,"(4.0, 5.5, 5.3)","(3.3, 4.1, 3.9076923076923076)","(4.8, 6.8, 6.314285714285714)","(10.0, 12.5, 12.320175438596491)","(12.0, 16.0, 15.5)","(14.0, 19.5, 18.285714285714285)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 71.0)","(51.0, 80.0, 67.85714285714286)","(31.0, 46.0, 44.0)","(101.0, 820.0, 526.25)"
10-01-2023 14:21:23.582897,"(4.0, 5.6, 5.507692307692308)","(3.3, 4.1, 3.8941176470588235)","(4.8, 6.8, 6.314285714285714)","(10.0, 12.5, 12.320175438596491)","(12.0, 16.0, 15.5)","(14.0, 21.0, 18.428571428571427)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 71.0)","(51.0, 85.0, 67.85714285714286)","(31.0, 46.0, 44.0)","(101.0, 820.0, 526.25)"
10-01-2023 14:21:25.522671,"(4.0, 5.6, 5.266666666666667)","(3.3, 4.1, 3.925)","(4.8, 6.8, 6.314285714285714)","(10.0, 12.5, 12.125984251968504)","(12.0, 16.0, 15.5)","(14.0, 21.0, 18.571428571428573)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 72.5)","(51.0, 80.0, 70.0)","(31.0, 46.0, 44.0)","(101.0, 820.0, 526.25)"
10-01-2023 14:21:27.335808,"(4.0, 5.6, 5.266666666666667)","(3.3, 4.0, 3.925)","(4.8, 6.8, 6.314285714285714)","(10.0, 13.0, 12.125984251968504)","(12.0, 16.0, 15.5)","(14.0, 20.0, 18.571428571428573)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 72.5)","(51.0, 75.0, 68.33333333333333)","(31.0, 46.0, 44.0)","(101.0, 810.0, 626.0)"
10-01-2023 14:21:28.960927,"(4.0, 5.6, 5.3999999999999995)","(3.3, 4.0, 3.9000000000000004)","(4.8, 6.8, 6.314285714285714)","(10.0, 13.0, 12.125)","(12.0, 16.0, 15.5)","(14.0, 20.0, 19.25)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 71.25)","(51.0, 75.0, 68.33333333333333)","(31.0, 46.0, 44.0)","(101.0, 810.0, 614.0)"
10-01-2023 14:21:30.611607,"(4.0, 5.6, 5.3999999999999995)","(3.3, 3.95, 3.9000000000000004)","(4.8, 6.8, 6.314285714285714)","(10.0, 13.0, 12.583333333333334)","(12.0, 16.0, 15.5)","(14.0, 20.0, 19.464285714285715)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 71.25)","(51.0, 75.0, 68.33333333333333)","(31.0, 46.0, 44.0)","(101.0, 790.0, 614.0)"
10-01-2023 14:21:32.344728,"(4.0, 5.6, 5.3999999999999995)","(3.3, 3.95, 3.9000000000000004)","(4.8, 6.8, 6.314285714285714)","(10.0, 13.0, 12.571794871794872)","(12.0, 16.0, 15.5)","(14.0, 20.0, 19.464285714285715)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 71.25)","(51.0, 75.0, 68.33333333333333)","(31.0, 46.0, 44.0)","(101.0, 790.0, 565.0)"
10-01-2023 14:21:34.030591,"(4.0, 5.6, 5.3999999999999995)","(3.3, 3.95, 3.9000000000000004)","(4.8, 6.8, 6.314285714285714)","(10.0, 13.0, 12.571794871794872)","(12.0, 16.0, 15.5)","(14.0, 20.0, 19.11764705882353)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 71.25)","(51.0, 75.0, 68.33333333333333)","(31.0, 46.0, 44.0)","(101.0, 780.0, 565.0)"
10-01-2023 14:21:35.711981,"(4.0, 5.6, 5.3999999999999995)","(3.3, 3.95, 3.9000000000000004)","(4.8, 6.8, 6.314285714285714)","(10.0, 13.0, 12.571794871794872)","(12.0, 16.0, 15.5)","(14.0, 20.0, 19.464285714285715)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 71.25)","(51.0, 75.0, 68.33333333333333)","(31.0, 46.0, 44.0)","(101.0, 780.0, 565.0)"
10-01-2023 14:21:37.403917,"(4.0, 5.6, 5.504761904761905)","(3.3, 3.95, 3.9000000000000004)","(4.8, 6.8, 6.29)","(10.0, 13.0, 12.251121076233185)","(12.0, 16.0, 15.5)","(14.0, 20.0, 19.464285714285715)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 71.0)","(51.0, 75.0, 68.33333333333333)","(31.0, 46.0, 44.0)","(101.0, 780.0, 565.0)"
10-01-2023 14:21:39.141101,"(4.0, 5.6, 5.504761904761905)","(3.3, 3.95, 3.9000000000000004)","(4.8, 6.8, 6.29)","(10.0, 13.0, 12.251121076233185)","(12.0, 16.0, 15.5)","(14.0, 20.0, 19.464285714285715)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 72.77777777777777)","(51.0, 75.0, 68.33333333333333)","(31.0, 46.0, 44.0)","(101.0, 730.0, 654.0)"
10-01-2023 14:21:40.837625,"(4.0, 5.6, 5.39)","(3.3, 3.95, 3.9000000000000004)","(4.8, 6.8, 6.333333333333333)","(10.0, 13.0, 12.251121076233185)","(12.0, 16.0, 15.5)","(14.0, 20.0, 19.1)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 72.77777777777777)","(51.0, 75.0, 68.33333333333333)","(31.0, 46.0, 44.0)","(101.0, 730.0, 654.0)"
10-01-2023 14:21:42.511224,"(4.0, 5.6, 5.375)","(3.3, 3.95, 3.9000000000000004)","(4.8, 6.6, 6.266666666666667)","(10.0, 13.0, 12.251121076233185)","(12.0, 16.0, 15.5)","(14.0, 20.0, 19.1)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 72.77777777777777)","(51.0, 75.0, 68.33333333333333)","(31.0, 46.0, 44.0)","(101.0, 730.0, 654.0)"
10-01-2023 14:21:44.135390,"(4.0, 5.6, 5.375)","(3.3, 3.95, 3.9000000000000004)","(4.8, 6.6, 6.254545454545455)","(10.0, 13.0, 12.251121076233185)","(12.0, 16.0, 15.5)","(14.0, 20.0, 19.1)","(6.0, 6.8, 6.779881656804734)","(51.0, 75.0, 72.5)","(51.0, 75.0, 68.33333333333333)","(31.0, 46.0, 44.0)","(101.0, 730.0, 654.0)"
