,Impress Scarlett,Impress Patch,Vans Turbo,Inga Lenny,Chanko Girl,Inga Bluey,King Of All,Funky Felix
09-01-2023 16:04:03.292109,"(7.5, 12.5, 8.225)","(4.4, 8.2, 7.439024390243902)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.0)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:04.491463,"(7.5, 12.5, 8.225)","(4.4, 8.2, 7.875)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.0)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:05.638789,"(7.5, 12.5, 8.225)","(4.4, 8.2, 7.875)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.0)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:06.722751,"(7.5, 12.5, 8.225)","(4.4, 8.2, 7.875)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.0)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:07.907047,"(7.5, 12.5, 8.225)","(4.4, 8.2, 7.875)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.0)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:08.934533,"(7.5, 12.5, 8.225)","(4.4, 8.2, 7.875)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.285714285714285)","(20.0, 70.0, 37.8125)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:10.059602,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.285714285714285)","(20.0, 70.0, 37.8125)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:11.256545,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.285714285714285)","(20.0, 70.0, 37.8125)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:12.406031,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.285714285714285)","(20.0, 70.0, 37.8125)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:13.525328,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.285714285714285)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:14.646699,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.346666666666668)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:15.630354,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.346666666666668)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:16.667403,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.346666666666668)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:17.757511,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.346666666666668)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:18.886081,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.346666666666668)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:19.956874,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.346666666666668)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:20.985154,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.314285714285717)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:22.033476,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.314285714285717)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:23.167129,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.314285714285717)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:24.325092,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 15.528571428571428)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:25.512419,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 16.0, 16.79375)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:26.785750,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 18.5, 16.79375)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:27.978887,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 18.5, 16.79375)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:29.120469,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 18.5, 16.79375)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:30.256363,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 18.5, 16.79375)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:31.322536,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 18.5, 16.79375)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:32.394474,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 18.5, 16.79375)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:33.424895,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 18.5, 17.182608695652174)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:34.607996,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 18.5, 17.182608695652174)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:35.805469,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 18.5, 17.066666666666666)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:36.994757,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 17.5, 17.066666666666666)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:38.187537,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 17.5, 17.066666666666666)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:39.342080,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 17.5, 17.066666666666666)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:40.446129,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 17.5, 17.066666666666666)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:41.506771,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 17.5, 17.066666666666666)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:42.609942,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 17.5, 17.066666666666666)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:43.781708,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 17.5, 16.61)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:44.930095,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 17.5, 16.61)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:46.054212,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 17.5, 16.61)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:47.126365,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 17.5, 16.61)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:48.133528,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 17.5, 16.61)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:49.150138,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 17.5, 16.61)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:50.274887,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:51.423404,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:52.515037,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:53.566661,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:54.564214,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:55.569724,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:56.741256,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:57.849213,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:58.963511,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:00.024646,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:01.080229,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:02.154193,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:03.274018,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:04.453888,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:05.608205,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:06.697869,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:07.716593,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:08.708532,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 13.466666666666667)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:09.799387,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 32.54545454545455)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 11.733333333333334)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:10.928263,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:12.080875,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:13.198823,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:14.301841,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.96)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:15.388828,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.32)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:16.444476,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.32)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(8.0, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:17.538174,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.88888888888889)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(8.0, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:18.751676,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.88888888888889)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(8.0, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:19.916108,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.88888888888889)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(8.0, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:05:21.098434,"(7.5, 12.5, 8.225)","(4.4, 7.8, 7.508333333333333)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 17.88888888888889)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(8.0, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
