,Golden Oak,Pear Lemonade,Big Falcon Rocket,Trevilion,Saint Scotty,Joyride,Get Hammered,Rys Revenge
15-12-2022 12:47:43.410796,"(13.0, 28.0, 22.0)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 17.857142857142858)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.29)","(16.0, 32.0, 27.25)"
15-12-2022 12:47:44.896465,"(13.0, 28.0, 22.0)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 17.857142857142858)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.29)","(16.0, 32.0, 27.25)"
15-12-2022 12:47:46.257554,"(13.0, 28.0, 22.0)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 17.857142857142858)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.29)","(16.0, 32.0, 27.25)"
15-12-2022 12:47:47.540992,"(13.0, 38.0, 32.4)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 20.6)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.29)","(16.0, 32.0, 27.25)"
15-12-2022 12:47:48.763586,"(13.0, 38.0, 32.4)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 20.6)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.29)","(16.0, 32.0, 27.25)"
15-12-2022 12:47:49.910260,"(13.0, 38.0, 32.4)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 20.6)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.29)","(16.0, 32.0, 27.25)"
15-12-2022 12:47:51.144458,"(13.0, 38.0, 32.4)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 20.6)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.412)","(17.0, 32.0, 27.25)"
15-12-2022 12:47:52.519268,"(13.0, 38.0, 32.4)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 20.6)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.48, 2.412)","(17.0, 32.0, 28.2)"
15-12-2022 12:47:53.860702,"(13.0, 38.0, 32.4)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 20.6)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.48, 2.2306666666666666)","(17.0, 32.0, 28.2)"
15-12-2022 12:47:55.128101,"(13.0, 38.0, 32.4)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 20.6)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.48, 2.2306666666666666)","(17.0, 32.0, 28.2)"
15-12-2022 12:47:56.379725,"(13.0, 38.0, 32.4)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 20.6)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.48, 2.2306666666666666)","(17.0, 32.0, 28.2)"
15-12-2022 12:47:57.571505,"(13.0, 38.0, 32.4)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 20.6)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.48, 2.2306666666666666)","(17.0, 32.0, 28.2)"
15-12-2022 12:47:58.857685,"(13.0, 38.0, 32.4)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 20.6)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.48, 2.2306666666666666)","(17.0, 32.0, 28.2)"
15-12-2022 12:47:59.934509,"(13.0, 38.0, 32.4)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 20.6)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.48, 2.2306666666666666)","(17.0, 32.0, 28.2)"
15-12-2022 12:48:01.043335,"(13.0, 38.0, 32.4)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 20.6)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.48, 2.2306666666666666)","(17.0, 32.0, 28.2)"
15-12-2022 12:48:02.201580,"(13.0, 38.0, 32.4)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 20.6)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.48, 2.2306666666666666)","(17.0, 32.0, 28.2)"
15-12-2022 12:48:03.391191,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 20.6)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.48, 2.2306666666666666)","(17.0, 32.0, 27.5)"
15-12-2022 12:48:04.559642,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 20.6)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.48, 2.2306666666666666)","(17.0, 32.0, 27.5)"
15-12-2022 12:48:05.749172,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 20.6)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.48, 2.2306666666666666)","(17.0, 32.0, 27.5)"
15-12-2022 12:48:06.946907,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.48, 2.2306666666666666)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:08.034743,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.48, 2.2306666666666666)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:09.140537,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.48, 2.2306666666666666)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:10.169506,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.48, 2.3)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:11.234090,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.46, 2.3)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:12.686680,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(4.6, 13.5, 9.7)","(2.4, 2.46, 2.3)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:13.840193,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(4.6, 13.5, 9.533333333333333)","(2.4, 2.46, 2.3)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:15.089482,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(5.0, 13.0, 9.533333333333333)","(2.35, 2.46, 2.3)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:16.180655,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(5.0, 13.0, 9.533333333333333)","(2.35, 2.46, 2.3)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:17.207022,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(5.0, 13.0, 9.533333333333333)","(2.35, 2.46, 2.3)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:18.269866,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(5.0, 13.0, 9.533333333333333)","(2.35, 2.46, 2.3)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:19.546402,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(5.0, 13.0, 9.533333333333333)","(2.35, 2.46, 2.3)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:20.788383,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(5.0, 13.0, 9.533333333333333)","(2.35, 2.46, 2.3)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:21.960597,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(4.6, 13.0, 9.533333333333333)","(2.35, 2.46, 2.3)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:23.075111,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(4.6, 13.0, 10.4)","(2.35, 2.46, 2.3)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:24.222877,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(4.6, 13.0, 10.4)","(2.35, 2.46, 2.225714285714286)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:25.219858,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(4.6, 13.0, 10.4)","(2.35, 2.44, 2.225714285714286)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:26.267088,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(4.6, 13.0, 10.4)","(2.35, 2.44, 2.225714285714286)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:27.332816,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(4.6, 13.0, 10.4)","(2.35, 2.44, 2.225714285714286)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:28.565873,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(4.6, 13.0, 10.4)","(2.35, 2.44, 2.2800000000000002)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:29.616225,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(4.6, 13.0, 10.4)","(2.35, 2.42, 2.2800000000000002)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:30.796182,"(13.0, 38.0, 32.4)","(31.0, 510.0, 343.8333333333333)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(10.0, 23.0, 21.92857142857143)","(4.6, 13.0, 10.4)","(2.35, 2.42, 2.2800000000000002)","(17.0, 32.0, 30.0)"
15-12-2022 12:48:31.830682,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(12.0, 23.0, 21.92857142857143)","(6.0, 13.0, 10.4)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 30.0)"
15-12-2022 12:48:33.117305,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(12.0, 23.0, 21.92857142857143)","(6.0, 13.0, 10.4)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 30.0)"
15-12-2022 12:48:34.192915,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(12.0, 23.0, 21.92857142857143)","(6.0, 13.0, 10.4)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 30.0)"
15-12-2022 12:48:35.682717,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(12.0, 23.0, 21.92857142857143)","(6.0, 13.0, 10.4)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 30.0)"
15-12-2022 12:48:36.909550,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(12.0, 25.0, 20.25)","(6.0, 13.0, 10.4)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 30.0)"
15-12-2022 12:48:38.209736,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(12.0, 25.0, 20.25)","(6.0, 13.0, 10.4)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 30.0)"
15-12-2022 12:48:39.463118,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 4.9, 4.7250000000000005)","(21.0, 230.0, 81.5)","(12.0, 25.0, 20.25)","(6.0, 13.0, 10.4)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 30.0)"
15-12-2022 12:48:40.772580,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 4.9, 4.433333333333334)","(21.0, 230.0, 81.5)","(12.0, 25.0, 20.25)","(6.0, 13.0, 10.4)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 30.0)"
15-12-2022 12:48:42.134503,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 4.9, 4.62)","(21.0, 230.0, 81.5)","(12.0, 25.0, 20.25)","(6.0, 13.0, 10.4)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 30.0)"
15-12-2022 12:48:43.387480,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 4.9, 4.62)","(21.0, 230.0, 81.5)","(12.0, 25.0, 20.25)","(6.0, 13.0, 10.4)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 30.0)"
15-12-2022 12:48:44.595466,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 4.9, 4.62)","(21.0, 230.0, 81.5)","(12.0, 25.0, 20.25)","(6.0, 13.0, 10.4)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 30.0)"
15-12-2022 12:48:46.018761,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 4.9, 4.62)","(21.0, 230.0, 69.875)","(12.0, 25.0, 14.125)","(6.0, 13.0, 10.4)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 27.375)"
15-12-2022 12:48:47.316855,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 4.9, 4.628571428571429)","(21.0, 230.0, 69.875)","(12.0, 25.0, 20.285714285714285)","(6.0, 13.0, 10.4)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 29.357142857142858)"
15-12-2022 12:48:48.677334,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 5.2, 4.628571428571429)","(21.0, 230.0, 69.875)","(12.0, 24.0, 20.285714285714285)","(6.0, 13.0, 10.4)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 29.357142857142858)"
15-12-2022 12:48:50.188870,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 5.2, 4.628571428571429)","(21.0, 230.0, 69.875)","(12.0, 24.0, 19.0)","(6.0, 13.0, 10.4)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 29.357142857142858)"
15-12-2022 12:48:51.629576,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 5.2, 4.628571428571429)","(21.0, 230.0, 69.875)","(12.0, 24.0, 19.0)","(6.0, 13.0, 9.879999999999999)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 29.357142857142858)"
15-12-2022 12:48:52.988846,"(18.0, 38.0, 32.4)","(41.0, 510.0, 343.8333333333333)","(3.5, 5.2, 4.628571428571429)","(21.0, 230.0, 69.875)","(12.0, 24.0, 19.0)","(6.0, 13.0, 9.879999999999999)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 29.357142857142858)"
15-12-2022 12:48:54.397954,"(18.0, 38.0, 32.4)","(41.0, 510.0, 337.1666666666667)","(3.5, 5.2, 4.585714285714285)","(21.0, 230.0, 69.875)","(12.0, 24.0, 16.1875)","(6.0, 13.0, 9.879999999999999)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 29.357142857142858)"
15-12-2022 12:48:55.813052,"(18.0, 38.0, 32.4)","(41.0, 500.0, 337.1666666666667)","(3.5, 5.1, 4.585714285714285)","(21.0, 230.0, 69.875)","(12.0, 24.0, 17.055555555555557)","(6.0, 13.0, 9.879999999999999)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 29.6875)"
15-12-2022 12:48:56.995766,"(18.0, 38.0, 32.4)","(41.0, 500.0, 337.1666666666667)","(3.5, 5.1, 4.585714285714285)","(21.0, 230.0, 69.875)","(12.0, 24.0, 18.642857142857142)","(6.0, 13.0, 9.879999999999999)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 29.6875)"
15-12-2022 12:48:58.290147,"(18.0, 38.0, 32.4)","(41.0, 500.0, 337.1666666666667)","(3.5, 5.1, 4.445454545454545)","(21.0, 230.0, 69.875)","(12.0, 24.0, 21.166666666666664)","(6.0, 13.0, 9.879999999999999)","(1.9, 2.42, 2.2800000000000002)","(18.0, 32.0, 29.6875)"
15-12-2022 12:48:59.549826,"(18.0, 38.0, 32.4)","(41.0, 530.0, 218.9)","(3.5, 5.1, 4.445454545454545)","(21.0, 230.0, 69.875)","(12.0, 26.0, 20.5)","(6.0, 13.0, 9.879999999999999)","(1.9, 2.42, 2.396)","(18.0, 32.0, 29.6875)"
15-12-2022 12:49:00.851228,"(18.0, 38.0, 32.4)","(41.0, 530.0, 218.9)","(3.5, 5.1, 4.585714285714285)","(21.0, 230.0, 69.875)","(12.0, 25.0, 20.5)","(6.0, 13.0, 9.879999999999999)","(1.9, 2.46, 2.2680000000000002)","(18.0, 32.0, 29.6875)"
15-12-2022 12:49:02.164185,"(18.0, 38.0, 32.4)","(41.0, 530.0, 218.9)","(3.5, 5.1, 4.585714285714285)","(21.0, 230.0, 69.875)","(12.0, 25.0, 13.071428571428571)","(6.0, 13.0, 9.76)","(1.9, 2.46, 2.29)","(18.0, 32.0, 29.357142857142858)"
15-12-2022 12:49:03.450568,"(18.0, 38.0, 32.4)","(41.0, 530.0, 261.0)","(3.5, 4.8, 4.26)","(21.0, 230.0, 69.875)","(12.0, 17.0, 13.333333333333334)","(6.0, 13.0, 9.76)","(1.9, 2.44, 2.29)","(18.0, 32.0, 23.0)"
15-12-2022 12:49:04.737134,"(18.0, 38.0, 32.4)","(41.0, 510.0, 261.0)","(3.5, 4.8, 4.2562500000000005)","(21.0, 230.0, 69.875)","(12.0, 17.0, 13.333333333333334)","(6.0, 13.0, 9.76)","(1.9, 2.44, 2.29)","(18.0, 32.0, 23.0)"
15-12-2022 12:49:05.931956,"(18.0, 38.0, 32.4)","(41.0, 510.0, 261.0)","(3.5, 4.8, 4.2562500000000005)","(21.0, 230.0, 69.875)","(12.0, 17.0, 13.333333333333334)","(6.0, 13.0, 9.76)","(1.9, 2.44, 2.24)","(18.0, 32.0, 23.0)"
15-12-2022 12:49:07.111636,"(18.0, 38.0, 32.4)","(41.0, 520.0, 266.0)","(3.5, 4.8, 4.2562500000000005)","(21.0, 230.0, 69.875)","(12.0, 17.0, 13.333333333333334)","(6.0, 13.0, 9.76)","(1.9, 2.44, 2.24)","(18.0, 32.0, 23.0)"
15-12-2022 12:49:08.379548,"(18.0, 38.0, 32.4)","(41.0, 520.0, 350.8333333333333)","(3.5, 4.6, 4.4399999999999995)","(21.0, 230.0, 69.875)","(12.0, 17.0, 13.333333333333334)","(6.0, 13.0, 9.76)","(1.9, 2.44, 2.24)","(18.0, 29.0, 18.666666666666668)"
15-12-2022 12:49:09.477657,"(18.0, 38.0, 32.4)","(41.0, 990.0, 317.96875)","(3.5, 4.6, 4.4399999999999995)","(21.0, 230.0, 69.875)","(12.0, 17.0, 13.333333333333334)","(6.0, 13.0, 9.76)","(1.9, 2.44, 2.24)","(18.0, 28.0, 21.0)"
15-12-2022 12:49:10.580899,"(18.0, 38.0, 32.4)","(41.0, 990.0, 223.92857142857142)","(3.5, 4.6, 4.4399999999999995)","(21.0, 230.0, 69.875)","(12.0, 17.0, 13.333333333333334)","(6.0, 13.0, 9.76)","(1.9, 2.44, 2.24)","(18.0, 28.0, 21.0)"
15-12-2022 12:49:11.700336,"(18.0, 38.0, 32.4)","(41.0, 990.0, 223.92857142857142)","(3.5, 4.6, 4.4399999999999995)","(21.0, 230.0, 69.875)","(12.0, 17.0, 13.333333333333334)","(6.0, 13.0, 9.76)","(1.9, 2.44, 2.24)","(18.0, 28.0, 21.0)"
15-12-2022 12:49:12.888178,"(18.0, 38.0, 32.4)","(41.0, 990.0, 166.69230769230768)","(3.5, 4.6, 4.4399999999999995)","(21.0, 230.0, 69.875)","(12.0, 17.0, 13.333333333333334)","(6.0, 13.0, 9.76)","(1.9, 2.44, 2.24)","(18.0, 28.0, 21.0)"
15-12-2022 12:49:14.135633,"(18.0, 38.0, 32.4)","(41.0, 540.0, 365.6666666666667)","(3.5, 4.6, 4.4399999999999995)","(21.0, 230.0, 69.875)","(12.0, 17.0, 13.333333333333334)","(6.0, 13.0, 9.285714285714285)","(1.9, 2.44, 2.24)","(18.0, 28.0, 21.0)"
15-12-2022 12:49:15.337443,"(21.0, 38.0, 32.4)","(51.0, 100.0, 72.33333333333333)","(3.8, 4.6, 4.4399999999999995)","(26.0, 230.0, 69.875)","(12.0, 17.0, 13.153846153846153)","(6.5, 13.5, 9.285714285714285)","(1.7, 2.44, 2.24)","(18.0, 28.0, 21.0)"
