,Hes A Battler,Papa Surf,Walkinthepark,The Witch,Explosive Lass,Pegau,Zivjeli,Rushann,Boasting,Lucikhan,Keve
12-01-2023 11:07:07.053076,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 138.33333333333334)"
12-01-2023 11:07:08.788852,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 138.33333333333334)"
12-01-2023 11:07:10.244877,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 138.33333333333334)"
12-01-2023 11:07:11.822355,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 138.33333333333334)"
12-01-2023 11:07:13.465232,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 138.33333333333334)"
12-01-2023 11:07:15.002586,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 138.33333333333334)"
12-01-2023 11:07:16.534327,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:18.177195,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:19.738342,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:21.414467,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:22.938999,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:24.504945,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:26.059406,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:27.629389,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:29.061891,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:30.850465,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:32.550684,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:34.192841,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:35.817092,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:37.392573,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:38.975014,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:40.788783,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:42.383568,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:44.097814,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:45.732944,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:07:47.567893,"(9.0, 16.5, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 190.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:07:49.113245,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:07:50.815280,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:07:52.408475,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:07:53.893365,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:07:55.506645,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:07:57.064990,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:07:58.603264,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:00.162134,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:01.707584,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:03.254775,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:04.787960,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:06.270468,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:07.728314,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:09.128718,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:10.611925,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:12.051595,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:13.548728,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:15.130856,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:16.629630,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:18.112828,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:19.600273,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:21.049762,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:22.459482,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 7.766666666666667)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
12-01-2023 11:08:23.833631,"(9.0, 17.0, 11.45)","(5.5, 9.4, 7.0)","(5.0, 8.8, 7.566666666666666)","(5.0, 9.0, 6.723076923076922)","(5.5, 13.5, 10.05)","(10.0, 22.0, 10.8)","(41.0, 180.0, 131.33333333333331)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.711111111111111)","(21.0, 32.0, 29.0)","(41.0, 210.0, 64.28571428571428)"
