,Coco Cuber,Fudging,Nebaraz,Vaporizing,Inner Spirit,Perfect Quality,Smarty Lee,Strathcona,Ten Schilling,Lightheadedness,Serenata
07-01-2023 15:24:39.693166,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 160.0, 112.5)"
07-01-2023 15:24:41.036418,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 160.0, 107.5)"
07-01-2023 15:24:42.624782,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:24:44.039238,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:24:45.420090,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:24:46.760134,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:24:48.182740,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:24:49.544816,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:24:50.884563,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:24:52.269616,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:24:53.532452,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:24:54.952462,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.8125)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:24:56.276239,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.8125)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:24:57.641628,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.8125)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:24:58.997133,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.921052631578947)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:25:00.274425,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.921052631578947)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:25:01.507907,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.921052631578947)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:25:02.718212,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.921052631578947)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:25:03.917562,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.921052631578947)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:25:05.147214,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.921052631578947)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:25:06.395573,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.921052631578947)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:25:07.595186,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.921052631578947)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:25:08.822922,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.921052631578947)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:25:10.448023,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.921052631578947)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:25:12.095227,"(21.0, 42.0, 35.6)","(9.0, 12.0, 11.921052631578947)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:25:13.619697,"(21.0, 42.0, 35.6)","(9.0, 12.0, 11.921052631578947)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:25:15.126109,"(21.0, 42.0, 35.6)","(9.0, 12.0, 11.921052631578947)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:25:16.460723,"(21.0, 42.0, 35.6)","(9.0, 12.0, 11.921052631578947)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:25:17.933441,"(21.0, 42.0, 35.6)","(9.0, 12.0, 11.892857142857142)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
07-01-2023 15:25:19.451347,"(21.0, 42.0, 35.6)","(9.0, 12.0, 11.892857142857142)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 150.0, 107.5)"
