,Get Carter,Divas Boy,Deemed A Liar,Shanti,Top Shelf Toby,Side Tracked
10-01-2023 16:24:47.764714,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:48.915960,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:50.159066,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:51.503698,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:52.621908,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:53.732172,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:54.853643,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:55.993808,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:57.008672,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:58.152132,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:59.369322,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:00.574083,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:01.699178,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:02.835784,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:04.010424,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:05.283104,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:06.563906,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:07.741340,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:08.868286,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:10.064592,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:11.137152,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:12.462172,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:13.665771,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:14.807881,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:15.953901,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:17.169568,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:18.398758,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:19.626287,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:20.782512,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:21.919910,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:23.276008,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:24.381865,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:25.618337,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:26.717635,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:25:27.758994,"(4.4, 8.2, 6.352)","(21.0, 70.0, 41.66666666666667)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:28.901487,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:30.059797,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:31.181144,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:32.305768,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:33.453457,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:34.560868,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:35.702181,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:36.891313,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:38.031004,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:39.133634,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:40.386985,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:41.536005,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:42.865146,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:44.173882,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:45.485226,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:46.785058,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:48.035172,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:49.151247,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:50.276082,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:51.447069,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:52.773835,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:53.995178,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:55.136879,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:56.357004,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:57.531029,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:58.682419,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:25:59.909912,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:26:01.121726,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:26:02.305936,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:26:03.591457,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:26:04.769676,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:26:06.015696,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:26:07.543408,"(4.4, 8.2, 6.352)","(21.0, 70.0, 44.75)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 686.0)"
10-01-2023 16:26:08.811272,"(4.4, 8.2, 6.352)","(21.0, 70.0, 47.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 711.6666666666666)"
10-01-2023 16:26:10.077770,"(4.4, 8.2, 6.352)","(21.0, 70.0, 47.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 711.6666666666666)"
10-01-2023 16:26:11.366655,"(4.4, 8.2, 6.352)","(21.0, 70.0, 47.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 711.6666666666666)"
10-01-2023 16:26:12.576916,"(4.4, 8.2, 6.352)","(21.0, 70.0, 47.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 711.6666666666666)"
10-01-2023 16:26:13.822257,"(4.4, 8.2, 6.352)","(21.0, 70.0, 47.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 711.6666666666666)"
10-01-2023 16:26:15.041476,"(4.4, 8.2, 6.352)","(21.0, 70.0, 47.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 711.6666666666666)"
10-01-2023 16:26:16.205927,"(4.4, 8.2, 6.352)","(21.0, 70.0, 47.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 711.6666666666666)"
10-01-2023 16:26:17.355640,"(4.4, 8.2, 6.352)","(21.0, 70.0, 47.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 711.6666666666666)"
10-01-2023 16:26:18.475459,"(4.4, 8.2, 6.352)","(21.0, 70.0, 47.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 711.6666666666666)"
10-01-2023 16:26:19.628630,"(4.4, 8.2, 6.352)","(21.0, 70.0, 47.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 155.33333333333334)","(101.0, 830.0, 711.6666666666666)"
