,Berdibek,Bonny Ezra,Aleas,Chalk Stream,First In Line,Shes The Gift,Military Mission,Criminal Code,Global Ausbred,Mission Phoenix,Lady Redwood
07-01-2023 14:48:51.150052,"(12.0, 18.5, 18.472826086956523)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 5.964285714285714)","(10.0, 14.0, 13.804347826086957)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.666666666666666)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.64285714285714)","(5.5, 6.8, 6.461971830985916)","(6.5, 7.6, 7.417721518987342)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:48:52.457476,"(12.0, 18.0, 17.98641304347826)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 5.964285714285714)","(10.0, 14.0, 13.804347826086957)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.666666666666666)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.64285714285714)","(5.5, 6.8, 6.461971830985916)","(6.5, 7.6, 7.417721518987342)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:48:53.793351,"(12.0, 18.0, 17.98641304347826)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 5.964285714285714)","(10.0, 14.0, 13.804347826086957)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.666666666666666)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.64285714285714)","(5.5, 6.8, 6.461971830985916)","(6.5, 7.6, 7.417721518987342)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:48:55.142771,"(12.0, 18.0, 17.98641304347826)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 6.0)","(10.0, 14.0, 13.804347826086957)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.692307692307692)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.64285714285714)","(5.5, 6.8, 6.5120000000000005)","(6.5, 7.6, 7.417721518987342)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:48:56.573874,"(12.0, 18.0, 17.98641304347826)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 6.0)","(10.0, 14.0, 13.804347826086957)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.692307692307692)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.63414634146341)","(5.5, 6.8, 6.541935483870968)","(6.5, 7.6, 7.417721518987342)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:48:57.882337,"(12.0, 18.0, 18.95923913043478)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 6.0)","(10.0, 14.0, 13.804347826086957)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.692307692307692)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.63414634146341)","(5.5, 6.8, 6.541935483870968)","(6.5, 7.6, 7.4129870129870135)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:48:59.235136,"(12.0, 19.0, 18.95923913043478)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 6.0)","(10.0, 14.0, 13.804347826086957)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.692307692307692)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.63414634146341)","(5.5, 6.8, 6.537979094076655)","(6.5, 7.6, 7.4129870129870135)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:49:00.569220,"(12.0, 19.0, 18.92063492063492)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 6.0)","(10.0, 14.0, 13.804347826086957)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.692307692307692)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.63414634146341)","(5.5, 6.8, 6.537979094076655)","(6.5, 7.6, 7.4129870129870135)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:49:02.019166,"(12.0, 19.0, 18.92063492063492)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 5.998507462686567)","(10.0, 14.0, 13.785714285714285)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.692307692307692)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.63414634146341)","(5.5, 6.8, 6.537979094076655)","(6.5, 7.6, 7.4129870129870135)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:49:03.418799,"(12.0, 19.0, 18.92063492063492)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 5.998507462686567)","(10.0, 14.0, 13.785714285714285)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.692307692307692)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.63414634146341)","(5.5, 6.8, 6.537979094076655)","(6.5, 7.6, 7.4129870129870135)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:49:04.830667,"(12.0, 19.0, 18.92063492063492)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 5.998507462686567)","(10.0, 14.0, 13.785714285714285)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.692307692307692)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.63414634146341)","(5.5, 6.8, 6.578378378378378)","(6.5, 7.6, 7.4129870129870135)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:49:06.137433,"(12.0, 19.0, 18.92063492063492)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 5.9949640287769785)","(10.0, 14.0, 13.913793103448276)","(61.0, 95.0, 82.97101449275362)","(7.5, 10.0, 9.209375)","(6.5, 7.6, 7.51044776119403)","(26.0, 40.0, 35.4)","(5.5, 6.6, 6.578378378378378)","(6.5, 7.6, 7.4129870129870135)","(81.0, 220.0, 197.5)"
07-01-2023 14:49:07.476311,"(12.0, 19.0, 18.655172413793103)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.998507462686567)","(10.0, 14.0, 13.947058823529412)","(61.0, 85.0, 82.97101449275362)","(7.5, 9.6, 9.209375)","(6.5, 7.6, 7.51044776119403)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.578378378378378)","(6.5, 7.6, 7.366292134831461)","(81.0, 220.0, 197.5)"
07-01-2023 14:49:08.789339,"(12.0, 19.0, 18.655172413793103)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.998507462686567)","(10.0, 14.0, 13.947058823529412)","(61.0, 85.0, 82.97101449275362)","(7.5, 9.6, 9.209375)","(6.5, 7.6, 7.51044776119403)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.578378378378378)","(6.5, 7.4, 7.366292134831461)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:10.154318,"(12.0, 19.0, 18.655172413793103)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.998507462686567)","(10.0, 14.0, 13.947058823529412)","(61.0, 85.0, 82.97101449275362)","(7.5, 9.6, 9.209375)","(6.5, 7.6, 7.51044776119403)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.578378378378378)","(6.5, 7.4, 7.366292134831461)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:11.528280,"(12.0, 19.0, 18.655172413793103)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.998507462686567)","(10.0, 14.0, 13.947058823529412)","(61.0, 85.0, 82.97101449275362)","(7.5, 9.6, 9.209375)","(6.5, 7.6, 7.51044776119403)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.578378378378378)","(6.5, 7.4, 7.366292134831461)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:12.829232,"(12.0, 19.0, 18.655172413793103)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.998507462686567)","(10.0, 14.0, 13.947058823529412)","(61.0, 85.0, 82.97101449275362)","(7.5, 9.6, 9.208823529411765)","(6.5, 7.6, 7.51044776119403)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.586792452830188)","(6.5, 7.4, 7.366292134831461)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:14.172635,"(12.0, 19.0, 18.791666666666668)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.998507462686567)","(10.0, 14.0, 13.442528735632184)","(61.0, 85.0, 82.97101449275362)","(7.5, 9.6, 9.208823529411765)","(6.5, 7.6, 7.51044776119403)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.58)","(6.5, 7.4, 7.366292134831461)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:15.508055,"(12.0, 19.0, 18.791666666666668)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.998507462686567)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.97101449275362)","(7.5, 9.6, 9.208823529411765)","(6.5, 7.6, 7.51044776119403)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.58)","(6.5, 7.4, 7.366292134831461)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:16.869236,"(12.0, 19.0, 18.791666666666668)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.998507462686567)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.97101449275362)","(7.5, 9.6, 9.208823529411765)","(6.5, 7.6, 7.51044776119403)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.571428571428571)","(6.5, 7.4, 7.366292134831461)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:18.222823,"(12.0, 19.0, 18.791666666666668)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.998507462686567)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.97101449275362)","(7.5, 9.6, 9.208823529411765)","(6.5, 7.6, 7.51044776119403)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.574117647058824)","(6.5, 7.4, 7.366292134831461)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:19.654447,"(12.0, 19.0, 18.791666666666668)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.956410256410257)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.208823529411765)","(6.5, 7.6, 7.51044776119403)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.574117647058824)","(6.5, 7.4, 7.263636363636364)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:21.118416,"(12.0, 19.0, 18.814814814814813)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.956410256410257)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.208823529411765)","(6.5, 7.6, 7.51044776119403)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.574117647058824)","(6.5, 7.4, 7.263636363636364)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:22.484696,"(12.0, 19.0, 18.814814814814813)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.956410256410257)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.208823529411765)","(6.5, 7.6, 7.51044776119403)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.568627450980392)","(6.5, 7.4, 7.263636363636364)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:23.823357,"(12.0, 19.0, 18.814814814814813)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.956410256410257)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.238095238095237)","(6.5, 7.6, 7.51044776119403)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.563809523809524)","(6.5, 7.4, 7.263636363636364)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:25.137225,"(12.0, 19.0, 18.814814814814813)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.956410256410257)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.238095238095237)","(6.5, 7.6, 7.51044776119403)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.563809523809524)","(6.5, 7.4, 7.263636363636364)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:26.460290,"(12.0, 19.0, 18.814814814814813)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.956410256410257)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.238095238095237)","(6.5, 7.6, 7.51044776119403)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.572857142857143)","(6.5, 7.4, 7.263636363636364)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:27.700918,"(12.0, 19.0, 18.814814814814813)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.956410256410257)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.238095238095237)","(6.5, 7.6, 7.51044776119403)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.572857142857143)","(6.5, 7.4, 7.263636363636364)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:29.070561,"(12.0, 19.0, 18.814814814814813)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.956410256410257)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.238095238095237)","(6.5, 7.6, 7.521052631578947)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.572857142857143)","(6.5, 7.4, 6.82051282051282)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:30.368615,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.956410256410257)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.258974358974358)","(6.5, 7.6, 7.521052631578947)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.572857142857143)","(6.5, 7.0, 6.745454545454545)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:31.659675,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.956410256410257)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.258974358974358)","(6.5, 7.6, 7.457142857142857)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.572857142857143)","(6.5, 7.0, 6.805128205128205)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:32.983474,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.969230769230769)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.258974358974358)","(6.5, 7.6, 7.457142857142857)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.572857142857143)","(6.5, 7.0, 6.91578947368421)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:34.386896,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.969230769230769)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.258974358974358)","(6.5, 7.6, 7.457142857142857)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.572857142857143)","(6.5, 7.0, 6.91578947368421)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:35.618239,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.969230769230769)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.258974358974358)","(6.5, 7.6, 7.457142857142857)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.572857142857143)","(6.5, 7.0, 6.91578947368421)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:36.901300,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.969230769230769)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.258974358974358)","(6.5, 7.6, 7.457142857142857)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.572857142857143)","(6.5, 7.0, 6.822222222222222)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:38.085796,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.0, 8.908928571428572)","(4.8, 6.2, 5.969230769230769)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.258974358974358)","(6.5, 7.6, 7.507692307692308)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.572857142857143)","(6.5, 7.0, 6.423300970873787)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:39.331689,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.4, 9.219999999999999)","(4.8, 6.2, 5.969230769230769)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.258974358974358)","(6.5, 7.6, 7.507692307692308)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.572857142857143)","(6.5, 6.6, 6.423300970873787)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:40.628876,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.4, 9.362962962962962)","(4.8, 6.2, 5.970370370370371)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.258974358974358)","(6.5, 7.6, 7.507692307692308)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.572857142857143)","(6.5, 6.6, 6.423300970873787)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:41.921105,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.4, 9.383333333333333)","(4.8, 6.2, 5.970370370370371)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.258974358974358)","(6.5, 7.6, 7.507692307692308)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.572857142857143)","(6.5, 6.6, 6.423300970873787)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:43.247303,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.4, 9.383333333333333)","(4.8, 6.2, 5.970370370370371)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.258974358974358)","(6.5, 7.6, 7.523240938166311)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.572857142857143)","(6.5, 6.6, 6.423300970873787)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:44.536732,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.4, 9.383333333333333)","(4.8, 6.2, 5.879310344827586)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.258974358974358)","(6.5, 7.6, 7.523240938166311)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.572857142857143)","(6.5, 6.6, 6.423300970873787)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:45.861811,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.4, 9.383333333333333)","(4.8, 6.2, 5.934285714285715)","(10.0, 13.5, 13.442528735632184)","(61.0, 85.0, 82.87878787878788)","(7.5, 9.6, 9.258974358974358)","(6.5, 7.6, 7.523240938166311)","(26.0, 36.0, 35.4)","(5.5, 6.6, 6.572857142857143)","(6.5, 6.6, 6.423300970873787)","(81.0, 220.0, 200.0)"
07-01-2023 14:49:47.177015,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.4, 9.342857142857143)","(4.8, 6.2, 5.934285714285715)","(10.0, 13.5, 13.307692307692308)","(61.0, 85.0, 93.24561403508773)","(7.5, 9.6, 9.590909090909092)","(6.5, 7.6, 7.4994413407821225)","(26.0, 36.0, 38.94736842105263)","(5.5, 6.6, 6.571212121212121)","(6.5, 6.6, 6.423300970873787)","(81.0, 220.0, 210.0)"
07-01-2023 14:49:48.469184,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.4, 9.266666666666666)","(4.8, 6.2, 5.934285714285715)","(10.0, 13.5, 13.282608695652174)","(61.0, 95.0, 93.24561403508773)","(7.5, 10.0, 9.590909090909092)","(6.5, 7.6, 7.4994413407821225)","(26.0, 40.0, 38.94736842105263)","(5.5, 6.6, 6.571212121212121)","(6.5, 6.6, 6.423300970873787)","(81.0, 220.0, 210.47619047619048)"
07-01-2023 14:49:49.683755,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.4, 9.266666666666666)","(4.8, 6.2, 5.934285714285715)","(10.0, 13.5, 13.282608695652174)","(61.0, 95.0, 93.24561403508773)","(7.5, 10.0, 9.590909090909092)","(6.5, 7.6, 7.4994413407821225)","(26.0, 40.0, 38.94736842105263)","(5.5, 6.6, 6.568333333333333)","(6.5, 6.6, 6.423300970873787)","(81.0, 220.0, 210.47619047619048)"
07-01-2023 14:49:50.943750,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.4, 9.266666666666666)","(4.8, 6.2, 5.934285714285715)","(10.0, 13.5, 13.282608695652174)","(61.0, 95.0, 93.27586206896552)","(7.5, 10.0, 9.590909090909092)","(6.5, 7.6, 7.4994413407821225)","(26.0, 40.0, 38.94736842105263)","(5.5, 6.6, 6.568333333333333)","(6.5, 6.6, 6.423300970873787)","(81.0, 220.0, 210.47619047619048)"
07-01-2023 14:49:52.266073,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.4, 9.266666666666666)","(4.8, 6.2, 5.934285714285715)","(10.0, 13.5, 13.282608695652174)","(61.0, 95.0, 93.27586206896552)","(7.5, 10.0, 9.590909090909092)","(6.5, 7.6, 7.495652173913044)","(26.0, 40.0, 38.94736842105263)","(5.5, 6.6, 6.568333333333333)","(6.5, 6.6, 6.719540229885057)","(81.0, 220.0, 210.47619047619048)"
07-01-2023 14:49:53.618559,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.4, 9.266666666666666)","(4.8, 6.2, 5.932876712328768)","(10.0, 13.5, 13.282608695652174)","(61.0, 95.0, 93.27586206896552)","(7.5, 10.0, 9.590909090909092)","(6.5, 7.6, 7.495652173913044)","(26.0, 40.0, 38.94736842105263)","(5.5, 6.6, 6.568333333333333)","(6.5, 7.4, 6.719540229885057)","(81.0, 220.0, 210.47619047619048)"
07-01-2023 14:49:54.865599,"(12.0, 19.0, 18.772727272727273)","(7.5, 9.4, 9.266666666666666)","(4.8, 6.2, 5.932876712328768)","(10.0, 13.5, 13.282608695652174)","(61.0, 95.0, 93.27586206896552)","(7.5, 10.0, 9.590909090909092)","(6.5, 7.6, 7.495652173913044)","(26.0, 40.0, 38.94736842105263)","(5.5, 6.6, 6.568333333333333)","(6.5, 7.4, 6.719540229885057)","(81.0, 220.0, 210.47619047619048)"
