,Masie Jane,Zipping Cutie,Flyaway Becky,Lenny Boy,Chip Rock,Tralee Beth,Jasper Kimetto,Light Duties
05-01-2023 14:09:00.098251,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:01.286279,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:02.497199,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:03.737525,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:04.919970,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:06.157622,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:07.399960,"(2.5, 4.6, 2.85)","(41.0, 340.0, 152.9230769230769)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:08.625187,"(2.5, 4.6, 2.85)","(41.0, 340.0, 152.9230769230769)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.6)","(3.0, 5.1, 4.05)","(5.0, 8.4, 5.6000000000000005)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:09.883244,"(2.5, 4.6, 2.8)","(41.0, 340.0, 157.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 4.05)","(5.0, 8.4, 5.483333333333333)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:11.031839,"(2.5, 4.6, 2.8)","(41.0, 340.0, 157.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 4.05)","(5.0, 8.4, 5.45)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:12.281799,"(2.5, 4.6, 2.8)","(41.0, 340.0, 157.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:13.479782,"(2.5, 4.6, 2.8)","(41.0, 340.0, 157.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:14.747792,"(2.5, 4.6, 2.8)","(41.0, 340.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:16.075002,"(2.5, 4.6, 2.8)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:17.364654,"(2.5, 4.6, 2.8)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:18.736918,"(2.5, 4.6, 2.8)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:20.070736,"(2.5, 4.6, 2.8)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:21.350771,"(2.5, 4.6, 2.8)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:22.494052,"(2.5, 4.6, 2.8)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:23.705473,"(2.5, 4.6, 3.314285714285714)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:24.950023,"(2.5, 4.6, 3.314285714285714)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:26.331449,"(2.5, 4.6, 3.314285714285714)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:27.765732,"(2.5, 4.6, 3.314285714285714)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:28.958373,"(2.5, 4.6, 3.314285714285714)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:30.106580,"(2.5, 4.6, 3.314285714285714)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:31.319223,"(2.5, 4.6, 3.314285714285714)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:32.522840,"(2.5, 4.6, 3.314285714285714)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:33.642692,"(2.5, 4.6, 3.314285714285714)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:34.995339,"(2.5, 4.6, 3.314285714285714)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:36.376935,"(2.5, 4.6, 3.314285714285714)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:37.726489,"(2.5, 4.6, 3.314285714285714)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:39.158765,"(2.5, 4.6, 3.314285714285714)","(41.0, 320.0, 149.6)","(10.0, 22.0, 14.0)","(21.0, 85.0, 56.36363636363637)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 16.5)"
05-01-2023 14:09:40.495400,"(2.5, 4.6, 3.314285714285714)","(41.0, 320.0, 200.39999999999998)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:09:41.815090,"(2.5, 4.6, 3.314285714285714)","(41.0, 310.0, 200.39999999999998)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:09:43.145238,"(2.5, 4.6, 3.314285714285714)","(41.0, 310.0, 200.39999999999998)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:09:44.323657,"(2.5, 4.6, 3.314285714285714)","(41.0, 310.0, 200.39999999999998)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:09:45.485377,"(2.5, 4.6, 3.314285714285714)","(41.0, 310.0, 200.39999999999998)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:09:46.593964,"(2.5, 4.6, 3.314285714285714)","(41.0, 310.0, 200.39999999999998)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:09:47.751231,"(2.5, 4.6, 3.314285714285714)","(41.0, 310.0, 200.39999999999998)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:09:49.093098,"(2.5, 4.6, 3.314285714285714)","(41.0, 310.0, 200.39999999999998)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:09:50.325139,"(2.5, 4.6, 3.314285714285714)","(41.0, 310.0, 200.39999999999998)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:09:51.615135,"(2.5, 4.6, 3.314285714285714)","(41.0, 310.0, 200.39999999999998)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:09:52.798896,"(2.5, 4.6, 3.314285714285714)","(41.0, 310.0, 200.39999999999998)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:09:53.957493,"(2.5, 4.6, 3.314285714285714)","(41.0, 310.0, 200.39999999999998)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:09:55.057852,"(2.5, 4.6, 3.314285714285714)","(41.0, 310.0, 200.39999999999998)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:09:56.086583,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:09:57.089319,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:09:58.094080,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:09:59.159234,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:00.265850,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:01.431728,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:02.606826,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:03.903240,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:05.100241,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:06.113190,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:07.178562,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:08.304694,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:09.439629,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:10.527860,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:11.623119,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:12.665858,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:13.645580,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:14.658462,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:15.704535,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:16.822751,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:17.948617,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:19.020549,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:20.116880,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:21.149103,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:22.212352,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:23.214552,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:24.249701,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
05-01-2023 14:10:25.448658,"(2.5, 4.6, 3.314285714285714)","(41.0, 300.0, 119.36842105263159)","(10.0, 22.0, 14.0)","(21.0, 85.0, 39.90909090909091)","(6.0, 11.0, 8.6)","(3.0, 5.0, 3.29)","(5.0, 8.2, 6.930769230769231)","(13.0, 34.0, 15.818181818181818)"
