,Katdeel,Mataman,Lady Valentine,Satellite Spirit,Deal An Ace,Star Prince,Perfect Impact,Anatini,Modele,Queen Luwell,Zuri Zuri,Chance At Midnight,Sea Kissed,Destination Sydney
08-01-2023 15:03:20.362030,"(3.3, 3.9, 3.873913043478261)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.442857142857143)","(6.0, 7.8, 7.622222222222222)","(8.0, 9.6, 8.64)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 37.84615384615385)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:21.790513,"(3.3, 3.9, 3.873913043478261)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.442857142857143)","(6.0, 7.8, 7.622222222222222)","(8.0, 9.6, 8.64)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 37.84615384615385)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:23.221792,"(3.3, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.48)","(6.0, 7.8, 7.16)","(8.0, 9.6, 8.64)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.44444444444444)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:24.574849,"(3.3, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.48)","(6.0, 7.8, 7.16)","(8.0, 9.6, 8.64)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:25.960550,"(3.3, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.48)","(6.0, 7.8, 7.48)","(8.0, 9.6, 8.64)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:27.320968,"(3.3, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.48)","(6.0, 7.8, 7.48)","(8.0, 9.6, 8.658823529411764)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:28.685640,"(3.3, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.48)","(6.0, 7.8, 7.48)","(8.0, 9.6, 8.658823529411764)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:30.040976,"(3.3, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.48)","(6.0, 7.8, 7.48)","(8.0, 9.6, 8.658823529411764)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 34.8)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:31.438523,"(3.3, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.48)","(6.0, 7.8, 7.48)","(8.0, 9.6, 8.658823529411764)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:32.804121,"(3.3, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.48)","(6.0, 7.8, 7.48)","(8.0, 9.6, 8.658823529411764)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:34.175858,"(3.3, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.48)","(6.0, 7.8, 7.48)","(8.0, 9.6, 8.658823529411764)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:35.542867,"(3.3, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.4466666666666668)","(6.0, 7.8, 7.625)","(8.0, 9.6, 8.658823529411764)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:36.984290,"(3.3, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.4466666666666668)","(6.0, 7.8, 7.625)","(8.0, 9.6, 8.0)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:38.314820,"(3.3, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.4466666666666668)","(6.0, 7.8, 7.45945945945946)","(8.0, 9.6, 8.0)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:39.702541,"(3.4, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.4466666666666668)","(6.0, 7.8, 7.45945945945946)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:41.054067,"(3.4, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.4466666666666668)","(6.0, 7.8, 6.8999999999999995)","(7.5, 9.6, 8.564705882352941)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:42.384704,"(3.4, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.4466666666666668)","(6.0, 7.8, 6.8999999999999995)","(7.5, 9.6, 8.564705882352941)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:43.772905,"(3.4, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.4466666666666668)","(6.0, 7.8, 6.8999999999999995)","(7.5, 9.6, 8.564705882352941)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:45.141421,"(3.4, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.4466666666666668)","(6.0, 7.8, 6.8999999999999995)","(7.5, 9.6, 8.564705882352941)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:46.537011,"(3.4, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.4466666666666668)","(6.0, 7.8, 7.5488372093023255)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 154.0)"
08-01-2023 15:03:47.943395,"(3.4, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.4466666666666668)","(6.0, 7.8, 7.5488372093023255)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 154.0)"
08-01-2023 15:03:49.288734,"(3.4, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.4466666666666668)","(6.0, 7.8, 7.56)","(7.5, 9.6, 8.36923076923077)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 154.0)"
08-01-2023 15:03:50.643015,"(3.4, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.4466666666666668)","(6.0, 7.8, 7.56)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:51.983048,"(3.4, 3.9, 3.857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.4466666666666668)","(6.0, 7.8, 7.56)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:53.381008,"(3.4, 4.2, 4.109649122807018)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.4466666666666668)","(6.0, 7.8, 7.56)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:54.771195,"(3.4, 4.2, 3.811320754716981)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.4466666666666668)","(6.0, 7.8, 7.56)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:56.128680,"(3.4, 4.2, 3.8110091743119265)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.495360824742268)","(6.0, 7.8, 7.6169491525423725)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 31.333333333333332)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:57.502979,"(3.4, 4.2, 3.8110091743119265)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.495360824742268)","(6.0, 7.8, 7.6169491525423725)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 31.333333333333332)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:58.845581,"(3.4, 3.85, 3.8375)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.495360824742268)","(6.0, 7.8, 7.6169491525423725)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 31.333333333333332)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:04:00.204954,"(3.4, 3.85, 3.8375)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.495360824742268)","(6.0, 7.8, 7.542857142857143)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:04:01.587227,"(3.4, 3.85, 3.8375)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.495360824742268)","(6.0, 7.8, 7.666666666666666)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:04:02.948657,"(3.4, 3.85, 3.8375)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.495360824742268)","(6.0, 7.8, 7.666666666666666)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:04:04.303186,"(3.4, 3.85, 3.8375)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.495360824742268)","(6.0, 7.8, 7.666666666666666)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:04:05.664963,"(3.4, 3.85, 3.8375)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.495360824742268)","(6.0, 7.8, 7.666666666666666)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:04:07.056546,"(3.4, 3.85, 3.8375)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.495360824742268)","(6.0, 7.8, 7.666666666666666)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:04:08.406240,"(3.4, 3.85, 3.8375)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.495360824742268)","(6.0, 7.8, 7.666666666666666)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 156.0)"
08-01-2023 15:04:09.747054,"(3.4, 3.85, 3.8375)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.495360824742268)","(6.0, 7.8, 7.666666666666666)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 156.0)"
08-01-2023 15:04:11.101933,"(3.4, 3.85, 3.8375)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.3714285714285714)","(6.0, 7.8, 7.666666666666666)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:04:12.461088,"(3.4, 3.85, 3.8375)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.3714285714285714)","(6.0, 7.8, 7.666666666666666)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:04:13.863373,"(3.4, 3.85, 3.8375)","(101.0, 200.0, 153.33333333333334)","(2.3, 3.5, 3.3275)","(6.0, 7.8, 7.666666666666666)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:04:15.232385,"(3.4, 3.85, 3.8375)","(101.0, 200.0, 153.33333333333334)","(2.3, 3.45, 3.3275)","(6.0, 7.8, 7.666666666666666)","(7.5, 9.6, 8.0)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:04:16.550480,"(3.4, 3.85, 3.8375)","(101.0, 200.0, 153.33333333333334)","(2.3, 3.45, 3.3800000000000003)","(6.0, 7.8, 7.666666666666666)","(7.5, 9.6, 8.564705882352941)","(26.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 38.13333333333333)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
