,Hannahs Song,Warica,Geegee Jet By,Ziavera,Outbound,Artuso,Fairy Magic,Nevs Boy,Gee Gee Goldenlass,Wheeling
07-12-2022 18:21:07.960882,"(12.0, 14.5, 14.101731601731602)","(11.0, 14.5, 14.338888888888889)","(7.5, 9.4, 9.359064327485381)","(41.0, 55.0, 54.32692307692308)","(9.0, 11.0, 10.817708333333334)","(13.0, 15.0, 14.495192307692308)","(1.9, 2.14, 2.1320967741935486)","(21.0, 30.0, 29.185185185185183)","(19.0, 27.0, 26.205128205128204)","(21.0, 30.0, 28.94736842105263)"
07-12-2022 18:21:09.465459,"(12.0, 14.5, 14.101731601731602)","(11.0, 14.5, 14.338888888888889)","(7.5, 9.4, 9.359064327485381)","(41.0, 55.0, 54.32692307692308)","(9.0, 11.0, 10.817708333333334)","(13.0, 14.5, 14.495192307692308)","(1.9, 2.16, 2.13168044077135)","(21.0, 30.0, 29.185185185185183)","(19.0, 27.0, 26.205128205128204)","(21.0, 29.0, 28.944099378881987)"
07-12-2022 18:21:10.916691,"(12.0, 14.5, 14.085585585585585)","(11.0, 14.5, 14.344086021505376)","(7.5, 9.4, 9.359064327485381)","(41.0, 55.0, 54.32692307692308)","(9.0, 11.0, 10.817708333333334)","(13.0, 14.5, 14.5)","(1.9, 2.16, 2.129585798816568)","(21.0, 30.0, 29.185185185185183)","(19.0, 27.0, 26.428571428571427)","(21.0, 29.0, 28.91566265060241)"
07-12-2022 18:21:12.332531,"(12.0, 14.5, 14.068075117370892)","(11.0, 14.5, 14.344086021505376)","(7.5, 9.4, 9.361748633879781)","(41.0, 55.0, 54.32692307692308)","(9.0, 11.0, 10.817708333333334)","(13.0, 15.0, 14.53125)","(1.9, 2.16, 2.127956989247312)","(21.0, 30.0, 29.185185185185183)","(19.0, 27.0, 26.428571428571427)","(21.0, 29.0, 28.96815286624204)"
07-12-2022 18:21:13.747668,"(12.0, 14.5, 14.068075117370892)","(11.0, 14.5, 14.344086021505376)","(7.5, 9.4, 9.361748633879781)","(41.0, 55.0, 54.32692307692308)","(9.0, 11.0, 10.87286063569682)","(13.0, 15.0, 14.5)","(1.9, 2.14, 2.138740157480315)","(21.0, 30.0, 29.185185185185183)","(19.0, 27.0, 26.428571428571427)","(21.0, 29.0, 29.23076923076923)"
07-12-2022 18:21:15.233190,"(12.0, 14.5, 14.068075117370892)","(11.0, 14.5, 14.355555555555556)","(7.5, 9.4, 9.371098265895954)","(41.0, 55.0, 54.32692307692308)","(9.0, 11.0, 10.880299251870325)","(13.0, 15.0, 14.6)","(1.9, 2.14, 2.1390588235294117)","(21.0, 30.0, 29.185185185185183)","(19.0, 27.0, 26.428571428571427)","(21.0, 30.0, 29.277310924369747)"
07-12-2022 18:21:16.631211,"(12.0, 14.5, 14.078602620087336)","(11.0, 14.5, 14.355555555555556)","(7.5, 9.4, 9.371098265895954)","(41.0, 55.0, 82.0)","(9.0, 11.0, 15.008064516129032)","(13.0, 15.0, 20.142857142857142)","(1.9, 2.14, 2.491975308641975)","(21.0, 30.0, 42.5)","(19.0, 27.0, 34.92307692307692)","(21.0, 30.0, 45.90909090909091)"
07-12-2022 18:21:17.973784,"(12.0, 19.5, 16.25)","(11.0, 22.0, 16.857142857142858)","(7.5, 9.4, 8.479999999999999)","(41.0, 130.0, 57.0)","(9.0, 17.0, 11.96)","(13.0, 29.0, 19.2)","(1.9, 2.5, 2.479032258064516)","(21.0, 46.0, 42.27272727272727)","(19.0, 40.0, 34.36363636363636)","(21.0, 48.0, 42.27272727272727)"
07-12-2022 18:21:19.342427,"(12.0, 19.5, 16.25)","(11.0, 20.0, 18.25)","(7.5, 9.2, 8.479999999999999)","(41.0, 80.0, 57.0)","(9.0, 17.0, 11.96)","(13.0, 23.0, 19.2)","(1.9, 2.5, 1.8208333333333333)","(21.0, 44.0, 40.83333333333333)","(19.0, 36.0, 34.36363636363636)","(21.0, 44.0, 42.27272727272727)"
07-12-2022 18:21:20.799109,"(12.0, 19.5, 16.25)","(11.0, 20.0, 18.25)","(7.5, 9.2, 9.323076923076924)","(41.0, 80.0, 57.0)","(9.0, 17.0, 11.96)","(13.0, 23.0, 19.2)","(1.9, 1.85, 2.4525925925925924)","(21.0, 44.0, 39.61538461538461)","(19.0, 36.0, 34.36363636363636)","(21.0, 44.0, 40.83333333333333)"
07-12-2022 18:21:22.326252,"(12.0, 19.0, 16.6)","(11.0, 20.0, 18.25)","(7.5, 9.4, 8.707692307692309)","(41.0, 80.0, 45.5)","(9.0, 17.0, 11.96)","(13.0, 23.0, 19.2)","(1.9, 2.5, 2.411329479768786)","(21.0, 44.0, 30.5)","(19.0, 36.0, 30.166666666666664)","(21.0, 44.0, 32.0)"
07-12-2022 18:21:23.886398,"(12.0, 19.0, 16.6)","(11.0, 20.0, 18.25)","(7.5, 9.4, 9.847058823529412)","(41.0, 80.0, 45.5)","(9.0, 17.0, 11.96)","(13.0, 23.0, 22.227272727272727)","(1.9, 2.42, 2.4222727272727274)","(21.0, 44.0, 30.5)","(19.0, 36.0, 30.166666666666664)","(21.0, 44.0, 19.046153846153846)"
07-12-2022 18:21:25.327891,"(12.0, 19.0, 16.6)","(11.0, 20.0, 18.25)","(7.5, 11.0, 9.847058823529412)","(41.0, 80.0, 45.5)","(9.0, 17.0, 11.96)","(13.0, 23.0, 22.227272727272727)","(1.9, 2.44, 2.4966081871345027)","(21.0, 44.0, 30.5)","(19.0, 36.0, 30.166666666666664)","(21.0, 20.0, 19.051724137931036)"
07-12-2022 18:21:26.757795,"(12.0, 19.0, 16.6)","(11.0, 20.0, 16.5)","(7.5, 11.0, 8.41)","(41.0, 75.0, 54.5)","(9.0, 17.0, 11.96)","(13.0, 23.0, 22.227272727272727)","(1.9, 2.5, 2.4033333333333333)","(21.0, 44.0, 30.5)","(19.0, 36.0, 30.166666666666664)","(21.0, 20.0, 19.051724137931036)"
07-12-2022 18:21:28.234872,"(12.0, 19.0, 16.6)","(11.0, 19.0, 16.6)","(7.5, 6.8, 6.26)","(41.0, 75.0, 54.5)","(9.0, 17.0, 11.96)","(13.0, 23.0, 19.0)","(1.9, 2.5, 2.345)","(21.0, 44.0, 39.61538461538461)","(19.0, 36.0, 34.36363636363636)","(21.0, 20.0, 19.051724137931036)"
