,Nixon Bale,Zhenye Bale,Zipping Pip,Love A Collision,Mt View Bee,Under His Spell,Black Power
12-01-2023 15:48:30.844499,"(3.8, 6.8, 4.452173913043478)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:31.946638,"(3.8, 6.8, 4.452173913043478)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:33.099592,"(3.8, 6.8, 4.452173913043478)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:34.172188,"(3.8, 6.8, 4.452173913043478)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 36.041666666666664)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:35.347014,"(3.8, 6.8, 4.452173913043478)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 36.041666666666664)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:36.498599,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 36.041666666666664)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:37.633380,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 36.041666666666664)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:38.746160,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 29.0625)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:40.036109,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 26.0)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:41.395717,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 26.0)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:42.641635,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 26.0)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:43.718119,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 26.0)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:44.809934,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 31.599999999999998)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:45.856486,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 31.599999999999998)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:46.929877,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 31.599999999999998)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:48.031125,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 31.599999999999998)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:49.138623,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.636363636363637)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:50.334359,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.636363636363637)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:51.482974,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.636363636363637)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:52.567973,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.636363636363637)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:53.620613,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 4.375319148936169)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.636363636363637)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:54.709604,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 4.375319148936169)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.636363636363637)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:55.830850,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.6, 4.370434782608696)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:56.905195,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
