,Chipping Campden,Darra Linen,Little Ms Dreamer,Queen Of Tayrona,Schiller Effect,Empress Of Sydney,Misty Gold,Savvy Bee,Shikishi,Ask,Epsom Magic
07-01-2023 12:07:58.081155,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:59.520330,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:01.184197,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:02.860511,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.364)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:04.662786,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.371578947368421)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:06.377936,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.371578947368421)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:07.983754,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.371578947368421)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:09.484693,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.371578947368421)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:11.151571,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.371578947368421)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:12.670061,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.371578947368421)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:14.097917,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:15.524828,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:17.024356,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:18.578351,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 123.33333333333334)","(41.0, 220.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:20.085171,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.727272727272728)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:21.616256,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.727272727272728)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:22.981874,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.727272727272728)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:24.357003,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.727272727272728)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:25.785909,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:27.209920,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:28.716080,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:30.168712,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:31.673978,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:33.163064,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:34.736516,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:36.177895,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:37.624642,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:38.904904,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:40.240352,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:41.601664,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:43.000562,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:44.348778,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:45.641761,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:46.994418,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
07-01-2023 12:08:48.296931,"(26.0, 210.0, 180.1818181818182)","(19.0, 32.0, 31.4375)","(51.0, 200.0, 123.33333333333334)","(41.0, 210.0, 135.0)","(2.25, 2.4, 2.3865)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.0, 8.799999999999999)","(3.7, 4.1, 3.950697674418605)","(7.0, 10.5, 9.25)","(26.0, 70.0, 64.18181818181819)","(101.0, 230.0, 205.0)"
