,Betterthankkylie,Flirts Diva,Our Aunty Ash,Rippin Good Feelin,Brie,Gemmas Express,Mac Stubborn,Blissfull Donna,Faiselle
10-01-2023 17:17:25.129924,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:26.246884,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:27.437813,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:28.635515,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:29.787661,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:30.955562,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:32.113731,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:33.309131,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:34.554645,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:35.768192,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:37.039170,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:38.265841,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:39.516989,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:40.864119,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:42.052385,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:43.295757,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.6389189189189188)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:44.676732,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.6389189189189188)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:46.033981,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.6389189189189188)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:47.400799,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.5141935483870967)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:48.643901,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.5141935483870967)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:49.870090,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.5141935483870967)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:51.045347,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.5141935483870967)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:52.266266,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.5141935483870967)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:53.483353,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.5141935483870967)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:54.721219,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.5141935483870967)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:56.215929,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.5141935483870967)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:57.626271,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.5152054794520549)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:59.024359,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.89, 1.5152054794520549)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:00.308259,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.89, 1.5152054794520549)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:01.562452,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.89, 1.5152054794520549)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 61.42857142857143)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:02.790152,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.89, 1.5152054794520549)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 61.42857142857143)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:04.051567,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.89, 1.5053424657534247)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 61.42857142857143)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:05.296712,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.89, 1.5053424657534247)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 61.42857142857143)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:06.693727,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.89, 1.5053424657534247)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 61.42857142857143)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:08.068289,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.89, 1.5053424657534247)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 61.42857142857143)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:09.445588,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.89, 1.5053424657534247)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 61.42857142857143)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:10.743077,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.89, 1.5040860215053764)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 61.42857142857143)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:12.059692,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.88, 1.505068493150685)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 61.42857142857143)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:13.337900,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.87, 1.505068493150685)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 61.42857142857143)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:14.623777,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.87, 1.4994736842105263)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 37.0)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:15.931688,"(9.0, 25.0, 14.2)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 37.0)","(8.0, 17.0, 14.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:17.356918,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 37.0)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:18.962608,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 37.0)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:20.462909,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 37.0)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:22.042412,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 37.0)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:23.587365,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 37.0)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:24.905626,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 37.0)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:26.150525,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 37.0)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:27.422579,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 37.0)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:28.660290,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 37.0)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:29.902491,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 37.0)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:31.155263,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 37.0)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:32.490396,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 37.0)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:33.730573,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 37.0)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:35.001471,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 37.0)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:36.273532,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 69.25)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:37.547531,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5047945205479452)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 69.25)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:38.844114,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5176923076923077)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 69.25)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:40.109087,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5218987341772152)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 69.25)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:41.392783,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5218987341772152)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 69.25)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:42.753362,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5218987341772152)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 69.25)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:44.164315,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5218987341772152)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 69.25)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:45.418578,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5218987341772152)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 69.25)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:46.708976,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5218987341772152)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 69.25)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:18:47.972376,"(9.0, 25.0, 14.333333333333332)","(17.0, 55.0, 42.0)","(1.4, 1.85, 1.5218987341772152)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 69.25)","(8.0, 17.0, 10.733333333333333)","(4.8, 12.5, 10.133333333333333)","(81.0, 220.0, 178.57142857142858)"
