,Bakersfield,Chihuly,Dictionary,Downtown Man,Lallegro,Lonergy,Nakedness,The Rooster,Hibernia Queen
08-01-2023 12:44:39.000620,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:40.222231,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:41.409124,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:42.610776,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:43.828365,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:45.120034,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:46.405206,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:47.601069,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:48.767177,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.8)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:49.938407,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.8)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:51.125312,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:52.347382,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:53.555144,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:54.750096,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:55.960865,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:57.198497,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:58.375050,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:59.581454,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:00.799690,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:01.994810,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:03.204437,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:04.437288,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:05.597235,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:06.794422,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:07.992717,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:09.196677,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:10.434950,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:11.635978,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.212)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.831578947368421)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:12.885216,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.8, 7.212)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.831578947368421)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:14.202298,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.8, 7.212)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.892307692307693)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:15.415189,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.8, 7.212)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.892307692307693)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:16.624298,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.8, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.892307692307693)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:17.834568,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.892307692307693)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:19.028082,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.892307692307693)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:20.275105,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.892307692307693)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:21.507765,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.892307692307693)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:22.688727,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.640000000000001)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:23.876137,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.640000000000001)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:25.062845,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.640000000000001)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:26.292383,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.640000000000001)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:27.678354,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.640000000000001)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:29.224047,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.640000000000001)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:30.607547,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.640000000000001)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:31.968220,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.776923076923077)","(5.0, 6.0, 5.640000000000001)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:33.299267,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(4.0, 5.2, 4.776923076923077)","(5.0, 6.0, 5.640000000000001)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:34.664977,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(4.0, 5.2, 4.776923076923077)","(5.0, 6.0, 5.640000000000001)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:35.932995,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(4.0, 5.2, 4.776923076923077)","(5.0, 6.0, 5.640000000000001)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:37.232783,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(4.0, 5.2, 4.776923076923077)","(5.0, 6.0, 5.640000000000001)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:38.445405,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(4.0, 5.2, 4.776923076923077)","(5.0, 6.0, 5.640000000000001)","(9.0, 12.0, 11.25)"
08-01-2023 12:45:39.709477,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 190.0, 145.0)","(21.0, 48.0, 44.36363636363636)","(10.0, 15.5, 14.642857142857142)","(4.0, 5.2, 4.776923076923077)","(5.0, 6.0, 5.640000000000001)","(9.0, 12.0, 11.25)"
