,Chromozone Nz,Cmonbabylitemyfire,Lollipop,Ingermarla,Alcatraz Girl,Princess Chilla,Mahindi Nz,Superior Delight,Eastbro Erin,Lady Of The Arts
12-01-2023 18:19:30.998302,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:32.317752,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:33.612312,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:34.923027,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:36.189456,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:37.432083,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:38.662240,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:39.938358,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:41.302542,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:42.582947,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:43.909430,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 7.066666666666666)"
12-01-2023 18:19:45.110875,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 7.066666666666666)"
12-01-2023 18:19:46.312811,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 7.066666666666666)"
12-01-2023 18:19:47.569654,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 7.066666666666666)"
12-01-2023 18:19:48.876734,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 7.066666666666666)"
12-01-2023 18:19:50.127707,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 7.066666666666666)"
12-01-2023 18:19:51.367748,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:19:52.631315,"(101.0, 99999, 99990)","(3.0, 3.45, 3.254166666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:19:53.899449,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:19:55.058348,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:19:56.257928,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:19:57.478348,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:19:58.706544,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:19:59.895807,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:01.146715,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:02.415527,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:03.593334,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:04.856513,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:06.013701,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:07.152696,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:08.332644,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:09.572502,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:10.747066,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:11.903416,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:13.120666,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:14.310513,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:15.475012,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:16.604866,"(101.0, 99999, 99990)","(3.0, 3.45, 3.254166666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:17.802486,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:18.961976,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:20.115562,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:21.282659,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:22.395495,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:23.509103,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:24.643634,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:25.880405,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:27.010615,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:28.115031,"(101.0, 99999, 99990)","(3.0, 3.45, 3.254166666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:29.219578,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:30.428193,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:31.667222,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:32.860796,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:34.064418,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:35.324351,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:36.695301,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:37.980481,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
12-01-2023 18:20:39.129696,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 15.32)","(21.0, 40.0, 32.833333333333336)","(31.0, 85.0, 51.0)","(21.0, 46.0, 38.85714285714286)","(15.0, 99999, 99990)","(2.3, 3.45, 3.3283333333333336)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 5.9)"
