,My Best Buddy,No Plans,Alaska Black,Woodside Bella,Banana Girl,Fancy Nancy
04-01-2023 11:03:18.475875,"(1.55, 2.26, 2.0521951219512196)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:19.427390,"(1.55, 2.26, 2.0521951219512196)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:20.335360,"(1.55, 2.26, 2.0521951219512196)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:21.209729,"(1.55, 2.26, 2.0521951219512196)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:22.104094,"(1.55, 2.26, 2.0521951219512196)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:22.981288,"(1.55, 2.26, 2.0521951219512196)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:23.869432,"(1.55, 2.26, 2.0521951219512196)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:24.796998,"(1.55, 2.26, 2.0521951219512196)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:25.754150,"(1.55, 2.26, 2.0521951219512196)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:26.645129,"(1.55, 2.26, 2.0521951219512196)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:27.562440,"(1.55, 2.26, 2.0521951219512196)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:28.544576,"(1.55, 2.26, 2.0521951219512196)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:29.494718,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:30.504706,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:31.430508,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:32.342434,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:33.241226,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:34.087424,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:34.960585,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:35.834381,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:36.711017,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:37.625118,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:38.537525,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:39.454850,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:40.368864,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:41.228604,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:42.145911,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:42.996091,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:43.847446,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:44.740716,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:45.634437,"(1.55, 2.26, 2.1543396226415092)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:46.541477,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:47.494750,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:48.474242,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:49.455767,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:50.380044,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:51.322583,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:52.211537,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:53.065009,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:53.973012,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:54.839778,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:55.728851,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:56.627973,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:57.526642,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:58.450561,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:59.364053,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:00.284267,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:01.124147,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:01.989225,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:02.871600,"(1.55, 2.26, 2.1498113207547167)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:03.723860,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:04.636834,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:05.539900,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:06.503688,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 21.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:07.427686,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:08.392257,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:09.268455,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:10.231665,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:11.103642,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:12.045058,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:12.929172,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:13.774462,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:14.657292,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:15.562927,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:16.473577,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:17.427148,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:18.362232,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:19.317669,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:20.226979,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:21.146149,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:22.008274,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:22.859968,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:23.703165,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:24.573778,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:25.475250,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:26.420463,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:27.350196,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:28.296997,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:29.217948,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:30.118115,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:31.044637,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:31.916334,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:32.810006,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 3.723809523809524)","(9.0, 22.0, 21.07142857142857)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:04:33.694539,"(1.55, 2.26, 1.588)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.0, 3.7142857142857144)","(9.0, 22.0, 17.894736842105264)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
