,Cutting Roses,Pandoras Art,Knight Eagle,Babysgotblueeyes,Alta Ego,Capitol Dawn,Showpony,Batavia Bob,Dream Walker,Ee Jay Why
20,"[datetime.datetime(2022, 11, 28, 15, 49, 2, 582777), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 2, 582777), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 49, 2, 582777), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 49, 2, 582777), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 49, 2, 582777), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 49, 2, 582777), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 2, 582777), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 49, 2, 582777), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 49, 2, 582777), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 49, 2, 582777), 26.0, 65.0]"
21,"[datetime.datetime(2022, 11, 28, 15, 49, 3, 817763), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 3, 817763), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 49, 3, 817763), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 49, 3, 817763), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 49, 3, 817763), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 49, 3, 817763), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 3, 817763), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 49, 3, 817763), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 49, 3, 817763), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 49, 3, 817763), 26.0, 65.0]"
22,"[datetime.datetime(2022, 11, 28, 15, 49, 5, 109473), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 5, 109473), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 49, 5, 109473), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 49, 5, 109473), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 49, 5, 109473), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 49, 5, 109473), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 5, 109473), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 49, 5, 109473), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 49, 5, 109473), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 49, 5, 109473), 26.0, 65.0]"
23,"[datetime.datetime(2022, 11, 28, 15, 49, 6, 447057), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 6, 447057), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 49, 6, 447057), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 49, 6, 447057), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 49, 6, 447057), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 49, 6, 447057), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 6, 447057), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 49, 6, 447057), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 49, 6, 447057), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 49, 6, 447057), 26.0, 65.0]"
24,"[datetime.datetime(2022, 11, 28, 15, 49, 7, 686030), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 7, 686030), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 49, 7, 686030), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 49, 7, 686030), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 49, 7, 686030), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 49, 7, 686030), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 7, 686030), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 49, 7, 686030), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 49, 7, 686030), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 49, 7, 686030), 26.0, 65.0]"
25,"[datetime.datetime(2022, 11, 28, 15, 49, 8, 922909), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 8, 922909), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 49, 8, 922909), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 49, 8, 922909), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 49, 8, 922909), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 49, 8, 922909), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 8, 922909), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 49, 8, 922909), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 49, 8, 922909), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 49, 8, 922909), 26.0, 65.0]"
26,"[datetime.datetime(2022, 11, 28, 15, 49, 10, 157842), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 10, 157842), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 49, 10, 157842), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 49, 10, 157842), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 49, 10, 157842), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 49, 10, 157842), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 10, 157842), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 49, 10, 157842), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 49, 10, 157842), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 49, 10, 157842), 26.0, 65.0]"
27,"[datetime.datetime(2022, 11, 28, 15, 49, 11, 387983), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 11, 387983), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 49, 11, 387983), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 49, 11, 387983), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 49, 11, 387983), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 49, 11, 387983), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 11, 387983), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 49, 11, 387983), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 49, 11, 387983), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 49, 11, 387983), 26.0, 65.0]"
28,"[datetime.datetime(2022, 11, 28, 15, 49, 12, 616763), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 12, 616763), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 49, 12, 616763), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 49, 12, 616763), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 49, 12, 616763), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 49, 12, 616763), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 12, 616763), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 49, 12, 616763), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 49, 12, 616763), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 49, 12, 616763), 26.0, 65.0]"
29,"[datetime.datetime(2022, 11, 28, 15, 49, 13, 894139), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 13, 894139), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 49, 13, 894139), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 49, 13, 894139), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 49, 13, 894139), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 49, 13, 894139), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 13, 894139), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 49, 13, 894139), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 49, 13, 894139), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 49, 13, 894139), 26.0, 65.0]"
