,So Noble,Dovis Day,Eye Pee Oh Ready,Peggie Boom,Wicked Chance,Mishani Jewel,Bit Of Fun,Marshy,Mishani Platinum,Torque Is Savvy
06-01-2023 14:00:17.174918,"(4.8, 6.0, 5.791666666666667)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.863636363636363)","(1.65, 1.76, 1.745344827586207)","(6.5, 10.0, 9.85)","(15.0, 30.0, 29.57142857142857)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.0)","(101.0, 620.0, 452.0)"
06-01-2023 14:00:18.634622,"(4.8, 6.0, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.863636363636363)","(1.65, 1.76, 1.745344827586207)","(6.5, 10.0, 9.76923076923077)","(15.0, 30.0, 27.0)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.0)","(101.0, 620.0, 452.0)"
06-01-2023 14:00:20.153396,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.863636363636363)","(1.65, 1.76, 1.745344827586207)","(6.5, 10.0, 9.76923076923077)","(15.0, 30.0, 28.5)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.0)","(101.0, 620.0, 452.0)"
06-01-2023 14:00:21.776312,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.76, 1.745344827586207)","(6.5, 10.0, 9.76923076923077)","(15.0, 30.0, 28.5)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.0)","(101.0, 620.0, 452.0)"
06-01-2023 14:00:23.303547,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.76, 1.745344827586207)","(6.5, 10.0, 9.76923076923077)","(15.0, 30.0, 28.5)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.0)","(101.0, 620.0, 452.0)"
06-01-2023 14:00:24.934563,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.76, 1.745344827586207)","(6.5, 10.0, 9.52)","(15.0, 30.0, 28.333333333333332)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.0)","(101.0, 620.0, 452.0)"
06-01-2023 14:00:26.375839,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.76, 1.745344827586207)","(6.5, 10.0, 9.52)","(15.0, 30.0, 28.333333333333332)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.0)","(101.0, 620.0, 452.0)"
06-01-2023 14:00:28.170065,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.76, 1.745344827586207)","(6.5, 10.0, 9.52)","(15.0, 30.0, 28.333333333333332)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.0)","(101.0, 620.0, 452.0)"
06-01-2023 14:00:29.760648,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.76, 1.745344827586207)","(6.5, 10.0, 9.52)","(15.0, 30.0, 28.333333333333332)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.0)","(101.0, 620.0, 452.0)"
06-01-2023 14:00:31.410645,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.76, 1.745344827586207)","(6.5, 10.0, 9.52)","(15.0, 30.0, 28.333333333333332)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.0)","(101.0, 620.0, 452.0)"
06-01-2023 14:00:33.166977,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.76, 1.745344827586207)","(6.5, 10.0, 9.52)","(15.0, 30.0, 28.333333333333332)","(101.0, 620.0, 522.5)","(101.0, 540.0, 462.5)","(26.0, 85.0, 72.0)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:34.941232,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.76, 1.745344827586207)","(6.5, 10.0, 9.52)","(15.0, 30.0, 28.333333333333332)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 74.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:36.505990,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.76, 1.745344827586207)","(6.5, 10.0, 9.52)","(15.0, 30.0, 28.333333333333332)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 74.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:38.054094,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.76, 1.748139534883721)","(6.5, 10.0, 9.823529411764707)","(15.0, 30.0, 34.0)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 74.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:39.606123,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.75, 1.748139534883721)","(6.5, 10.0, 9.7)","(15.0, 38.0, 34.0)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 74.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:41.103401,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.75, 1.748139534883721)","(6.5, 10.0, 9.7)","(15.0, 38.0, 34.0)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 74.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:42.629912,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.75, 1.748139534883721)","(6.5, 10.0, 9.7)","(15.0, 38.0, 34.0)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 74.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:44.152905,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.75, 1.748139534883721)","(6.5, 10.0, 9.7)","(15.0, 38.0, 34.0)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 74.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:45.583663,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.75, 1.748139534883721)","(6.5, 10.0, 9.7)","(15.0, 38.0, 34.0)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 74.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:47.235726,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.75, 1.748139534883721)","(6.5, 10.0, 9.7)","(15.0, 38.0, 34.0)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 74.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:48.922361,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.75, 1.748139534883721)","(6.5, 10.0, 9.7)","(15.0, 38.0, 34.0)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 74.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:50.910314,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.75, 1.748139534883721)","(6.5, 10.0, 9.7)","(15.0, 38.0, 34.0)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 74.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:52.637697,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.75, 1.748139534883721)","(6.5, 10.0, 9.7)","(15.0, 38.0, 34.0)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 72.0)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:54.381151,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.75, 1.748139534883721)","(6.5, 10.0, 9.52)","(15.0, 38.0, 37.0)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 77.2)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:55.876752,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.75, 1.748139534883721)","(6.5, 10.0, 9.52)","(15.0, 38.0, 37.0)","(101.0, 630.0, 452.0)","(101.0, 550.0, 404.0)","(26.0, 85.0, 77.2)","(101.0, 630.0, 452.0)"
06-01-2023 14:00:57.453902,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.85)","(1.65, 1.75, 1.748139534883721)","(6.5, 10.0, 9.52)","(15.0, 38.0, 37.0)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 77.2)","(101.0, 620.0, 452.0)"
06-01-2023 14:00:59.002155,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.4)","(1.65, 1.75, 1.7373333333333334)","(6.5, 10.0, 9.52)","(15.0, 38.0, 37.0)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 77.2)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:00.611134,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.5, 16.4)","(1.65, 1.74, 1.7373333333333334)","(6.5, 10.0, 9.52)","(15.0, 38.0, 37.0)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 77.2)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:02.076804,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.5, 16.4)","(1.65, 1.74, 1.7373333333333334)","(6.5, 10.0, 9.52)","(15.0, 38.0, 37.0)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 77.2)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:03.608367,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.5, 16.4)","(1.65, 1.74, 1.7373333333333334)","(6.5, 10.0, 9.52)","(15.0, 38.0, 35.0)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.66666666666667)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:05.124465,"(4.8, 6.2, 5.961904761904762)","(19.0, 38.0, 36.0)","(7.5, 17.5, 16.4)","(1.65, 1.74, 1.7373333333333334)","(6.5, 10.0, 9.52)","(15.0, 38.0, 35.0)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.66666666666667)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:06.676468,"(4.8, 6.2, 5.873684210526316)","(19.0, 38.0, 35.2)","(7.5, 17.5, 16.136363636363637)","(1.65, 1.74, 1.7373333333333334)","(6.5, 10.0, 9.333333333333332)","(15.0, 38.0, 34.0)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.66666666666667)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:08.166054,"(4.8, 6.0, 5.873684210526316)","(19.0, 36.0, 35.2)","(7.5, 17.5, 17.2)","(1.65, 1.74, 1.7373333333333334)","(6.5, 9.8, 9.333333333333332)","(15.0, 38.0, 34.0)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.66666666666667)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:09.641875,"(4.8, 6.0, 5.873684210526316)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.2)","(1.65, 1.74, 1.732809917355372)","(6.5, 9.8, 9.4)","(15.0, 38.0, 34.0)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.66666666666667)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:11.338586,"(4.8, 6.0, 5.866666666666666)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.2)","(1.65, 1.74, 1.744392523364486)","(6.5, 9.8, 9.254545454545454)","(15.0, 38.0, 34.0)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.66666666666667)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:12.930119,"(4.8, 6.0, 5.890909090909091)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.2)","(1.65, 1.75, 1.7453846153846153)","(6.5, 9.8, 9.254545454545454)","(15.0, 38.0, 34.0)","(101.0, 620.0, 522.5)","(101.0, 540.0, 462.5)","(26.0, 85.0, 72.66666666666667)","(101.0, 620.0, 522.5)"
06-01-2023 14:01:14.931247,"(4.8, 6.0, 5.890909090909091)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.2)","(1.65, 1.75, 1.7471717171717172)","(6.5, 9.8, 9.254545454545454)","(15.0, 38.0, 34.0)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 72.66666666666667)","(101.0, 630.0, 522.5)"
06-01-2023 14:01:16.722671,"(4.8, 6.0, 5.890909090909091)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.2)","(1.65, 1.75, 1.7471717171717172)","(6.5, 9.8, 9.254545454545454)","(15.0, 38.0, 35.333333333333336)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 75.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:01:18.415310,"(4.8, 6.0, 5.890909090909091)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.2)","(1.65, 1.75, 1.7471717171717172)","(6.5, 9.8, 9.254545454545454)","(15.0, 38.0, 35.333333333333336)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 75.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:01:20.055052,"(4.8, 6.0, 5.890909090909091)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.2)","(1.65, 1.75, 1.7471717171717172)","(6.5, 9.8, 9.254545454545454)","(15.0, 38.0, 35.333333333333336)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 75.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:01:21.682738,"(4.8, 6.0, 5.890909090909091)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.2)","(1.65, 1.75, 1.7471717171717172)","(6.5, 9.8, 9.254545454545454)","(15.0, 38.0, 35.333333333333336)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 75.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:01:23.255922,"(4.8, 6.0, 5.890909090909091)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.2)","(1.65, 1.75, 1.7471717171717172)","(6.5, 9.8, 9.254545454545454)","(15.0, 38.0, 35.333333333333336)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 75.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:01:24.919497,"(4.8, 6.0, 5.890909090909091)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.2)","(1.65, 1.75, 1.7471717171717172)","(6.5, 9.8, 9.254545454545454)","(15.0, 38.0, 35.333333333333336)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 75.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:01:26.955849,"(4.8, 6.0, 5.890909090909091)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.032258064516128)","(1.65, 1.76, 1.7483333333333333)","(6.5, 9.8, 9.254545454545454)","(15.0, 38.0, 35.333333333333336)","(101.0, 99999, 7549.25)","(101.0, 99999, 7549.25)","(26.0, 85.0, 75.75)","(101.0, 99999, 7549.25)"
06-01-2023 14:01:28.851931,"(4.8, 6.0, 5.890909090909091)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7473983739837398)","(6.5, 9.8, 9.254545454545454)","(15.0, 38.0, 35.333333333333336)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 75.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:01:30.407007,"(4.8, 6.0, 5.890909090909091)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7489830508474575)","(6.5, 9.8, 9.3)","(15.0, 38.0, 35.333333333333336)","(101.0, 630.0, 452.0)","(101.0, 550.0, 404.0)","(26.0, 85.0, 75.75)","(101.0, 630.0, 452.0)"
06-01-2023 14:01:31.951592,"(4.8, 6.0, 5.858823529411765)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7489830508474575)","(6.5, 9.8, 9.266666666666667)","(15.0, 38.0, 35.333333333333336)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 75.75)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:33.463808,"(4.8, 6.0, 5.858823529411765)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7489830508474575)","(6.5, 9.8, 9.266666666666667)","(15.0, 38.0, 35.333333333333336)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 75.75)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:35.029205,"(4.8, 6.0, 5.858823529411765)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7500763358778626)","(6.5, 9.8, 9.266666666666667)","(15.0, 38.0, 35.333333333333336)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 66.5)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:36.576535,"(4.8, 6.0, 5.858823529411765)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7489830508474575)","(6.5, 9.8, 9.266666666666667)","(15.0, 38.0, 35.333333333333336)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 66.5)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:38.001518,"(4.8, 6.0, 5.858823529411765)","(19.0, 36.0, 35.2)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7489830508474575)","(6.5, 9.8, 9.266666666666667)","(15.0, 38.0, 35.333333333333336)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 66.5)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:39.481608,"(4.8, 6.0, 5.858823529411765)","(19.0, 38.0, 36.0)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7489830508474575)","(6.5, 9.8, 9.266666666666667)","(15.0, 38.0, 35.333333333333336)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 66.5)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:40.987078,"(4.8, 6.0, 5.858823529411765)","(19.0, 38.0, 36.0)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7489830508474575)","(6.5, 9.8, 9.266666666666667)","(15.0, 38.0, 35.333333333333336)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 66.5)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:42.490631,"(4.8, 6.0, 5.858823529411765)","(19.0, 38.0, 36.0)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7489830508474575)","(6.5, 9.8, 9.266666666666667)","(15.0, 38.0, 35.333333333333336)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 66.5)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:44.017779,"(4.8, 6.0, 5.858823529411765)","(19.0, 38.0, 36.0)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7489830508474575)","(6.5, 9.8, 9.266666666666667)","(15.0, 38.0, 35.333333333333336)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 66.5)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:45.436203,"(4.8, 6.0, 5.858823529411765)","(20.0, 38.0, 36.0)","(7.5, 18.0, 17.375)","(1.65, 1.76, 1.7584210526315789)","(6.5, 9.8, 9.184615384615384)","(15.0, 38.0, 35.333333333333336)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 66.5)","(101.0, 620.0, 452.0)"
06-01-2023 14:01:46.810791,"(4.8, 6.0, 5.781818181818182)","(20.0, 38.0, 36.0)","(7.5, 17.5, 17.025)","(1.65, 1.76, 1.7584848484848485)","(6.5, 9.8, 9.184615384615384)","(15.0, 38.0, 35.333333333333336)","(101.0, 620.0, 522.5)","(101.0, 540.0, 462.5)","(26.0, 85.0, 66.5)","(101.0, 620.0, 522.5)"
06-01-2023 14:01:48.326947,"(4.8, 6.0, 5.652941176470588)","(20.0, 38.0, 36.0)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7584210526315789)","(6.5, 9.8, 9.3)","(15.0, 38.0, 36.875)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 66.5)","(101.0, 630.0, 522.5)"
06-01-2023 14:01:49.892852,"(4.8, 6.2, 5.652941176470588)","(20.0, 38.0, 36.0)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7584210526315789)","(6.5, 9.8, 9.3)","(15.0, 38.0, 36.875)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 66.5)","(101.0, 630.0, 522.5)"
06-01-2023 14:01:51.482495,"(4.8, 6.2, 5.648648648648648)","(20.0, 38.0, 36.0)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7575862068965518)","(6.5, 9.8, 9.3)","(15.0, 38.0, 36.875)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 66.5)","(101.0, 630.0, 522.5)"
06-01-2023 14:01:53.235865,"(4.8, 6.2, 5.648648648648648)","(20.0, 38.0, 36.0)","(7.5, 18.0, 17.025)","(1.65, 1.77, 1.7546601941747573)","(6.5, 9.8, 9.3)","(15.0, 38.0, 36.875)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 66.5)","(101.0, 630.0, 522.5)"
06-01-2023 14:01:54.871217,"(4.8, 6.2, 5.648648648648648)","(20.0, 38.0, 36.0)","(7.5, 18.0, 17.025)","(1.65, 1.76, 1.7533962264150944)","(6.5, 9.8, 9.3)","(15.0, 38.0, 36.875)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 66.5)","(101.0, 630.0, 522.5)"
