,Maritima,Moonlight Grace,Marelle,Marigolds Dream,Vincetta,Double Scoop,Zizette,Lalaguna,Memphis Sky,Queen Astrid,Ballon Bleu,Kingston Charm
11-01-2023 13:40:05.302788,"(5.0, 6.8, 6.5)","(4.2, 5.4, 5.364615384615385)","(7.0, 9.8, 9.715492957746479)","(31.0, 46.0, 40.666666666666664)","(21.0, 60.0, 55.333333333333336)","(13.0, 17.5, 15.25)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.8)","(101.0, 210.0, 155.0)","(18.0, 27.0, 23.4)","(6.0, 7.0, 6.666666666666666)","(18.0, 25.0, 23.5)"
11-01-2023 13:40:06.885145,"(5.0, 6.8, 6.5)","(4.2, 5.4, 5.34375)","(7.0, 9.8, 9.715492957746479)","(31.0, 46.0, 40.666666666666664)","(21.0, 60.0, 55.333333333333336)","(13.0, 17.5, 15.25)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.766666666666667)","(101.0, 200.0, 155.0)","(18.0, 27.0, 23.4)","(6.0, 7.0, 6.666666666666666)","(18.0, 25.0, 23.5)"
11-01-2023 13:40:08.357888,"(5.0, 6.8, 6.457142857142857)","(4.2, 5.5, 5.34375)","(7.0, 9.8, 9.715492957746479)","(31.0, 46.0, 40.666666666666664)","(21.0, 60.0, 55.333333333333336)","(13.0, 17.5, 15.25)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.766666666666667)","(101.0, 200.0, 155.0)","(18.0, 27.0, 23.4)","(6.0, 7.0, 6.666666666666666)","(18.0, 25.0, 23.5)"
11-01-2023 13:40:09.827015,"(5.0, 6.8, 6.457142857142857)","(4.2, 5.5, 5.34375)","(7.0, 9.8, 9.542857142857143)","(31.0, 46.0, 40.666666666666664)","(21.0, 60.0, 55.333333333333336)","(13.0, 17.5, 14.916666666666666)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.8)","(101.0, 200.0, 165.0)","(18.0, 27.0, 25.166666666666668)","(6.0, 7.0, 6.666666666666666)","(18.0, 25.0, 23.5)"
11-01-2023 13:40:11.612804,"(5.0, 6.6, 6.1000000000000005)","(4.2, 5.5, 5.414285714285715)","(7.0, 9.6, 9.3)","(31.0, 44.0, 40.666666666666664)","(21.0, 60.0, 55.333333333333336)","(13.0, 17.0, 14.916666666666666)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.8)","(101.0, 200.0, 165.0)","(18.0, 26.0, 25.166666666666668)","(6.0, 7.0, 6.666666666666666)","(18.0, 25.0, 23.5)"
11-01-2023 13:40:13.304117,"(5.0, 6.6, 6.1000000000000005)","(4.2, 5.5, 5.414285714285715)","(7.0, 9.6, 9.3)","(31.0, 44.0, 40.666666666666664)","(21.0, 60.0, 49.5)","(13.0, 17.0, 14.916666666666666)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.8)","(101.0, 200.0, 173.75)","(18.0, 26.0, 25.0)","(6.0, 7.0, 6.666666666666666)","(18.0, 25.0, 23.8)"
11-01-2023 13:40:14.729231,"(5.0, 6.6, 6.1000000000000005)","(4.2, 5.5, 5.032075471698113)","(7.0, 9.6, 9.3)","(31.0, 44.0, 40.666666666666664)","(21.0, 60.0, 49.5)","(13.0, 17.0, 14.916666666666666)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.8)","(101.0, 200.0, 173.75)","(18.0, 26.0, 24.076923076923077)","(6.0, 7.0, 6.666666666666666)","(18.0, 25.0, 23.8)"
11-01-2023 13:40:16.306120,"(5.0, 6.6, 6.1000000000000005)","(4.2, 5.5, 5.032075471698113)","(7.0, 9.6, 9.3)","(31.0, 44.0, 40.666666666666664)","(21.0, 60.0, 49.5)","(13.0, 17.0, 14.916666666666666)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.8)","(101.0, 200.0, 173.75)","(18.0, 26.0, 24.076923076923077)","(6.0, 7.0, 6.666666666666666)","(18.0, 25.0, 23.8)"
11-01-2023 13:40:17.966068,"(5.0, 6.6, 6.1000000000000005)","(4.2, 5.5, 5.038181818181818)","(7.0, 9.6, 9.715492957746479)","(31.0, 44.0, 41.42857142857143)","(21.0, 60.0, 49.5)","(13.0, 17.0, 14.833333333333334)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.8)","(101.0, 200.0, 173.75)","(18.0, 26.0, 23.46153846153846)","(6.0, 7.0, 6.666666666666666)","(18.0, 25.0, 23.8)"
11-01-2023 13:40:19.613335,"(5.0, 6.6, 6.35)","(4.2, 5.4, 5.322222222222223)","(7.0, 9.8, 9.266666666666667)","(31.0, 44.0, 41.75)","(21.0, 60.0, 51.6)","(13.0, 16.5, 14.833333333333334)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.2, 6.771428571428571)","(101.0, 200.0, 125.0)","(18.0, 25.0, 22.5)","(6.0, 7.0, 6.571428571428572)","(18.0, 25.0, 24.0)"
11-01-2023 13:40:21.177370,"(5.0, 6.6, 6.466666666666667)","(4.2, 5.4, 5.2250000000000005)","(7.0, 9.8, 9.4)","(31.0, 44.0, 39.6)","(21.0, 60.0, 51.6)","(13.0, 16.0, 14.384615384615385)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.2, 6.741176470588235)","(101.0, 200.0, 165.0)","(18.0, 25.0, 22.5)","(6.0, 7.0, 6.618181818181818)","(18.0, 25.0, 24.0)"
11-01-2023 13:40:22.693175,"(5.0, 6.6, 6.466666666666667)","(4.2, 5.4, 5.033834586466165)","(7.0, 9.8, 9.266666666666667)","(31.0, 46.0, 41.63636363636363)","(21.0, 60.0, 43.5)","(13.0, 16.0, 14.03125)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.2, 6.942857142857143)","(101.0, 200.0, 147.5)","(18.0, 25.0, 22.5)","(6.0, 7.0, 6.836363636363637)","(18.0, 25.0, 24.0)"
11-01-2023 13:40:24.340101,"(5.0, 6.6, 6.466666666666667)","(4.2, 5.5, 5.033834586466165)","(7.0, 9.8, 9.266666666666667)","(31.0, 46.0, 41.63636363636363)","(21.0, 60.0, 43.5)","(13.0, 16.0, 14.03125)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.2, 6.942857142857143)","(101.0, 200.0, 147.5)","(19.0, 25.0, 22.5)","(6.0, 7.0, 6.836363636363637)","(18.0, 25.0, 24.0)"
11-01-2023 13:40:26.064825,"(5.0, 6.6, 6.466666666666667)","(4.2, 5.5, 5.033834586466165)","(7.0, 9.8, 9.266666666666667)","(31.0, 46.0, 41.63636363636363)","(21.0, 60.0, 43.5)","(13.0, 16.0, 14.03125)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.2, 6.942857142857143)","(101.0, 200.0, 147.5)","(19.0, 25.0, 22.5)","(6.0, 7.0, 6.836363636363637)","(18.0, 25.0, 24.0)"
11-01-2023 13:40:27.733209,"(5.0, 6.6, 6.466666666666667)","(4.2, 5.5, 5.033834586466165)","(7.0, 9.8, 9.138461538461538)","(31.0, 46.0, 41.63636363636363)","(21.0, 60.0, 43.5)","(13.0, 16.0, 14.03125)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.2, 6.942857142857143)","(101.0, 200.0, 147.5)","(19.0, 25.0, 22.5)","(6.0, 7.0, 6.836363636363637)","(18.0, 25.0, 24.0)"
11-01-2023 13:40:29.508119,"(5.0, 6.6, 6.466666666666667)","(4.2, 5.5, 5.033834586466165)","(7.0, 9.6, 9.138461538461538)","(31.0, 46.0, 41.63636363636363)","(21.0, 60.0, 43.5)","(13.0, 16.0, 14.03125)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.2, 6.84)","(101.0, 200.0, 147.5)","(19.0, 25.0, 22.5)","(6.0, 7.0, 6.775)","(18.0, 25.0, 24.0)"
11-01-2023 13:40:31.029170,"(5.0, 6.6, 6.466666666666667)","(4.2, 5.5, 5.033834586466165)","(7.0, 9.6, 9.138461538461538)","(31.0, 46.0, 41.63636363636363)","(21.0, 60.0, 43.5)","(13.0, 16.0, 14.03125)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.2, 7.152941176470589)","(101.0, 200.0, 130.0)","(19.0, 25.0, 22.5)","(6.0, 7.0, 6.775)","(18.0, 25.0, 24.0)"
11-01-2023 13:40:32.479291,"(5.0, 6.6, 6.466666666666667)","(4.2, 5.5, 5.033834586466165)","(7.0, 9.6, 9.138461538461538)","(31.0, 46.0, 41.63636363636363)","(21.0, 60.0, 43.5)","(13.0, 16.0, 14.03125)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.2, 7.152941176470589)","(101.0, 200.0, 130.0)","(19.0, 25.0, 22.5)","(6.0, 7.0, 6.775)","(18.0, 25.0, 24.0)"
11-01-2023 13:40:33.951429,"(5.0, 6.8, 6.68)","(4.2, 5.5, 5.033834586466165)","(7.0, 9.6, 9.138461538461538)","(31.0, 46.0, 41.63636363636363)","(21.0, 60.0, 53.333333333333336)","(13.0, 16.0, 13.545454545454545)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.0, 6.8)","(101.0, 200.0, 130.0)","(19.0, 25.0, 22.5)","(6.0, 7.0, 6.775)","(18.0, 25.0, 24.0)"
11-01-2023 13:40:35.641964,"(5.0, 6.8, 6.68)","(4.2, 5.5, 5.033834586466165)","(7.0, 9.6, 9.138461538461538)","(31.0, 46.0, 41.63636363636363)","(21.0, 60.0, 53.333333333333336)","(13.0, 16.0, 13.545454545454545)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.0, 6.8)","(101.0, 200.0, 130.0)","(19.0, 25.0, 22.5)","(6.0, 7.0, 6.775)","(18.0, 25.0, 24.0)"
11-01-2023 13:40:37.612537,"(5.0, 6.8, 6.68)","(4.2, 5.5, 5.114285714285715)","(7.0, 9.6, 9.138461538461538)","(31.0, 46.0, 41.63636363636363)","(21.0, 60.0, 53.333333333333336)","(13.0, 16.0, 13.545454545454545)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.0, 6.8)","(101.0, 200.0, 130.0)","(19.0, 25.0, 22.75)","(6.0, 7.0, 6.775)","(18.0, 25.0, 24.0)"
11-01-2023 13:40:39.449425,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.138461538461538)","(31.0, 46.0, 41.63636363636363)","(21.0, 60.0, 53.333333333333336)","(13.0, 16.0, 13.545454545454545)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.0, 6.8)","(101.0, 200.0, 142.5)","(19.0, 25.0, 22.75)","(6.0, 7.0, 6.775)","(18.0, 25.0, 24.0)"
11-01-2023 13:40:41.148834,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.138461538461538)","(31.0, 46.0, 41.63636363636363)","(21.0, 60.0, 53.333333333333336)","(13.0, 16.0, 13.545454545454545)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.0, 6.8)","(101.0, 190.0, 130.0)","(19.0, 25.0, 22.75)","(6.0, 7.0, 6.775)","(18.0, 25.0, 22.75)"
11-01-2023 13:40:42.856340,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.138461538461538)","(31.0, 46.0, 41.63636363636363)","(21.0, 60.0, 53.333333333333336)","(13.0, 16.0, 13.954545454545455)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.0, 6.8)","(101.0, 180.0, 130.0)","(19.0, 25.0, 22.75)","(6.0, 7.0, 6.775)","(18.0, 25.0, 22.75)"
11-01-2023 13:40:44.512093,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.138461538461538)","(31.0, 46.0, 41.63636363636363)","(21.0, 60.0, 53.333333333333336)","(13.0, 16.0, 13.954545454545455)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.0, 6.8)","(101.0, 180.0, 130.0)","(19.0, 25.0, 22.75)","(6.0, 7.0, 6.775)","(18.0, 25.0, 22.75)"
11-01-2023 13:40:46.029802,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.138461538461538)","(31.0, 46.0, 41.63636363636363)","(21.0, 60.0, 53.333333333333336)","(13.0, 16.0, 13.954545454545455)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.0, 6.8)","(101.0, 180.0, 130.0)","(19.0, 25.0, 22.75)","(6.0, 7.0, 6.775)","(18.0, 25.0, 22.75)"
11-01-2023 13:40:47.632064,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.138461538461538)","(31.0, 46.0, 41.63636363636363)","(21.0, 60.0, 53.333333333333336)","(13.0, 16.0, 13.954545454545455)","(18.0, 24.0, 22.22222222222222)","(6.0, 7.0, 6.8)","(101.0, 180.0, 130.0)","(19.0, 25.0, 22.75)","(6.0, 7.0, 6.775)","(18.0, 25.0, 22.75)"
11-01-2023 13:40:49.190920,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.284210526315789)","(31.0, 46.0, 41.142857142857146)","(21.0, 60.0, 53.333333333333336)","(13.0, 16.0, 13.954545454545455)","(18.0, 24.0, 22.545454545454547)","(6.0, 7.0, 6.714285714285714)","(101.0, 180.0, 130.0)","(19.0, 25.0, 22.75)","(6.0, 7.0, 6.775)","(18.0, 25.0, 22.75)"
11-01-2023 13:40:50.701672,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.284210526315789)","(31.0, 44.0, 42.57142857142857)","(21.0, 60.0, 53.333333333333336)","(13.0, 16.0, 13.954545454545455)","(18.0, 24.0, 22.545454545454547)","(6.0, 7.0, 6.714285714285714)","(101.0, 180.0, 130.0)","(19.0, 25.0, 22.75)","(6.0, 7.0, 6.775)","(18.0, 25.0, 22.75)"
11-01-2023 13:40:52.292807,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.284210526315789)","(31.0, 44.0, 42.57142857142857)","(21.0, 60.0, 53.333333333333336)","(13.0, 16.0, 13.954545454545455)","(18.0, 24.0, 22.545454545454547)","(6.0, 7.0, 6.714285714285714)","(101.0, 180.0, 130.0)","(19.0, 25.0, 22.75)","(6.0, 7.0, 6.775)","(18.0, 25.0, 22.75)"
11-01-2023 13:40:53.789834,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.284210526315789)","(31.0, 44.0, 42.57142857142857)","(21.0, 60.0, 53.333333333333336)","(13.0, 16.0, 13.954545454545455)","(18.0, 24.0, 22.545454545454547)","(6.0, 7.0, 6.714285714285714)","(101.0, 180.0, 130.0)","(19.0, 25.0, 22.75)","(6.0, 7.0, 6.775)","(18.0, 25.0, 22.75)"
11-01-2023 13:40:55.468350,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.284210526315789)","(31.0, 44.0, 42.57142857142857)","(21.0, 60.0, 51.42857142857143)","(13.0, 16.0, 14.5)","(18.0, 24.0, 22.545454545454547)","(6.0, 7.0, 6.964705882352941)","(101.0, 180.0, 130.0)","(19.0, 25.0, 22.75)","(6.0, 7.0, 6.775)","(18.0, 25.0, 22.75)"
11-01-2023 13:40:57.239183,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.327272727272726)","(31.0, 44.0, 42.57142857142857)","(21.0, 60.0, 51.42857142857143)","(13.0, 15.5, 14.1)","(18.0, 24.0, 22.545454545454547)","(6.0, 7.0, 6.988957055214724)","(101.0, 180.0, 130.0)","(19.0, 25.0, 22.75)","(6.0, 7.0, 6.775)","(18.0, 25.0, 22.75)"
11-01-2023 13:40:58.898553,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.327272727272726)","(31.0, 44.0, 42.57142857142857)","(21.0, 60.0, 51.42857142857143)","(13.0, 15.0, 14.1)","(18.0, 24.0, 22.545454545454547)","(6.0, 7.4, 6.988957055214724)","(101.0, 180.0, 130.0)","(18.0, 25.0, 22.75)","(6.0, 7.0, 6.775)","(18.0, 25.0, 22.75)"
11-01-2023 13:41:00.391379,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.284210526315789)","(31.0, 44.0, 42.57142857142857)","(21.0, 60.0, 51.42857142857143)","(13.0, 15.0, 13.875)","(18.0, 24.0, 22.545454545454547)","(6.0, 7.4, 7.1177570093457945)","(101.0, 180.0, 130.0)","(18.0, 25.0, 22.75)","(6.0, 7.0, 6.775)","(18.0, 25.0, 22.75)"
11-01-2023 13:41:01.903400,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.327272727272726)","(31.0, 44.0, 42.57142857142857)","(21.0, 60.0, 51.42857142857143)","(13.0, 15.0, 13.875)","(18.0, 24.0, 22.545454545454547)","(6.0, 7.2, 6.8)","(101.0, 180.0, 136.25)","(18.0, 25.0, 22.75)","(6.0, 7.0, 6.775)","(18.0, 25.0, 22.75)"
11-01-2023 13:41:03.483897,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.327272727272726)","(31.0, 44.0, 42.57142857142857)","(21.0, 60.0, 46.111111111111114)","(13.0, 15.0, 13.772727272727273)","(18.0, 24.0, 22.545454545454547)","(6.0, 7.0, 6.8)","(101.0, 180.0, 136.25)","(18.0, 25.0, 22.75)","(6.0, 7.0, 6.96)","(18.0, 25.0, 22.75)"
11-01-2023 13:41:05.138737,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.6, 9.218181818181819)","(31.0, 44.0, 42.57142857142857)","(21.0, 50.0, 46.666666666666664)","(13.0, 15.0, 13.772727272727273)","(18.0, 24.0, 22.545454545454547)","(6.0, 7.0, 6.8)","(101.0, 180.0, 136.25)","(18.0, 25.0, 22.75)","(6.0, 7.0, 6.7)","(18.0, 25.0, 22.75)"
11-01-2023 13:41:06.918436,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.4, 9.189473684210526)","(31.0, 44.0, 42.57142857142857)","(21.0, 50.0, 46.666666666666664)","(13.0, 15.0, 13.772727272727273)","(18.0, 24.0, 24.024390243902438)","(6.0, 7.0, 6.8)","(101.0, 180.0, 136.25)","(18.0, 25.0, 22.75)","(6.0, 7.0, 6.7)","(18.0, 25.0, 24.692307692307693)"
11-01-2023 13:41:08.876080,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.4, 9.189473684210526)","(31.0, 44.0, 42.57142857142857)","(21.0, 50.0, 47.78947368421053)","(13.0, 15.0, 13.772727272727273)","(18.0, 26.0, 24.024390243902438)","(6.0, 7.0, 6.624242424242424)","(101.0, 180.0, 145.0)","(18.0, 25.0, 22.75)","(6.0, 7.0, 6.7)","(18.0, 25.0, 24.692307692307693)"
11-01-2023 13:41:10.567626,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.4, 9.189473684210526)","(31.0, 44.0, 42.57142857142857)","(21.0, 50.0, 47.78947368421053)","(13.0, 15.0, 13.772727272727273)","(18.0, 26.0, 24.024390243902438)","(6.0, 7.4, 6.6231884057971016)","(101.0, 180.0, 145.0)","(18.0, 25.0, 22.75)","(6.0, 7.0, 6.7)","(18.0, 25.0, 24.294117647058822)"
11-01-2023 13:41:12.148563,"(5.0, 6.8, 6.68)","(4.2, 5.4, 5.114285714285715)","(7.0, 9.4, 9.189473684210526)","(31.0, 44.0, 42.57142857142857)","(21.0, 50.0, 47.78947368421053)","(13.0, 15.0, 13.772727272727273)","(18.0, 26.0, 24.071428571428573)","(6.0, 7.4, 6.6231884057971016)","(101.0, 180.0, 145.0)","(18.0, 25.0, 22.75)","(6.0, 7.0, 6.7)","(18.0, 25.0, 24.294117647058822)"
11-01-2023 13:41:13.647350,"(5.0, 6.8, 6.714285714285714)","(4.2, 5.4, 5.15)","(7.0, 9.4, 9.226086956521739)","(31.0, 44.0, 42.57142857142857)","(21.0, 50.0, 47.78947368421053)","(13.0, 15.0, 13.772727272727273)","(18.0, 26.0, 24.071428571428573)","(6.0, 7.4, 6.634285714285714)","(101.0, 180.0, 145.0)","(18.0, 25.0, 22.75)","(6.0, 7.0, 6.742857142857143)","(18.0, 25.0, 24.294117647058822)"
11-01-2023 13:41:15.140290,"(5.0, 6.8, 6.714285714285714)","(4.2, 5.4, 5.15)","(7.0, 9.4, 9.2)","(31.0, 44.0, 42.57142857142857)","(21.0, 50.0, 47.78947368421053)","(13.0, 15.0, 13.772727272727273)","(18.0, 26.0, 24.071428571428573)","(6.0, 7.4, 6.954782608695652)","(101.0, 180.0, 145.0)","(18.0, 25.0, 22.75)","(6.0, 7.0, 6.742857142857143)","(18.0, 25.0, 24.294117647058822)"
11-01-2023 13:41:16.605923,"(5.0, 6.8, 6.714285714285714)","(4.2, 5.4, 5.041379310344827)","(7.0, 9.4, 9.2)","(31.0, 44.0, 42.57142857142857)","(21.0, 50.0, 47.78947368421053)","(13.0, 15.0, 13.772727272727273)","(18.0, 26.0, 24.071428571428573)","(6.0, 7.4, 6.887323943661972)","(101.0, 180.0, 145.0)","(18.0, 25.0, 22.75)","(6.0, 7.0, 6.742857142857143)","(18.0, 25.0, 24.294117647058822)"
11-01-2023 13:41:18.033360,"(5.0, 6.8, 6.714285714285714)","(4.2, 5.4, 5.041379310344827)","(7.5, 9.4, 9.2)","(31.0, 44.0, 42.57142857142857)","(21.0, 50.0, 47.78947368421053)","(13.0, 15.0, 13.772727272727273)","(19.0, 26.0, 24.071428571428573)","(6.0, 7.0, 6.887323943661972)","(101.0, 180.0, 145.0)","(18.0, 25.0, 22.75)","(6.0, 7.0, 6.742857142857143)","(18.0, 25.0, 24.294117647058822)"
11-01-2023 13:41:19.559642,"(5.0, 6.8, 6.714285714285714)","(4.2, 5.4, 5.041379310344827)","(7.5, 9.4, 9.2)","(31.0, 44.0, 42.57142857142857)","(21.0, 50.0, 47.78947368421053)","(13.0, 15.0, 13.772727272727273)","(19.0, 26.0, 24.071428571428573)","(6.0, 7.0, 6.887323943661972)","(101.0, 180.0, 145.0)","(18.0, 25.0, 22.75)","(6.0, 7.0, 6.742857142857143)","(18.0, 25.0, 24.294117647058822)"
11-01-2023 13:41:21.153256,"(5.0, 6.8, 6.714285714285714)","(4.2, 5.4, 5.041379310344827)","(7.5, 9.4, 9.2)","(31.0, 44.0, 42.57142857142857)","(21.0, 50.0, 45.5)","(13.0, 15.0, 13.772727272727273)","(19.0, 26.0, 24.071428571428573)","(6.0, 7.0, 6.887323943661972)","(101.0, 180.0, 145.0)","(18.0, 25.0, 22.75)","(6.0, 7.0, 6.742857142857143)","(18.0, 25.0, 24.294117647058822)"
