,Kickstarter,The Filter,Distortedatthebar,Out For Justice,Artie My Boy,Summer Retreat,Too Legit,Oneprettything
15-12-2022 10:49:23.489934,"(6.5, 7.6, 7.533333333333333)","(3.6, 4.6, 4.47741935483871)","(10.0, 19.5, 18.333333333333332)","(21.0, 28.0, 27.11111111111111)","(2.9, 3.25, 3.2289473684210526)","(15.0, 38.0, 24.5)","(5.0, 6.0, 5.792307692307692)","(21.0, 70.0, 51.25)"
15-12-2022 10:49:24.652527,"(6.5, 7.6, 7.533333333333333)","(3.6, 4.6, 4.509090909090909)","(10.0, 19.5, 18.333333333333332)","(21.0, 28.0, 27.11111111111111)","(2.9, 3.25, 3.2289473684210526)","(15.0, 38.0, 24.5)","(5.0, 6.0, 5.792307692307692)","(21.0, 85.0, 51.25)"
15-12-2022 10:49:25.772999,"(6.5, 7.6, 7.533333333333333)","(3.6, 4.6, 4.509090909090909)","(10.0, 19.5, 18.333333333333332)","(21.0, 28.0, 27.11111111111111)","(2.9, 3.25, 3.2289473684210526)","(15.0, 38.0, 21.92857142857143)","(5.0, 6.0, 5.792307692307692)","(21.0, 85.0, 51.25)"
15-12-2022 10:49:26.852271,"(6.5, 7.6, 7.533333333333333)","(3.6, 4.6, 4.509090909090909)","(10.0, 19.5, 18.333333333333332)","(21.0, 28.0, 26.0)","(2.9, 3.25, 3.231081081081081)","(15.0, 38.0, 23.9375)","(5.0, 6.0, 5.792307692307692)","(21.0, 85.0, 51.25)"
15-12-2022 10:49:28.005846,"(6.5, 7.6, 7.533333333333333)","(3.6, 4.6, 4.509090909090909)","(10.0, 19.5, 18.333333333333332)","(21.0, 28.0, 26.0)","(2.9, 3.25, 3.231081081081081)","(15.0, 38.0, 22.285714285714285)","(5.0, 6.0, 5.66)","(21.0, 85.0, 57.5)"
15-12-2022 10:49:29.108466,"(6.5, 7.8, 7.581818181818182)","(3.6, 4.6, 4.509090909090909)","(10.0, 19.5, 18.333333333333332)","(21.0, 28.0, 26.0)","(2.9, 3.25, 3.231081081081081)","(15.0, 38.0, 22.285714285714285)","(5.0, 5.9, 5.66)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:30.229221,"(6.5, 7.8, 7.581818181818182)","(3.6, 4.6, 4.509090909090909)","(10.0, 19.5, 18.333333333333332)","(21.0, 28.0, 26.0)","(2.9, 3.35, 3.343103448275862)","(15.0, 38.0, 26.75)","(5.0, 5.9, 5.800000000000001)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:31.416919,"(6.5, 7.8, 7.581818181818182)","(3.6, 4.6, 4.509090909090909)","(10.0, 19.5, 18.333333333333332)","(21.0, 28.0, 26.0)","(2.9, 3.35, 3.343103448275862)","(15.0, 38.0, 24.8)","(5.0, 5.9, 5.842857142857143)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:32.560387,"(6.5, 7.8, 7.581818181818182)","(3.6, 4.6, 4.509090909090909)","(10.0, 19.5, 18.333333333333332)","(21.0, 28.0, 25.5)","(2.9, 3.35, 3.34)","(15.0, 38.0, 24.8)","(5.0, 5.9, 5.658823529411765)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:33.675264,"(6.5, 7.8, 7.581818181818182)","(3.6, 4.6, 4.569230769230769)","(10.0, 19.5, 17.7)","(21.0, 27.0, 25.5)","(2.9, 3.35, 3.34)","(15.0, 38.0, 21.125)","(5.0, 5.8, 5.658823529411765)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:34.760189,"(6.5, 7.8, 7.581818181818182)","(3.6, 4.6, 4.569230769230769)","(10.0, 19.5, 17.7)","(21.0, 27.0, 25.5)","(2.9, 3.35, 3.34)","(15.0, 38.0, 21.125)","(5.0, 5.8, 5.658823529411765)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:35.816297,"(6.5, 7.8, 7.56)","(3.6, 4.6, 4.569230769230769)","(10.0, 19.5, 17.7)","(21.0, 27.0, 25.5)","(2.9, 3.35, 3.34)","(15.0, 38.0, 21.125)","(5.0, 5.8, 5.658823529411765)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:36.837534,"(6.5, 7.8, 7.56)","(3.6, 4.6, 4.569230769230769)","(10.0, 19.5, 17.7)","(21.0, 27.0, 25.5)","(2.9, 3.35, 3.330952380952381)","(15.0, 38.0, 21.125)","(5.0, 5.8, 5.658823529411765)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:37.853263,"(6.5, 7.8, 7.56)","(3.6, 4.6, 4.569230769230769)","(10.0, 19.5, 17.7)","(21.0, 27.0, 25.5)","(2.9, 3.35, 3.330952380952381)","(15.0, 38.0, 21.125)","(5.0, 5.8, 5.444444444444445)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:38.860519,"(6.5, 7.8, 7.466666666666667)","(3.6, 4.6, 4.569230769230769)","(10.0, 19.5, 17.7)","(21.0, 27.0, 24.333333333333332)","(2.9, 3.35, 3.330952380952381)","(15.0, 38.0, 21.125)","(5.0, 5.8, 5.444444444444445)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:39.934512,"(6.5, 7.8, 7.466666666666667)","(3.6, 4.6, 4.444897959183674)","(10.0, 19.5, 17.7)","(21.0, 27.0, 24.333333333333332)","(2.9, 3.35, 3.330952380952381)","(15.0, 38.0, 21.125)","(5.0, 5.8, 5.444444444444445)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:41.126533,"(6.5, 7.8, 7.466666666666667)","(3.6, 4.6, 4.444897959183674)","(10.0, 19.5, 17.7)","(21.0, 27.0, 24.333333333333332)","(2.9, 3.35, 3.330952380952381)","(15.0, 38.0, 21.125)","(5.0, 5.8, 5.444444444444445)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:42.242077,"(6.5, 7.8, 7.466666666666667)","(3.6, 4.6, 4.444897959183674)","(10.0, 19.5, 17.7)","(21.0, 27.0, 24.333333333333332)","(2.9, 3.35, 3.330952380952381)","(15.0, 38.0, 21.125)","(5.0, 5.8, 5.444444444444445)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:43.326848,"(6.5, 7.8, 7.466666666666667)","(3.6, 4.6, 4.444897959183674)","(10.0, 19.5, 17.7)","(21.0, 27.0, 24.333333333333332)","(2.9, 3.35, 3.330952380952381)","(15.0, 38.0, 21.125)","(5.0, 5.8, 5.444444444444445)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:44.482979,"(6.5, 7.6, 7.52)","(3.6, 4.6, 4.468965517241379)","(10.0, 19.5, 17.7)","(21.0, 27.0, 25.5)","(2.9, 3.3, 3.2939999999999996)","(15.0, 38.0, 21.125)","(5.0, 5.8, 5.6)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:45.597171,"(6.5, 7.6, 7.52)","(3.6, 4.6, 4.468965517241379)","(10.0, 19.5, 17.7)","(21.0, 27.0, 25.5)","(2.9, 3.3, 3.2916666666666665)","(15.0, 38.0, 21.125)","(5.0, 5.8, 5.7555555555555555)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:46.764414,"(6.5, 7.6, 7.52)","(3.6, 4.6, 4.468965517241379)","(10.0, 19.5, 17.7)","(21.0, 27.0, 25.5)","(2.8, 3.3, 3.2916666666666665)","(15.0, 38.0, 21.125)","(5.5, 5.8, 5.7555555555555555)","(21.0, 85.0, 45.25)"
15-12-2022 10:49:47.852468,"(6.5, 7.6, 7.52)","(3.7, 4.6, 4.473333333333334)","(10.0, 19.5, 17.7)","(21.0, 27.0, 25.5)","(2.8, 3.3, 3.2941176470588234)","(15.0, 38.0, 21.125)","(5.5, 5.8, 5.763636363636364)","(21.0, 85.0, 44.0)"
15-12-2022 10:49:48.985996,"(6.5, 7.6, 7.345454545454546)","(3.7, 4.6, 4.474626865671642)","(10.0, 19.5, 17.7)","(21.0, 27.0, 25.5)","(2.8, 3.3, 3.2214285714285715)","(15.0, 38.0, 26.75)","(5.5, 5.8, 5.725)","(21.0, 75.0, 53.5)"
15-12-2022 10:49:50.144327,"(6.5, 7.6, 7.333333333333333)","(3.7, 4.6, 4.474626865671642)","(10.0, 19.5, 17.7)","(21.0, 27.0, 25.5)","(2.8, 3.3, 3.216666666666667)","(15.0, 38.0, 28.0)","(5.5, 5.8, 5.611764705882353)","(21.0, 75.0, 53.5)"
15-12-2022 10:49:51.253223,"(6.5, 7.6, 7.36)","(3.7, 4.6, 4.574999999999999)","(10.0, 19.5, 17.7)","(21.0, 27.0, 25.5)","(2.8, 3.3, 3.275)","(15.0, 38.0, 28.0)","(5.5, 5.8, 5.611764705882353)","(21.0, 75.0, 53.5)"
15-12-2022 10:49:52.433094,"(6.5, 7.6, 7.36)","(3.7, 4.6, 4.566666666666666)","(10.0, 19.5, 17.7)","(21.0, 27.0, 25.5)","(2.8, 3.3, 3.275)","(15.0, 38.0, 22.6875)","(5.5, 5.8, 5.611764705882353)","(21.0, 75.0, 48.5)"
15-12-2022 10:49:53.578531,"(6.5, 7.6, 7.36)","(3.7, 4.6, 4.566666666666666)","(10.0, 19.5, 18.642857142857142)","(21.0, 27.0, 23.428571428571427)","(2.8, 3.3, 3.275)","(15.0, 27.0, 22.6875)","(5.5, 5.8, 5.672)","(21.0, 65.0, 48.5)"
15-12-2022 10:49:54.723433,"(6.5, 7.8, 7.44)","(3.7, 4.6, 4.574999999999999)","(10.0, 19.5, 18.642857142857142)","(21.0, 29.0, 23.428571428571427)","(2.8, 3.3, 3.275)","(15.0, 27.0, 23.166666666666664)","(5.5, 5.8, 5.7)","(21.0, 65.0, 48.5)"
15-12-2022 10:49:55.829096,"(6.5, 7.8, 7.44)","(3.7, 4.6, 4.574999999999999)","(10.0, 19.5, 18.642857142857142)","(21.0, 29.0, 28.666666666666668)","(2.8, 3.3, 3.22)","(15.0, 27.0, 20.4)","(5.5, 5.8, 5.7)","(21.0, 65.0, 48.5)"
15-12-2022 10:49:56.943380,"(6.5, 7.8, 7.44)","(3.7, 4.6, 4.574999999999999)","(10.0, 19.5, 18.642857142857142)","(21.0, 40.0, 28.666666666666668)","(2.8, 3.3, 3.22)","(15.0, 27.0, 20.4)","(5.5, 5.8, 5.7)","(21.0, 65.0, 48.5)"
15-12-2022 10:49:58.104861,"(6.5, 7.8, 7.44)","(3.7, 4.6, 4.566666666666666)","(10.0, 19.5, 18.5)","(21.0, 40.0, 28.0)","(2.8, 3.3, 3.22)","(15.0, 27.0, 21.25)","(5.5, 5.8, 5.672)","(21.0, 65.0, 48.5)"
15-12-2022 10:49:59.266419,"(6.5, 7.8, 7.44)","(3.7, 4.6, 4.566666666666666)","(10.0, 19.5, 18.5)","(21.0, 32.0, 28.0)","(2.8, 3.3, 3.22)","(15.0, 26.0, 22.833333333333332)","(5.5, 5.8, 5.672)","(21.0, 65.0, 48.5)"
15-12-2022 10:50:00.396885,"(6.5, 7.8, 7.44)","(3.7, 4.6, 4.566666666666666)","(10.0, 19.5, 18.5)","(21.0, 32.0, 28.0)","(2.8, 3.3, 3.22)","(15.0, 26.0, 22.833333333333332)","(5.5, 5.8, 5.672)","(21.0, 65.0, 48.5)"
15-12-2022 10:50:01.415630,"(6.5, 7.8, 7.44)","(3.7, 4.6, 4.5)","(10.0, 19.5, 18.333333333333332)","(21.0, 32.0, 28.0)","(2.8, 3.3, 3.22)","(15.0, 26.0, 22.833333333333332)","(5.5, 5.8, 6.08)","(21.0, 65.0, 48.5)"
15-12-2022 10:50:02.445939,"(6.5, 7.8, 7.425)","(3.7, 4.6, 4.507142857142857)","(10.0, 19.5, 18.333333333333332)","(21.0, 32.0, 28.0)","(2.8, 3.3, 3.223076923076923)","(15.0, 26.0, 21.25)","(5.5, 6.2, 5.996153846153846)","(21.0, 65.0, 48.5)"
15-12-2022 10:50:03.432797,"(6.5, 7.8, 7.425)","(3.7, 4.6, 4.4125)","(10.0, 19.5, 18.333333333333332)","(21.0, 40.0, 29.333333333333332)","(2.8, 3.3, 3.21)","(15.0, 27.0, 21.75)","(5.5, 6.4, 6.127272727272728)","(21.0, 65.0, 54.66666666666667)"
15-12-2022 10:50:04.488279,"(6.5, 7.8, 7.425)","(3.7, 4.6, 4.4125)","(10.0, 19.5, 17.7)","(21.0, 38.0, 32.333333333333336)","(2.8, 3.3, 3.21)","(15.0, 27.0, 21.75)","(5.5, 6.4, 6.127272727272728)","(21.0, 65.0, 54.66666666666667)"
15-12-2022 10:50:05.594417,"(6.5, 7.8, 7.5)","(3.7, 4.6, 4.4125)","(10.0, 19.5, 17.7)","(21.0, 36.0, 32.333333333333336)","(2.8, 3.3, 3.21)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.127272727272728)","(21.0, 65.0, 54.66666666666667)"
15-12-2022 10:50:06.780905,"(6.5, 7.8, 7.5)","(3.7, 4.6, 4.4125)","(10.0, 19.5, 17.7)","(21.0, 36.0, 32.333333333333336)","(2.8, 3.3, 3.21)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.16)","(21.0, 65.0, 54.66666666666667)"
15-12-2022 10:50:07.934710,"(6.5, 7.8, 7.5)","(3.7, 4.6, 4.428571428571428)","(10.0, 19.5, 17.7)","(21.0, 36.0, 32.666666666666664)","(2.8, 3.3, 3.21)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.133333333333334)","(21.0, 65.0, 54.66666666666667)"
15-12-2022 10:50:09.102477,"(6.5, 7.8, 7.5)","(3.7, 4.6, 4.428571428571428)","(10.0, 19.5, 17.7)","(21.0, 36.0, 32.666666666666664)","(2.8, 3.3, 3.21)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.2)","(21.0, 65.0, 54.66666666666667)"
15-12-2022 10:50:10.268845,"(6.5, 7.8, 7.5)","(3.7, 4.6, 4.428571428571428)","(10.0, 19.5, 17.7)","(21.0, 36.0, 32.666666666666664)","(2.8, 3.3, 3.21)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.2)","(21.0, 65.0, 54.66666666666667)"
15-12-2022 10:50:11.405362,"(6.5, 7.8, 7.5)","(3.7, 4.6, 4.428571428571428)","(10.0, 19.5, 17.7)","(19.0, 36.0, 32.666666666666664)","(2.8, 3.3, 3.1875)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.2)","(21.0, 65.0, 54.66666666666667)"
15-12-2022 10:50:12.499260,"(6.5, 7.8, 7.5)","(3.7, 4.6, 4.428571428571428)","(10.0, 19.5, 17.7)","(19.0, 36.0, 32.666666666666664)","(2.8, 3.3, 3.1875)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.325)","(21.0, 65.0, 61.125)"
15-12-2022 10:50:13.598112,"(6.5, 7.8, 7.5)","(3.7, 4.6, 4.385714285714285)","(10.0, 19.5, 17.7)","(19.0, 36.0, 32.666666666666664)","(2.8, 3.3, 3.1875)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.325)","(21.0, 65.0, 61.125)"
15-12-2022 10:50:14.624319,"(6.5, 7.8, 7.5)","(3.7, 4.6, 4.385714285714285)","(10.0, 19.5, 17.7)","(19.0, 34.0, 30.0)","(2.8, 3.3, 3.1875)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.325)","(21.0, 65.0, 59.833333333333336)"
15-12-2022 10:50:15.586581,"(6.5, 7.8, 7.5)","(3.7, 4.6, 4.385714285714285)","(10.0, 19.5, 17.7)","(19.0, 34.0, 30.0)","(2.8, 3.3, 3.175)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.333333333333334)","(21.0, 65.0, 59.833333333333336)"
15-12-2022 10:50:16.634551,"(6.5, 7.8, 7.430769230769231)","(3.7, 4.6, 4.385714285714285)","(10.0, 19.5, 17.7)","(19.0, 34.0, 30.0)","(2.8, 3.3, 3.175)","(15.0, 27.0, 23.0625)","(5.5, 6.4, 6.333333333333334)","(21.0, 65.0, 59.833333333333336)"
15-12-2022 10:50:17.720323,"(6.5, 7.8, 7.430769230769231)","(3.7, 4.6, 4.385714285714285)","(10.0, 19.5, 17.7)","(19.0, 34.0, 30.0)","(2.8, 3.3, 3.183333333333333)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.326315789473685)","(21.0, 65.0, 60.8)"
15-12-2022 10:50:18.819741,"(6.5, 7.6, 7.533333333333333)","(3.7, 4.7, 4.360377358490566)","(10.0, 19.5, 17.7)","(19.0, 34.0, 30.0)","(2.8, 3.3, 3.183333333333333)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.326315789473685)","(21.0, 65.0, 60.8)"
15-12-2022 10:50:20.002690,"(6.5, 7.6, 7.485714285714286)","(3.7, 4.7, 4.378260869565217)","(10.0, 19.5, 17.7)","(19.0, 34.0, 30.0)","(2.8, 3.3, 3.183333333333333)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.326315789473685)","(21.0, 65.0, 60.8)"
15-12-2022 10:50:21.191683,"(6.5, 7.6, 7.485714285714286)","(3.7, 4.7, 4.409803921568628)","(10.0, 19.5, 17.7)","(19.0, 34.0, 30.0)","(2.8, 3.3, 3.183333333333333)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.326315789473685)","(21.0, 65.0, 60.8)"
15-12-2022 10:50:22.323918,"(6.5, 7.6, 7.485714285714286)","(3.7, 4.7, 4.409803921568628)","(10.0, 19.5, 17.7)","(19.0, 34.0, 30.0)","(2.8, 3.3, 3.183333333333333)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.337777777777778)","(21.0, 65.0, 62.900000000000006)"
15-12-2022 10:50:23.471311,"(6.5, 7.6, 7.485714285714286)","(3.7, 4.7, 4.355813953488372)","(10.0, 19.5, 17.7)","(19.0, 34.0, 30.0)","(2.8, 3.3, 3.183333333333333)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.337777777777778)","(21.0, 65.0, 62.900000000000006)"
15-12-2022 10:50:24.592529,"(6.5, 7.6, 7.485714285714286)","(3.7, 4.7, 4.355813953488372)","(10.0, 19.5, 17.7)","(19.0, 34.0, 30.0)","(2.8, 3.3, 3.183333333333333)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.337777777777778)","(21.0, 65.0, 62.900000000000006)"
15-12-2022 10:50:25.782557,"(6.5, 7.6, 7.485714285714286)","(3.7, 4.6, 4.463636363636363)","(10.0, 19.5, 17.7)","(19.0, 34.0, 30.0)","(2.8, 3.3, 3.1772727272727272)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.337777777777778)","(21.0, 65.0, 62.900000000000006)"
15-12-2022 10:50:26.998841,"(6.5, 7.6, 7.485714285714286)","(3.7, 4.6, 4.5)","(10.0, 19.5, 17.7)","(19.0, 34.0, 30.0)","(2.8, 3.3, 3.1772727272727272)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.337777777777778)","(21.0, 65.0, 62.900000000000006)"
15-12-2022 10:50:28.044555,"(6.5, 7.6, 7.485714285714286)","(3.7, 4.6, 4.5)","(10.0, 19.5, 17.7)","(19.0, 34.0, 29.666666666666668)","(2.8, 3.3, 3.1772727272727272)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.337777777777778)","(21.0, 65.0, 62.900000000000006)"
15-12-2022 10:50:29.133832,"(6.5, 7.6, 7.485714285714286)","(3.7, 4.6, 4.5)","(10.0, 19.5, 16.875)","(19.0, 32.0, 28.666666666666668)","(2.8, 3.3, 3.1772727272727272)","(15.0, 27.0, 22.5)","(5.5, 6.4, 6.337777777777778)","(21.0, 65.0, 62.900000000000006)"
