,Knobiesmagicsonde,Swiss Horizon,Bank Card,Warriorinthehouse,Gattolottasparkle,Little O Little E,Weavinyouinthedust,Lauras Grand,Iminchargenow,Vegas Princess
12-01-2023 13:29:02.278786,"(8.0, 9.6, 8.866666666666667)","(6.0, 9.0, 8.4)","(41.0, 180.0, 120.0)","(11.0, 16.5, 15.3)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.311111111111112)","(41.0, 180.0, 130.66666666666669)","(4.0, 6.6, 5.986363636363636)","(2.35, 4.4, 3.466666666666667)"
12-01-2023 13:29:03.522053,"(8.0, 9.6, 8.866666666666667)","(6.0, 9.0, 8.4)","(41.0, 180.0, 120.0)","(11.0, 16.5, 15.0)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.333333333333334)","(41.0, 180.0, 130.66666666666669)","(4.0, 6.6, 5.986363636363636)","(2.35, 4.4, 3.95)"
12-01-2023 13:29:04.779736,"(8.0, 9.6, 8.5)","(6.0, 9.0, 8.4)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 137.71428571428572)","(4.0, 6.6, 5.986363636363636)","(2.35, 4.4, 4.0625)"
12-01-2023 13:29:06.102695,"(8.0, 9.6, 8.5)","(6.0, 9.0, 8.5)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 5.986363636363636)","(2.35, 4.4, 4.0625)"
12-01-2023 13:29:07.245672,"(8.0, 9.6, 8.5)","(6.0, 8.8, 8.600000000000001)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 5.986363636363636)","(2.35, 4.4, 4.0625)"
12-01-2023 13:29:08.416312,"(8.0, 9.6, 8.5)","(6.0, 8.8, 8.600000000000001)","(41.0, 180.0, 105.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.4, 3.1888888888888887)"
12-01-2023 13:29:09.559100,"(8.0, 9.6, 8.5)","(6.0, 8.8, 8.600000000000001)","(41.0, 180.0, 105.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.3, 3.1888888888888887)"
12-01-2023 13:29:10.737873,"(8.0, 9.6, 8.5)","(6.0, 8.8, 8.600000000000001)","(41.0, 180.0, 105.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.2, 3.553846153846154)"
12-01-2023 13:29:11.936574,"(8.0, 9.6, 8.5)","(6.0, 8.8, 8.600000000000001)","(41.0, 180.0, 105.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.2, 3.553846153846154)"
12-01-2023 13:29:13.227322,"(8.0, 9.6, 8.5)","(6.0, 8.8, 8.600000000000001)","(41.0, 180.0, 105.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.2, 3.553846153846154)"
12-01-2023 13:29:14.430455,"(8.0, 9.6, 8.5)","(6.0, 8.8, 8.600000000000001)","(41.0, 180.0, 105.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.2, 3.553846153846154)"
12-01-2023 13:29:15.656317,"(8.0, 9.6, 8.5)","(6.0, 8.8, 8.066666666666666)","(41.0, 180.0, 105.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.2, 3.553846153846154)"
12-01-2023 13:29:16.902418,"(8.0, 9.6, 8.5)","(6.0, 8.6, 8.066666666666666)","(41.0, 180.0, 105.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.2, 3.553846153846154)"
12-01-2023 13:29:18.107823,"(8.0, 9.6, 8.5)","(6.0, 8.6, 8.066666666666666)","(41.0, 180.0, 105.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.2, 3.553846153846154)"
12-01-2023 13:29:19.398119,"(8.0, 9.6, 8.5)","(6.0, 8.6, 8.066666666666666)","(41.0, 180.0, 105.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.2, 3.553846153846154)"
12-01-2023 13:29:20.705327,"(8.0, 9.6, 8.5)","(6.0, 8.6, 8.066666666666666)","(41.0, 180.0, 105.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.2, 3.553846153846154)"
12-01-2023 13:29:21.978916,"(8.0, 9.6, 8.5)","(6.0, 8.6, 8.066666666666666)","(41.0, 180.0, 105.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.2, 3.553846153846154)"
12-01-2023 13:29:23.247293,"(8.0, 9.6, 8.5)","(6.0, 8.6, 8.066666666666666)","(41.0, 180.0, 105.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.2, 3.5)"
12-01-2023 13:29:24.515625,"(8.0, 9.6, 8.5)","(6.0, 9.0, 8.28)","(41.0, 180.0, 105.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.0, 3.5)"
12-01-2023 13:29:25.764491,"(8.0, 9.6, 8.5)","(6.0, 9.0, 8.28)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 19.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.0, 3.5)"
12-01-2023 13:29:26.981019,"(8.0, 9.6, 8.5)","(6.0, 9.0, 8.28)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.0, 3.5)"
12-01-2023 13:29:28.277975,"(8.0, 9.6, 8.5)","(6.0, 9.0, 8.28)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.0, 3.145)"
12-01-2023 13:29:29.555083,"(8.0, 9.6, 8.5)","(6.0, 8.8, 8.133333333333333)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.0, 3.132608695652174)"
12-01-2023 13:29:30.854317,"(8.0, 9.6, 8.5)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.2727272727272725)","(2.35, 4.0, 3.145)"
12-01-2023 13:29:32.095581,"(8.0, 9.6, 8.5)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.12)","(2.35, 4.0, 3.333333333333333)"
12-01-2023 13:29:33.303387,"(8.0, 9.6, 8.5)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.12)","(2.35, 3.9, 3.333333333333333)"
12-01-2023 13:29:34.509621,"(8.0, 9.6, 8.5)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.12)","(2.35, 3.9, 3.333333333333333)"
12-01-2023 13:29:35.805923,"(8.0, 9.6, 8.5)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.12)","(2.35, 3.9, 3.333333333333333)"
12-01-2023 13:29:37.088185,"(8.0, 9.6, 8.5)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.12)","(2.3, 3.9, 3.333333333333333)"
12-01-2023 13:29:38.368335,"(8.0, 9.6, 8.5)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.12)","(2.3, 3.9, 3.2785714285714285)"
12-01-2023 13:29:39.674358,"(8.0, 9.6, 8.5)","(6.0, 9.0, 8.28)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.12)","(2.3, 3.85, 3.25)"
12-01-2023 13:29:41.012666,"(8.0, 9.6, 8.5)","(6.0, 9.0, 8.28)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.12)","(2.3, 3.85, 3.25)"
12-01-2023 13:29:42.289881,"(8.0, 9.6, 8.5)","(6.0, 9.0, 8.28)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.12)","(2.3, 3.85, 3.2642857142857142)"
12-01-2023 13:29:43.677069,"(8.0, 9.6, 8.5)","(6.0, 8.8, 8.3)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.12)","(2.3, 3.8, 3.2375)"
12-01-2023 13:29:44.976832,"(8.0, 9.6, 8.5)","(6.0, 8.8, 8.3)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 130.66666666666669)","(4.0, 6.6, 6.12)","(2.3, 3.8, 3.2375)"
12-01-2023 13:29:46.343706,"(8.0, 9.6, 8.5)","(6.0, 8.8, 8.3)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.6, 6.12)","(2.3, 3.8, 3.2375)"
12-01-2023 13:29:47.765507,"(8.0, 9.4, 8.542857142857143)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.6, 6.12)","(2.3, 3.8, 3.2375)"
12-01-2023 13:29:49.179066,"(8.0, 9.4, 8.542857142857143)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.6, 6.12)","(2.3, 3.8, 3.2375)"
12-01-2023 13:29:50.510391,"(8.0, 9.4, 8.542857142857143)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 107.0)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.6, 6.12)","(2.3, 3.8, 3.138235294117647)"
12-01-2023 13:29:51.716287,"(8.0, 9.4, 8.542857142857143)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 107.0)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.6, 6.12)","(2.3, 3.8, 3.138235294117647)"
12-01-2023 13:29:52.951165,"(8.0, 9.4, 8.542857142857143)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 107.0)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.6, 6.12)","(2.3, 3.8, 3.138235294117647)"
12-01-2023 13:29:54.203918,"(8.0, 9.4, 8.542857142857143)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 107.0)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.6, 6.12)","(2.3, 3.8, 3.4)"
12-01-2023 13:29:55.449043,"(8.0, 9.4, 8.542857142857143)","(6.0, 9.0, 8.28)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 107.0)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.6, 6.12)","(2.3, 3.75, 3.2249999999999996)"
12-01-2023 13:29:56.703254,"(8.0, 9.4, 8.542857142857143)","(6.0, 9.0, 8.28)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 107.0)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.6, 6.12)","(2.3, 3.75, 3.2249999999999996)"
12-01-2023 13:29:57.903670,"(8.0, 9.4, 8.542857142857143)","(6.0, 9.0, 8.28)","(41.0, 180.0, 120.0)","(11.0, 16.5, 14.833333333333334)","(41.0, 180.0, 107.0)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.6, 5.952)","(2.3, 3.75, 3.375)"
12-01-2023 13:29:59.163948,"(8.0, 9.4, 8.542857142857143)","(6.0, 8.8, 8.3)","(41.0, 180.0, 120.0)","(11.0, 17.5, 15.75)","(41.0, 180.0, 107.0)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.6, 5.952)","(2.3, 3.7, 3.2125)"
12-01-2023 13:30:00.534625,"(8.0, 9.4, 8.542857142857143)","(6.0, 8.8, 8.3)","(41.0, 180.0, 120.0)","(11.0, 17.5, 15.75)","(41.0, 180.0, 107.0)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.6, 5.952)","(2.3, 3.7, 3.2125)"
12-01-2023 13:30:01.938390,"(8.0, 9.4, 8.542857142857143)","(6.0, 8.8, 8.3)","(41.0, 180.0, 120.0)","(11.0, 17.5, 15.75)","(41.0, 180.0, 107.0)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.6, 5.660869565217391)","(2.3, 3.7, 3.4833333333333334)"
12-01-2023 13:30:03.309477,"(8.0, 9.4, 8.542857142857143)","(6.0, 8.8, 8.2)","(41.0, 180.0, 130.0)","(11.0, 17.5, 16.833333333333332)","(41.0, 180.0, 121.6)","(15.0, 23.0, 19.333333333333332)","(9.0, 9.4, 9.333333333333334)","(41.0, 180.0, 121.6)","(4.0, 6.6, 5.245161290322581)","(2.3, 3.7, 3.48)"
12-01-2023 13:30:04.633967,"(8.0, 9.4, 8.153846153846153)","(6.0, 8.6, 8.2)","(41.0, 180.0, 130.0)","(11.0, 17.5, 15.0)","(41.0, 180.0, 121.6)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.6, 5.378571428571428)","(2.3, 3.7, 3.442857142857143)"
12-01-2023 13:30:05.929203,"(8.0, 9.4, 8.542857142857143)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 17.0, 15.0)","(41.0, 180.0, 121.6)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.4, 5.378571428571428)","(2.3, 3.7, 3.442857142857143)"
12-01-2023 13:30:07.205503,"(8.0, 9.4, 8.542857142857143)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 17.0, 15.0)","(41.0, 180.0, 121.6)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.4, 5.378571428571428)","(2.3, 3.7, 3.442857142857143)"
12-01-2023 13:30:08.506478,"(8.0, 9.4, 8.542857142857143)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 17.0, 15.0)","(41.0, 180.0, 121.6)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.4, 5.378571428571428)","(2.3, 3.7, 3.5971428571428574)"
12-01-2023 13:30:09.887748,"(8.0, 9.4, 8.663157894736843)","(6.0, 8.6, 8.2)","(41.0, 180.0, 120.0)","(11.0, 17.0, 15.0)","(41.0, 180.0, 121.6)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.4, 5.378571428571428)","(2.3, 3.7, 3.5971428571428574)"
12-01-2023 13:30:11.253938,"(8.0, 9.4, 8.663157894736843)","(6.0, 8.6, 8.28)","(41.0, 180.0, 120.0)","(11.0, 17.0, 15.0)","(41.0, 180.0, 121.6)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.4, 5.378571428571428)","(2.3, 3.7, 3.5971428571428574)"
12-01-2023 13:30:12.610953,"(8.0, 9.4, 8.663157894736843)","(6.0, 9.0, 8.133333333333333)","(41.0, 180.0, 120.0)","(11.0, 17.0, 15.0)","(41.0, 180.0, 121.6)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.4, 5.269565217391304)","(2.3, 3.7, 3.2875)"
12-01-2023 13:30:13.866553,"(8.0, 9.4, 8.663157894736843)","(6.0, 8.8, 8.133333333333333)","(41.0, 180.0, 120.0)","(11.0, 17.0, 15.0)","(41.0, 180.0, 121.6)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.4, 5.269565217391304)","(2.3, 3.7, 3.2875)"
12-01-2023 13:30:15.139573,"(8.0, 9.4, 8.663157894736843)","(6.0, 8.2, 7.8999999999999995)","(41.0, 180.0, 120.0)","(11.0, 17.0, 15.0)","(41.0, 180.0, 121.6)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.4, 5.269565217391304)","(2.3, 3.7, 3.2875)"
12-01-2023 13:30:16.405971,"(8.0, 9.4, 8.663157894736843)","(6.0, 8.8, 8.133333333333333)","(41.0, 180.0, 120.0)","(11.0, 17.0, 15.0)","(41.0, 180.0, 121.6)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.342857142857143)","(41.0, 180.0, 107.0)","(4.0, 6.4, 5.269565217391304)","(2.3, 3.7, 3.2875)"
