,Mega Star,Mac Stubborn,Uptotrix,What Now Shannon,Shannons Shadow,Seven Rippin Aces,Always Bopping,Cronin,A Kerry Man,Sheza Rose Nz
05-01-2023 15:46:19.014925,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:20.257617,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:21.458911,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:22.777854,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:24.153635,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:25.568163,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:26.900019,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:28.121974,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:29.429566,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:30.764658,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:32.106569,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:33.520290,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:34.891335,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:36.274768,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:37.646181,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:39.011174,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:40.431228,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:41.865616,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:43.203627,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:44.585138,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:45.892686,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:47.223687,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:48.499327,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:49.791539,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:51.122770,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:52.433977,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:53.802696,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:55.139403,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:56.463416,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:57.756257,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:59.097757,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:00.483057,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:01.858167,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:03.206248,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:04.662656,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:06.090425,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:07.378473,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:08.619678,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:09.946689,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:11.235207,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:12.560329,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:13.824079,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:15.105663,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:16.368847,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:17.710179,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:19.055240,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:20.351184,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:21.685391,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:22.900317,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:24.186288,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:25.442786,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:26.713645,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:27.946681,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:29.143130,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:30.361554,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:47:31.624353,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
