,Carmelized,Lockdown Vanna,Makinlimmargaritas,Playing For Two,Golden Sally,Smokin Lady,Showthemoneyhoney,Polish The Diamond,Xposed Secret,Stryda
07-01-2023 10:32:12.027178,"(17.0, 26.0, 25.666666666666668)","(26.0, 55.0, 49.75)","(15.0, 25.0, 22.45)","(15.0, 23.0, 21.11111111111111)","(41.0, 90.0, 79.28571428571429)","(5.0, 6.0, 5.985714285714286)","(31.0, 110.0, 83.33333333333333)","(4.4, 5.7, 5.677777777777777)","(51.0, 330.0, 321.1764705882353)","(1.65, 2.1, 2.0854545454545454)"
07-01-2023 10:32:13.559973,"(17.0, 25.0, 24.857142857142858)","(26.0, 55.0, 49.75)","(15.0, 25.0, 22.627906976744185)","(15.0, 22.0, 21.11111111111111)","(41.0, 90.0, 73.33333333333333)","(5.0, 6.0, 6.0718446601941745)","(31.0, 110.0, 82.63157894736842)","(4.4, 5.8, 5.642857142857142)","(51.0, 330.0, 311.7647058823529)","(1.65, 2.1, 2.0854545454545454)"
07-01-2023 10:32:15.131510,"(17.0, 26.0, 25.727272727272727)","(26.0, 55.0, 40.0)","(15.0, 25.0, 23.5)","(15.0, 22.0, 21.11111111111111)","(41.0, 90.0, 71.66666666666667)","(5.0, 6.2, 6.077894736842105)","(31.0, 110.0, 82.63157894736842)","(4.4, 5.8, 5.6375)","(51.0, 320.0, 311.7647058823529)","(1.65, 2.1, 2.086206896551724)"
07-01-2023 10:32:16.708293,"(17.0, 26.0, 25.727272727272727)","(26.0, 60.0, 49.75)","(15.0, 24.0, 23.5)","(15.0, 22.0, 20.676470588235293)","(41.0, 90.0, 81.17647058823529)","(5.0, 6.2, 6.077894736842105)","(31.0, 110.0, 90.74074074074073)","(4.4, 5.7, 5.6375)","(51.0, 320.0, 364.61538461538464)","(1.65, 2.1, 2.085054945054945)"
07-01-2023 10:32:18.411881,"(17.0, 26.0, 25.727272727272727)","(26.0, 55.0, 49.75)","(15.0, 24.0, 23.5)","(15.0, 22.0, 20.5)","(41.0, 90.0, 69.16666666666667)","(5.0, 6.2, 6.077894736842105)","(31.0, 110.0, 77.5)","(4.4, 5.7, 5.6375)","(51.0, 380.0, 364.61538461538464)","(1.65, 2.1, 2.085054945054945)"
07-01-2023 10:32:20.025436,"(17.0, 26.0, 25.727272727272727)","(26.0, 55.0, 49.75)","(15.0, 24.0, 22.416666666666668)","(15.0, 22.0, 20.5)","(41.0, 90.0, 69.16666666666667)","(5.0, 6.2, 6.270588235294118)","(31.0, 110.0, 75.58823529411765)","(4.4, 5.7, 5.665517241379311)","(51.0, 380.0, 332.3076923076923)","(1.65, 2.1, 2.0846875000000002)"
07-01-2023 10:32:21.582206,"(17.0, 26.0, 25.727272727272727)","(26.0, 55.0, 49.75)","(15.0, 23.0, 21.705882352941178)","(15.0, 21.0, 20.5)","(41.0, 90.0, 69.16666666666667)","(5.0, 6.4, 6.270588235294118)","(31.0, 110.0, 75.58823529411765)","(4.4, 5.7, 5.66)","(51.0, 360.0, 300.0)","(1.65, 2.1, 2.0879646017699116)"
07-01-2023 10:32:23.411116,"(17.0, 26.0, 25.727272727272727)","(26.0, 55.0, 33.333333333333336)","(15.0, 23.0, 21.705882352941178)","(15.0, 21.0, 19.694444444444443)","(41.0, 90.0, 69.16666666666667)","(5.0, 6.4, 6.266666666666667)","(31.0, 110.0, 83.4090909090909)","(4.4, 5.7, 5.69)","(51.0, 360.0, 316.0)","(1.65, 2.1, 2.0884705882352943)"
07-01-2023 10:32:25.243324,"(17.0, 26.0, 25.727272727272727)","(26.0, 34.0, 44.63636363636364)","(15.0, 23.0, 22.043478260869566)","(15.0, 20.0, 19.583333333333332)","(41.0, 90.0, 72.14285714285714)","(5.0, 6.4, 6.281818181818182)","(31.0, 110.0, 80.75)","(4.4, 5.7, 5.707692307692308)","(51.0, 350.0, 265.0)","(1.65, 2.1, 2.08718954248366)"
07-01-2023 10:32:26.861344,"(17.0, 26.0, 25.40740740740741)","(26.0, 55.0, 44.63636363636364)","(15.0, 23.0, 22.2)","(15.0, 20.0, 19.875)","(41.0, 90.0, 79.58333333333333)","(5.0, 6.4, 6.2964705882352945)","(31.0, 110.0, 91.12903225806451)","(4.4, 5.8, 5.364102564102565)","(51.0, 350.0, 316.25)","(1.65, 2.1, 2.0944117647058826)"
07-01-2023 10:32:28.417161,"(17.0, 29.0, 26.6)","(26.0, 55.0, 44.63636363636364)","(15.0, 23.0, 22.2)","(15.0, 20.0, 19.875)","(41.0, 90.0, 79.58333333333333)","(5.0, 6.4, 6.2964705882352945)","(31.0, 110.0, 91.12903225806451)","(4.4, 5.4, 5.364102564102565)","(51.0, 340.0, 316.25)","(1.65, 2.1, 2.0852830188679246)"
07-01-2023 10:32:29.825439,"(17.0, 29.0, 26.6)","(26.0, 55.0, 45.5)","(15.0, 23.0, 22.714285714285715)","(15.0, 21.0, 20.176470588235293)","(41.0, 90.0, 79.58333333333333)","(5.0, 6.4, 6.296551724137931)","(31.0, 110.0, 72.85714285714286)","(4.4, 5.5, 5.4135135135135135)","(51.0, 330.0, 307.5)","(1.65, 2.1, 2.0852830188679246)"
07-01-2023 10:32:31.255050,"(17.0, 29.0, 26.6)","(26.0, 55.0, 45.5)","(15.0, 23.0, 22.714285714285715)","(15.0, 21.0, 20.176470588235293)","(41.0, 90.0, 79.58333333333333)","(5.0, 6.4, 6.296551724137931)","(31.0, 110.0, 72.85714285714286)","(4.4, 5.5, 5.4135135135135135)","(51.0, 330.0, 307.5)","(1.65, 2.1, 2.0852830188679246)"
07-01-2023 10:32:32.861785,"(17.0, 29.0, 26.6)","(26.0, 55.0, 45.5)","(15.0, 23.0, 21.636363636363637)","(15.0, 21.0, 20.23076923076923)","(41.0, 90.0, 79.58333333333333)","(5.0, 6.4, 6.300000000000001)","(31.0, 110.0, 72.85714285714286)","(4.4, 5.7, 5.595238095238095)","(51.0, 320.0, 298.75)","(1.65, 2.08, 2.060983606557377)"
07-01-2023 10:32:34.408823,"(17.0, 28.0, 27.333333333333332)","(26.0, 55.0, 45.5)","(15.0, 22.0, 22.545454545454547)","(15.0, 21.0, 20.23076923076923)","(41.0, 90.0, 79.58333333333333)","(5.0, 6.4, 6.26046511627907)","(31.0, 110.0, 81.11111111111111)","(4.4, 5.7, 5.613725490196079)","(51.0, 320.0, 298.75)","(1.65, 2.08, 2.0684375)"
07-01-2023 10:32:36.032342,"(17.0, 28.0, 27.318181818181817)","(26.0, 55.0, 44.8)","(15.0, 24.0, 22.6)","(15.0, 21.0, 20.23076923076923)","(41.0, 90.0, 79.58333333333333)","(5.0, 6.4, 6.296551724137931)","(31.0, 110.0, 81.11111111111111)","(4.4, 5.7, 5.661111111111111)","(51.0, 320.0, 290.0)","(1.65, 2.08, 2.0503333333333336)"
07-01-2023 10:32:37.612742,"(17.0, 28.0, 26.88888888888889)","(26.0, 55.0, 44.8)","(15.0, 23.0, 22.6)","(15.0, 21.0, 20.23076923076923)","(41.0, 90.0, 83.42105263157895)","(5.0, 6.4, 6.296551724137931)","(31.0, 110.0, 91.42857142857143)","(4.4, 5.7, 5.663157894736842)","(51.0, 310.0, 301.1111111111111)","(1.65, 2.06, 2.0503333333333336)"
07-01-2023 10:32:39.178375,"(17.0, 28.0, 26.88888888888889)","(26.0, 55.0, 44.8)","(15.0, 23.0, 22.23076923076923)","(15.0, 21.0, 20.166666666666668)","(41.0, 90.0, 80.0)","(5.0, 6.4, 6.290909090909091)","(31.0, 110.0, 98.125)","(4.4, 5.7, 5.727272727272727)","(51.0, 310.0, 301.1111111111111)","(1.65, 2.06, 2.052156862745098)"
07-01-2023 10:32:40.725991,"(17.0, 28.0, 27.142857142857142)","(26.0, 55.0, 45.55555555555556)","(15.0, 23.0, 22.25)","(15.0, 21.0, 20.076923076923077)","(41.0, 90.0, 80.0)","(5.0, 6.4, 6.302040816326531)","(31.0, 100.0, 98.0)","(4.4, 5.8, 5.666666666666667)","(51.0, 310.0, 337.89473684210526)","(1.65, 2.08, 2.0458490566037737)"
07-01-2023 10:32:42.196589,"(17.0, 28.0, 27.142857142857142)","(26.0, 55.0, 42.5)","(15.0, 23.0, 22.25)","(15.0, 21.0, 20.0)","(41.0, 90.0, 76.3157894736842)","(5.0, 6.4, 6.306382978723405)","(31.0, 100.0, 98.0)","(4.4, 5.8, 5.388888888888888)","(51.0, 360.0, 337.89473684210526)","(1.65, 2.08, 2.061530612244898)"
07-01-2023 10:32:43.598218,"(17.0, 28.0, 27.142857142857142)","(26.0, 55.0, 46.0)","(15.0, 23.0, 22.357142857142858)","(15.0, 21.0, 20.428571428571427)","(41.0, 90.0, 76.07142857142857)","(5.0, 6.4, 6.32)","(31.0, 100.0, 98.125)","(4.4, 5.5, 5.563157894736842)","(51.0, 360.0, 337.89473684210526)","(1.65, 2.08, 2.0513833992094863)"
07-01-2023 10:32:45.031475,"(17.0, 28.0, 27.4)","(26.0, 50.0, 39.45454545454545)","(15.0, 23.0, 22.4375)","(15.0, 21.0, 20.428571428571427)","(41.0, 90.0, 76.07142857142857)","(5.0, 6.4, 6.32)","(31.0, 100.0, 98.125)","(4.4, 5.6, 5.644897959183673)","(51.0, 360.0, 337.89473684210526)","(1.65, 2.08, 2.052883895131086)"
07-01-2023 10:32:46.480844,"(17.0, 28.0, 27.4)","(26.0, 46.0, 39.0)","(15.0, 23.0, 22.526315789473685)","(15.0, 21.0, 20.2)","(41.0, 90.0, 78.33333333333333)","(5.0, 6.4, 6.381818181818182)","(31.0, 100.0, 98.69565217391305)","(4.4, 5.7, 5.5807692307692305)","(51.0, 360.0, 339.0)","(1.65, 2.08, 2.0552901023890784)"
07-01-2023 10:32:48.086437,"(17.0, 29.0, 27.181818181818183)","(26.0, 46.0, 39.0)","(15.0, 23.0, 22.526315789473685)","(15.0, 21.0, 20.2)","(41.0, 90.0, 78.33333333333333)","(5.0, 6.4, 6.381818181818182)","(31.0, 100.0, 98.69565217391305)","(4.4, 5.6, 5.5807692307692305)","(51.0, 360.0, 339.0)","(1.65, 2.08, 2.0552901023890784)"
07-01-2023 10:32:49.552415,"(17.0, 29.0, 27.181818181818183)","(26.0, 46.0, 39.0)","(15.0, 23.0, 22.526315789473685)","(15.0, 21.0, 20.2)","(41.0, 90.0, 78.33333333333333)","(5.0, 6.4, 6.381818181818182)","(31.0, 100.0, 98.69565217391305)","(4.4, 5.6, 5.5807692307692305)","(51.0, 360.0, 339.0)","(1.65, 2.08, 2.0552901023890784)"
07-01-2023 10:32:51.052599,"(17.0, 29.0, 27.181818181818183)","(26.0, 46.0, 38.470588235294116)","(15.0, 23.0, 22.526315789473685)","(15.0, 21.0, 20.2)","(41.0, 90.0, 78.33333333333333)","(5.0, 6.4, 6.381818181818182)","(31.0, 100.0, 98.69565217391305)","(4.4, 5.6, 5.592957746478873)","(51.0, 360.0, 339.0)","(1.65, 2.08, 2.0536727272727275)"
07-01-2023 10:32:52.454928,"(17.0, 29.0, 27.22222222222222)","(26.0, 46.0, 38.470588235294116)","(15.0, 23.0, 22.526315789473685)","(15.0, 21.0, 20.2)","(41.0, 90.0, 78.33333333333333)","(5.0, 6.4, 6.56)","(31.0, 100.0, 98.125)","(4.4, 5.6, 5.594318181818181)","(51.0, 360.0, 362.72727272727275)","(1.65, 2.08, 2.04825)"
07-01-2023 10:32:53.918726,"(17.0, 29.0, 27.22222222222222)","(26.0, 46.0, 38.470588235294116)","(15.0, 23.0, 22.526315789473685)","(15.0, 21.0, 20.2)","(41.0, 90.0, 78.33333333333333)","(5.0, 6.6, 6.56875)","(31.0, 100.0, 93.75)","(4.4, 5.6, 5.6692307692307695)","(51.0, 410.0, 362.72727272727275)","(1.65, 2.06, 2.0443636363636366)"
07-01-2023 10:32:55.362972,"(17.0, 29.0, 27.19047619047619)","(26.0, 46.0, 38.470588235294116)","(15.0, 23.0, 22.470588235294116)","(15.0, 21.0, 20.2)","(41.0, 90.0, 78.33333333333333)","(5.0, 6.6, 6.56875)","(31.0, 100.0, 93.75)","(4.4, 5.7, 5.676811594202898)","(51.0, 410.0, 362.72727272727275)","(1.65, 2.06, 2.0443636363636366)"
07-01-2023 10:32:56.725708,"(17.0, 29.0, 27.19047619047619)","(26.0, 46.0, 38.470588235294116)","(15.0, 23.0, 22.470588235294116)","(15.0, 21.0, 20.11111111111111)","(41.0, 90.0, 78.33333333333333)","(5.0, 6.6, 6.554545454545455)","(31.0, 100.0, 95.83333333333334)","(4.4, 5.7, 5.681176470588236)","(51.0, 410.0, 340.66666666666663)","(1.65, 2.06, 2.0437735849056606)"
07-01-2023 10:32:58.081003,"(17.0, 29.0, 27.19047619047619)","(26.0, 46.0, 38.470588235294116)","(15.0, 23.0, 22.526315789473685)","(15.0, 21.0, 20.11111111111111)","(41.0, 90.0, 78.33333333333333)","(5.0, 6.6, 6.554545454545455)","(31.0, 100.0, 95.0)","(4.4, 5.7, 5.474603174603175)","(51.0, 410.0, 340.66666666666663)","(1.65, 2.06, 2.0516)"
07-01-2023 10:32:59.648171,"(17.0, 29.0, 27.272727272727273)","(26.0, 46.0, 41.0)","(15.0, 23.0, 22.526315789473685)","(15.0, 21.0, 20.11111111111111)","(41.0, 90.0, 78.33333333333333)","(5.0, 6.6, 6.567741935483871)","(31.0, 100.0, 95.0)","(4.4, 5.5, 5.503571428571428)","(51.0, 410.0, 340.66666666666663)","(1.65, 2.06, 2.0516)"
07-01-2023 10:33:01.427943,"(17.0, 29.0, 27.53846153846154)","(26.0, 44.0, 41.0)","(15.0, 23.0, 22.526315789473685)","(15.0, 21.0, 20.11111111111111)","(41.0, 90.0, 78.33333333333333)","(5.0, 6.6, 6.567741935483871)","(31.0, 100.0, 95.0)","(4.4, 5.6, 5.503571428571428)","(51.0, 410.0, 340.66666666666663)","(1.65, 2.06, 2.0516)"
07-01-2023 10:33:02.991760,"(17.0, 29.0, 27.53846153846154)","(26.0, 44.0, 41.0)","(15.0, 23.0, 22.526315789473685)","(15.0, 21.0, 20.11111111111111)","(41.0, 90.0, 78.33333333333333)","(5.0, 6.6, 6.567741935483871)","(31.0, 100.0, 95.0)","(4.4, 5.6, 5.4714285714285715)","(51.0, 410.0, 340.66666666666663)","(1.65, 2.06, 2.0516)"
07-01-2023 10:33:04.623202,"(17.0, 29.0, 27.53846153846154)","(26.0, 44.0, 41.0)","(15.0, 23.0, 20.75)","(15.0, 21.0, 20.142857142857142)","(41.0, 90.0, 78.33333333333333)","(5.0, 6.6, 6.616666666666667)","(31.0, 100.0, 95.0)","(4.4, 5.6, 5.4714285714285715)","(51.0, 410.0, 340.66666666666663)","(1.65, 2.06, 2.0575757575757576)"
07-01-2023 10:33:06.160229,"(17.0, 29.0, 27.59259259259259)","(26.0, 44.0, 40.51428571428571)","(15.0, 22.0, 21.714285714285715)","(15.0, 21.0, 20.333333333333332)","(41.0, 90.0, 72.5)","(5.0, 6.8, 6.733333333333333)","(31.0, 100.0, 94.0)","(4.4, 5.6, 5.468965517241379)","(51.0, 410.0, 316.66666666666663)","(1.65, 2.06, 2.06991452991453)"
07-01-2023 10:33:07.755412,"(17.0, 29.0, 27.642857142857142)","(26.0, 46.0, 42.0)","(15.0, 23.0, 21.714285714285715)","(15.0, 21.0, 20.333333333333332)","(41.0, 90.0, 72.5)","(5.0, 6.8, 6.733333333333333)","(31.0, 100.0, 95.0)","(4.4, 5.6, 5.375862068965517)","(51.0, 400.0, 388.0952380952381)","(1.65, 2.08, 2.075483870967742)"
07-01-2023 10:33:09.416452,"(17.0, 29.0, 27.642857142857142)","(26.0, 44.0, 40.62068965517241)","(15.0, 23.0, 21.714285714285715)","(15.0, 21.0, 20.333333333333332)","(41.0, 90.0, 72.5)","(5.0, 6.8, 6.733333333333333)","(31.0, 100.0, 85.625)","(4.4, 5.4, 5.326923076923077)","(51.0, 400.0, 388.0952380952381)","(1.65, 2.08, 2.075483870967742)"
07-01-2023 10:33:10.928596,"(17.0, 29.0, 27.642857142857142)","(26.0, 46.0, 40.62068965517241)","(15.0, 23.0, 21.714285714285715)","(15.0, 21.0, 20.25)","(41.0, 90.0, 72.5)","(5.0, 6.8, 6.733333333333333)","(31.0, 110.0, 83.33333333333333)","(4.4, 5.4, 5.326923076923077)","(51.0, 400.0, 388.0952380952381)","(1.65, 2.08, 2.075483870967742)"
07-01-2023 10:33:12.427449,"(17.0, 29.0, 27.642857142857142)","(26.0, 46.0, 40.62068965517241)","(15.0, 23.0, 22.18181818181818)","(15.0, 21.0, 20.25)","(41.0, 90.0, 72.5)","(5.0, 6.8, 6.870588235294117)","(31.0, 110.0, 83.33333333333333)","(4.4, 5.4, 5.326923076923077)","(51.0, 400.0, 366.6666666666667)","(1.65, 2.08, 2.0708527131782946)"
07-01-2023 10:33:13.798326,"(17.0, 29.0, 27.642857142857142)","(26.0, 46.0, 40.62068965517241)","(15.0, 23.0, 22.18181818181818)","(15.0, 21.0, 20.25)","(41.0, 90.0, 72.5)","(5.0, 7.0, 6.9)","(31.0, 110.0, 83.33333333333333)","(4.4, 5.4, 5.333333333333333)","(51.0, 410.0, 366.6666666666667)","(1.65, 2.08, 2.0708527131782946)"
07-01-2023 10:33:15.312706,"(17.0, 29.0, 27.642857142857142)","(26.0, 46.0, 40.62068965517241)","(15.0, 23.0, 22.25)","(15.0, 21.0, 20.25)","(41.0, 90.0, 72.5)","(5.0, 7.0, 6.957894736842105)","(31.0, 110.0, 87.5)","(4.4, 5.4, 5.335483870967742)","(51.0, 410.0, 366.6666666666667)","(1.65, 2.08, 2.0626470588235293)"
07-01-2023 10:33:16.848758,"(17.0, 29.0, 27.642857142857142)","(26.0, 46.0, 40.62068965517241)","(15.0, 23.0, 22.25)","(15.0, 21.0, 20.25)","(41.0, 90.0, 72.5)","(5.0, 7.2, 7.044444444444444)","(31.0, 100.0, 86.11111111111111)","(4.4, 5.4, 5.335483870967742)","(51.0, 410.0, 358.0)","(1.65, 2.08, 2.0556962025316454)"
07-01-2023 10:33:18.335777,"(17.0, 29.0, 27.642857142857142)","(26.0, 46.0, 40.62068965517241)","(15.0, 23.0, 22.25)","(15.0, 21.0, 20.25)","(41.0, 90.0, 72.5)","(5.0, 7.2, 6.777777777777778)","(31.0, 100.0, 86.11111111111111)","(4.4, 5.4, 5.335483870967742)","(51.0, 410.0, 358.0)","(1.65, 2.06, 2.0662962962962963)"
07-01-2023 10:33:19.745698,"(17.0, 29.0, 27.642857142857142)","(26.0, 46.0, 40.62068965517241)","(15.0, 23.0, 22.25)","(15.0, 21.0, 20.25)","(41.0, 90.0, 72.5)","(5.0, 6.8, 6.870588235294117)","(31.0, 100.0, 86.11111111111111)","(4.4, 5.4, 5.335483870967742)","(51.0, 410.0, 358.0)","(1.65, 2.08, 2.0662962962962963)"
07-01-2023 10:33:21.177192,"(17.0, 29.0, 27.642857142857142)","(26.0, 46.0, 40.62068965517241)","(15.0, 23.0, 22.25)","(15.0, 21.0, 20.25)","(41.0, 90.0, 72.5)","(5.0, 7.0, 6.93)","(31.0, 100.0, 86.11111111111111)","(4.4, 5.4, 5.335483870967742)","(51.0, 410.0, 358.0)","(1.65, 2.08, 2.060327868852459)"
07-01-2023 10:33:22.653851,"(17.0, 29.0, 27.642857142857142)","(26.0, 46.0, 40.62068965517241)","(15.0, 23.0, 22.25)","(15.0, 21.0, 20.25)","(41.0, 90.0, 72.5)","(5.0, 7.0, 6.734615384615385)","(31.0, 100.0, 86.11111111111111)","(4.4, 5.4, 5.325925925925926)","(51.0, 410.0, 358.0)","(1.65, 2.08, 2.060327868852459)"
07-01-2023 10:33:24.230271,"(17.0, 29.0, 27.642857142857142)","(26.0, 46.0, 40.58064516129032)","(15.0, 23.0, 22.25)","(15.0, 21.0, 20.25)","(41.0, 90.0, 72.5)","(5.0, 6.8, 6.725)","(31.0, 100.0, 86.11111111111111)","(4.4, 5.4, 5.325925925925926)","(51.0, 410.0, 358.0)","(1.65, 2.08, 2.060327868852459)"
07-01-2023 10:33:25.740938,"(17.0, 29.0, 27.620689655172413)","(26.0, 46.0, 39.21212121212121)","(15.0, 23.0, 22.05263157894737)","(15.0, 21.0, 20.0625)","(41.0, 90.0, 72.5)","(5.0, 6.8, 6.7186440677966095)","(31.0, 100.0, 86.11111111111111)","(4.4, 5.4, 5.325925925925926)","(51.0, 410.0, 358.0)","(1.65, 2.08, 2.0530337078651684)"
07-01-2023 10:33:27.198740,"(17.0, 29.0, 27.4)","(26.0, 46.0, 39.21212121212121)","(15.0, 23.0, 22.05263157894737)","(15.0, 21.0, 20.347826086956523)","(41.0, 90.0, 72.5)","(5.0, 6.8, 6.7186440677966095)","(31.0, 100.0, 90.38461538461539)","(4.4, 5.4, 5.36)","(51.0, 410.0, 340.66666666666663)","(1.65, 2.08, 2.0525)"
07-01-2023 10:33:28.564133,"(17.0, 29.0, 27.72)","(26.0, 46.0, 40.58064516129032)","(15.0, 23.0, 21.75)","(15.0, 21.0, 20.347826086956523)","(41.0, 90.0, 81.25)","(5.0, 6.8, 6.722222222222222)","(31.0, 100.0, 91.07142857142857)","(4.4, 5.4, 5.38936170212766)","(51.0, 410.0, 345.0)","(1.65, 2.06, 2.0485)"
07-01-2023 10:33:29.979806,"(17.0, 29.0, 27.72)","(26.0, 46.0, 41.2)","(15.0, 23.0, 22.0)","(15.0, 21.0, 20.4)","(41.0, 90.0, 81.76470588235294)","(5.0, 6.8, 6.728205128205128)","(31.0, 100.0, 91.66666666666667)","(4.4, 5.4, 5.459259259259259)","(51.0, 410.0, 340.66666666666663)","(1.65, 2.06, 2.0463636363636364)"
07-01-2023 10:33:31.410330,"(17.0, 29.0, 27.76923076923077)","(26.0, 46.0, 41.2)","(15.0, 23.0, 22.0)","(15.0, 21.0, 20.4)","(41.0, 90.0, 81.76470588235294)","(5.0, 6.8, 6.728205128205128)","(31.0, 100.0, 91.66666666666667)","(4.4, 5.5, 5.475510204081632)","(51.0, 410.0, 340.66666666666663)","(1.65, 2.06, 2.042)"
07-01-2023 10:33:32.795154,"(17.0, 29.0, 27.76923076923077)","(26.0, 46.0, 41.2)","(15.0, 23.0, 22.0)","(15.0, 21.0, 20.4)","(41.0, 90.0, 81.76470588235294)","(5.0, 6.8, 6.728205128205128)","(31.0, 100.0, 91.66666666666667)","(4.4, 5.5, 5.475510204081632)","(51.0, 410.0, 340.66666666666663)","(1.65, 2.06, 2.040851063829787)"
07-01-2023 10:33:34.273254,"(17.0, 29.0, 27.76923076923077)","(26.0, 46.0, 41.2)","(15.0, 23.0, 22.0)","(15.0, 21.0, 20.464285714285715)","(41.0, 90.0, 76.875)","(5.0, 6.8, 6.728205128205128)","(31.0, 100.0, 91.66666666666667)","(4.4, 5.5, 5.475510204081632)","(51.0, 410.0, 340.66666666666663)","(1.65, 2.06, 2.040851063829787)"
07-01-2023 10:33:35.718541,"(17.0, 29.0, 27.76923076923077)","(26.0, 46.0, 41.2)","(15.0, 23.0, 22.0)","(15.0, 21.0, 20.464285714285715)","(41.0, 90.0, 76.875)","(5.0, 6.8, 6.728205128205128)","(31.0, 100.0, 91.66666666666667)","(4.4, 5.5, 5.475510204081632)","(51.0, 410.0, 340.66666666666663)","(1.65, 2.06, 2.040851063829787)"
