,Boomis Buddy,Publicans Purse,Agarn,Just So Fancy,All Dash,Devillain,Summer Star,Divenire,Flick,Boitumelo,Illecebrous,Kallie
12-01-2023 15:27:23.676703,"(2.15, 2.42, 2.330752688172043)","(7.0, 13.0, 12.722222222222221)","(8.0, 11.0, 9.933333333333334)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.8)","(26.0, 38.0, 35.06666666666666)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:25.288933,"(2.15, 2.42, 2.330752688172043)","(7.0, 13.0, 12.722222222222221)","(8.0, 11.0, 9.933333333333334)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.8)","(26.0, 38.0, 35.06666666666666)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:27.014102,"(2.15, 2.42, 2.330752688172043)","(7.0, 13.0, 12.722222222222221)","(8.0, 11.0, 9.933333333333334)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.8)","(26.0, 38.0, 35.06666666666666)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:28.871999,"(2.15, 2.42, 2.330752688172043)","(7.0, 13.0, 12.722222222222221)","(8.0, 11.0, 10.646153846153847)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.8)","(26.0, 38.0, 35.06666666666666)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:30.397333,"(2.15, 2.42, 2.330752688172043)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.8)","(26.0, 38.0, 35.06666666666666)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:31.988404,"(2.15, 2.42, 2.330752688172043)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.8)","(26.0, 38.0, 35.06666666666666)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:33.576619,"(2.15, 2.42, 2.330752688172043)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 120.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.8)","(26.0, 38.0, 35.06666666666666)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:35.184676,"(2.15, 2.42, 2.330752688172043)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.8)","(26.0, 38.0, 35.06666666666666)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:36.739029,"(2.15, 2.42, 2.330752688172043)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.8)","(26.0, 38.0, 35.06666666666666)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:38.325429,"(2.15, 2.42, 2.330752688172043)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.8)","(26.0, 38.0, 35.06666666666666)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:40.027632,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.8)","(26.0, 38.0, 35.06666666666666)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:41.666782,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:43.673984,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:45.615733,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.615384615384617)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:47.217597,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:48.906046,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:50.554336,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:52.278201,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:53.930758,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:55.533619,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:57.090540,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 130.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:58.672609,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:28:00.261329,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.9)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:28:01.824104,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:28:03.377114,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:28:04.999762,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:28:06.602658,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:28:08.201637,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:28:09.713799,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:28:11.319315,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:28:12.887867,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:28:14.561025,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.722222222222221)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:28:16.186631,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.0)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:28:17.753850,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.0)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:28:19.290201,"(2.15, 2.42, 2.325681818181818)","(7.0, 13.0, 12.0)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 22.5)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 29.142857142857142)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:28:20.839777,"(2.15, 2.42, 2.35515625)","(7.0, 13.0, 12.0)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 23.666666666666668)","(51.0, 120.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 29.142857142857142)","(17.0, 38.0, 34.0)","(13.0, 21.0, 20.2)"
12-01-2023 15:28:22.289291,"(2.15, 2.42, 2.35515625)","(7.0, 13.0, 12.0)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 23.666666666666668)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 29.142857142857142)","(17.0, 38.0, 34.0)","(13.0, 21.0, 20.2)"
12-01-2023 15:28:23.688181,"(2.15, 2.42, 2.35515625)","(7.0, 13.0, 12.0)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 23.666666666666668)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 29.142857142857142)","(17.0, 38.0, 34.0)","(13.0, 21.0, 20.2)"
12-01-2023 15:28:25.112993,"(2.15, 2.42, 2.35515625)","(7.0, 13.0, 12.0)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 23.666666666666668)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.25)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 29.142857142857142)","(17.0, 38.0, 34.0)","(13.0, 21.0, 20.2)"
12-01-2023 15:28:26.616905,"(2.15, 2.42, 2.35515625)","(7.0, 13.0, 12.0)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 23.666666666666668)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.615384615384617)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 29.142857142857142)","(17.0, 38.0, 34.0)","(13.0, 21.0, 20.2)"
12-01-2023 15:28:28.044311,"(2.15, 2.42, 2.35515625)","(7.0, 13.0, 12.0)","(8.0, 12.0, 10.646153846153847)","(16.0, 26.0, 23.0)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.615384615384617)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 29.142857142857142)","(17.0, 38.0, 34.0)","(13.0, 21.0, 20.5)"
12-01-2023 15:28:29.564850,"(2.15, 2.42, 2.35515625)","(7.0, 13.0, 12.0)","(8.0, 12.0, 10.646153846153847)","(16.0, 25.0, 23.0)","(51.0, 130.0, 97.5)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 37.0)","(16.0, 21.0, 20.615384615384617)","(26.0, 38.0, 36.30769230769231)","(18.0, 32.0, 29.142857142857142)","(17.0, 38.0, 34.0)","(13.0, 21.0, 20.5)"
