,Vodka Martini,Debs Ellie,Elliez Star,Sunset Soiree,Tres Redoute,Alpha Jane,Evanescent,Russian Pins
07-01-2023 15:50:36.123427,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.2, 5.88)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:37.281104,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.2, 5.88)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:38.346177,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.2, 5.88)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:39.443296,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.2, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:40.698428,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:41.747979,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:42.808105,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:43.949129,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:45.071868,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.9)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:46.198832,"(2.2, 2.44, 2.418181818181818)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:47.372384,"(2.2, 2.44, 2.418181818181818)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:48.424413,"(2.2, 2.44, 2.418181818181818)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:49.449454,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:50.719607,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:51.838592,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:53.173297,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:54.347514,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.2, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:55.461796,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:56.563988,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:57.622266,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:58.672783,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:59.886090,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:00.983235,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:02.119797,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:03.216715,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:04.333884,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:05.480054,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:06.646765,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.69)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:07.848746,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.69)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:09.028596,"(2.2, 2.44, 2.428)","(8.0, 12.0, 11.725)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:10.105871,"(2.2, 2.46, 2.4459999999999997)","(8.0, 12.0, 11.725)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:11.120328,"(2.2, 2.46, 2.4459999999999997)","(8.0, 12.0, 11.725)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 72.66666666666666)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:12.176712,"(2.2, 2.46, 2.4459999999999997)","(8.0, 12.0, 11.725)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 72.66666666666666)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:13.331549,"(2.2, 2.46, 2.4459999999999997)","(8.0, 12.0, 11.725)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 72.66666666666666)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:14.478191,"(2.2, 2.46, 2.4459999999999997)","(8.0, 12.0, 11.725)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 72.66666666666666)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:15.706222,"(2.2, 2.46, 2.4459999999999997)","(8.0, 12.0, 11.725)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 72.66666666666666)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:16.843503,"(2.2, 2.46, 2.4459999999999997)","(8.0, 12.0, 11.725)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:17.893686,"(2.2, 2.46, 2.4459999999999997)","(8.0, 12.0, 11.725)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.92)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:18.944321,"(2.2, 2.46, 2.4345454545454546)","(8.0, 12.0, 11.725)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:20.093952,"(2.2, 2.46, 2.4345454545454546)","(8.0, 12.0, 11.725)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:21.252127,"(2.2, 2.46, 2.4345454545454546)","(8.0, 12.0, 11.022222222222222)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:22.358600,"(2.2, 2.46, 2.4345454545454546)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:23.449890,"(2.2, 2.46, 2.4345454545454546)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:24.659169,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:25.813517,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:26.929265,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:28.195899,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:29.323019,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:30.406674,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:31.453857,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:32.474670,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:33.547257,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:34.672726,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:35.851221,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:36.950470,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:37.966298,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:38.992114,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:40.094818,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:41.210580,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:42.320443,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:43.465912,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:44.539870,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:45.707461,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:46.775554,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:47.846669,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:48.950468,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:49.957007,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:50.933063,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:51.988928,"(2.2, 2.46, 2.4311764705882353)","(8.0, 12.0, 10.646153846153847)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:53.031946,"(2.2, 2.46, 2.4311764705882353)","(8.0, 11.5, 10.744444444444445)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:54.100276,"(2.2, 2.46, 2.4311764705882353)","(8.0, 11.5, 10.744444444444445)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 15.0)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:55.099120,"(2.2, 2.46, 2.4345454545454546)","(8.0, 11.5, 10.744444444444445)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 15.0)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:51:56.092101,"(2.2, 2.46, 2.4345454545454546)","(8.0, 11.5, 10.744444444444445)","(12.0, 19.5, 18.5)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.875)","(11.0, 17.5, 15.0)","(26.0, 90.0, 65.0)","(101.0, 190.0, 150.0)"
