,Emmeline Vance,Bundy Traveller,Dynamite Hope,Clawfoot,Spring Aster,Sneaky Jim,Tuta Delta,Farmor Truth
09-01-2023 11:28:21.160584,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:22.391477,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:23.792047,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:25.155781,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:26.468707,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:27.766913,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:28.896101,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:29.974059,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:31.025390,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:32.172052,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
