,Sirius Lulu,Little Joe,Charlotte Dream,Winlock Lad,Indigo,Pick Up Gus,Baby Magic,Tara Swift
11-01-2023 15:41:57.923508,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 26.0, 22.875)","(9.0, 19.5, 16.442857142857143)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 100.0)"
11-01-2023 15:41:59.203487,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 26.0, 22.875)","(9.0, 19.5, 16.442857142857143)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 100.0)"
11-01-2023 15:42:00.383330,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 26.0, 18.857142857142858)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 116.15384615384616)"
11-01-2023 15:42:01.663463,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 116.15384615384616)"
11-01-2023 15:42:03.081237,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 116.15384615384616)"
11-01-2023 15:42:04.355603,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 116.15384615384616)"
11-01-2023 15:42:05.571619,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 95.88235294117646)"
11-01-2023 15:42:06.814819,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 95.88235294117646)"
11-01-2023 15:42:08.008638,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 95.88235294117646)"
11-01-2023 15:42:09.241776,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 95.88235294117646)"
11-01-2023 15:42:10.439713,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 95.88235294117646)"
11-01-2023 15:42:11.536092,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 95.88235294117646)"
11-01-2023 15:42:12.821455,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 95.88235294117646)"
11-01-2023 15:42:14.012838,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 95.88235294117646)"
11-01-2023 15:42:15.315888,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 95.88235294117646)"
11-01-2023 15:42:16.632535,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 95.88235294117646)"
11-01-2023 15:42:17.930852,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.007142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 63.5)"
11-01-2023 15:42:19.233650,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.007142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 63.5)"
11-01-2023 15:42:20.487837,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.007142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 63.5)"
11-01-2023 15:42:21.607391,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.634722222222222)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:22.759691,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.634722222222222)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:23.970215,"(6.0, 11.0, 9.8)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.634722222222222)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:25.222026,"(6.0, 11.0, 9.8)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.634722222222222)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:26.487854,"(6.0, 11.0, 9.8)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.634722222222222)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:27.794496,"(6.0, 11.0, 9.8)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.634722222222222)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:29.079414,"(6.0, 11.0, 9.8)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.634722222222222)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:30.339229,"(6.0, 11.0, 9.8)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:31.536029,"(6.0, 11.0, 9.8)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:32.707608,"(6.0, 11.0, 9.8)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:33.912283,"(6.0, 11.0, 9.8)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 28.0, 24.375)","(9.0, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:35.180585,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:36.461115,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:37.640071,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:38.972794,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:40.205688,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:41.547190,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:42.763354,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:43.966797,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:45.273346,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:46.523387,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:47.707767,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:48.833730,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:50.068861,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 19.5, 14.15)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:51.336575,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 19.5, 16.425)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 63.5)"
11-01-2023 15:42:52.474826,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 21.0, 16.425)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 63.5)"
11-01-2023 15:42:53.690011,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 21.0, 16.425)","(3.1, 3.65, 3.307142857142857)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 63.5)"
11-01-2023 15:42:54.998952,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 21.0, 16.425)","(3.1, 3.65, 3.473529411764706)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 121.1923076923077)"
11-01-2023 15:42:56.347925,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 21.0, 15.9)","(3.1, 3.65, 3.473529411764706)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:57.567185,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 23.0, 18.228571428571428)","(3.1, 3.65, 3.473529411764706)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:58.670553,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 22.0, 16.88)","(3.1, 3.65, 3.473529411764706)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:42:59.860487,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 22.0, 16.88)","(3.1, 3.65, 3.473529411764706)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:01.131056,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 22.0, 16.88)","(3.1, 3.65, 3.473529411764706)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:02.283170,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 22.0, 16.88)","(3.1, 3.65, 3.473529411764706)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:03.568645,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.473529411764706)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:04.891440,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.473529411764706)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:06.213862,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.473529411764706)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:07.371613,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 24.375)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.4921052631578946)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:08.548503,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 28.0, 22.875)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.4921052631578946)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:09.742978,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 26.0, 22.875)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.4921052631578946)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:10.880256,"(6.5, 11.0, 9.8)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 26.0, 22.875)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.4921052631578946)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:12.127740,"(6.5, 11.0, 9.977777777777778)","(10.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(12.0, 26.0, 22.875)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.4921052631578946)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:13.340443,"(6.5, 11.0, 9.977777777777778)","(10.0, 23.0, 16.3)","(3.8, 5.4, 4.647058823529412)","(12.0, 26.0, 22.875)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.4921052631578946)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:14.880340,"(6.5, 11.0, 9.977777777777778)","(10.0, 23.0, 17.5)","(3.8, 5.4, 4.860869565217392)","(12.0, 26.0, 22.875)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.4921052631578946)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:16.243046,"(6.5, 11.0, 9.977777777777778)","(10.0, 23.0, 17.5)","(3.8, 5.4, 4.860869565217392)","(12.0, 26.0, 22.875)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.35)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:17.499122,"(6.5, 11.0, 9.533333333333333)","(10.0, 23.0, 17.5)","(3.8, 5.4, 4.860869565217392)","(12.0, 26.0, 22.875)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.35)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:18.693062,"(6.5, 11.0, 9.533333333333333)","(10.0, 23.0, 17.5)","(3.8, 5.4, 4.860869565217392)","(12.0, 26.0, 22.875)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.35)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:19.952898,"(6.5, 11.0, 9.533333333333333)","(10.0, 23.0, 17.5)","(3.8, 5.4, 4.860869565217392)","(12.0, 26.0, 22.875)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:21.064768,"(6.5, 11.0, 9.533333333333333)","(10.0, 23.0, 17.5)","(3.8, 5.4, 4.860869565217392)","(12.0, 26.0, 22.875)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:22.213343,"(6.5, 11.0, 9.533333333333333)","(10.0, 25.0, 18.666666666666668)","(3.8, 5.4, 4.345454545454546)","(12.0, 26.0, 23.5)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:23.569602,"(6.5, 11.0, 9.533333333333333)","(10.0, 25.0, 18.666666666666668)","(3.8, 5.4, 4.345454545454546)","(12.0, 26.0, 23.5)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:25.008118,"(6.5, 11.0, 9.533333333333333)","(10.0, 25.0, 18.666666666666668)","(3.8, 5.4, 4.843478260869565)","(12.0, 26.0, 23.5)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:26.436576,"(6.5, 11.0, 9.533333333333333)","(10.0, 25.0, 16.666666666666668)","(3.8, 5.4, 4.366666666666667)","(12.0, 26.0, 23.5)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:28.048458,"(6.5, 11.0, 9.533333333333333)","(10.0, 25.0, 16.666666666666668)","(3.8, 5.4, 4.3090909090909095)","(12.0, 26.0, 23.5)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 65.0)"
11-01-2023 15:43:29.396733,"(6.5, 11.0, 9.533333333333333)","(10.0, 25.0, 16.666666666666668)","(3.8, 5.4, 5.119148936170213)","(12.0, 26.0, 23.5)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 95.88235294117646)"
11-01-2023 15:43:30.858206,"(6.5, 11.0, 9.533333333333333)","(10.0, 25.0, 16.666666666666668)","(3.8, 5.4, 4.987096774193549)","(12.0, 26.0, 23.5)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 95.88235294117646)"
11-01-2023 15:43:32.189530,"(6.5, 11.0, 9.533333333333333)","(10.0, 25.0, 16.666666666666668)","(3.8, 5.4, 4.3090909090909095)","(12.0, 26.0, 23.5)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 95.88235294117646)"
11-01-2023 15:43:33.456870,"(6.5, 11.0, 9.533333333333333)","(10.0, 25.0, 16.666666666666668)","(3.8, 5.4, 4.3090909090909095)","(12.0, 26.0, 23.5)","(8.5, 22.0, 17.8)","(3.1, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 95.88235294117646)"
