,Fantastic Faith,Aston Presley,French Wish,Mo Slater,Orson Ruby
16-12-2022 11:46:16.807340,"(3.9, 5.6, 4.957142857142856)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.26, 2.04125)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 206.0)"
16-12-2022 11:46:17.758341,"(3.9, 5.6, 5.0)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.26, 1.9974999999999998)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 165.0)"
16-12-2022 11:46:18.622135,"(3.9, 5.6, 5.0)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.26, 1.9974999999999998)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 165.0)"
16-12-2022 11:46:19.410207,"(3.9, 5.6, 5.0)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.26, 1.9974999999999998)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 165.0)"
16-12-2022 11:46:20.339205,"(3.9, 5.6, 5.0)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.22, 1.978888888888889)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:21.247207,"(3.9, 5.6, 5.0)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.22, 1.978888888888889)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:22.077934,"(3.9, 5.6, 5.0)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.22, 1.978888888888889)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:22.946927,"(3.9, 5.6, 5.0)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.22, 1.978888888888889)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:23.808535,"(3.9, 5.6, 5.0)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.22, 1.978888888888889)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:24.622760,"(3.9, 5.6, 5.0)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.22, 1.978888888888889)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:25.479119,"(3.9, 5.6, 5.418965517241379)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.22, 1.978888888888889)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:26.410197,"(3.9, 5.6, 5.418965517241379)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.22, 1.978888888888889)","(3.1, 5.2, 4.953846153846154)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:27.252689,"(3.9, 5.6, 5.418965517241379)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.22, 1.978888888888889)","(3.1, 5.2, 4.953846153846154)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:28.089730,"(3.9, 5.6, 4.871428571428571)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.22, 1.978888888888889)","(3.1, 5.2, 4.953846153846154)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:28.939969,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.22, 1.978888888888889)","(3.1, 5.2, 4.9875)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:29.825086,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.22, 1.978888888888889)","(3.1, 5.1, 4.9875)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:30.743172,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.22, 1.978888888888889)","(3.1, 5.1, 4.9875)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:31.589707,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.22, 2.026)","(3.1, 5.2, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:32.415219,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:33.274594,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:34.156831,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:34.971784,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:35.778298,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:36.622989,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:37.420651,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:38.230525,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:39.091846,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:39.944971,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:40.753850,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:41.546483,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:42.401720,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:43.291837,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:44.105863,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:44.916950,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:45.754383,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:46.565005,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:47.371358,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:48.167491,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:49.022464,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:49.872897,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:50.690081,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:51.520857,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:52.388816,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:53.196287,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:53.981732,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:54.788782,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:55.670473,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:56.538947,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:57.389330,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:58.185628,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:58.994300,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:46:59.901195,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:00.765171,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:01.607863,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:02.433651,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:03.282220,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:04.134491,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:04.942825,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:05.899462,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:06.763833,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:07.563137,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:08.394185,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:09.289372,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:10.171083,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:10.952448,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:11.773948,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:12.682192,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:13.577148,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:14.428516,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:15.346282,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:16.677506,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:17.522564,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:18.337400,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:19.177033,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:20.112358,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:21.059452,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:21.894683,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:22.690382,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:23.580934,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:24.458264,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:25.247492,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:26.049466,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:26.985374,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:27.860232,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:28.664781,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:29.491068,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:30.414966,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:31.331308,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:32.113058,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:32.906181,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:33.830024,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:34.770676,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:35.685267,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:36.510702,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:37.337079,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
16-12-2022 11:47:38.211872,"(3.9, 5.6, 5.27)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.2, 2.026)","(3.1, 5.6, 5.359999999999999)","(51.0, 370.0, 100.0)"
