,Baozun,Eyes On Red,Helluva Life,Victory Stripe,Fort Knox,Charing Cross,Concrete Finisher,Frosted Prayer,Moro Warrior,Great Faces,Hoodoo Brown
16-12-2022 12:45:04.719115,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.5, 9.428571428571429)","(2.7, 3.0, 2.9057142857142857)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 6.0)","(10.0, 20.0, 16.2)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 34.42857142857143)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.5)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:45:06.057233,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.5, 9.923076923076923)","(2.7, 2.98, 2.88)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 6.0)","(10.0, 20.0, 16.2)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 32.83333333333333)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.5)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:45:07.342665,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.5, 9.923076923076923)","(2.7, 2.98, 2.88)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 5.466666666666667)","(10.0, 20.0, 12.4)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 32.83333333333333)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.5)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:45:08.586324,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.5, 9.923076923076923)","(2.7, 2.98, 2.88)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 5.466666666666667)","(10.0, 20.0, 12.4)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 32.83333333333333)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.5)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:45:09.844178,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.5, 9.923076923076923)","(2.7, 2.98, 2.857142857142857)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 5.466666666666667)","(10.0, 20.0, 12.533333333333333)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 22.0)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.46)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:45:11.039958,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.5, 9.923076923076923)","(2.7, 2.96, 2.857142857142857)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 6.050000000000001)","(10.0, 20.0, 12.799999999999999)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 22.333333333333336)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.46)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:45:12.333173,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.0, 9.636363636363637)","(2.7, 2.96, 2.88)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 6.1818181818181825)","(10.0, 20.0, 12.799999999999999)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 22.333333333333336)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.2)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:45:13.615043,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.0, 9.636363636363637)","(2.7, 2.96, 2.88)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 6.1818181818181825)","(10.0, 20.0, 12.799999999999999)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 22.333333333333336)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.46)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:45:14.910705,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.0, 9.28)","(2.7, 2.96, 2.88)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 6.1818181818181825)","(10.0, 20.0, 12.799999999999999)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 22.333333333333336)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.6454545454545455)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:45:16.172738,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.0, 9.28)","(2.7, 2.96, 2.88)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 6.1818181818181825)","(10.0, 20.0, 12.799999999999999)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 22.333333333333336)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.6454545454545455)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:45:17.473439,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.0, 9.28)","(2.7, 2.96, 2.858181818181818)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 6.033333333333333)","(10.0, 20.0, 12.799999999999999)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 22.333333333333336)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.4)","(7.0, 18.0, 16.833333333333332)"
