,Bellicose,Dinnys A Suspect,Jimmy Neutron,Skilled Artist,Anthropica,Courtingrock,Kaique,Russian Warrior,Stellar
12-01-2023 17:16:58.473897,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 28.0)","(7.0, 10.5, 10.0125)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5056716417910447)","(91.0, 210.0, 182.5)"
12-01-2023 17:16:59.682482,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 28.0)","(7.0, 10.5, 10.0125)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5056716417910447)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:00.863628,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 28.0)","(7.0, 10.5, 10.0125)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5056716417910447)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:02.048888,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 28.0)","(7.0, 10.5, 10.0125)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5056716417910447)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:03.237017,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.942857142857143)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5062857142857142)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:04.424781,"(11.0, 19.5, 19.342105263157894)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.478571428571428)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5062857142857142)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:05.604399,"(11.0, 19.5, 19.342105263157894)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.478571428571428)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5062857142857142)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:06.705324,"(11.0, 19.5, 19.342105263157894)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.416666666666666)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5062857142857142)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:07.819029,"(11.0, 19.5, 19.342105263157894)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.416666666666666)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5062857142857142)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:08.907277,"(11.0, 19.5, 19.342105263157894)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.416666666666666)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5062857142857142)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:10.027963,"(11.0, 19.5, 19.342105263157894)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.416666666666666)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5062857142857142)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:11.201266,"(11.0, 19.5, 19.342105263157894)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.416666666666666)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5062857142857142)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:12.387981,"(11.0, 19.5, 19.342105263157894)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.416666666666666)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 172.14285714285714)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5081481481481482)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:13.542548,"(11.0, 19.5, 19.342105263157894)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.416666666666666)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 172.14285714285714)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5081481481481482)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:14.699863,"(11.0, 19.5, 19.342105263157894)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.416666666666666)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:15.902668,"(11.0, 19.5, 19.342105263157894)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.416666666666666)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:17.144880,"(11.0, 19.5, 19.342105263157894)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.652173913043478)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:18.395238,"(11.0, 19.5, 19.342105263157894)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.652173913043478)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:19.577334,"(11.0, 19.5, 19.342105263157894)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.652173913043478)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:20.779310,"(11.0, 19.5, 19.342105263157894)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.652173913043478)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 182.5)"
12-01-2023 17:17:21.948802,"(11.0, 19.5, 19.342105263157894)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.74736842105263)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:23.132311,"(11.0, 19.5, 18.875)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.652173913043478)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:24.295380,"(11.0, 19.5, 18.875)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.652173913043478)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:25.507273,"(11.0, 19.5, 18.875)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.652173913043478)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:26.692032,"(11.0, 19.5, 18.875)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.652173913043478)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:27.907855,"(11.0, 19.5, 18.875)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.652173913043478)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:29.035832,"(11.0, 19.5, 18.875)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.652173913043478)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:30.207144,"(11.0, 19.5, 18.875)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.652173913043478)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:31.402121,"(11.0, 19.5, 18.875)","(19.0, 30.0, 28.0)","(7.0, 10.5, 9.942857142857143)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:32.591392,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 28.0)","(7.0, 10.5, 10.09142857142857)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:33.768111,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 28.0)","(7.0, 10.5, 10.09142857142857)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:34.937323,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 28.0)","(7.0, 10.5, 10.09142857142857)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:36.063954,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 28.0)","(7.0, 10.5, 10.09142857142857)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 160.0)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:37.261412,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 28.0)","(7.0, 10.5, 10.09142857142857)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:38.378066,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 26.285714285714285)","(7.0, 10.5, 10.09142857142857)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:39.503406,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 26.285714285714285)","(7.0, 10.5, 10.09142857142857)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.8)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:40.650436,"(11.0, 19.5, 19.333333333333332)","(19.0, 29.0, 27.636363636363637)","(7.0, 10.5, 9.74375)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.8)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:41.788208,"(11.0, 19.5, 19.333333333333332)","(19.0, 29.0, 26.5)","(7.0, 10.5, 9.74375)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.8)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:42.937233,"(11.0, 19.5, 19.333333333333332)","(19.0, 29.0, 26.5)","(7.0, 10.5, 9.74375)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.8)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:44.092900,"(11.0, 19.5, 19.333333333333332)","(19.0, 29.0, 26.5)","(7.0, 10.5, 9.74375)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5034482758620689)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:45.274548,"(11.0, 19.5, 19.333333333333332)","(19.0, 29.0, 26.5)","(7.0, 10.5, 9.776470588235295)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.75)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:46.553103,"(11.0, 19.5, 19.333333333333332)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.333333333333334)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.4991304347826087)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:47.801461,"(11.0, 19.5, 18.875)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.4991304347826087)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:48.988842,"(11.0, 19.5, 18.875)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.4925714285714287)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:50.089281,"(11.0, 19.5, 18.875)","(19.0, 29.0, 26.5)","(7.0, 11.0, 10.388235294117647)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.4925714285714287)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:51.194224,"(11.0, 19.5, 18.875)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5058823529411764)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:52.276695,"(11.0, 19.5, 18.875)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5078481012658227)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:53.431180,"(11.0, 19.5, 18.875)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5078481012658227)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:54.579677,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5078481012658227)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:55.736609,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5078481012658227)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:56.844308,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5078481012658227)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:57.958322,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5078481012658227)","(91.0, 210.0, 160.0)"
12-01-2023 17:17:59.032575,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5078481012658227)","(91.0, 210.0, 160.0)"
12-01-2023 17:18:00.135312,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 27.416666666666664)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5078481012658227)","(91.0, 210.0, 160.0)"
12-01-2023 17:18:01.229867,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 24.5)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 49.333333333333336)","(1.3, 1.52, 1.5074074074074073)","(91.0, 210.0, 160.0)"
12-01-2023 17:18:02.304439,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 24.5)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 49.333333333333336)","(1.3, 1.52, 1.5074074074074073)","(91.0, 210.0, 160.0)"
12-01-2023 17:18:03.376251,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 24.5)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 49.333333333333336)","(1.3, 1.52, 1.5074074074074073)","(91.0, 210.0, 160.0)"
12-01-2023 17:18:04.490621,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 24.5)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 49.333333333333336)","(1.3, 1.52, 1.5074074074074073)","(91.0, 210.0, 160.0)"
12-01-2023 17:18:05.605561,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 24.5)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 49.333333333333336)","(1.3, 1.52, 1.5074074074074073)","(91.0, 210.0, 160.0)"
12-01-2023 17:18:06.777115,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 24.5)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 49.333333333333336)","(1.3, 1.52, 1.4957142857142858)","(91.0, 210.0, 160.0)"
12-01-2023 17:18:07.768364,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 24.5)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 49.333333333333336)","(1.3, 1.52, 1.4957142857142858)","(91.0, 210.0, 160.0)"
12-01-2023 17:18:08.850009,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 24.5)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 49.333333333333336)","(1.3, 1.52, 1.4957142857142858)","(91.0, 210.0, 160.0)"
12-01-2023 17:18:09.986304,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 24.5)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 49.333333333333336)","(1.3, 1.52, 1.4957142857142858)","(91.0, 210.0, 160.0)"
12-01-2023 17:18:11.083739,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 24.5)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 49.333333333333336)","(1.3, 1.52, 1.4957142857142858)","(91.0, 210.0, 160.0)"
12-01-2023 17:18:12.119818,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 24.5)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 49.333333333333336)","(1.3, 1.52, 1.4957142857142858)","(91.0, 210.0, 160.0)"
12-01-2023 17:18:13.147323,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 24.5)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 49.333333333333336)","(1.3, 1.52, 1.4957142857142858)","(91.0, 210.0, 160.0)"
12-01-2023 17:18:14.297551,"(11.0, 19.5, 18.25)","(19.0, 29.0, 26.5)","(7.0, 11.0, 9.866666666666667)","(15.0, 29.0, 24.5)","(7.5, 13.0, 12.625)","(41.0, 190.0, 132.5)","(31.0, 60.0, 49.333333333333336)","(1.3, 1.52, 1.4957142857142858)","(91.0, 210.0, 160.0)"
