,Velocity Touched,Kingsbrae Wilma,Chicago Reign,Cherry Chunker,Betty Kingsbrae,Extreme Measures,Zoe Kate,Bugatti Fierce
15-12-2022 13:46:42.681505,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 31.923076923076923)","(18.0, 60.0, 24.0)","(5.0, 9.2, 8.1)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.576923076923077)"
15-12-2022 13:46:43.829454,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 31.923076923076923)","(18.0, 60.0, 24.0)","(5.0, 9.2, 8.1)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.576923076923077)"
15-12-2022 13:46:44.941824,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 31.923076923076923)","(18.0, 60.0, 24.0)","(5.0, 9.2, 8.1)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.576923076923077)"
15-12-2022 13:46:46.153221,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 31.923076923076923)","(18.0, 60.0, 24.0)","(5.0, 9.2, 8.1)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.576923076923077)"
15-12-2022 13:46:47.365588,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 31.923076923076923)","(18.0, 60.0, 24.0)","(5.0, 9.2, 7.699999999999999)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:46:48.489907,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 31.923076923076923)","(18.0, 60.0, 24.0)","(5.0, 9.2, 7.088888888888889)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:46:49.546519,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 35.266666666666666)","(18.0, 60.0, 24.0)","(5.0, 9.2, 7.088888888888889)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:46:50.670326,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 35.266666666666666)","(18.0, 60.0, 24.0)","(5.0, 9.2, 7.088888888888889)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:46:51.716376,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 35.266666666666666)","(18.0, 60.0, 24.0)","(5.0, 9.2, 7.088888888888889)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:46:52.874693,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 35.266666666666666)","(18.0, 60.0, 24.0)","(5.0, 9.2, 7.088888888888889)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:46:54.089186,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 35.266666666666666)","(18.0, 60.0, 24.0)","(5.0, 9.2, 7.088888888888889)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:46:55.293616,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 35.266666666666666)","(18.0, 60.0, 24.0)","(5.0, 9.2, 7.088888888888889)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:46:56.531501,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 35.266666666666666)","(18.0, 60.0, 24.0)","(5.0, 9.2, 7.4)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:46:57.727150,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2209999999999996)","(18.0, 55.0, 41.54545454545455)","(18.0, 60.0, 24.0)","(5.0, 9.4, 7.666666666666667)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:46:58.947986,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2209999999999996)","(18.0, 55.0, 41.54545454545455)","(18.0, 60.0, 24.0)","(5.0, 9.4, 7.666666666666667)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.227272727272727)"
15-12-2022 13:47:00.185323,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2209999999999996)","(18.0, 55.0, 41.54545454545455)","(18.0, 60.0, 24.0)","(5.0, 9.4, 7.666666666666667)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.227272727272727)"
15-12-2022 13:47:01.242948,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2209999999999996)","(18.0, 55.0, 41.54545454545455)","(18.0, 60.0, 24.0)","(5.0, 9.4, 7.666666666666667)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.227272727272727)"
15-12-2022 13:47:02.357792,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.138125)","(18.0, 55.0, 41.54545454545455)","(18.0, 60.0, 24.0)","(5.0, 9.4, 7.666666666666667)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.227272727272727)"
15-12-2022 13:47:03.363820,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.138125)","(18.0, 55.0, 41.54545454545455)","(18.0, 60.0, 24.0)","(5.0, 9.4, 7.666666666666667)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.227272727272727)"
15-12-2022 13:47:04.455698,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.138125)","(18.0, 55.0, 41.54545454545455)","(18.0, 60.0, 24.0)","(5.0, 9.4, 7.5)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.227272727272727)"
15-12-2022 13:47:05.592191,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.138125)","(18.0, 55.0, 41.54545454545455)","(18.0, 60.0, 24.0)","(5.0, 9.4, 7.5)","(20.0, 65.0, 30.205882352941174)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:06.728776,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.138125)","(18.0, 55.0, 41.54545454545455)","(18.0, 60.0, 22.392857142857142)","(5.0, 9.4, 7.5)","(20.0, 65.0, 30.205882352941174)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:07.965590,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.138125)","(18.0, 55.0, 41.54545454545455)","(18.0, 60.0, 22.392857142857142)","(5.0, 9.4, 7.5)","(20.0, 65.0, 30.205882352941174)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:09.213832,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.14125)","(18.0, 55.0, 41.54545454545455)","(18.0, 60.0, 22.392857142857142)","(5.0, 9.4, 8.23076923076923)","(20.0, 65.0, 30.205882352941174)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:10.423094,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.14125)","(18.0, 55.0, 41.54545454545455)","(18.0, 60.0, 22.392857142857142)","(5.0, 9.4, 8.73913043478261)","(20.0, 65.0, 30.205882352941174)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:11.554729,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.14125)","(18.0, 55.0, 41.54545454545455)","(18.0, 60.0, 22.392857142857142)","(5.0, 9.4, 8.73913043478261)","(20.0, 65.0, 30.205882352941174)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:12.797355,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.087272727272727)","(18.0, 55.0, 41.54545454545455)","(18.0, 60.0, 22.392857142857142)","(5.0, 9.4, 8.555555555555555)","(20.0, 65.0, 30.205882352941174)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:13.951203,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.087272727272727)","(18.0, 55.0, 41.54545454545455)","(18.0, 60.0, 22.392857142857142)","(5.0, 9.4, 8.555555555555555)","(20.0, 65.0, 30.205882352941174)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:15.150384,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.087272727272727)","(18.0, 55.0, 41.54545454545455)","(18.0, 60.0, 22.392857142857142)","(5.0, 9.4, 8.555555555555555)","(20.0, 65.0, 30.205882352941174)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:16.311585,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.087272727272727)","(18.0, 55.0, 40.904761904761905)","(18.0, 60.0, 22.392857142857142)","(5.0, 9.4, 7.755555555555556)","(20.0, 65.0, 30.205882352941174)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:17.479457,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.0926315789473686)","(18.0, 55.0, 41.095238095238095)","(18.0, 60.0, 22.392857142857142)","(5.0, 9.4, 7.755555555555556)","(20.0, 65.0, 30.205882352941174)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:18.758285,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.24, 2.0926315789473686)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 22.392857142857142)","(5.0, 9.4, 7.755555555555556)","(20.0, 65.0, 30.205882352941174)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:19.908578,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.04)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 21.75)","(5.0, 9.4, 8.033333333333333)","(20.0, 65.0, 28.166666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:21.112826,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.04)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 21.75)","(5.0, 9.4, 7.844444444444445)","(20.0, 65.0, 28.166666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:22.343284,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.096842105263158)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 21.75)","(5.0, 9.4, 7.844444444444445)","(20.0, 65.0, 28.166666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:23.565522,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.096842105263158)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 21.75)","(5.0, 9.4, 7.844444444444445)","(20.0, 65.0, 28.166666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:24.726790,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.096842105263158)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 21.75)","(5.0, 9.4, 7.844444444444445)","(20.0, 65.0, 28.166666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:26.003675,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.045714285714286)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 22.615384615384617)","(5.0, 9.4, 7.7)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:27.092391,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.045714285714286)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 22.615384615384617)","(5.0, 9.4, 7.7)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:28.264415,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.1010526315789475)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 22.615384615384617)","(5.0, 9.2, 7.5636363636363635)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:29.501617,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.1010526315789475)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 22.615384615384617)","(5.0, 9.2, 7.5636363636363635)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:30.807154,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.1010526315789475)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 22.615384615384617)","(5.0, 9.2, 7.5636363636363635)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:32.065678,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.1010526315789475)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 22.615384615384617)","(5.0, 9.2, 7.345454545454545)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:33.363116,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.0514285714285716)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 22.615384615384617)","(5.0, 9.2, 7.345454545454545)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:34.665792,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.0514285714285716)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 22.615384615384617)","(5.0, 9.2, 7.3999999999999995)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:35.982451,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.1052631578947367)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 22.615384615384617)","(5.0, 9.2, 7.454545454545454)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:37.286762,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.1052631578947367)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 22.615384615384617)","(5.0, 9.2, 7.914285714285714)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:38.461208,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.0571428571428574)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 22.615384615384617)","(5.0, 9.2, 7.4)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:39.593162,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.0571428571428574)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 22.615384615384617)","(5.0, 9.2, 7.4)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:40.793857,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.1094736842105264)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 22.615384615384617)","(5.0, 10.5, 8.4)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:42.022494,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 18.9)","(1.85, 2.24, 2.0858333333333334)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 24.0)","(5.0, 10.0, 8.4)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:43.361629,"(4.4, 7.4, 5.300000000000001)","(15.0, 36.0, 18.9)","(1.85, 2.1, 2.0858333333333334)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 24.0)","(5.0, 10.0, 9.2)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:44.599511,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.1, 2.0757142857142856)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 24.0)","(5.0, 10.0, 8.892307692307693)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:45.901546,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.1, 2.0757142857142856)","(18.0, 55.0, 41.72727272727273)","(18.0, 60.0, 24.0)","(5.0, 10.0, 8.953846153846154)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:47.137714,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.1, 2.086666666666667)","(18.0, 55.0, 42.47826086956522)","(18.0, 60.0, 24.0)","(5.0, 10.0, 8.953846153846154)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:48.383533,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.1, 2.086666666666667)","(18.0, 55.0, 42.47826086956522)","(18.0, 60.0, 24.0)","(5.0, 10.0, 8.953846153846154)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:49.664294,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.1, 2.0771428571428574)","(18.0, 55.0, 42.47826086956522)","(18.0, 60.0, 24.0)","(5.0, 10.0, 8.3)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:50.879317,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.1, 2.0771428571428574)","(18.0, 55.0, 42.47826086956522)","(18.0, 60.0, 24.0)","(5.0, 10.0, 8.3)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:52.097771,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.1, 2.075)","(18.0, 55.0, 42.47826086956522)","(18.0, 60.0, 24.0)","(5.0, 10.0, 8.577777777777778)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:53.331097,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.1, 2.004)","(18.0, 55.0, 42.47826086956522)","(18.0, 60.0, 24.0)","(5.0, 10.0, 8.933333333333334)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:54.575078,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.04, 2.007857142857143)","(18.0, 55.0, 36.06666666666666)","(18.0, 60.0, 24.0)","(5.0, 10.0, 9.0)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:55.746257,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.04, 2.004)","(18.0, 55.0, 36.06666666666666)","(18.0, 60.0, 24.0)","(5.0, 10.0, 9.0)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:56.946815,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.04, 1.986)","(18.0, 55.0, 36.06666666666666)","(18.0, 60.0, 24.0)","(5.0, 10.0, 9.0)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:58.093180,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.04, 1.986)","(18.0, 55.0, 36.06666666666666)","(18.0, 60.0, 24.0)","(5.0, 10.0, 9.138461538461538)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:47:59.196901,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.04, 2.008)","(18.0, 55.0, 36.06666666666666)","(18.0, 60.0, 24.0)","(5.0, 10.0, 8.871428571428572)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:48:00.361581,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.04, 2.008)","(18.0, 55.0, 36.06666666666666)","(18.0, 60.0, 24.0)","(5.0, 9.8, 8.871428571428572)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:48:01.641169,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.04, 2.008)","(18.0, 55.0, 36.06666666666666)","(18.0, 60.0, 24.0)","(5.0, 9.8, 8.355555555555556)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:48:02.871720,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.04, 1.976)","(18.0, 55.0, 36.06666666666666)","(18.0, 60.0, 24.0)","(5.0, 9.8, 8.355555555555556)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:48:04.057583,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.04, 1.976)","(18.0, 55.0, 36.06666666666666)","(18.0, 60.0, 24.0)","(5.0, 9.8, 8.355555555555556)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:48:05.215682,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.04, 2.008888888888889)","(18.0, 55.0, 36.06666666666666)","(18.0, 60.0, 24.0)","(5.0, 9.8, 8.876923076923077)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:48:06.361197,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.04, 2.008888888888889)","(18.0, 55.0, 36.06666666666666)","(18.0, 60.0, 24.0)","(5.0, 9.8, 8.876923076923077)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
15-12-2022 13:48:07.570488,"(4.4, 7.4, 5.4363636363636365)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.04, 2.008888888888889)","(18.0, 55.0, 36.06666666666666)","(18.0, 60.0, 24.0)","(5.0, 9.8, 8.3)","(20.0, 65.0, 34.666666666666664)","(8.5, 19.5, 17.0)"
