,Our Roys Dream,Point Oh Five,Rainbow Jet,Zoemagic,Balboa Shannon,Sir Macador Nz,Mythos,Brie,Montana Nights
05-01-2023 14:06:22.793685,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.875)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:24.085463,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.4)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:25.411777,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.95)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:26.713580,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.875)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:27.961151,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.875)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:29.361183,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.875)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:30.554116,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.875)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:31.844426,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.875)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:33.144278,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.875)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:34.433885,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.875)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:35.892250,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.875)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:37.362493,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.875)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:38.977303,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.875)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:40.428625,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:42.128965,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:43.522893,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:44.935806,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:46.443371,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:47.951985,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:49.291677,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:50.604257,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:51.928871,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:53.249490,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:54.647423,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:55.906903,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:57.104562,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:58.245429,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.733333333333333)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:59.493188,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:00.790786,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:02.136711,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:03.480528,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.6)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:04.841370,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:06.160341,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:07.388877,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:08.668733,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:09.837367,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:10.970272,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:12.098817,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:13.245306,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:14.429971,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:15.771923,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:17.124310,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:18.462941,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:19.751122,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:21.192411,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:22.544381,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:23.878723,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:25.123055,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:26.348030,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:27.657252,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:28.962238,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:30.279918,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:31.537805,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:32.852199,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:34.190760,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:35.539466,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:36.771063,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:38.080975,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:39.517657,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:40.856002,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 57.375)","(19.0, 99999, 99990)","(13.0, 29.0, 21.0)","(26.0, 70.0, 50.8)","(31.0, 110.0, 62.75)"
05-01-2023 14:07:42.137492,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 74.5625)"
05-01-2023 14:07:43.441084,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 74.5625)"
05-01-2023 14:07:44.740737,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 74.5625)"
05-01-2023 14:07:46.022010,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 74.5625)"
05-01-2023 14:07:47.327051,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 74.5625)"
05-01-2023 14:07:48.536519,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 74.5625)"
05-01-2023 14:07:49.670601,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 74.5625)"
05-01-2023 14:07:50.826246,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 74.5625)"
05-01-2023 14:07:51.989785,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 9.8, 9.746666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 74.5625)"
