,Bello Beau,Bokeo,Cornelian Bay,Happy Clan,Sharmas Last,Alvarinho,Cloudy Nights,Flying To Paris,Jaguar Stone,Just A Needs,Piiink Beauty
14-12-2022 19:49:11.728626,"(1.6, 1.91, 1.88)","(26.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 58.90909090909091)","(8.5, 10.5, 10.15)","(51.0, 210.0, 184.0)","(51.0, 200.0, 98.75)","(19.0, 30.0, 25.2)","(6.5, 7.4, 6.666666666666667)","(19.0, 20.0, 19.94736842105263)","(15.0, 55.0, 37.5)"
14-12-2022 19:49:13.132630,"(1.6, 1.91, 1.865)","(31.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 58.90909090909091)","(9.0, 10.5, 10.0625)","(51.0, 210.0, 184.0)","(51.0, 200.0, 98.75)","(20.0, 30.0, 27.6)","(6.5, 7.2, 6.666666666666667)","(20.0, 20.0, 19.94736842105263)","(16.0, 48.0, 37.5)"
14-12-2022 19:49:14.547514,"(1.6, 1.91, 1.88)","(31.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 58.90909090909091)","(9.0, 10.5, 10.0625)","(51.0, 210.0, 184.0)","(51.0, 200.0, 98.75)","(20.0, 30.0, 27.6)","(6.5, 7.2, 6.666666666666667)","(20.0, 20.0, 19.94736842105263)","(16.0, 48.0, 37.5)"
14-12-2022 19:49:15.914514,"(1.6, 1.91, 1.88)","(31.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 56.666666666666664)","(9.0, 10.5, 10.0625)","(51.0, 210.0, 184.0)","(51.0, 200.0, 98.75)","(20.0, 30.0, 27.6)","(6.5, 7.2, 6.666666666666667)","(20.0, 20.0, 19.94736842105263)","(16.0, 48.0, 37.5)"
14-12-2022 19:49:17.251214,"(1.6, 1.91, 1.88)","(31.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 56.666666666666664)","(9.0, 10.5, 10.15)","(51.0, 210.0, 166.66666666666669)","(51.0, 200.0, 98.75)","(20.0, 30.0, 27.6)","(6.5, 7.2, 6.666666666666667)","(20.0, 20.0, 19.94736842105263)","(16.0, 48.0, 37.5)"
14-12-2022 19:49:18.679611,"(1.6, 1.91, 1.88)","(31.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 56.666666666666664)","(9.0, 10.5, 10.15)","(51.0, 210.0, 166.66666666666669)","(51.0, 200.0, 98.75)","(20.0, 30.0, 27.6)","(6.5, 7.2, 6.666666666666667)","(20.0, 20.0, 19.94736842105263)","(16.0, 48.0, 37.5)"
14-12-2022 19:49:20.232656,"(1.6, 1.94, 1.9033333333333333)","(31.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 56.666666666666664)","(9.0, 10.5, 10.15)","(51.0, 210.0, 166.66666666666669)","(51.0, 200.0, 98.75)","(20.0, 30.0, 27.6)","(6.5, 7.2, 6.666666666666667)","(20.0, 20.0, 19.94736842105263)","(16.0, 48.0, 32.25)"
14-12-2022 19:49:21.664496,"(1.6, 1.93, 1.8966666666666667)","(31.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 56.666666666666664)","(9.0, 10.5, 10.15)","(51.0, 210.0, 166.66666666666669)","(51.0, 200.0, 98.75)","(20.0, 30.0, 27.6)","(6.5, 7.2, 6.666666666666667)","(20.0, 20.0, 19.94736842105263)","(16.0, 48.0, 32.25)"
14-12-2022 19:49:23.236498,"(1.6, 1.93, 1.8966666666666667)","(31.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 56.666666666666664)","(9.0, 10.5, 10.15)","(51.0, 210.0, 166.66666666666669)","(51.0, 200.0, 98.75)","(20.0, 30.0, 25.8)","(6.5, 7.2, 6.666666666666667)","(20.0, 20.0, 19.94736842105263)","(16.0, 48.0, 37.5)"
14-12-2022 19:49:24.753542,"(1.6, 1.93, 1.8966666666666667)","(31.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 56.666666666666664)","(9.0, 10.5, 10.15)","(51.0, 210.0, 166.66666666666669)","(51.0, 200.0, 98.75)","(20.0, 30.0, 25.8)","(6.5, 7.2, 6.666666666666667)","(20.0, 20.0, 20.928571428571427)","(16.0, 48.0, 33.333333333333336)"
14-12-2022 19:49:26.159094,"(1.6, 1.93, 1.8966666666666667)","(31.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 55.0)","(9.0, 10.5, 10.15)","(51.0, 210.0, 128.57142857142856)","(51.0, 200.0, 98.75)","(20.0, 30.0, 25.8)","(6.5, 7.2, 6.666666666666667)","(20.0, 22.0, 20.928571428571427)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:27.495655,"(1.6, 1.93, 1.8966666666666667)","(31.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 55.0)","(9.0, 10.5, 10.15)","(51.0, 250.0, 128.57142857142856)","(51.0, 200.0, 98.75)","(20.0, 30.0, 25.8)","(6.5, 7.2, 6.666666666666667)","(20.0, 22.0, 20.928571428571427)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:28.966283,"(1.6, 1.93, 1.855)","(31.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 55.0)","(9.0, 10.5, 10.15)","(51.0, 240.0, 125.71428571428572)","(51.0, 200.0, 98.75)","(20.0, 30.0, 25.8)","(6.5, 7.2, 6.666666666666667)","(20.0, 22.0, 20.8)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:30.389129,"(1.6, 1.93, 1.855)","(31.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 55.0)","(9.0, 10.5, 10.245454545454546)","(51.0, 240.0, 155.0)","(51.0, 200.0, 98.75)","(20.0, 30.0, 27.0)","(6.5, 7.2, 6.844444444444445)","(20.0, 22.0, 21.333333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:31.777624,"(1.6, 1.91, 1.85)","(31.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 55.0)","(9.0, 10.5, 10.245454545454546)","(51.0, 230.0, 155.0)","(51.0, 200.0, 98.75)","(20.0, 29.0, 28.166666666666668)","(6.5, 7.2, 6.844444444444445)","(20.0, 22.0, 21.333333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:33.180533,"(1.6, 1.91, 1.85)","(31.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 55.0)","(9.0, 10.5, 10.245454545454546)","(51.0, 230.0, 126.66666666666666)","(51.0, 200.0, 98.75)","(20.0, 29.0, 28.166666666666668)","(6.5, 7.2, 6.844444444444445)","(20.0, 22.0, 21.333333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:34.598599,"(1.6, 1.91, 1.85)","(31.0, 42.0, 38.0)","(13.0, 29.0, 27.8)","(51.0, 60.0, 55.0)","(9.0, 10.5, 10.245454545454546)","(51.0, 230.0, 126.66666666666666)","(51.0, 200.0, 98.75)","(20.0, 29.0, 28.166666666666668)","(6.5, 7.2, 6.844444444444445)","(20.0, 22.0, 21.333333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:36.038691,"(1.6, 1.91, 1.85)","(31.0, 42.0, 38.0)","(13.0, 29.0, 27.8)","(51.0, 60.0, 55.0)","(9.0, 10.5, 10.245454545454546)","(51.0, 230.0, 126.66666666666666)","(51.0, 200.0, 98.75)","(20.0, 29.0, 28.166666666666668)","(6.5, 7.2, 6.844444444444445)","(20.0, 22.0, 21.0)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:37.412483,"(1.6, 1.91, 1.85)","(31.0, 42.0, 38.0)","(13.0, 29.0, 27.8)","(51.0, 60.0, 68.75)","(9.0, 10.5, 10.423076923076923)","(51.0, 230.0, 126.66666666666666)","(51.0, 200.0, 142.14285714285714)","(20.0, 29.0, 28.166666666666668)","(6.5, 7.2, 6.655263157894736)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:38.787272,"(1.6, 1.91, 1.85)","(31.0, 44.0, 40.8)","(13.0, 29.0, 27.8)","(51.0, 75.0, 68.75)","(9.0, 10.5, 10.423076923076923)","(51.0, 230.0, 126.66666666666666)","(51.0, 200.0, 142.14285714285714)","(20.0, 29.0, 28.166666666666668)","(6.5, 8.0, 6.655263157894736)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:40.158878,"(1.6, 1.91, 1.85)","(31.0, 44.0, 40.8)","(13.0, 29.0, 27.8)","(51.0, 75.0, 68.75)","(9.0, 10.5, 10.423076923076923)","(51.0, 230.0, 126.66666666666666)","(51.0, 200.0, 142.14285714285714)","(20.0, 29.0, 28.166666666666668)","(6.5, 8.0, 6.655263157894736)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:41.481219,"(1.6, 1.91, 1.85)","(31.0, 44.0, 40.8)","(13.0, 29.0, 27.8)","(51.0, 75.0, 65.0)","(9.0, 10.5, 10.423076923076923)","(51.0, 230.0, 126.66666666666666)","(51.0, 200.0, 142.14285714285714)","(20.0, 29.0, 28.166666666666668)","(6.5, 8.0, 6.655263157894736)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:42.918629,"(1.6, 1.91, 1.8833333333333333)","(31.0, 44.0, 40.8)","(13.0, 29.0, 27.8)","(51.0, 70.0, 65.0)","(9.0, 10.5, 10.423076923076923)","(51.0, 230.0, 126.66666666666666)","(51.0, 200.0, 142.14285714285714)","(20.0, 29.0, 27.0)","(6.5, 8.0, 6.655263157894736)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:44.422972,"(1.6, 1.91, 1.8833333333333333)","(31.0, 44.0, 40.8)","(13.0, 29.0, 27.8)","(51.0, 70.0, 65.0)","(9.0, 10.5, 10.423076923076923)","(51.0, 230.0, 126.66666666666666)","(51.0, 200.0, 142.14285714285714)","(20.0, 29.0, 27.0)","(6.5, 8.0, 6.655263157894736)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:45.795754,"(1.6, 1.91, 1.8833333333333333)","(31.0, 44.0, 40.8)","(13.0, 29.0, 27.8)","(51.0, 70.0, 65.0)","(9.0, 10.5, 10.423076923076923)","(51.0, 230.0, 126.66666666666666)","(51.0, 200.0, 142.14285714285714)","(20.0, 29.0, 27.0)","(6.5, 8.0, 7.32)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:47.194909,"(1.6, 1.91, 1.8833333333333333)","(31.0, 44.0, 40.8)","(13.0, 29.0, 26.25)","(51.0, 70.0, 65.0)","(9.0, 10.5, 10.423076923076923)","(51.0, 230.0, 126.66666666666666)","(51.0, 200.0, 155.0)","(20.0, 29.0, 26.666666666666668)","(6.5, 7.8, 7.32)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:48.544595,"(1.6, 1.91, 1.8833333333333333)","(31.0, 44.0, 33.333333333333336)","(13.0, 29.0, 23.75)","(51.0, 70.0, 65.0)","(9.0, 10.5, 10.423076923076923)","(51.0, 230.0, 126.66666666666666)","(51.0, 200.0, 155.0)","(20.0, 29.0, 26.666666666666668)","(6.5, 7.8, 7.32)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:49.853890,"(1.6, 1.91, 1.8833333333333333)","(31.0, 44.0, 33.333333333333336)","(13.0, 29.0, 23.75)","(51.0, 70.0, 65.0)","(9.0, 10.5, 10.423076923076923)","(51.0, 230.0, 126.66666666666666)","(51.0, 200.0, 155.0)","(20.0, 29.0, 26.666666666666668)","(6.5, 7.8, 7.125)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:51.275157,"(1.6, 1.91, 1.8833333333333333)","(31.0, 44.0, 33.333333333333336)","(13.0, 29.0, 27.5)","(51.0, 70.0, 65.0)","(9.0, 10.5, 10.423076923076923)","(51.0, 230.0, 126.66666666666666)","(51.0, 200.0, 155.0)","(20.0, 29.0, 28.0)","(6.5, 7.8, 7.125)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:52.708486,"(1.6, 1.91, 1.88375)","(31.0, 44.0, 33.333333333333336)","(13.0, 29.0, 27.5)","(51.0, 70.0, 65.0)","(9.0, 10.5, 10.423076923076923)","(51.0, 230.0, 155.0)","(51.0, 200.0, 155.0)","(20.0, 29.0, 28.0)","(6.5, 7.8, 7.371428571428571)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:54.165110,"(1.6, 1.91, 1.88375)","(31.0, 44.0, 41.33333333333333)","(13.0, 29.0, 24.25)","(51.0, 70.0, 65.0)","(9.0, 10.5, 10.423076923076923)","(51.0, 230.0, 155.0)","(51.0, 200.0, 155.0)","(20.0, 29.0, 28.0)","(6.5, 7.6, 7.371428571428571)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:55.549340,"(1.6, 1.87, 1.8566666666666667)","(31.0, 44.0, 42.5)","(13.0, 29.0, 24.25)","(51.0, 70.0, 65.0)","(9.0, 10.5, 10.423076923076923)","(51.0, 230.0, 155.0)","(51.0, 200.0, 155.0)","(20.0, 29.0, 28.0)","(6.5, 7.6, 7.371428571428571)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:57.024631,"(1.6, 1.87, 1.8566666666666667)","(31.0, 44.0, 42.5)","(13.0, 29.0, 26.625)","(51.0, 70.0, 65.0)","(9.0, 10.5, 10.423076923076923)","(51.0, 230.0, 155.0)","(51.0, 200.0, 155.0)","(20.0, 29.0, 28.0)","(6.5, 7.6, 7.2)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:58.454511,"(1.6, 1.87, 1.8566666666666667)","(31.0, 44.0, 42.5)","(13.0, 29.0, 26.625)","(51.0, 70.0, 65.0)","(9.0, 10.5, 10.423076923076923)","(51.0, 230.0, 155.0)","(51.0, 200.0, 155.0)","(20.0, 29.0, 28.0)","(6.5, 7.4, 7.2)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:49:59.889887,"(1.6, 1.87, 1.8566666666666667)","(31.0, 44.0, 42.5)","(13.0, 29.0, 26.625)","(51.0, 70.0, 65.0)","(9.0, 10.5, 10.366666666666667)","(51.0, 230.0, 150.0)","(51.0, 200.0, 155.0)","(20.0, 29.0, 28.0)","(6.5, 7.4, 7.2)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:50:01.275557,"(1.6, 1.87, 1.8566666666666667)","(31.0, 44.0, 40.4)","(13.0, 29.0, 26.625)","(51.0, 75.0, 65.0)","(9.0, 10.5, 10.366666666666667)","(51.0, 220.0, 150.0)","(51.0, 200.0, 155.0)","(20.0, 29.0, 28.0)","(6.5, 7.4, 7.2)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:50:02.751061,"(1.6, 1.87, 1.8566666666666667)","(31.0, 44.0, 42.5)","(13.0, 29.0, 26.625)","(51.0, 75.0, 68.33333333333333)","(9.0, 10.5, 10.366666666666667)","(51.0, 220.0, 150.0)","(51.0, 200.0, 127.5)","(20.0, 29.0, 28.0)","(6.5, 7.4, 7.2)","(20.0, 22.0, 21.833333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:50:04.135337,"(1.6, 1.87, 1.8566666666666667)","(31.0, 44.0, 42.5)","(13.0, 29.0, 26.625)","(51.0, 75.0, 68.33333333333333)","(9.0, 10.5, 10.366666666666667)","(51.0, 220.0, 150.0)","(51.0, 190.0, 141.66666666666669)","(20.0, 29.0, 27.5)","(6.5, 7.4, 7.2)","(20.0, 22.0, 22.535714285714285)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:50:05.533770,"(1.6, 1.87, 1.838)","(31.0, 44.0, 41.33333333333333)","(13.0, 29.0, 26.625)","(51.0, 75.0, 68.33333333333333)","(9.0, 10.5, 10.366666666666667)","(51.0, 220.0, 150.0)","(51.0, 180.0, 141.66666666666669)","(20.0, 29.0, 26.666666666666668)","(6.5, 7.4, 7.2)","(20.0, 23.0, 22.576923076923077)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:50:06.948393,"(1.6, 1.87, 1.838)","(31.0, 44.0, 41.33333333333333)","(13.0, 29.0, 26.625)","(51.0, 75.0, 68.33333333333333)","(9.0, 10.5, 10.366666666666667)","(51.0, 220.0, 150.0)","(51.0, 180.0, 141.66666666666669)","(20.0, 29.0, 26.666666666666668)","(6.5, 7.4, 7.2)","(20.0, 23.0, 22.576923076923077)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:50:08.359816,"(1.6, 1.87, 1.8683333333333334)","(31.0, 44.0, 42.5)","(13.0, 29.0, 26.625)","(51.0, 75.0, 68.33333333333333)","(9.0, 10.5, 10.366666666666667)","(51.0, 220.0, 150.0)","(51.0, 180.0, 116.11111111111111)","(20.0, 29.0, 26.666666666666668)","(6.5, 7.4, 7.2)","(20.0, 23.0, 25.157894736842106)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:50:09.782840,"(1.6, 1.87, 1.8683333333333334)","(31.0, 44.0, 42.5)","(13.0, 29.0, 26.625)","(51.0, 75.0, 68.33333333333333)","(9.0, 10.5, 10.366666666666667)","(51.0, 220.0, 150.0)","(51.0, 180.0, 135.0)","(20.0, 29.0, 26.666666666666668)","(6.5, 7.4, 7.2)","(20.0, 26.0, 25.157894736842106)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:50:11.280779,"(1.6, 1.87, 1.8683333333333334)","(31.0, 46.0, 42.888888888888886)","(13.0, 29.0, 24.25)","(51.0, 75.0, 68.33333333333333)","(9.0, 10.5, 10.366666666666667)","(51.0, 220.0, 150.0)","(51.0, 170.0, 111.66666666666666)","(20.0, 29.0, 26.666666666666668)","(6.5, 7.4, 7.2)","(20.0, 26.0, 23.333333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:50:12.728819,"(1.6, 1.87, 1.8699270072992702)","(31.0, 46.0, 42.888888888888886)","(13.0, 29.0, 23.75)","(51.0, 75.0, 68.33333333333333)","(9.0, 10.5, 10.366666666666667)","(51.0, 220.0, 136.0)","(51.0, 170.0, 143.75)","(20.0, 29.0, 26.666666666666668)","(6.5, 7.4, 7.2)","(20.0, 26.0, 23.333333333333332)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:50:14.284368,"(1.6, 1.87, 1.8659574468085107)","(31.0, 46.0, 42.888888888888886)","(13.0, 29.0, 23.75)","(51.0, 75.0, 68.33333333333333)","(9.0, 10.5, 10.366666666666667)","(51.0, 220.0, 132.0)","(51.0, 170.0, 146.42857142857144)","(20.0, 29.0, 25.0)","(6.5, 7.4, 7.2)","(20.0, 26.0, 24.22222222222222)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:50:15.783270,"(1.6, 1.88, 1.8659574468085107)","(31.0, 46.0, 42.888888888888886)","(13.0, 29.0, 24.25)","(51.0, 75.0, 65.0)","(9.0, 10.5, 10.366666666666667)","(51.0, 210.0, 140.0)","(51.0, 160.0, 146.42857142857144)","(20.0, 28.0, 25.0)","(6.5, 7.4, 7.2)","(20.0, 26.0, 24.22222222222222)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:50:17.355316,"(1.6, 1.88, 1.8659574468085107)","(31.0, 46.0, 42.888888888888886)","(14.0, 29.0, 25.833333333333332)","(51.0, 75.0, 65.0)","(9.0, 10.5, 10.366666666666667)","(51.0, 200.0, 168.0)","(51.0, 160.0, 115.0)","(20.0, 28.0, 25.0)","(6.5, 7.4, 7.2)","(19.0, 26.0, 24.22222222222222)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:50:18.870252,"(1.6, 1.88, 1.8659574468085107)","(31.0, 46.0, 38.0)","(14.0, 29.0, 25.833333333333332)","(51.0, 75.0, 72.05882352941177)","(9.0, 10.5, 10.366666666666667)","(51.0, 190.0, 124.0)","(51.0, 160.0, 110.0)","(20.0, 28.0, 26.0)","(6.5, 7.4, 7.2)","(19.0, 26.0, 24.22222222222222)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:50:20.252401,"(1.6, 1.88, 1.8659574468085107)","(31.0, 46.0, 38.0)","(14.0, 29.0, 25.833333333333332)","(51.0, 75.0, 72.05882352941177)","(9.0, 10.5, 10.366666666666667)","(51.0, 190.0, 146.66666666666669)","(51.0, 150.0, 110.0)","(20.0, 28.0, 26.0)","(6.5, 7.4, 7.2)","(19.0, 26.0, 24.22222222222222)","(16.0, 46.0, 33.333333333333336)"
14-12-2022 19:50:21.643644,"(1.6, 1.88, 1.8659574468085107)","(31.0, 46.0, 38.0)","(14.0, 29.0, 24.25)","(51.0, 75.0, 72.05882352941177)","(9.0, 10.5, 10.366666666666667)","(51.0, 180.0, 146.66666666666669)","(51.0, 150.0, 110.0)","(20.0, 28.0, 26.0)","(6.5, 7.4, 7.2)","(19.0, 26.0, 24.22222222222222)","(16.0, 46.0, 33.333333333333336)"
