,Fat Boy Mantra,Hooked On Prissy,Levis Beach,Bow Six,Greek Malt,Monkey Paw,Loves To Talk
12-01-2023 13:50:45.482204,"(4.0, 12.5, 11.807692307692308)","(4.0, 4.8, 4.155555555555556)","(41.0, 200.0, 120.0)","(21.0, 42.0, 28.285714285714285)","(91.0, 510.0, 330.0)","(1.5, 1.74, 1.73)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:46.590874,"(4.0, 12.5, 11.375)","(4.0, 4.7, 4.155555555555556)","(41.0, 200.0, 120.0)","(21.0, 42.0, 28.285714285714285)","(91.0, 440.0, 330.0)","(1.5, 1.74, 1.73)","(15.0, 32.0, 21.294117647058822)"
12-01-2023 13:50:47.681457,"(4.0, 13.0, 12.09090909090909)","(4.0, 4.7, 4.066666666666666)","(41.0, 200.0, 120.0)","(21.0, 42.0, 28.285714285714285)","(91.0, 440.0, 330.0)","(1.5, 1.74, 1.73)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:50:48.730021,"(4.0, 13.0, 11.363636363636363)","(4.0, 4.6, 4.3999999999999995)","(41.0, 200.0, 120.0)","(21.0, 42.0, 28.285714285714285)","(91.0, 440.0, 330.0)","(1.5, 1.74, 1.73)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:50:49.811715,"(4.0, 13.0, 11.363636363636363)","(4.0, 4.6, 4.3999999999999995)","(41.0, 200.0, 120.0)","(21.0, 42.0, 28.285714285714285)","(91.0, 440.0, 330.0)","(1.5, 1.74, 1.73)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:50:50.918213,"(4.0, 13.0, 11.363636363636363)","(4.0, 4.6, 4.3999999999999995)","(41.0, 200.0, 120.0)","(21.0, 42.0, 28.285714285714285)","(91.0, 440.0, 330.0)","(1.5, 1.74, 1.73)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:50:52.152644,"(4.0, 13.0, 11.363636363636363)","(4.0, 4.6, 4.3999999999999995)","(41.0, 200.0, 120.0)","(21.0, 42.0, 28.285714285714285)","(91.0, 440.0, 330.0)","(1.5, 1.74, 1.73)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:50:53.335633,"(4.0, 13.0, 11.875)","(4.0, 4.6, 4.3999999999999995)","(41.0, 200.0, 120.0)","(21.0, 42.0, 28.285714285714285)","(91.0, 440.0, 330.0)","(1.5, 1.74, 1.73)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:50:54.400263,"(4.0, 13.0, 11.7)","(4.0, 4.6, 4.3999999999999995)","(41.0, 200.0, 120.0)","(21.0, 42.0, 28.285714285714285)","(91.0, 440.0, 330.0)","(1.5, 1.74, 1.73)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:50:55.527265,"(4.0, 13.0, 11.7)","(4.0, 4.6, 4.3999999999999995)","(41.0, 200.0, 120.0)","(21.0, 38.0, 34.0)","(91.0, 440.0, 330.0)","(1.5, 1.74, 1.73)","(15.0, 32.0, 24.086956521739133)"
