,Zabellsareringing,Poppie Socks,Pride Of Dixie,Sharp Pride,Side Cash,Cellar Champ,Driving Ambition,Emmjay,Les Goh,Iron Ruler,Lonhro Lily,Military Manoeuver,Siasha Jewel,Grosses Plain
05-01-2023 13:25:27.521810,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 140.0)","(19.0, 48.0, 42.5)","(31.0, 70.0, 64.33333333333334)","(21.0, 44.0, 39.5)","(12.0, 19.5, 16.833333333333332)","(101.0, 200.0, 153.33333333333334)","(9.0, 10.5, 9.959999999999999)","(6.5, 8.0, 7.945454545454545)","(8.5, 22.0, 17.666666666666668)","(11.0, 18.0, 16.833333333333332)","(4.4, 5.4, 5.185714285714286)","(4.4, 5.6, 5.4)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:29.186396,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 140.0)","(19.0, 48.0, 42.5)","(31.0, 70.0, 65.42857142857143)","(21.0, 44.0, 39.5)","(12.0, 19.5, 16.833333333333332)","(101.0, 200.0, 153.33333333333334)","(9.0, 10.5, 9.959999999999999)","(6.5, 8.0, 7.945454545454545)","(8.5, 22.0, 17.666666666666668)","(11.0, 18.0, 17.166666666666668)","(4.4, 5.4, 5.185714285714286)","(4.4, 5.6, 5.4)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:30.821922,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 140.0)","(19.0, 48.0, 37.5)","(31.0, 70.0, 65.42857142857143)","(21.0, 44.0, 39.5)","(12.0, 19.5, 16.833333333333332)","(101.0, 200.0, 153.33333333333334)","(9.0, 10.5, 9.959999999999999)","(6.5, 8.0, 7.945454545454545)","(8.5, 22.0, 17.666666666666668)","(11.0, 18.5, 17.166666666666668)","(4.4, 5.4, 5.185714285714286)","(4.4, 5.6, 5.4)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:32.437688,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 140.0)","(19.0, 48.0, 42.0)","(31.0, 70.0, 65.42857142857143)","(21.0, 44.0, 39.5)","(12.0, 19.5, 16.833333333333332)","(101.0, 200.0, 153.33333333333334)","(9.0, 10.5, 9.959999999999999)","(6.5, 8.0, 7.945454545454545)","(8.5, 22.0, 17.9375)","(11.0, 18.5, 17.166666666666668)","(4.4, 5.4, 5.185714285714286)","(4.4, 5.6, 5.4)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:34.068738,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 140.0)","(19.0, 48.0, 42.0)","(31.0, 70.0, 65.42857142857143)","(21.0, 44.0, 38.0)","(12.0, 19.5, 16.833333333333332)","(101.0, 200.0, 153.33333333333334)","(9.0, 10.5, 9.959999999999999)","(6.5, 8.0, 7.945454545454545)","(8.5, 22.0, 17.9375)","(11.0, 18.5, 17.166666666666668)","(4.4, 5.4, 5.185714285714286)","(4.4, 5.6, 5.633333333333333)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:35.660993,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 140.0)","(19.0, 48.0, 42.0)","(31.0, 70.0, 58.25)","(21.0, 46.0, 38.0)","(12.0, 19.5, 16.833333333333332)","(101.0, 200.0, 153.33333333333334)","(9.0, 10.5, 9.959999999999999)","(6.5, 8.0, 7.945454545454545)","(8.5, 22.0, 17.9375)","(11.0, 18.5, 17.166666666666668)","(4.4, 5.4, 5.185714285714286)","(4.4, 5.7, 5.633333333333333)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:37.274050,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 140.0)","(19.0, 48.0, 53.875)","(31.0, 65.0, 58.25)","(21.0, 42.0, 34.4)","(12.0, 19.5, 16.833333333333332)","(101.0, 200.0, 153.33333333333334)","(9.0, 10.5, 9.959999999999999)","(6.5, 8.0, 7.945454545454545)","(8.5, 22.0, 17.9375)","(11.0, 18.5, 17.166666666666668)","(4.4, 5.4, 5.185714285714286)","(4.4, 5.7, 5.633333333333333)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:38.884065,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 140.0)","(20.0, 70.0, 58.666666666666664)","(31.0, 65.0, 56.85714285714286)","(21.0, 40.0, 34.4)","(12.0, 19.5, 17.333333333333332)","(101.0, 200.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.945454545454545)","(10.0, 22.0, 17.9375)","(11.0, 18.5, 17.166666666666668)","(4.4, 5.4, 5.185714285714286)","(4.6, 5.7, 5.633333333333333)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:40.453486,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 140.0)","(20.0, 65.0, 58.666666666666664)","(31.0, 60.0, 58.25)","(21.0, 40.0, 34.4)","(12.0, 21.0, 17.75)","(101.0, 200.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.945454545454545)","(10.0, 22.0, 17.9375)","(11.0, 18.5, 17.166666666666668)","(4.4, 5.4, 5.185714285714286)","(4.6, 5.7, 5.933333333333333)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:42.274593,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 140.0)","(20.0, 65.0, 58.666666666666664)","(31.0, 65.0, 58.25)","(21.0, 40.0, 34.4)","(12.0, 20.0, 17.75)","(101.0, 200.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.9)","(10.0, 22.0, 17.9375)","(11.0, 18.5, 17.166666666666668)","(4.4, 5.4, 5.211111111111111)","(4.6, 6.6, 5.933333333333333)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:44.036911,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 65.0, 58.666666666666664)","(31.0, 65.0, 58.25)","(21.0, 40.0, 34.4)","(12.0, 20.0, 17.5)","(101.0, 200.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.9)","(10.0, 22.0, 17.9375)","(11.0, 18.5, 16.833333333333332)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.8, 5.8)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:45.723917,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 65.0, 51.75)","(31.0, 65.0, 58.25)","(21.0, 40.0, 34.4)","(12.0, 19.5, 16.625)","(101.0, 200.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.9)","(10.0, 22.0, 17.9375)","(11.0, 18.0, 17.166666666666668)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.8, 6.733333333333333)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:47.401843,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 60.0, 44.0)","(31.0, 65.0, 48.333333333333336)","(21.0, 40.0, 31.333333333333332)","(12.0, 20.0, 17.75)","(101.0, 200.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.9)","(10.0, 22.0, 18.75)","(11.0, 18.5, 16.166666666666668)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.8, 6.433333333333333)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:49.026392,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 60.0, 44.0)","(31.0, 65.0, 48.333333333333336)","(21.0, 40.0, 31.333333333333332)","(12.0, 20.0, 16.625)","(101.0, 200.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.7)","(10.0, 22.0, 18.454545454545453)","(11.0, 18.5, 17.3)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.4, 6.266666666666667)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:50.739917,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 60.0, 44.0)","(31.0, 65.0, 48.333333333333336)","(21.0, 40.0, 34.8)","(12.0, 20.0, 16.625)","(101.0, 200.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.7)","(10.0, 22.0, 18.454545454545453)","(11.0, 18.5, 17.3)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.4, 6.266666666666667)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:52.401847,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 60.0, 47.285714285714285)","(31.0, 65.0, 65.0)","(21.0, 40.0, 36.285714285714285)","(12.0, 20.0, 16.833333333333332)","(101.0, 200.0, 160.0)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.7)","(10.0, 22.0, 18.454545454545453)","(11.0, 18.5, 17.3)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.6, 5.925)","(71.0, 150.0, 110.0)"
05-01-2023 13:25:54.325071,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 55.0, 47.285714285714285)","(31.0, 90.0, 60.0)","(21.0, 40.0, 43.42857142857143)","(12.0, 19.5, 16.833333333333332)","(101.0, 190.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.7)","(10.0, 22.0, 18.454545454545453)","(11.0, 18.5, 17.3)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.6, 5.933333333333334)","(71.0, 150.0, 110.0)"
05-01-2023 13:25:56.197171,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 55.0, 47.285714285714285)","(31.0, 80.0, 60.0)","(21.0, 50.0, 40.57142857142857)","(12.0, 19.5, 16.833333333333332)","(101.0, 180.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.7)","(10.0, 22.0, 18.454545454545453)","(11.0, 18.5, 17.3)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.4, 5.933333333333334)","(71.0, 150.0, 110.0)"
05-01-2023 13:25:57.989416,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 55.0, 47.285714285714285)","(31.0, 80.0, 60.0)","(21.0, 46.0, 39.5)","(12.0, 19.5, 16.833333333333332)","(101.0, 180.0, 145.0)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.7)","(10.0, 22.0, 18.454545454545453)","(11.0, 18.5, 17.3)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.4, 6.0)","(71.0, 150.0, 131.25)"
05-01-2023 13:25:59.849548,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 55.0, 47.285714285714285)","(31.0, 80.0, 60.0)","(21.0, 42.0, 39.5)","(12.0, 19.5, 16.833333333333332)","(101.0, 180.0, 145.0)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.7)","(10.0, 22.0, 18.454545454545453)","(11.0, 18.5, 17.3)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.4, 6.0)","(71.0, 150.0, 131.25)"
05-01-2023 13:26:01.678730,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 55.0, 47.285714285714285)","(31.0, 80.0, 60.0)","(21.0, 42.0, 39.5)","(12.0, 19.5, 16.833333333333332)","(101.0, 180.0, 145.0)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.9913043478260875)","(10.0, 22.0, 18.454545454545453)","(11.0, 18.5, 17.3)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.4, 5.8)","(71.0, 150.0, 131.25)"
05-01-2023 13:26:03.535163,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 55.0, 47.285714285714285)","(31.0, 80.0, 60.0)","(21.0, 42.0, 39.14285714285714)","(12.0, 19.5, 16.833333333333332)","(101.0, 180.0, 145.0)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.9913043478260875)","(10.0, 22.0, 18.75)","(11.0, 18.5, 17.3)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.4, 5.8)","(71.0, 150.0, 131.25)"
05-01-2023 13:26:05.267495,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 55.0, 47.285714285714285)","(31.0, 80.0, 60.0)","(21.0, 44.0, 39.14285714285714)","(12.0, 19.5, 16.833333333333332)","(101.0, 180.0, 145.0)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.9913043478260875)","(10.0, 22.0, 19.045454545454547)","(11.0, 18.5, 17.3)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.4, 5.8)","(71.0, 150.0, 131.25)"
05-01-2023 13:26:06.984293,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 55.0, 48.25)","(31.0, 80.0, 60.0)","(21.0, 44.0, 39.14285714285714)","(12.0, 19.5, 16.833333333333332)","(101.0, 180.0, 145.0)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.9913043478260875)","(10.0, 22.0, 19.045454545454547)","(11.0, 18.5, 17.3)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.4, 5.8)","(71.0, 150.0, 131.25)"
05-01-2023 13:26:08.789113,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 55.0, 48.25)","(31.0, 80.0, 60.0)","(21.0, 44.0, 39.14285714285714)","(12.0, 19.5, 16.833333333333332)","(101.0, 180.0, 145.0)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.9913043478260875)","(10.0, 22.0, 19.045454545454547)","(11.0, 18.5, 17.3)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.4, 5.8)","(71.0, 150.0, 131.25)"
05-01-2023 13:26:10.662189,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 55.0, 33.83333333333333)","(31.0, 80.0, 60.0)","(21.0, 44.0, 39.14285714285714)","(12.0, 19.5, 16.833333333333332)","(101.0, 180.0, 145.0)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.9913043478260875)","(10.0, 22.0, 19.045454545454547)","(11.0, 18.5, 17.3)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.4, 5.8)","(71.0, 150.0, 131.25)"
05-01-2023 13:26:12.344150,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 36.0, 33.83333333333333)","(31.0, 80.0, 60.0)","(21.0, 44.0, 39.14285714285714)","(12.0, 19.5, 16.833333333333332)","(101.0, 180.0, 145.0)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.9913043478260875)","(10.0, 22.0, 19.045454545454547)","(11.0, 18.5, 17.3)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.4, 5.8)","(71.0, 150.0, 131.25)"
05-01-2023 13:26:14.029778,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 36.0, 33.83333333333333)","(31.0, 80.0, 60.0)","(21.0, 44.0, 39.14285714285714)","(12.0, 19.5, 16.833333333333332)","(101.0, 180.0, 145.0)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.9913043478260875)","(10.0, 22.0, 19.045454545454547)","(11.0, 18.5, 17.3)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.4, 5.8)","(71.0, 150.0, 131.25)"
05-01-2023 13:26:15.929786,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 36.0, 32.0)","(31.0, 75.0, 57.5)","(21.0, 42.0, 37.714285714285715)","(12.0, 19.5, 16.833333333333332)","(101.0, 180.0, 145.0)","(8.5, 10.5, 9.959999999999999)","(6.5, 7.8, 7.583157894736842)","(10.0, 22.0, 19.045454545454547)","(11.0, 18.5, 16.625)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.4, 5.59)","(71.0, 150.0, 131.25)"
05-01-2023 13:26:17.975553,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 36.0, 33.6)","(31.0, 70.0, 54.0)","(21.0, 40.0, 35.666666666666664)","(12.0, 19.5, 16.833333333333332)","(101.0, 180.0, 145.0)","(8.5, 10.5, 10.32)","(6.5, 7.6, 7.583157894736842)","(10.0, 22.0, 17.5)","(11.0, 18.5, 16.625)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.2, 5.375)","(71.0, 150.0, 131.25)"
05-01-2023 13:26:20.004690,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 140.0)","(20.0, 36.0, 34.5)","(31.0, 70.0, 54.2)","(21.0, 40.0, 35.666666666666664)","(12.0, 19.5, 16.666666666666668)","(101.0, 180.0, 145.0)","(8.5, 12.0, 11.014285714285714)","(6.5, 7.6, 7.583157894736842)","(10.0, 22.0, 17.5)","(11.0, 18.5, 15.722222222222221)","(4.4, 5.4, 5.258333333333334)","(4.6, 6.2, 5.711111111111111)","(71.0, 150.0, 131.25)"
05-01-2023 13:26:22.170851,"(8.5, 10.0, 9.6)","(91.0, 220.0, 190.0)","(21.0, 36.0, 34.5)","(31.0, 65.0, 50.75)","(21.0, 38.0, 34.333333333333336)","(12.0, 19.0, 16.666666666666668)","(101.0, 180.0, 145.0)","(9.0, 11.5, 11.122222222222222)","(7.0, 7.6, 7.583157894736842)","(10.0, 22.0, 17.5)","(11.0, 18.0, 16.875)","(4.6, 5.4, 5.258333333333334)","(4.6, 6.2, 5.4)","(71.0, 150.0, 131.25)"
05-01-2023 13:26:23.945215,"(8.5, 10.0, 9.714285714285714)","(91.0, 220.0, 190.0)","(21.0, 36.0, 28.454545454545453)","(31.0, 55.0, 50.75)","(21.0, 38.0, 33.0)","(12.0, 19.0, 17.333333333333332)","(101.0, 180.0, 165.0)","(9.0, 11.5, 11.0)","(7.0, 7.6, 7.5836734693877546)","(10.0, 22.0, 17.5)","(11.0, 18.0, 16.666666666666668)","(4.6, 5.4, 5.2725)","(4.6, 6.2, 5.800000000000001)","(71.0, 150.0, 131.25)"
05-01-2023 13:26:25.685231,"(8.5, 10.0, 9.714285714285714)","(91.0, 220.0, 190.0)","(21.0, 29.0, 27.5)","(31.0, 55.0, 50.75)","(21.0, 36.0, 33.0)","(12.0, 21.0, 17.5)","(101.0, 220.0, 165.0)","(9.0, 11.5, 11.166666666666666)","(7.0, 7.6, 7.5836734693877546)","(10.0, 22.0, 17.5)","(11.0, 18.0, 16.714285714285715)","(4.6, 5.4, 5.2725)","(4.6, 6.2, 5.866666666666667)","(71.0, 150.0, 136.66666666666669)"
05-01-2023 13:26:27.439256,"(8.5, 10.0, 9.714285714285714)","(91.0, 220.0, 190.0)","(21.0, 29.0, 27.5)","(31.0, 55.0, 50.75)","(21.0, 36.0, 33.0)","(12.0, 19.5, 16.833333333333332)","(101.0, 220.0, 165.0)","(9.0, 11.5, 11.2)","(7.0, 7.6, 7.5836734693877546)","(10.0, 22.0, 17.5)","(11.0, 18.0, 18.5)","(4.6, 5.4, 5.2725)","(4.6, 6.2, 5.892307692307693)","(71.0, 150.0, 136.66666666666669)"
