,Tinker Yvonne,Go Gigi Go,Lamont Bale,Atomic Cabang,Autumn Doll,Rebel May Road,Dr Xander,Ricky Bobby Riot
07-12-2022 13:50:48.923117,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 54.6875)","(5.5, 12.0, 10.649999999999999)","(2.05, 2.66, 2.2742857142857145)"
07-12-2022 13:50:50.199497,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 54.6875)","(5.5, 12.0, 10.649999999999999)","(2.05, 2.66, 2.2742857142857145)"
07-12-2022 13:50:51.703768,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 54.6875)","(5.5, 12.0, 10.649999999999999)","(2.05, 2.66, 2.2133333333333334)"
07-12-2022 13:50:53.080742,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 49.5)","(5.5, 12.0, 10.649999999999999)","(2.05, 2.84, 2.2133333333333334)"
07-12-2022 13:50:54.362170,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 49.5)","(5.5, 12.0, 10.649999999999999)","(2.05, 2.84, 2.2133333333333334)"
07-12-2022 13:50:55.747195,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 49.5)","(5.5, 11.5, 10.275)","(2.05, 2.84, 2.2133333333333334)"
07-12-2022 13:50:57.103126,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 49.5)","(5.5, 11.5, 10.275)","(2.05, 2.84, 2.408235294117647)"
07-12-2022 13:50:58.606224,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 54.75)","(5.5, 11.5, 10.275)","(2.05, 2.82, 2.408235294117647)"
07-12-2022 13:50:59.972627,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 54.75)","(5.5, 11.5, 10.275)","(2.05, 2.82, 2.408235294117647)"
07-12-2022 13:51:01.488724,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 54.75)","(5.5, 11.5, 10.275)","(2.05, 2.82, 2.408235294117647)"
07-12-2022 13:51:02.863574,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 54.75)","(5.5, 11.5, 10.275)","(2.05, 2.82, 2.408235294117647)"
07-12-2022 13:51:04.318727,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 54.75)","(5.5, 11.5, 10.275)","(2.05, 2.82, 2.408235294117647)"
07-12-2022 13:51:05.606120,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 54.75)","(5.5, 11.5, 8.921052631578947)","(2.05, 2.82, 2.408235294117647)"
07-12-2022 13:51:06.953103,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 54.75)","(5.5, 11.5, 8.921052631578947)","(2.05, 2.82, 2.408235294117647)"
07-12-2022 13:51:08.203774,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 48.875)","(5.5, 11.5, 8.921052631578947)","(2.05, 2.82, 2.408235294117647)"
07-12-2022 13:51:09.414833,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 54.4375)","(5.5, 11.5, 8.921052631578947)","(2.05, 2.82, 2.408235294117647)"
07-12-2022 13:51:10.685400,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 45.5)","(5.5, 11.5, 8.921052631578947)","(2.05, 2.82, 2.408235294117647)"
07-12-2022 13:51:12.010728,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 45.5)","(5.5, 11.5, 8.921052631578947)","(2.05, 2.82, 2.408235294117647)"
07-12-2022 13:51:13.294076,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 45.5)","(5.5, 11.5, 8.921052631578947)","(2.05, 2.82, 2.408235294117647)"
07-12-2022 13:51:14.478398,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 45.66666666666667)","(5.5, 11.5, 8.921052631578947)","(2.05, 2.82, 2.408235294117647)"
07-12-2022 13:51:15.774266,"(8.5, 16.0, 11.95)","(11.0, 24.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 25.375)","(15.0, 60.0, 45.66666666666667)","(5.5, 11.5, 10.2)","(2.05, 2.82, 2.648888888888889)"
07-12-2022 13:51:17.136673,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 29.0, 25.375)","(15.0, 60.0, 45.66666666666667)","(5.5, 11.0, 10.2)","(2.05, 2.8, 2.648888888888889)"
07-12-2022 13:51:18.390180,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 29.0, 25.375)","(15.0, 60.0, 53.85714285714286)","(5.5, 11.0, 10.2)","(2.05, 2.8, 2.6644444444444444)"
07-12-2022 13:51:19.610835,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 29.0, 25.375)","(15.0, 60.0, 46.0)","(5.5, 11.0, 10.2)","(2.05, 2.82, 2.6644444444444444)"
07-12-2022 13:51:20.863587,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 29.0, 25.375)","(15.0, 60.0, 46.0)","(5.5, 11.0, 10.2)","(2.05, 2.82, 2.6644444444444444)"
07-12-2022 13:51:22.102373,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 29.0, 25.375)","(15.0, 60.0, 46.0)","(5.5, 11.0, 10.2)","(2.05, 2.82, 2.6644444444444444)"
07-12-2022 13:51:23.371733,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 29.0, 25.375)","(15.0, 60.0, 46.0)","(5.5, 11.0, 10.2)","(2.05, 2.82, 2.6644444444444444)"
07-12-2022 13:51:24.628355,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 29.0, 25.375)","(15.0, 60.0, 46.0)","(5.5, 11.0, 10.2)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:26.045752,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 29.0, 25.375)","(15.0, 60.0, 46.0)","(5.5, 11.0, 10.275)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:27.428903,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 29.0, 25.375)","(15.0, 60.0, 46.0)","(5.5, 11.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:28.752661,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 29.0, 25.375)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:30.067726,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 29.0, 25.375)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:31.336657,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 29.0, 25.375)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:32.818423,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 29.0, 25.375)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:34.214752,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 29.0, 22.6)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:35.694257,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:37.131151,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:38.886796,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:40.304138,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:41.703205,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:43.171488,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:44.651525,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:46.092240,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:47.445413,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:48.695277,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:49.938043,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 9.790909090909091)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:51.216562,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 8.66470588235294)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:52.497452,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.8125)","(5.5, 10.5, 8.66470588235294)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:53.830259,"(8.5, 15.5, 11.95)","(11.0, 23.0, 19.333333333333332)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 10.5, 8.66470588235294)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:55.119242,"(8.5, 15.5, 13.825)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 10.5, 8.66470588235294)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:56.438482,"(8.5, 15.5, 13.825)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 21.8)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 10.5, 8.66470588235294)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:57.749514,"(8.5, 15.5, 13.266666666666666)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 21.8)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 10.5, 8.66470588235294)","(2.05, 2.82, 2.365)"
07-12-2022 13:51:59.044963,"(8.5, 15.5, 12.714285714285715)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 21.8)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 10.5, 8.66470588235294)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:00.426123,"(8.5, 15.5, 13.781818181818181)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 21.8)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 10.5, 8.66470588235294)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:01.749122,"(8.5, 15.5, 13.727272727272727)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 21.8)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 10.5, 8.66470588235294)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:03.080983,"(8.5, 15.5, 13.727272727272727)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 21.8)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 10.5, 8.66470588235294)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:04.387021,"(8.5, 15.5, 13.727272727272727)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 21.8)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 10.5, 8.66470588235294)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:05.691899,"(8.5, 15.5, 13.727272727272727)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 21.8)","(4.6, 5.9, 5.323076923076924)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 10.5, 8.66470588235294)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:06.942796,"(8.5, 15.5, 12.45)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 21.8)","(4.6, 5.9, 5.263636363636364)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 10.5, 8.66470588235294)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:08.143803,"(8.5, 15.5, 12.45)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 21.8)","(4.6, 5.9, 5.263636363636364)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 10.5, 8.66470588235294)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:09.384588,"(8.5, 15.5, 12.45)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 21.8)","(4.6, 5.9, 5.263636363636364)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 10.5, 8.66470588235294)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:10.696765,"(8.5, 15.5, 12.45)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 21.8)","(4.6, 5.9, 5.263636363636364)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 10.5, 8.66470588235294)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:11.957484,"(8.5, 15.5, 12.971428571428572)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 21.8)","(4.6, 5.9, 5.475)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 10.5, 8.953846153846154)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:13.318228,"(8.5, 15.5, 12.65)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 21.8)","(4.6, 5.8, 5.475)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 10.0, 10.275)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:14.620899,"(8.5, 15.5, 14.0)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.8, 5.475)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 11.5, 8.1)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:15.857657,"(8.5, 15.5, 14.0)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.8, 5.475)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 12.0, 8.1)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:17.138692,"(8.5, 15.5, 14.0)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.8, 5.475)","(14.0, 28.0, 22.6)","(15.0, 60.0, 46.5)","(5.5, 12.0, 8.1)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:18.435242,"(8.5, 15.5, 14.0)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.8, 5.475)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.285714285714285)","(5.5, 12.0, 8.1)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:19.770901,"(8.5, 15.5, 14.0)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.8, 5.475)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.285714285714285)","(5.5, 12.0, 8.1)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:21.055051,"(8.5, 15.5, 14.0)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.8, 5.475)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.285714285714285)","(5.5, 12.0, 8.1)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:22.332718,"(8.5, 15.5, 14.0)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.8, 5.475)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.285714285714285)","(5.5, 12.0, 8.1)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:23.627115,"(8.5, 15.5, 14.0)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.8, 5.475)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.285714285714285)","(5.5, 12.0, 8.1)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:25.125921,"(8.5, 15.5, 14.0)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.8, 5.475)","(14.0, 28.0, 22.6)","(15.0, 60.0, 54.285714285714285)","(5.5, 12.0, 8.1)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:26.537062,"(8.5, 15.5, 14.0)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.8, 5.475)","(14.0, 28.0, 22.6)","(15.0, 60.0, 55.0)","(5.5, 12.0, 9.0)","(2.05, 2.82, 2.365)"
07-12-2022 13:52:28.060869,"(8.5, 15.5, 14.0)","(11.0, 23.0, 18.285714285714285)","(13.0, 27.0, 19.57142857142857)","(4.6, 5.8, 5.475)","(14.0, 28.0, 22.6)","(15.0, 60.0, 55.0)","(5.5, 12.0, 10.928571428571429)","(2.05, 2.82, 2.365)"
