,Cala Jane,Hittheroadjack Nz,Another Statement,Bombadier Jujon,Rock Bottom Nz,Tommy Lincoln Nz,Make Mine Memphis,Deus Ex Nz,Infatuation Nz,Our Major Day,Northview Hustler Nz
07-01-2023 17:11:27.057835,"(19.0, 24.0, 23.5)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 30.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:28.548164,"(19.0, 24.0, 23.0)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 31.5)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:29.935685,"(19.0, 24.0, 23.0)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 31.5)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:31.362021,"(19.0, 24.0, 23.0)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 31.75)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:32.774748,"(19.0, 24.0, 23.5)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.36363636363637)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:34.155791,"(19.0, 24.0, 23.5)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.36363636363637)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:35.469634,"(19.0, 24.0, 23.5)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.36363636363637)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:36.822036,"(19.0, 24.0, 23.5)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.36363636363637)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:38.179623,"(19.0, 24.0, 23.5)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.36363636363637)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:39.520003,"(19.0, 24.0, 23.5)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.36363636363637)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:40.757875,"(19.0, 24.0, 23.5)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.36363636363637)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:42.142916,"(19.0, 24.0, 23.5)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.36363636363637)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:43.513732,"(19.0, 24.0, 23.5)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.36363636363637)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:44.859536,"(19.0, 24.0, 23.5)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.36363636363637)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:46.170673,"(19.0, 24.0, 23.5)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.36363636363637)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:47.475224,"(19.0, 24.0, 23.5)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.36363636363637)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:48.901717,"(19.0, 24.0, 23.5)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.36363636363637)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:11:50.450911,"(19.0, 24.0, 23.5)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.36363636363637)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:11:51.756598,"(19.0, 24.0, 23.714285714285715)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.36363636363637)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:11:53.106984,"(19.0, 24.0, 23.714285714285715)","(26.0, 99999, 99990)","(18.0, 29.0, 27.4)","(12.0, 15.5, 14.264705882352942)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.5)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:11:54.574679,"(19.0, 24.0, 23.714285714285715)","(26.0, 99999, 99990)","(18.0, 30.0, 27.8125)","(12.0, 15.5, 14.264705882352942)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.5)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:11:55.938463,"(19.0, 24.0, 24.428571428571427)","(26.0, 99999, 99990)","(18.0, 30.0, 26.4)","(12.0, 15.5, 14.264705882352942)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.5)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:11:57.309118,"(19.0, 25.0, 24.636363636363637)","(26.0, 99999, 99990)","(18.0, 30.0, 26.4)","(12.0, 15.5, 14.264705882352942)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.5)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:11:58.572743,"(19.0, 25.0, 24.636363636363637)","(26.0, 99999, 99990)","(18.0, 30.0, 26.4)","(12.0, 15.5, 14.264705882352942)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.5)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:11:59.932667,"(19.0, 25.0, 24.0)","(26.0, 99999, 99990)","(18.0, 30.0, 26.4)","(12.0, 15.5, 14.264705882352942)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.5)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:01.308265,"(19.0, 25.0, 24.0)","(26.0, 99999, 99990)","(18.0, 30.0, 26.4)","(12.0, 15.5, 14.264705882352942)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.5)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:02.647465,"(19.0, 25.0, 24.0)","(26.0, 99999, 99990)","(18.0, 30.0, 26.4)","(12.0, 15.5, 14.264705882352942)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 28.666666666666668)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:03.966742,"(19.0, 25.0, 24.0)","(26.0, 99999, 99990)","(18.0, 30.0, 26.4)","(12.0, 15.5, 14.264705882352942)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 28.666666666666668)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:05.345861,"(19.0, 25.0, 24.0)","(26.0, 99999, 99990)","(18.0, 30.0, 26.4)","(12.0, 15.5, 14.264705882352942)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 28.666666666666668)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:06.730277,"(19.0, 25.0, 24.0)","(26.0, 99999, 99990)","(18.0, 30.0, 25.846153846153847)","(12.0, 15.5, 14.264705882352942)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 28.666666666666668)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:08.042206,"(19.0, 25.0, 24.0)","(26.0, 99999, 99990)","(18.0, 30.0, 25.846153846153847)","(12.0, 15.5, 14.264705882352942)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 28.666666666666668)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:09.352371,"(19.0, 29.0, 24.0)","(26.0, 99999, 99990)","(18.0, 30.0, 25.846153846153847)","(12.0, 15.5, 14.264705882352942)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 28.666666666666668)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:10.775318,"(19.0, 29.0, 24.0)","(26.0, 99999, 99990)","(18.0, 30.0, 25.846153846153847)","(12.0, 15.5, 14.264705882352942)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 28.666666666666668)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:12.189303,"(19.0, 29.0, 24.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 13.884615384615385)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 28.666666666666668)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:13.557818,"(19.0, 29.0, 24.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 13.75)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 28.666666666666668)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:14.939386,"(19.0, 29.0, 24.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 13.615384615384615)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 28.666666666666668)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:16.329422,"(19.0, 29.0, 24.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 13.615384615384615)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 28.666666666666668)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:17.607442,"(19.0, 29.0, 24.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 13.166666666666666)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 27.142857142857142)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:18.862712,"(19.0, 29.0, 24.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 13.166666666666666)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 29.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:20.191650,"(19.0, 29.0, 24.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 13.166666666666666)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:21.528557,"(19.0, 28.0, 26.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 13.166666666666666)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:22.864143,"(19.0, 28.0, 26.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 13.166666666666666)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:24.161730,"(19.0, 28.0, 26.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 13.166666666666666)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:25.440488,"(19.0, 28.0, 26.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 12.777777777777779)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:26.807961,"(19.0, 28.0, 26.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 12.777777777777779)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:28.081949,"(19.0, 28.0, 26.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 12.777777777777779)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:29.359847,"(19.0, 28.0, 26.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 12.0)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:30.610433,"(19.0, 28.0, 26.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 12.833333333333334)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:31.954291,"(19.0, 28.0, 26.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 12.5)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:33.218605,"(19.0, 28.0, 26.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.75)","(12.0, 15.5, 12.5)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:34.548505,"(19.0, 28.0, 26.0)","(26.0, 99999, 99990)","(18.0, 30.0, 24.8)","(12.0, 15.5, 12.083333333333334)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:35.870031,"(19.0, 28.0, 26.0)","(26.0, 99999, 99990)","(18.0, 29.0, 25.57142857142857)","(12.0, 15.0, 12.666666666666666)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(16.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:37.199613,"(19.0, 28.0, 26.0)","(26.0, 99999, 99990)","(18.0, 29.0, 25.57142857142857)","(12.0, 14.5, 12.045454545454545)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(16.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:38.589378,"(19.0, 28.0, 26.0)","(26.0, 99999, 99990)","(18.0, 29.0, 25.57142857142857)","(12.0, 14.5, 12.7)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(16.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:39.941962,"(19.0, 28.0, 26.0)","(26.0, 99999, 99990)","(18.0, 29.0, 25.57142857142857)","(12.0, 14.5, 12.7)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(16.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:41.431230,"(19.0, 28.0, 23.25)","(26.0, 99999, 99990)","(18.0, 29.0, 25.5)","(12.0, 14.5, 12.7)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(16.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
07-01-2023 17:12:42.893560,"(19.0, 27.0, 23.6)","(26.0, 99999, 99990)","(18.0, 28.0, 25.5)","(12.0, 14.5, 12.7)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 32.0, 27.0)","(5.5, 99999, 99990)","(16.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.7, 99999, 99990)"
