,Know Malice,Homebush Allison,Rowdy Esmay,Homebush Sabre,Tane Mahuta,Rockdale Flora,Flashback Fred
20,"[datetime.datetime(2022, 11, 28, 11, 41, 35, 968110), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 35, 968110), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 35, 968110), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 35, 968110), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 35, 968110), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 35, 968110), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 35, 968110), 3.4, 6.4]"
21,"[datetime.datetime(2022, 11, 28, 11, 41, 37, 80467), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 37, 80467), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 37, 80467), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 37, 80467), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 37, 80467), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 37, 80467), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 37, 80467), 3.4, 6.4]"
22,"[datetime.datetime(2022, 11, 28, 11, 41, 38, 207262), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 38, 207262), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 38, 207262), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 38, 207262), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 38, 207262), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 38, 207262), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 38, 207262), 3.4, 6.4]"
23,"[datetime.datetime(2022, 11, 28, 11, 41, 39, 320394), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 39, 320394), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 39, 320394), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 39, 320394), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 39, 320394), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 39, 320394), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 39, 320394), 3.4, 6.4]"
24,"[datetime.datetime(2022, 11, 28, 11, 41, 40, 443789), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 40, 443789), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 40, 443789), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 40, 443789), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 40, 443789), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 40, 443789), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 40, 443789), 3.4, 6.4]"
25,"[datetime.datetime(2022, 11, 28, 11, 41, 41, 554326), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 41, 554326), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 41, 554326), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 41, 554326), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 41, 554326), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 41, 554326), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 41, 554326), 3.4, 6.4]"
26,"[datetime.datetime(2022, 11, 28, 11, 41, 42, 674099), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 42, 674099), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 42, 674099), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 42, 674099), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 42, 674099), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 42, 674099), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 42, 674099), 3.4, 6.4]"
27,"[datetime.datetime(2022, 11, 28, 11, 41, 43, 780234), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 43, 780234), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 43, 780234), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 43, 780234), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 43, 780234), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 43, 780234), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 43, 780234), 3.4, 6.4]"
28,"[datetime.datetime(2022, 11, 28, 11, 41, 44, 898696), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 44, 898696), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 44, 898696), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 44, 898696), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 44, 898696), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 44, 898696), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 44, 898696), 3.4, 6.4]"
29,"[datetime.datetime(2022, 11, 28, 11, 41, 46, 11282), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 46, 11282), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 46, 11282), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 46, 11282), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 46, 11282), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 11, 41, 46, 11282), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 46, 11282), 3.4, 6.4]"
