,Angelique,Bedaub,Excel Dor,Mishani Royale,Miss Joelene,Mixed Spice,Shes A Rogue,Tracys Spirit,Trifling
07-01-2023 13:07:45.612523,"(20.0, 34.0, 32.7)","(11.0, 12.5, 12.381481481481481)","(2.45, 2.88, 2.866315789473684)","(18.0, 22.0, 20.857142857142858)","(17.0, 21.0, 20.366666666666667)","(91.0, 200.0, 170.0)","(3.5, 3.95, 3.967553191489362)","(5.5, 6.8, 6.549152542372881)","(31.0, 40.0, 38.55172413793103)"
07-01-2023 13:07:46.793560,"(20.0, 34.0, 32.7)","(11.0, 13.0, 12.497109826589595)","(2.45, 2.86, 2.8499999999999996)","(18.0, 22.0, 20.857142857142858)","(17.0, 21.0, 20.3125)","(91.0, 200.0, 170.0)","(3.5, 4.0, 3.9776223776223776)","(5.5, 6.6, 6.568627450980392)","(31.0, 40.0, 38.55172413793103)"
07-01-2023 13:07:47.942982,"(20.0, 34.0, 32.7)","(11.0, 13.0, 12.497109826589595)","(2.45, 2.86, 2.853170731707317)","(18.0, 22.0, 20.46153846153846)","(17.0, 21.0, 20.366666666666667)","(91.0, 200.0, 170.0)","(3.5, 4.0, 3.9776223776223776)","(5.5, 6.6, 6.4374269005847955)","(31.0, 40.0, 38.55172413793103)"
07-01-2023 13:07:49.093368,"(20.0, 34.0, 32.7)","(11.0, 13.0, 12.511904761904763)","(2.45, 2.86, 2.852)","(18.0, 22.0, 21.310344827586206)","(17.0, 21.0, 20.26923076923077)","(91.0, 200.0, 170.0)","(3.5, 4.0, 3.984645669291339)","(5.5, 6.6, 6.433333333333334)","(31.0, 40.0, 38.55172413793103)"
07-01-2023 13:07:50.244991,"(20.0, 34.0, 32.7)","(11.0, 13.0, 12.511904761904763)","(2.45, 2.86, 2.852)","(18.0, 22.0, 21.310344827586206)","(17.0, 21.0, 20.26923076923077)","(91.0, 200.0, 170.0)","(3.5, 4.0, 3.9870535714285715)","(5.5, 6.6, 6.433333333333334)","(31.0, 40.0, 38.55172413793103)"
07-01-2023 13:07:51.390566,"(20.0, 34.0, 32.7)","(11.0, 13.0, 12.523255813953488)","(2.45, 2.86, 2.853170731707317)","(18.0, 22.0, 21.375)","(17.0, 21.0, 20.26923076923077)","(91.0, 200.0, 170.0)","(3.5, 4.0, 3.9921875)","(5.5, 6.6, 6.433333333333334)","(31.0, 40.0, 38.55172413793103)"
07-01-2023 13:07:52.538858,"(20.0, 34.0, 32.41860465116279)","(11.0, 13.0, 12.527777777777779)","(2.45, 2.86, 2.852222222222222)","(18.0, 22.0, 21.18918918918919)","(17.0, 21.0, 20.214285714285715)","(91.0, 200.0, 170.0)","(3.5, 4.0, 3.9921875)","(5.5, 6.6, 6.441666666666666)","(31.0, 40.0, 38.55172413793103)"
07-01-2023 13:07:53.751311,"(20.0, 34.0, 32.41860465116279)","(11.0, 13.0, 12.5)","(2.45, 2.86, 2.828732394366197)","(18.0, 22.0, 21.23076923076923)","(17.0, 21.0, 20.214285714285715)","(91.0, 200.0, 170.0)","(3.5, 4.0, 3.8130152671755724)","(5.5, 6.6, 6.441666666666666)","(31.0, 40.0, 38.55172413793103)"
07-01-2023 13:07:54.925763,"(20.0, 34.0, 32.41860465116279)","(11.0, 13.0, 12.5)","(2.45, 2.84, 2.828732394366197)","(18.0, 22.0, 21.23076923076923)","(17.0, 21.0, 20.26923076923077)","(91.0, 200.0, 170.0)","(3.5, 3.85, 3.787717121588089)","(5.5, 6.6, 6.504712041884817)","(31.0, 40.0, 39.0)"
07-01-2023 13:07:56.121098,"(20.0, 34.0, 32.55555555555556)","(11.0, 13.0, 12.776699029126213)","(2.45, 2.86, 2.8449999999999998)","(18.0, 23.0, 22.333333333333332)","(17.0, 21.0, 20.571428571428573)","(91.0, 200.0, 150.0)","(3.5, 3.8, 3.786104513064133)","(5.5, 6.6, 6.504712041884817)","(31.0, 40.0, 39.0)"
07-01-2023 13:07:57.319023,"(20.0, 34.0, 32.55555555555556)","(11.0, 13.0, 12.840659340659341)","(2.45, 2.9, 2.8808130081300813)","(18.0, 23.0, 22.384615384615383)","(17.0, 21.0, 20.571428571428573)","(91.0, 190.0, 138.57142857142858)","(3.5, 3.8, 3.7870238095238093)","(5.5, 6.6, 6.501086956521739)","(31.0, 40.0, 38.46153846153846)"
07-01-2023 13:07:58.516162,"(20.0, 34.0, 32.45454545454545)","(10.0, 13.0, 12.840659340659341)","(2.45, 2.9, 2.8904065040650404)","(18.0, 23.0, 22.384615384615383)","(17.0, 21.0, 20.571428571428573)","(91.0, 190.0, 138.57142857142858)","(3.5, 3.8, 3.7870238095238093)","(5.5, 6.6, 6.501086956521739)","(31.0, 40.0, 39.09090909090909)"
07-01-2023 13:07:59.681829,"(20.0, 34.0, 32.45454545454545)","(10.0, 13.0, 12.80921052631579)","(2.45, 2.9, 2.936896551724138)","(18.0, 23.0, 22.3125)","(17.0, 21.0, 20.571428571428573)","(91.0, 190.0, 138.57142857142858)","(3.5, 3.8, 3.732911392405063)","(5.5, 6.6, 6.493467336683417)","(31.0, 40.0, 39.09090909090909)"
07-01-2023 13:08:00.937426,"(20.0, 34.0, 32.45454545454545)","(10.0, 13.0, 12.779761904761905)","(2.45, 2.94, 2.9432727272727273)","(18.0, 23.0, 22.153846153846153)","(17.0, 21.0, 20.4)","(91.0, 190.0, 138.57142857142858)","(3.5, 3.75, 3.723446327683616)","(5.5, 6.6, 6.485714285714286)","(31.0, 40.0, 38.6)"
07-01-2023 13:08:02.170407,"(20.0, 34.0, 32.55555555555556)","(10.0, 13.0, 12.779761904761905)","(2.45, 2.96, 2.961754385964912)","(18.0, 23.0, 21.136363636363637)","(17.0, 21.0, 20.27777777777778)","(91.0, 190.0, 138.57142857142858)","(3.5, 3.75, 3.6982558139534887)","(5.5, 6.6, 6.537974683544304)","(31.0, 40.0, 36.5)"
07-01-2023 13:08:03.413064,"(20.0, 32.0, 31.73913043478261)","(10.0, 13.0, 12.75)","(2.45, 3.0, 2.961754385964912)","(18.0, 22.0, 20.78048780487805)","(17.0, 21.0, 20.27777777777778)","(91.0, 190.0, 138.57142857142858)","(3.5, 3.7, 3.7103053435114504)","(5.5, 6.6, 6.52906976744186)","(31.0, 38.0, 36.5)"
07-01-2023 13:08:04.643803,"(20.0, 32.0, 31.314285714285713)","(10.0, 13.0, 12.824626865671641)","(2.45, 3.0, 2.98375)","(18.0, 22.0, 20.696969696969695)","(17.0, 21.0, 19.574626865671643)","(91.0, 190.0, 162.72727272727272)","(3.5, 3.75, 3.675874125874126)","(5.5, 6.6, 6.623958333333333)","(31.0, 38.0, 38.6)"
07-01-2023 13:08:05.866917,"(20.0, 34.0, 32.61538461538461)","(10.0, 13.0, 12.824626865671641)","(2.45, 3.0, 2.98375)","(18.0, 22.0, 20.68)","(17.0, 20.0, 19.574626865671643)","(91.0, 190.0, 162.72727272727272)","(3.5, 3.7, 3.675)","(5.5, 6.8, 6.637499999999999)","(31.0, 40.0, 38.46153846153846)"
07-01-2023 13:08:07.048272,"(20.0, 34.0, 32.61538461538461)","(10.0, 13.0, 12.824626865671641)","(2.45, 3.0, 3.03563829787234)","(18.0, 21.0, 20.25)","(17.0, 20.0, 19.574626865671643)","(91.0, 190.0, 165.0)","(3.5, 3.7, 3.6735668789808917)","(5.5, 6.8, 6.658646616541353)","(31.0, 40.0, 37.5)"
07-01-2023 13:08:08.228572,"(20.0, 34.0, 32.61538461538461)","(10.0, 13.0, 12.817518248175183)","(2.45, 3.05, 3.0)","(18.0, 21.0, 20.333333333333332)","(17.0, 20.0, 19.25609756097561)","(91.0, 190.0, 165.0)","(3.5, 3.7, 3.673152709359606)","(5.5, 6.8, 6.714285714285714)","(31.0, 40.0, 37.5)"
07-01-2023 13:08:09.409770,"(20.0, 34.0, 32.58536585365854)","(10.0, 13.0, 12.824626865671641)","(2.45, 3.0, 2.975)","(18.0, 21.0, 20.333333333333332)","(17.0, 19.5, 19.25)","(91.0, 190.0, 165.0)","(3.5, 3.7, 3.7142384105960264)","(5.5, 6.8, 6.718309859154929)","(31.0, 40.0, 37.5)"
07-01-2023 13:08:10.607549,"(20.0, 34.0, 32.58536585365854)","(10.0, 13.0, 12.803827751196172)","(2.45, 2.98, 2.975)","(18.0, 21.0, 20.333333333333332)","(17.0, 19.5, 19.25)","(91.0, 190.0, 165.0)","(3.5, 3.75, 3.707716049382716)","(5.5, 6.8, 6.712121212121212)","(31.0, 40.0, 37.5)"
07-01-2023 13:08:12.180333,"(20.0, 34.0, 32.58536585365854)","(10.0, 13.0, 12.803827751196172)","(2.45, 2.96, 2.974285714285714)","(18.0, 21.0, 20.333333333333332)","(17.0, 19.5, 18.1)","(91.0, 190.0, 165.0)","(3.5, 3.75, 3.7634146341463413)","(5.5, 6.8, 6.751470588235294)","(31.0, 40.0, 37.5)"
07-01-2023 13:08:13.610715,"(20.0, 34.0, 33.09090909090909)","(10.0, 13.0, 12.819095477386934)","(2.45, 2.98, 2.9365)","(18.0, 21.0, 20.333333333333332)","(17.0, 18.5, 18.1)","(91.0, 190.0, 165.0)","(3.5, 3.8, 3.7753638253638253)","(5.5, 6.8, 6.720863309352517)","(31.0, 40.0, 38.0)"
07-01-2023 13:08:15.026184,"(20.0, 34.0, 33.23076923076923)","(10.0, 13.0, 12.819095477386934)","(2.45, 2.94, 2.933333333333333)","(18.0, 21.0, 20.19047619047619)","(17.0, 18.5, 18.20967741935484)","(91.0, 190.0, 165.0)","(3.5, 3.85, 3.803351206434316)","(5.5, 6.8, 6.718309859154929)","(31.0, 40.0, 38.0)"
07-01-2023 13:08:16.425648,"(20.0, 34.0, 32.58536585365854)","(10.0, 13.0, 12.803827751196172)","(2.45, 2.94, 2.9711764705882353)","(18.0, 21.0, 19.887096774193548)","(17.0, 18.5, 17.90909090909091)","(91.0, 190.0, 165.0)","(3.5, 3.85, 3.8122377622377623)","(5.5, 6.8, 6.706818181818181)","(31.0, 40.0, 38.0)"
07-01-2023 13:08:17.730766,"(20.0, 34.0, 32.96)","(10.0, 13.0, 12.799528301886792)","(2.45, 2.98, 2.9878947368421054)","(18.0, 21.0, 19.804347826086957)","(17.0, 18.0, 17.625)","(91.0, 190.0, 165.0)","(3.5, 3.85, 3.811986301369863)","(5.5, 6.8, 6.661194029850746)","(31.0, 40.0, 37.333333333333336)"
07-01-2023 13:08:18.944000,"(20.0, 32.0, 31.2972972972973)","(10.0, 13.0, 12.799528301886792)","(2.45, 3.0, 2.9846666666666666)","(18.0, 20.0, 19.804347826086957)","(17.0, 18.0, 17.625)","(91.0, 190.0, 155.71428571428572)","(3.5, 3.85, 3.834375)","(5.5, 6.8, 6.67875)","(31.0, 40.0, 37.6)"
07-01-2023 13:08:20.062412,"(20.0, 32.0, 31.2972972972973)","(10.0, 13.0, 12.799528301886792)","(2.45, 3.0, 2.9846666666666666)","(18.0, 20.0, 19.804347826086957)","(17.0, 18.0, 17.625)","(91.0, 190.0, 155.71428571428572)","(3.5, 3.85, 3.8930555555555557)","(5.5, 6.8, 6.687209302325581)","(31.0, 40.0, 37.53846153846154)"
07-01-2023 13:08:21.243383,"(20.0, 34.0, 31.68)","(10.0, 13.0, 12.803827751196172)","(2.45, 3.0, 2.974945054945055)","(18.0, 20.0, 19.435897435897434)","(17.0, 18.0, 17.625)","(91.0, 190.0, 155.71428571428572)","(3.5, 3.9, 3.8933566433566433)","(5.5, 6.8, 6.692571428571428)","(31.0, 38.0, 37.1764705882353)"
07-01-2023 13:08:22.364505,"(20.0, 34.0, 32.18181818181818)","(10.0, 13.0, 12.803827751196172)","(2.45, 3.0, 2.9776470588235293)","(18.0, 19.5, 19.90625)","(17.0, 18.0, 17.346153846153847)","(91.0, 190.0, 155.71428571428572)","(3.5, 3.9, 3.9225321888412017)","(5.5, 6.8, 6.694186046511628)","(31.0, 38.0, 36.833333333333336)"
07-01-2023 13:08:23.559652,"(20.0, 34.0, 32.25)","(10.0, 13.0, 12.803827751196172)","(2.45, 3.0, 2.9672340425531916)","(18.0, 21.0, 19.88235294117647)","(17.0, 17.5, 17.64814814814815)","(91.0, 190.0, 155.71428571428572)","(3.5, 3.95, 3.910655737704918)","(5.5, 6.8, 6.686046511627906)","(31.0, 38.0, 36.76923076923077)"
07-01-2023 13:08:24.823154,"(20.0, 34.0, 32.082191780821915)","(10.0, 13.0, 12.776018099547512)","(2.45, 2.98, 2.9605714285714284)","(18.0, 21.0, 19.88235294117647)","(17.0, 18.5, 17.185185185185187)","(91.0, 190.0, 155.71428571428572)","(3.5, 3.95, 3.9281350482315114)","(5.5, 6.8, 6.6795031055900616)","(31.0, 38.0, 36.76923076923077)"
07-01-2023 13:08:26.017950,"(20.0, 34.0, 32.082191780821915)","(10.0, 13.0, 12.745967741935484)","(2.45, 2.98, 2.924166666666667)","(18.0, 21.0, 20.09090909090909)","(17.0, 18.0, 17.208333333333332)","(91.0, 190.0, 155.71428571428572)","(3.5, 3.95, 3.928571428571429)","(5.5, 6.8, 6.67875)","(31.0, 38.0, 37.0)"
07-01-2023 13:08:27.260692,"(20.0, 34.0, 32.93333333333333)","(10.0, 13.0, 12.74698795180723)","(2.45, 2.94, 2.9105263157894736)","(18.0, 21.0, 20.0)","(17.0, 18.0, 17.208333333333332)","(91.0, 190.0, 155.71428571428572)","(3.5, 3.95, 3.928571428571429)","(5.5, 6.8, 6.67875)","(31.0, 38.0, 36.61538461538461)"
07-01-2023 13:08:28.456592,"(20.0, 34.0, 32.93333333333333)","(10.0, 13.0, 12.74698795180723)","(2.45, 2.94, 2.9149180327868853)","(18.0, 21.0, 19.551724137931036)","(17.0, 18.0, 17.17241379310345)","(91.0, 190.0, 138.57142857142858)","(3.5, 3.95, 3.913846153846154)","(5.5, 6.8, 6.654545454545454)","(31.0, 38.0, 36.61538461538461)"
07-01-2023 13:08:29.653241,"(20.0, 34.0, 32.98412698412699)","(10.0, 13.0, 12.744813278008298)","(2.45, 2.92, 2.913103448275862)","(18.0, 21.0, 19.657894736842106)","(17.0, 18.0, 17.151515151515152)","(91.0, 190.0, 138.57142857142858)","(3.5, 3.95, 3.9177215189873418)","(5.5, 6.8, 6.665185185185185)","(31.0, 38.0, 36.61538461538461)"
07-01-2023 13:08:30.919322,"(20.0, 34.0, 32.22784810126582)","(10.0, 13.0, 12.73076923076923)","(2.45, 2.92, 2.9127272727272726)","(18.0, 21.0, 19.657894736842106)","(17.0, 18.0, 17.151515151515152)","(91.0, 190.0, 138.57142857142858)","(3.5, 3.95, 3.9159722222222224)","(5.5, 6.8, 6.678873239436619)","(31.0, 38.0, 36.61538461538461)"
07-01-2023 13:08:32.138895,"(20.0, 34.0, 32.29268292682927)","(10.0, 13.0, 12.73076923076923)","(2.45, 2.92, 2.912156862745098)","(18.0, 21.0, 19.657894736842106)","(17.0, 18.0, 17.22222222222222)","(91.0, 190.0, 138.57142857142858)","(3.5, 3.95, 3.9372037914691944)","(5.5, 6.8, 6.765217391304348)","(31.0, 38.0, 36.61538461538461)"
07-01-2023 13:08:33.427468,"(20.0, 34.0, 32.29268292682927)","(10.0, 13.0, 12.759927797833935)","(2.45, 2.92, 2.8976363636363636)","(18.0, 21.0, 19.657894736842106)","(17.0, 18.0, 18.275)","(91.0, 190.0, 138.57142857142858)","(3.5, 3.95, 3.90875)","(5.5, 6.8, 6.752)","(31.0, 38.0, 36.42424242424242)"
07-01-2023 13:08:34.696605,"(20.0, 34.0, 32.29268292682927)","(10.0, 13.0, 12.759927797833935)","(2.45, 2.9, 2.844)","(18.0, 21.0, 19.657894736842106)","(17.0, 18.5, 19.375)","(91.0, 190.0, 138.57142857142858)","(3.5, 3.95, 3.913333333333333)","(5.5, 6.8, 6.83)","(31.0, 38.0, 36.22222222222222)"
07-01-2023 13:08:36.037200,"(20.0, 34.0, 32.35294117647059)","(10.0, 13.0, 12.769896193771626)","(2.45, 2.86, 2.844)","(17.0, 21.0, 19.891304347826086)","(17.0, 20.0, 19.272727272727273)","(91.0, 190.0, 138.57142857142858)","(3.5, 3.95, 3.908333333333333)","(5.5, 7.0, 6.827972027972028)","(31.0, 38.0, 36.22222222222222)"
07-01-2023 13:08:37.446891,"(20.0, 34.0, 32.35294117647059)","(10.0, 13.0, 12.778571428571428)","(2.45, 2.86, 2.8322448979591837)","(17.0, 21.0, 19.556603773584907)","(17.0, 20.0, 19.333333333333332)","(91.0, 190.0, 143.33333333333334)","(3.5, 3.95, 3.908609271523179)","(5.5, 7.0, 6.840277777777778)","(31.0, 38.0, 35.333333333333336)"
07-01-2023 13:08:38.670019,"(20.0, 34.0, 32.39080459770115)","(10.0, 13.0, 12.778571428571428)","(2.45, 2.84, 2.835)","(17.0, 21.0, 19.68103448275862)","(17.0, 20.0, 19.333333333333332)","(91.0, 190.0, 165.0)","(3.5, 4.0, 3.913793103448276)","(5.5, 7.0, 6.844117647058823)","(31.0, 38.0, 35.0)"
07-01-2023 13:08:39.847731,"(20.0, 34.0, 32.39080459770115)","(10.0, 13.5, 13.113636363636363)","(2.45, 2.82, 2.793333333333333)","(17.0, 21.0, 19.8)","(17.0, 20.0, 19.2)","(91.0, 180.0, 165.0)","(3.5, 4.0, 3.9592857142857145)","(5.5, 7.0, 6.849645390070922)","(31.0, 36.0, 35.0)"
07-01-2023 13:08:41.017816,"(20.0, 34.0, 32.54545454545455)","(10.0, 13.5, 13.052631578947368)","(2.45, 2.8, 2.79)","(17.0, 21.0, 19.8)","(17.0, 20.0, 19.28)","(91.0, 180.0, 165.0)","(3.5, 4.0, 3.9594202898550726)","(5.5, 7.0, 6.8381679389312975)","(31.0, 36.0, 35.0)"
07-01-2023 13:08:42.228181,"(20.0, 34.0, 32.54545454545455)","(10.0, 13.5, 13.049180327868852)","(2.45, 2.8, 2.7811320754716977)","(17.0, 21.0, 19.8)","(17.0, 20.0, 19.404761904761905)","(91.0, 180.0, 165.0)","(3.5, 4.0, 3.9707880434782608)","(5.5, 7.0, 6.896)","(31.0, 36.0, 35.0)"
07-01-2023 13:08:43.380619,"(20.0, 34.0, 32.63157894736842)","(10.0, 13.5, 13.049180327868852)","(2.45, 2.8, 2.78019801980198)","(17.0, 21.0, 19.677966101694917)","(17.0, 19.5, 18.775862068965516)","(91.0, 180.0, 172.5)","(3.5, 4.1, 4.008022922636103)","(5.5, 7.0, 6.901863354037267)","(31.0, 36.0, 35.0)"
07-01-2023 13:08:44.515965,"(20.0, 34.0, 32.39080459770115)","(10.0, 13.5, 13.047244094488189)","(2.45, 2.8, 2.7805825242718445)","(17.0, 21.0, 19.5)","(17.0, 19.5, 18.775862068965516)","(91.0, 180.0, 172.5)","(3.5, 4.1, 4.008945686900958)","(5.5, 7.0, 6.922302158273381)","(31.0, 36.0, 35.0)"
07-01-2023 13:08:45.901558,"(20.0, 32.0, 30.6)","(10.0, 13.5, 13.047244094488189)","(2.45, 2.8, 2.764926108374384)","(17.0, 19.5, 19.642857142857142)","(17.0, 19.5, 19.333333333333332)","(91.0, 180.0, 172.5)","(3.5, 4.1, 4.008306709265176)","(5.5, 7.0, 7.094890510948905)","(31.0, 36.0, 35.77777777777778)"
07-01-2023 13:08:47.270711,"(20.0, 32.0, 30.53333333333333)","(10.0, 13.5, 12.930167597765363)","(2.45, 2.8, 2.764926108374384)","(17.0, 21.0, 19.642857142857142)","(17.0, 19.5, 19.335526315789473)","(91.0, 180.0, 172.5)","(3.5, 4.1, 4.028606965174129)","(5.5, 7.2, 7.092198581560284)","(31.0, 36.0, 35.77777777777778)"
07-01-2023 13:08:48.560012,"(20.0, 32.0, 30.483870967741936)","(10.0, 13.0, 12.930167597765363)","(2.45, 2.8, 2.75864406779661)","(17.0, 21.0, 19.642857142857142)","(16.0, 19.5, 19.316176470588236)","(91.0, 180.0, 172.5)","(3.5, 4.1, 4.028606965174129)","(5.5, 7.2, 7.1084337349397595)","(31.0, 36.0, 35.724137931034484)"
07-01-2023 13:08:49.937347,"(20.0, 32.0, 30.625)","(10.0, 13.5, 13.099326599326599)","(2.45, 2.76, 2.7845685279187817)","(17.0, 21.0, 19.642857142857142)","(16.0, 19.5, 19.316176470588236)","(91.0, 180.0, 172.5)","(3.5, 4.1, 4.028606965174129)","(5.5, 7.2, 7.107878787878788)","(31.0, 36.0, 35.578947368421055)"
07-01-2023 13:08:51.312209,"(20.0, 32.0, 30.625)","(10.0, 13.5, 13.099326599326599)","(2.45, 2.8, 2.7845685279187817)","(17.0, 21.0, 19.642857142857142)","(16.0, 19.5, 19.316176470588236)","(91.0, 180.0, 172.5)","(3.5, 4.1, 4.028606965174129)","(5.5, 7.2, 7.107878787878788)","(31.0, 36.0, 35.578947368421055)"
07-01-2023 13:08:52.522967,"(20.0, 32.0, 30.418181818181818)","(10.0, 13.5, 13.099326599326599)","(2.45, 2.8, 2.796216216216216)","(17.0, 21.0, 19.642857142857142)","(16.0, 19.5, 19.3015873015873)","(91.0, 180.0, 155.0)","(3.5, 4.1, 4.02)","(5.5, 7.2, 7.058682634730539)","(31.0, 36.0, 35.855670103092784)"
07-01-2023 13:08:53.688933,"(20.0, 32.0, 30.964285714285715)","(10.0, 13.5, 13.18075117370892)","(2.45, 2.8, 2.7895833333333333)","(17.0, 21.0, 20.25)","(16.0, 19.5, 19.142857142857142)","(91.0, 180.0, 155.0)","(3.5, 4.1, 3.954724409448819)","(5.5, 7.2, 7.053376205787782)","(31.0, 36.0, 37.529411764705884)"
07-01-2023 13:08:54.885248,"(20.0, 32.0, 30.885245901639344)","(10.0, 13.5, 13.199004975124378)","(2.45, 2.82, 2.8344262295081966)","(17.0, 21.0, 20.25)","(16.0, 19.5, 19.142857142857142)","(91.0, 170.0, 148.57142857142858)","(3.5, 4.0, 3.9518367346938774)","(5.5, 7.2, 7.0501587301587305)","(31.0, 38.0, 37.45945945945946)"
07-01-2023 13:08:56.066058,"(20.0, 32.0, 30.885245901639344)","(10.0, 13.5, 13.194444444444445)","(2.45, 2.84, 2.8351724137931034)","(17.0, 21.0, 19.836734693877553)","(16.0, 19.5, 19.13157894736842)","(91.0, 170.0, 148.57142857142858)","(3.5, 4.0, 3.944123711340206)","(5.5, 7.2, 7.054769230769231)","(31.0, 38.0, 37.45945945945946)"
07-01-2023 13:08:57.277143,"(20.0, 32.0, 30.56756756756757)","(10.0, 13.5, 13.17910447761194)","(2.45, 2.84, 2.815469613259668)","(17.0, 21.0, 19.756756756756758)","(16.0, 19.5, 19.174418604651162)","(91.0, 170.0, 148.57142857142858)","(3.5, 4.0, 3.944123711340206)","(5.5, 7.2, 7.034965034965035)","(31.0, 38.0, 37.45945945945946)"
07-01-2023 13:08:58.480370,"(20.0, 32.0, 30.56756756756757)","(10.0, 13.5, 13.186893203883495)","(2.45, 2.82, 2.813725490196078)","(17.0, 21.0, 19.57777777777778)","(16.0, 19.5, 19.174418604651162)","(91.0, 170.0, 148.57142857142858)","(3.5, 4.0, 3.96625)","(5.5, 7.2, 7.067586206896552)","(31.0, 38.0, 35.83673469387755)"
07-01-2023 13:08:59.696980,"(20.0, 32.0, 30.56756756756757)","(10.0, 13.5, 13.153225806451612)","(2.45, 2.82, 2.815151515151515)","(17.0, 20.0, 19.57777777777778)","(16.0, 19.5, 19.174418604651162)","(91.0, 170.0, 148.57142857142858)","(3.5, 4.0, 3.9731182795698925)","(5.5, 7.2, 7.090285714285715)","(31.0, 36.0, 35.698113207547166)"
07-01-2023 13:09:00.935866,"(20.0, 32.0, 30.56756756756757)","(10.0, 13.5, 13.162857142857144)","(2.45, 2.82, 2.814503816793893)","(17.0, 20.0, 19.536585365853657)","(16.0, 19.5, 19.174418604651162)","(91.0, 170.0, 140.0)","(3.5, 4.0, 3.9869718309859157)","(5.5, 7.2, 7.065454545454545)","(31.0, 36.0, 35.83673469387755)"
